Designator,Val,Package,Mid X,Mid Y,Rotation,Side
GPIO,PinHeader_1x08_P2.54mm_Vertical,PinHeader_1x08_P2.54mm_Vertical,223.52,-96.52,0,top
MultiPlexer,SOIC-24W_7.5x15.4mm_P1.27mm,SOIC-24W_7.5x15.4mm_P1.27mm,211.455,-83.996,90,top
R3,R_0805_2012Metric,R_0805_2012Metric,223.52,-58.42,180,top
R4,R_0805_2012Metric,R_0805_2012Metric,223.52,-60.96,180,top
R5,R_0805_2012Metric,R_0805_2012Metric,223.52,-63.5,180,top
R6,R_0805_2012Metric,R_0805_2012Metric,223.52,-66.04,180,top
R7,R_0805_2012Metric,R_0805_2012Metric,223.52,-68.58,180,top
R8,R_0805_2012Metric,R_0805_2012Metric,223.52,-71.12,180,top
R9,R_0805_2012Metric,R_0805_2012Metric,223.52,-73.66,180,top
R10,R_0805_2012Metric,R_0805_2012Metric,223.52,-76.2,180,top
R11,R_0805_2012Metric,R_0805_2012Metric,223.52,-78.74,180,top
R12,R_0805_2012Metric,R_0805_2012Metric,223.52,-81.28,180,top
R13,R_0805_2012Metric,R_0805_2012Metric,223.429161,-83.844423,180,top
R15,R_0805_2012Metric,R_0805_2012Metric,223.52,-88.9,180,top
R1,R_0805_2012Metric,R_0805_2012Metric,223.52,-86.36,180,top
R2,R_0805_2012Metric,R_0805_2012Metric,223.52,-55.88,180,top
R14,R_0805_2012Metric,R_0805_2012Metric,223.52,-53.34,180,top
