time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0,10.3597,1.84114,-1.4437,1026.72,528.48,735.84,951.84,635.04,584.64,859.68,475.2,809.28,95.0399,400.32,466.56,408.96,898.56,832.32,734.4,4173.12,578.88,227.52,1067.04,1440.0,1268.64,708.48,3234.24,548.64,63.36,250.56,3114.72,158.4,1012.32,825.12,771.84
0,14.9829,2.80122,-1.7358,1568.88,82.872,87.4366,1.42545,46.7712,535.334,60.0048,393.177,97.9486,-14.976,355.305,402.768,443.318,538.142,519.724,350.078,-62.3245,41.3279,-69.12,-232.358,-409.334,-190.685,-53.5824,276.134,49.2768,9.648,27.9936,306.057,-7.90561,43.344,-146.477,-117.245
0,8.85136,4.98712,1.1564,-3182.46,-5.16331,-32.7706,-28.6358,-183.225,-326.799,2.04617,516.514,-55.2419,-12.1861,588.872,578.084,563.838,463.613,268.277,172.977,-484.825,-9.59351,-44.5792,-256.2,-377.828,-200.327,-67.1602,-4.6623,-9.1792,30.1616,-44.3206,17.3451,-47.1387,-156.361,-190.075,-90.4625
0,9.97663,-2.31759,-1.27372,-2032.12,-45.803,-48.2935,-13.2589,-111.588,-233.369,3.99805,-89.9434,-56.5201,-10.3531,-334.031,-87.7324,-248.292,-50.6126,-156.37,-165.614,-328.289,15.6388,8.87223,-159.1,-218.441,-155.286,-17.1931,49.3854,-2.57226,-19.0325,-11.7053,44.9898,-5.6942,-110.601,-75.013,-30.7378
1,9.77313,3.98634,0.577003,-1050.78,-3.52853,-45.0547,-9.53751,-52.0901,-121.792,24.2028,272.685,-27.5372,-6.8354,337.169,269.711,205.396,183.479,75.17,111.552,-539.106,24.0375,17.3358,-79.0064,-113.216,-79.4026,-17.0901,70.0912,2.09524,-16.0842,13.0503,93.3984,-14.803,-148.664,-27.954,-45.3889
1,10.0604,0.852335,-0.23942,-527.266,-8.13365,-22.3316,5.13277,-20.3665,-70.1973,-7.96883,106.712,-9.46164,-1.76556,131.147,111.255,23.7208,109.917,74.2549,84.172,-79.1079,13.0219,16.5611,-40.4059,-53.1518,-51.6326,-0.211748,59.253,-0.946491,-1.05908,4.74451,66.7303,0.535766,-59.287,-23.6477,-12.514
1,10.2089,2.06141,-0.452504,-237.803,-3.79884,-1.56207,5.37046,-17.2482,-30.2602,-6.13559,108.289,-5.41084,-4.13538,123.26,108.016,78.961,115.291,109.175,28.3773,86.1214,4.51971,9.44571,-23.1337,-28.1106,-42.127,-7.33241,26.6399,2.84342,-4.75776,12.8612,22.0714,-9.72124,-67.9199,-6.11809,0.734056
1,9.99818,2.23379,-0.107739,-127.029,-3.81746,-2.85891,9.93018,-1.37294,0.679109,-12.0777,41.0516,-8.78332,-1.18306,66.5567,33.4935,52.4264,104.314,60.6518,38.9978,869.098,2.34958,-12.2294,0.417222,-18.2799,-36.9309,-16.9011,-103.572,3.73586,0.772005,9.06463,-94.1232,4.41807,-18.5054,39.8735,-13.1057
1,10.0604,1.15161,0.0047884,-77.7334,3.41107,-4.16678,0.367514,1.70669,9.6772,-14.8417,88.5433,-4.32309,0.331394,275.389,87.2817,280.279,163.245,97.5104,106.025,213.618,6.621,4.24078,-5.63538,-12.2427,-45.5543,-15.916,-51.8288,-1.67396,-1.31522,1.8103,-38.0408,-9.66641,-59.4915,-79.074,-98.7855
1,9.54568,3.26808,0.339977,-83.2162,2.21862,-18.4332,1.21506,1.95767,5.58278,-4.89316,76.4295,-4.69771,0.244375,493.765,81.1144,513.294,209.573,283.59,170.107,-79.6242,8.35891,0.190973,6.95143,-11.2197,-86.468,4.32997,-27.3941,3.18447,0.0383284,-1.39459,-42.0177,-5.42697,-20.0954,-28.1382,21.8055
2,8.80108,5.62398,0.397437,5230.59,-116.339,-7.69959,-15.9866,-2.12222,304.606,7.29176,-152.463,252.346,-1.31287,278.559,-155.379,87.2497,-215.032,-26.2981,-73.1398,-1213.46,3.50498,-10.7322,7.23226,-14.6074,-48.1423,-14.5993,-20.1987,-1.4921,3.56503,3.35935,-34.8898,-1.20933,-18.3054,-19.6729,20.9779
2,9.20091,5.02543,0.924162,4131.82,186.989,38.8705,-21.0617,4.14036,409.532,16.253,-109.166,256.368,-0.469841,147.853,-106.599,-1.5513,-210.093,-115.109,-61.0252,-411.434,0.52675,1.34123,28.973,-9.48948,-24.1094,-12.7483,-15.5185,-2.14344,0.395623,-0.870127,-16.5687,-10.7725,-71.19,-72.0893,-21.5401
2,9.43315,3.69425,0.550666,2087.65,-14.115,22.8126,-1.73316,0.219842,254.71,32.9085,-34.6183,53.2816,-0.517012,57.76,-30.121,76.5544,-12.7956,37.9756,65.2613,66.4795,-18.7706,4.13123,0.328593,-0.842247,-11.8604,-12.8845,-53.6575,5.72019,-3.41255,-2.39525,14.292,-4.82671,-10.0701,1.4493,17.4409
2,9.53371,3.11725,-0.102951,-3669.14,-82.0969,-21.3727,-5.92278,-0.0550681,-130.133,55.5078,77.9326,-161.958,0.858451,-48.13,82.4723,158.345,258.596,176.919,33.2563,-325.23,2.51064,-10.3926,15.2857,-5.82994,-5.8157,-6.6085,-5.71148,2.57708,3.76327,4.40918,-20.2555,-2.62682,7.45075,-36.2283,-19.2608
2,9.67496,3.49314,-0.198719,-1817.07,-31.0098,-9.98929,-1.61648,4.5088,78.703,13.2906,16.4011,-76.4562,3.63111,-65.4541,-6.47944,79.4354,158.686,135.93,143.779,-47.7087,-8.02654,-9.76669,5.9711,-7.13137,-2.85005,1.28582,18.8539,1.54482,3.24039,3.26773,-2.35561,2.4045,48.1958,10.0996,-60.958
