time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
1,6.78038,7.8027,0.320823,18.5036,124.61,134.433,144.918,77.4532,-23.7364,-36.4529,-123.297,-54.6042,0.0229377,-90.2814,-109.051,-142.069,-360.66,-178.769,-199.657,-70.1114,19.1098,19.156,13.0451,21.65,23.9837,16.2071,386.494,-2.85398,27.6855,49.2542,386.534,11.9222,30.5839,5.83352,19.4361
1,7.18021,6.19619,1.13964,6.78806,21.6623,-9.29721,63.7753,14.333,-12.901,-27.3821,30.952,56.5836,-0.332895,-0.540544,40.9606,-5.1892,72.2052,11.2173,92.6425,520.873,-16.3819,-0.338635,-1.20193,-2.85147,3.34383,-6.99881,228.008,-8.96059,2.37129,-19.4747,234.052,-25.6443,11.9547,-15.0468,-64.1201
1,6.78756,7.46991,0.181959,3.65452,46.4962,26.8533,83.5912,56.3775,20.0169,5.88607,-62.204,-12.6246,-4.58609,-24.4553,-35.5856,-55.5972,-157.237,-41.0645,33.7661,-5068.72,-140.376,-227.136,-143.069,-451.658,-134.176,-530.748,-3034.19,-578.263,394.412,-222.555,-3060.18,-111.347,-24.1223,-263.029,-24.4531
1,7.35259,6.53138,0.253785,-7.42457,15.0109,10.4697,67.7022,50.8445,36.3564,13.2615,52.5567,-0.0401866,-0.370055,57.9981,103.683,14.5808,96.8791,43.6125,53.6731,-2962.83,-142.875,-131.724,-52.8168,-261.836,-91.9951,-307.525,-1777.85,-334.997,199.998,-128.223,-1808.78,-63.4501,37.5811,-151.893,-2.26871
1,7.29992,7.23288,0.105345,-1.05528,21.5166,8.77625,52.947,37.0835,71.5832,60.9424,-3.10513,-2.8791,1.42761,5.37012,-25.8893,-30.1169,-31.8581,3.21675,48.4623,-1494.91,-55.7969,-66.3831,-31.7548,-131.947,-38.7279,-154.959,-902.659,-168.797,156.119,-64.5548,-952.388,-31.8907,21.3488,-76.4986,13.7593
1,7.12993,6.79474,0.28491,3.73366,-15.0095,5.46362,27.5222,-1.18168,-67.8114,12.528,-61.8627,-2.57548,-0.59566,25.1954,-18.897,-16.6708,-153.416,-83.88,-1.84951,-736.387,5.70501,-32.6932,-12.6757,-64.9821,-75.7748,-76.3142,-514.648,-83.129,73.6652,-31.7871,-444.696,-15.6984,-18.4494,-37.6707,0.102791
1,6.90248,7.15627,0.0766144,-0.667916,23.8543,12.9343,23.8523,17.2342,-134.849,-31.9539,-83.7529,-54.4164,-0.710836,-48.0762,-47.7482,-25.8224,-178.094,-162.826,-92.7058,-361.179,-16.0608,-16.0345,-41.4331,-31.8708,5.23537,-37.4286,-198.237,-40.7708,28.1081,-15.5897,-257.007,-7.69872,4.50017,-18.4754,4.00331
2,7.44118,6.95515,-0.299275,6.04301,53.6078,30.7039,32.2619,1.55216,-157.388,-25.825,-43.8758,22.0626,-0.760427,-20.3554,-18.1053,-0.547482,-37.1005,-62.3861,-24.2687,-177.009,18.0092,-7.85827,15.9694,-15.6194,-17.7275,-18.3431,-141.011,-19.9811,14.0476,-7.6402,-61.4703,-3.77296,9.19816,-9.05446,-66.2698
2,7.50103,7.38611,-0.423774,5.2759,93.8324,50.8909,36.6827,-4.48241,-16.4631,7.95878,-26.3049,14.8071,-0.107295,5.69322,-0.244969,26.5684,-60.1332,-18.7652,-0.440311,-86.7374,1.44789,-3.85067,-19.0786,-7.65372,-35.1655,-8.9884,-17.6331,-9.79105,5.0936,-3.74381,-41.4404,-1.8488,-46.7899,-4.43682,18.1661
2,6.97431,7.23288,-1.04627,-21.0804,-269.824,-246.114,-71.2271,-84.9928,187.587,-62.9906,114.363,-29.2918,-0.0286964,114.633,155.211,311.066,414.57,292.453,141.157,-42.5016,-34.6871,-1.88684,15.1438,-3.75035,16.7889,-4.40434,29.8601,-4.79764,-42.9244,-1.83448,-45.7182,-0.905918,22.2082,-2.17406,12.9981
2,7.68538,5.98071,0.897825,-281.885,-423.436,-339.347,-179.052,-601.684,-213.782,76.6007,432.041,-24.5975,-0.544708,683.103,401.837,588.681,646.763,520.946,189.934,-20.8258,1615.99,1610.44,37.5895,-1.83767,23.4131,-2.15813,743.971,2172.05,-329.537,-0.898896,7.00542,-0.4439,14.4833,-1.06529,-10.5567
2,7.96551,6.67503,-0.732625,-5153.99,-226.868,-228.16,-150.864,-568.832,-377.426,55.3711,240.443,-29.2613,-0.314662,329.325,264.164,628.0,712.707,486.128,391.289,-10.2046,-326.323,-343.375,4.05569,436.859,-35.8183,73.8225,2948.03,113.904,-281.211,248.679,3199.18,368.134,-104.827,-0.521991,-7.15693
2,8.73883,5.62158,-0.23942,-3152.25,-169.07,-116.979,-92.1621,-314.001,-615.228,-66.4612,267.125,-30.2867,1.81431,319.773,313.421,494.361,515.686,235.221,246.061,-90.5795,-444.391,-355.152,-76.9502,-180.672,157.933,509.357,2001.23,97.5298,-128.035,219.629,1826.1,7.632,-39.3199,-0.255768,36.5625
3,9.09557,4.88896,-0.383072,-1608.7,-86.7596,-78.8242,-51.4955,-157.496,-392.042,-103.312,149.816,-74.0918,2.20378,120.013,172.093,182.743,20.2758,-188.576,-188.331,-1151.01,-341.19,-239.229,-24.2613,-214.473,-56.8092,297.931,1039.05,51.3137,-52.3408,128.744,924.647,-20.981,55.7901,-57.5813,-4.28296
3,9.65821,2.44687,-0.225055,-824.345,-56.1989,-61.9863,-29.8059,-59.3129,-201.923,-74.7023,8.26809,-102.953,-1.37943,-223.351,12.8253,-229.586,-351.844,-521.306,-267.813,-1760.09,-172.475,-178.732,-39.118,-207.751,-117.645,-269.437,-1981.75,-430.717,247.161,-151.158,-2054.46,-134.934,5.33541,-33.3859,-82.058
3,10.2615,-0.426168,-0.909797,-410.978,-28.1645,-37.9336,-20.4742,-27.312,-86.3336,-66.4339,-299.416,-60.5061,-2.33725,-330.417,-296.315,-546.938,-477.224,-453.32,-289.715,-970.094,-149.026,-93.1147,0.0247393,-111.037,-7.26513,-169.412,-1202.13,-373.341,117.941,-93.3492,-1225.64,-77.3366,15.4374,-16.8245,12.1248
3,10.2615,-0.174777,-0.653617,-214.988,-4.15156,-26.7415,-16.9111,-8.90517,-44.8839,-36.677,-218.666,-45.5582,0.14523,-194.881,-200.667,-486.12,-424.512,-352.76,-249.479,-485.034,-19.1552,-46.1245,13.9938,-55.2399,-13.9872,-86.3768,-659.637,-197.543,82.3894,-47.4765,-624.962,-38.9046,24.3135,-8.28588,-25.8816
3,10.3573,0.390255,-0.0383072,-92.2552,11.0311,-24.7525,-13.0529,-11.2902,-12.3758,-25.8455,-30.4477,15.7295,-2.0879,-4.45675,-17.8984,-173.993,-147.57,-184.897,-104.864,-238.539,-7.80675,-22.6458,-18.7118,-27.1424,-18.0161,-42.6275,-276.526,-98.1107,39.9927,-23.4196,-319.184,-19.1542,-20.0013,-4.06385,17.2716
3,10.2256,-0.0023942,-0.821211,-39.4048,-22.1471,-24.2939,-27.647,-4.11082,-14.9762,-32.4672,-59.1796,17.497,-0.0797848,-45.5857,-45.8117,-47.7403,-80.996,-73.0356,-35.563,-116.962,-18.0113,-11.1005,-28.5916,-13.3065,29.1195,-20.9147,-131.151,-48.1926,19.0439,-11.4897,-128.305,-9.39371,3.09498,-1.99163,-26.2092
4,10.0365,0.993593,-0.64404,-7.48215,1.52916,-16.5413,-30.0612,-8.9135,-17.6875,-26.4034,24.9209,9.82898,0.0458018,52.6398,37.7082,10.4251,-33.5722,-48.1602,-7.90935,-57.3187,-59.6959,-5.43961,-9.75317,-6.5208,6.45177,-10.2507,-51.5321,-23.625,-18.0205,-5.63121,-88.925,-4.60366,13.6789,-0.975928,27.2371
