time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.144531,8.18817,-5.30076,-2.41575,5968.0,7152.0,5696.0,8608.0,3104.0,5072.0,6080.0,3680.0,7392.0,464.0,3984.0,3680.0,3040.0,8848.0,7792.0,8320.0,0.0,18896.0,15488.0,25936.0,23680.0,21536.0,20128.0,31328.0,16144.0,21056.0,21136.0,33024.0,36272.0,40896.0,32608.0,41984.0
0.264648,8.32463,-7.41963,-2.18591,6432.0,7312.0,5728.0,8720.0,3280.0,5216.0,6320.0,3840.0,7648.0,704.0,4224.0,3904.0,3232.0,9056.0,7984.0,8880.0,0.0,18976.0,15296.0,25104.0,23200.0,21440.0,20112.0,31504.0,16896.0,21136.0,21072.0,32800.0,36064.0,36896.0,32640.0,42048.0
0.384766,8.81545,-0.483629,-3.04782,6480.0,7040.0,5808.0,8864.0,3328.0,5568.0,6352.0,4000.0,7392.0,464.0,4000.0,3744.0,2880.0,8832.0,7760.0,8480.0,0.0,18816.0,15440.0,25904.0,23744.0,21504.0,20048.0,31296.0,16896.0,20976.0,21088.0,33168.0,36224.0,35840.0,32528.0,41920.0
0.503906,9.43315,-2.68869,1.03908,6096.0,6976.0,5664.0,8960.0,2928.0,4608.0,5856.0,3632.0,6896.0,416.0,4016.0,3584.0,2400.0,8528.0,7392.0,7824.0,0.0,18944.0,15392.0,25232.0,22848.0,21440.0,20112.0,31392.0,16848.0,21184.0,21072.0,32832.0,36240.0,36016.0,32480.0,41936.0
0.624023,9.99339,-1.20668,-0.390255,44464.0,7424.0,7088.0,9008.0,3584.0,4672.0,5856.0,3600.0,6880.0,448.0,4128.0,3600.0,2560.0,8640.0,7520.0,8336.0,0.0,18784.0,15328.0,25104.0,23200.0,21488.0,20096.0,31296.0,16816.0,21040.0,21056.0,32944.0,36320.0,36496.0,32576.0,41952.0
0.744141,9.81622,-3.52426,-2.57377,9488.0,7216.0,7360.0,8496.0,2432.0,4528.0,5584.0,3648.0,7184.0,464.0,4096.0,3872.0,3072.0,8256.0,9984.0,8864.0,0.0,18992.0,15280.0,25104.0,23072.0,21424.0,20080.0,31424.0,16928.0,21184.0,21072.0,32944.0,36032.0,36064.0,32512.0,41952.0
0.863281,8.28872,-3.62243,1.08218,6400.0,7456.0,7168.0,9088.0,3488.0,4832.0,5856.0,3936.0,6912.0,464.0,4048.0,3920.0,2624.0,8256.0,12032.0,11584.0,0.0,18880.0,15456.0,26176.0,23536.0,21488.0,20096.0,31296.0,16784.0,21024.0,21104.0,33024.0,36048.0,37712.0,32576.0,41952.0
0.983398,9.75397,-1.77889,-1.80044,5984.0,7328.0,7344.0,9168.0,3088.0,5008.0,6336.0,3968.0,6864.0,464.0,4096.0,4000.0,2752.0,8272.0,11856.0,11328.0,0.0,19008.0,15360.0,25040.0,23536.0,21456.0,20112.0,31568.0,16976.0,21024.0,21088.0,32768.0,36144.0,36544.0,32560.0,41936.0
1.10352,8.98783,-4.04141,-2.43011,6128.0,7728.0,7456.0,8704.0,2720.0,3872.0,6224.0,3936.0,6880.0,448.0,4032.0,3984.0,2896.0,8656.0,10368.0,10064.0,0.0,18992.0,15456.0,25648.0,23456.0,21456.0,20128.0,31296.0,16288.0,21024.0,21088.0,33168.0,36112.0,40480.0,32576.0,41920.0
1.22461,9.66539,-2.81319,-0.191536,7936.0,7376.0,7680.0,8000.0,3488.0,3808.0,6208.0,3888.0,6928.0,448.0,4096.0,3872.0,3024.0,8976.0,9504.0,9776.0,0.0,18608.0,15376.0,25376.0,23488.0,21488.0,20128.0,31360.0,16384.0,20992.0,21072.0,32800.0,36144.0,37600.0,32544.0,41968.0
