time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.232422,-2.38702,8.36773,2.29364,570.239,511.2,391.68,1150.56,308.16,576.0,624.96,388.8,691.2,60.48,417.6,429.12,269.28,1101.6,744.48,740.16,-54.72,430.56,0.0,414.72,0.0,403.2,0.0,387.36,0.0,400.32,0.0,429.12,0.0,433.44,0.0,406.08
0.386719,-1.74298,10.6063,0.143652,2501.98,221.04,36.6047,-190.224,-605.606,-577.44,157.406,15.2639,49.1185,-16.4448,-187.848,58.3632,22.6656,-23.8177,-348.422,-230.861,-31.7376,83.8081,0.0,-13.0464,0.0,0.791958,0.0,61.5168,0.0,36.3456,0.0,77.7168,0.0,2.13121,0.0,54.1872
0.548828,-1.68073,8.84896,1.35512,2607.48,60.6017,-26.023,-214.566,-414.939,-351.893,30.3269,-42.8961,-10.6909,12.5916,-74.7647,-33.8175,-40.806,-75.974,-306.47,-187.766,-15.9947,-1.71359,0.0,-20.7586,0.0,-5.47045,0.0,18.1363,0.0,-8.25203,0.0,10.7292,0.0,-22.4722,0.0,1.77004
0.707031,-1.78607,9.48343,1.70228,1410.11,-24.4229,118.062,-155.673,-219.703,-176.905,22.9168,-55.5049,-12.3844,-20.1092,-64.2971,-20.9352,24.7537,-44.3107,-172.842,-185.138,-7.87727,29.4959,0.0,1.36585,0.0,0.593666,0.0,-37.741,0.0,-45.5859,0.0,37.1972,0.0,12.5042,0.0,4.32498
0.865234,-1.62566,9.76355,0.687136,716.049,69.0869,75.5706,-104.992,-94.1242,-86.5535,18.924,-22.1939,-9.51964,-9.64104,27.9825,4.25296,18.5615,-32.1271,-79.8351,-20.7633,-3.86345,28.6167,0.0,-59.1468,0.0,-1.40151,0.0,9.06244,0.0,16.2457,0.0,2.52515,0.0,-48.219,0.0,3.02086
1.02539,-1.65439,10.884,0.962469,358.278,42.7604,31.6692,-147.328,-71.7303,-42.3996,1.69968,29.5928,-12.5496,-7.585,-16.0707,55.7339,22.6916,-25.3197,-53.9893,-23.131,-1.89342,-57.7686,0.0,11.441,0.0,4.53209,0.0,-10.0427,0.0,3.55612,0.0,-13.2798,0.0,15.5312,0.0,25.2493
1.1875,-0.699107,10.9966,0.543483,167.052,60.1159,94.3364,-12.6359,-54.6319,-64.5795,35.4024,23.8163,-9.81083,-1.39652,-13.7373,39.7558,0.649823,-8.41585,-14.2284,-27.75,-0.927803,-31.7294,0.0,15.9978,0.0,9.74646,0.0,4.40285,0.0,14.2917,0.0,-29.5863,0.0,17.4993,0.0,14.8138
1.3457,1.96564,9.42358,0.866701,-5215.98,-102.292,56.9327,151.376,-4.27359,-12.3159,-18.1334,-51.8452,-5.97199,-1.91548,90.949,-35.1275,17.5634,-6.34211,-13.7627,-2.56113,-0.454626,37.3669,0.0,21.403,0.0,-29.1069,0.0,-59.9026,0.0,13.0571,0.0,23.7743,0.0,26.4134,0.0,-17.0014
1.50781,3.7158,7.17303,4.02226,2228.45,-253.457,260.384,203.195,26.9593,26.7079,-36.3283,-76.4373,-30.4632,-4.53419,11.8699,-8.04406,-73.837,37.3151,-4.61884,12.7703,-0.222767,34.4912,0.0,-53.3222,0.0,-13.3519,0.0,22.2445,0.0,1.4853,0.0,30.689,0.0,-17.6647,0.0,-18.2326
1.66602,9.00219,2.73897,1.2785,2526.28,-40.3981,-63.2686,-69.0384,119.49,330.17,-17.1602,717.581,73.617,0.867444,1667.83,655.914,-28.1921,630.437,735.438,428.532,-0.109156,-25.7645,0.0,29.0701,0.0,22.0515,0.0,7.20605,0.0,-25.1015,0.0,-42.4472,0.0,26.62,0.0,8.14607
1.82617,8.03973,3.12683,-0.337582,1066.37,-55.5686,-54.9469,-209.678,486.795,1006.31,-30.9301,356.438,-22.1986,5.32547,758.608,343.806,46.708,1066.3,1033.9,678.286,-0.0534864,24.2587,0.0,23.5321,0.0,8.75641,0.0,-16.2128,0.0,-10.3764,0.0,24.0816,0.0,23.6491,0.0,-12.2841
1.98633,8.68856,4.56813,-0.325611,399.126,-37.2595,-41.031,-133.113,261.16,569.344,159.03,47.5338,-9.9873,0.170516,305.299,84.7583,41.8699,724.051,656.771,489.276,-0.0262083,25.5022,0.0,5.75701,0.0,-52.3562,0.0,12.0516,0.0,14.7303,0.0,22.9674,0.0,-14.3279,0.0,-29.9047
2.1543,8.68137,5.29358,1.54905,625.164,-42.9631,-45.8691,143.419,407.363,492.885,233.627,-64.6565,12.8407,4.48645,153.943,-91.498,3.36073,174.523,287.208,241.757,-0.0128421,-22.5809,0.0,-38.465,0.0,24.5,0.0,15.7113,0.0,24.3084,0.0,-23.5105,0.0,-46.8506,0.0,15.7842
2.30664,8.48026,5.22894,0.550666,404.782,0.599645,-10.2363,264.373,328.174,333.37,75.196,-230.973,5.98744,2.06181,-121.384,-191.562,-1.72608,-125.338,94.9782,-150.019,-0.00629262,17.7032,0.0,36.2748,0.0,23.4885,0.0,23.8019,0.0,-28.9445,0.0,5.06457,0.0,24.8809,0.0,3.1297
2.4668,8.58321,4.83868,-0.253785,206.657,-29.5958,10.2553,201.156,196.093,192.153,-33.4477,-106.345,16.7735,-6.48999,-139.27,-91.1156,35.4555,35.0954,94.6498,155.134,-0.00308339,-18.9764,0.0,0.070086,0.0,-19.9147,0.0,-35.0557,0.0,-5.86454,0.0,9.43186,0.0,17.937,0.0,-20.8698
2.625,8.47068,5.49948,0.289698,135.302,-26.984,-1.7651,131.507,79.7925,76.9611,-25.2357,-86.227,7.18943,-7.03752,-43.1103,-61.492,41.1603,-104.826,18.9274,87.3344,-0.00151086,-2.55653,0.0,-24.1383,0.0,-14.3144,0.0,23.8196,0.0,8.70381,0.0,21.2167,0.0,-63.6009,0.0,14.8295
2.78516,8.69095,5.25527,0.648829,73.9127,29.1136,-15.0984,104.541,43.0752,27.5092,-17.2368,-59.0163,-0.28512,-0.915547,31.8405,-33.0152,26.759,-78.8062,7.12093,-24.6447,-0.000740321,-56.2586,0.0,6.09913,0.0,31.1535,0.0,29.5021,0.0,-8.32994,0.0,-49.0511,0.0,13.138,0.0,14.3599
2.95313,8.67179,4.95839,0.363919,23.798,7.85188,-23.1369,30.7287,-5.57827,-6.76352,-27.8494,-14.126,0.35284,-0.22067,49.5285,-17.589,13.7626,-37.7296,7.8458,-63.9667,-0.000362757,21.857,0.0,20.9603,0.0,28.1323,0.0,-11.904,0.0,-46.8888,0.0,0.0483441,0.0,19.8856,0.0,25.2284
3.10547,8.57603,4.69982,0.316035,2.13408,-19.5971,-21.7536,46.793,5.78023,1.15683,-14.8741,-20.552,-2.36058,-6.15001,15.6438,-13.7857,-34.5977,-17.1548,10.4574,70.6326,-0.000177751,19.8381,0.0,-21.9952,0.0,-45.0042,0.0,9.31942,0.0,18.8918,0.0,25.9944,0.0,-19.0553,0.0,-67.8504
3.26563,8.72926,4.68545,0.0047884,6.79781,-1.69011,-21.072,31.9914,1.78409,9.83923,29.3356,16.4659,0.285975,0.157926,50.3918,-19.9208,-20.6736,55.5345,18.9819,-158.474,-8.70981e-05,13.1199,0.0,11.6481,0.0,7.1016,0.0,-28.7737,0.0,-7.92698,0.0,7.87461,0.0,2.94623,0.0,18.315
3.42578,8.85376,4.99191,0.3304,5.97981,-36.5912,-12.5295,5.50434,-5.8875,-7.83632,54.2466,7.89333,2.54499,0.362808,61.412,36.6027,-5.84252,57.2881,15.1707,-141.974,-4.26781e-05,5.75541,0.0,11.3403,0.0,20.7916,0.0,9.88586,0.0,-9.04512,0.0,-40.6863,0.0,9.00026,0.0,24.7461
3.58594,9.08599,4.24971,-0.0383072,-2.37533,-12.6379,-11.0179,-50.9944,-28.0598,-1.49435,38.9389,93.6359,3.81078,-1.23653,74.2353,130.569,7.60301,71.0985,22.8948,163.986,-2.09123e-05,18.1244,0.0,-0.301188,0.0,-12.5756,0.0,-35.3621,0.0,27.633,0.0,31.2211,0.0,-10.4473,0.0,-19.5029
3.75391,9.14106,4.21379,0.0383072,-38.4763,-6.69553,-14.5354,-79.2982,-13.4372,26.5361,36.0323,39.3015,0.658014,-0.502786,44.9561,-10.5993,-5.57096,39.2288,15.562,68.5551,-1.0247e-05,14.1175,0.0,12.5157,0.0,-11.0187,0.0,-42.9204,0.0,13.546,0.0,26.6418,0.0,6.05711,0.0,-7.03176
3.9043,9.24401,4.76207,0.179565,4.11096,-15.5372,-18.1543,-8.79504,-11.1785,-0.095131,21.0679,-12.0927,-1.75907,-3.41947,54.5529,24.8862,5.53433,32.6641,16.8864,35.6547,-5.02103e-06,-41.6431,0.0,-61.2428,0.0,13.431,0.0,32.9984,0.0,-1.62748,0.0,-20.8014,0.0,-22.7812,0.0,6.27112
4.06445,9.30386,4.38378,0.0694318,-20.845,39.6388,-9.88861,-36.7691,-22.2641,-8.95776,12.229,67.5153,2.66567,-1.73073,55.5784,82.7542,1.41083,44.1288,9.71265,-199.323,-2.46031e-06,14.1764,0.0,22.3767,0.0,5.85659,0.0,10.1167,0.0,-22.0037,0.0,-18.6973,0.0,15.1612,0.0,13.3506
4.22656,9.47625,2.25534,0.351948,-4562.35,-50.9019,-19.9394,-252.547,-503.229,-800.748,-79.4013,423.481,-7.54896,-0.622622,333.281,464.701,388.467,188.919,64.2312,128.355,-1.20555e-06,8.23,0.0,30.6554,0.0,6.82207,0.0,-23.6964,0.0,14.3815,0.0,14.5528,0.0,15.299,0.0,5.72438
4.38477,9.68454,4.06535,-0.825999,822.375,-49.4295,-17.0328,-153.928,-192.424,-133.257,52.8113,-99.3585,21.3519,1.15521,-66.3895,-241.146,-104.871,135.362,68.1742,143.385,-5.9072e-07,-24.4214,0.0,-27.7747,0.0,17.1051,0.0,4.70275,0.0,1.9389,0.0,4.87332,0.0,-33.3248,0.0,3.03376
4.54492,9.9072,1.87945,-0.390255,1752.63,-36.3172,-7.11339,-89.1571,-235.199,-54.72,-24.404,65.2487,17.7139,-15.9777,82.1416,15.5809,-105.245,148.01,96.6123,-11.2013,-2.89453e-07,11.8679,0.0,13.4843,0.0,-6.45028,0.0,29.1454,0.0,-16.5737,0.0,-22.4392,0.0,19.3521,0.0,-2.65447
4.70508,9.77552,2.29125,0.519542,1240.76,78.6615,-4.51213,-31.8188,103.32,200.349,12.6767,-105.014,10.2397,6.07558,49.7207,-64.7701,-117.804,-47.6929,20.7296,67.9352,-1.41832e-07,-5.83492,0.0,9.88097,0.0,-18.3771,0.0,-29.2534,0.0,13.9321,0.0,21.575,0.0,19.9659,0.0,-30.7037
4.86523,9.96227,2.17872,-0.146046,660.462,72.7708,-5.01056,-12.7087,86.0371,140.806,19.1137,-112.487,9.78014,-1.53155,-38.3751,-106.582,-79.5972,-141.152,-32.0099,-58.6859,-6.94976e-08,-0.941217,0.0,-32.8364,0.0,-43.9408,0.0,15.7893,0.0,27.5748,0.0,13.2728,0.0,-28.542,0.0,-49.0543
5.0293,9.91199,2.48039,-0.102951,325.458,40.6245,20.9377,-27.5678,49.9675,77.0798,18.5621,-64.5422,13.5585,-0.853837,-7.24249,-27.7994,-17.6288,-85.6549,-16.5134,-56.488,-3.40538e-08,-54.7782,0.0,-1.42334,0.0,9.68328,0.0,29.6862,0.0,25.8045,0.0,-55.6341,0.0,7.14594,0.0,7.26085
5.19727,9.86411,2.54982,-0.23942,167.53,26.6459,22.6608,-13.1535,36.9372,38.7992,29.8526,-41.7187,8.64216,1.24272,-6.3094,-20.0777,-4.97203,-45.5,-13.6236,35.8776,-1.66864e-08,37.2318,0.0,2.29295,0.0,12.5653,0.0,-29.5581,0.0,-47.7804,0.0,25.2222,0.0,18.3345,0.0,13.805
5.34961,9.89762,2.5187,-0.11971,5.27096,7.13983,13.66,-18.2359,34.5271,7.28197,-2.15208,-25.7424,-1.87811,3.94083,-4.40615,-1.56321,1.68087,-30.1151,-8.61391,50.0409,-8.17633e-09,20.2805,0.0,15.9079,0.0,-44.3168,0.0,14.9838,0.0,25.682,0.0,21.1718,0.0,3.00368,0.0,-45.2908
5.50977,9.90242,2.6001,-0.102951,29.8678,4.4059,2.0705,-18.7088,25.3663,8.96373,-4.98411,-18.246,0.804753,1.39568,-11.306,-2.77177,-5.40109,-27.3545,-3.86238,72.4701,-4.0064e-09,-17.5416,0.0,-44.7593,0.0,31.0685,0.0,10.9589,0.0,31.3019,0.0,-27.2663,0.0,-6.55442,0.0,19.4616
5.66992,9.92396,2.65756,-0.208295,73.0214,-4.4266,1.73625,-20.1989,13.4923,7.45528,6.44903,-20.8089,0.780006,1.7733,2.57947,4.97025,-0.629133,-14.8399,-2.09107,-139.094,-1.96314e-09,10.1715,0.0,17.0996,0.0,8.59806,0.0,8.5033,0.0,3.48657,0.0,16.3143,0.0,7.226,0.0,18.7427
5.82813,9.9072,2.57616,-0.0550666,56.1114,-3.4961,-7.11953,28.4505,13.6765,1.58173,-2.79327,-0.723749,-2.99604,2.70936,19.4186,19.7378,2.75333,-9.14297,0.397741,51.3885,-9.61938e-10,12.3466,0.0,24.6068,0.0,-18.0695,0.0,-52.0137,0.0,16.7986,0.0,0.195854,0.0,23.6896,0.0,-38.4146
5.99609,9.94791,2.3942,-0.105345,-92.8451,-1.51572,1.48199,12.9138,67.2845,-20.1761,-22.0645,-224.142,-21.2552,-6.23957,-209.559,-224.499,-25.4329,-374.196,-97.5971,-1.65921,-4.71349e-10,-55.8842,0.0,17.9099,0.0,14.3981,0.0,26.1642,0.0,23.4998,0.0,-41.833,0.0,-7.50171,0.0,12.0001
6.14844,9.94551,2.15478,-0.505176,60.3011,1.9246,-7.99909,110.966,103.654,-55.1878,-44.8007,-219.769,-10.8999,-1.76563,-338.012,-191.574,-16.615,-493.485,-162.233,-245.494,-2.30961e-10,20.6395,0.0,21.7874,0.0,10.7462,0.0,-17.6237,0.0,-24.1765,0.0,6.42895,0.0,40.2954,0.0,-14.6883
6.30859,9.87129,2.23379,-0.0023942,23.3439,-9.27126,-4.10002,79.5301,62.8976,-27.1881,-41.6866,-124.479,2.7226,-6.3361,-175.286,-99.1105,-6.47028,-382.658,-106.165,-16.5438,-1.13171e-10,20.3105,0.0,3.50935,0.0,-41.9222,0.0,-23.3421,0.0,5.50445,0.0,28.5272,0.0,28.8862,0.0,-59.7363
6.46875,9.8689,2.27449,-0.416591,56.9594,-107.241,-19.0605,104.363,43.9623,-73.5847,-72.8328,-69.7779,10.3974,-8.75227,-524.303,-45.7956,37.6023,-493.493,-315.507,-165.895,-5.54538e-11,31.0011,0.0,-35.7608,0.0,-6.42882,0.0,18.6309,0.0,14.4252,0.0,24.4848,0.0,-46.1078,0.0,19.2374
6.62891,10.058,2.24815,-0.368707,31.7052,11.7496,-2.16229,110.664,52.9644,-65.6432,-97.8463,-92.0488,10.3025,-4.26409,-540.316,-66.3987,25.9394,-405.603,-646.989,-510.814,-2.71724e-11,-43.6974,0.0,6.03211,0.0,2.36809,0.0,25.6161,0.0,-21.9578,0.0,-55.7161,0.0,17.0988,0.0,20.6033
6.79688,10.1849,2.27928,0.035913,16.1787,-56.8271,-9.18316,173.818,36.7294,-47.1979,-115.675,-105.621,9.60642,0.490392,-584.9,-81.5204,31.3291,-181.951,-646.762,-408.145,-1.33145e-11,19.0228,0.0,13.6437,0.0,4.75304,0.0,19.5365,0.0,-29.5715,0.0,-40.408,0.0,8.39392,0.0,20.8647
6.94727,9.79707,2.16675,0.162806,12.6088,-32.1675,-9.30613,119.579,33.5974,-60.4082,-73.3749,-36.5083,6.55734,0.472481,-370.71,-21.4864,21.174,-88.1196,-392.886,-227.445,-6.52409e-12,10.9011,0.0,-39.1959,0.0,-34.0246,0.0,19.6767,0.0,15.6696,0.0,29.2046,0.0,-13.8425,0.0,-53.5351
7.10742,10.3765,2.32238,0.332794,10.3858,-14.0343,-0.903002,128.233,58.0286,-173.672,-71.0225,-24.0194,1.40678,-0.496392,-371.752,-8.03187,10.5969,-63.1878,-216.386,-124.359,-3.1968e-12,-21.5019,0.0,-56.4409,0.0,25.0273,0.0,-2.86993,0.0,8.23239,0.0,24.9413,0.0,-64.7028,0.0,16.4855
