time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.207031,7.60877,6.21535,0.88346,24.6571,41.2426,14.6876,197.646,95.8061,228.324,-11.7474,-20.662,36.0044,0.436214,35.8213,-7.23864,18.702,-28.0287,134.689,-100.354,0.0,19.9651,0.0,21.9843,0.0,8.8863,0.0,8.03507,0.0,-60.4615,0.0,25.2231,0.0,-6.69498,0.0,12.918
0.367188,7.73806,6.26802,1.03908,-1.00938,-6.02919,-9.09853,150.845,65.1786,111.743,19.1672,-43.6077,7.76997,-2.27496,61.6277,-6.70262,-4.05033,20.476,115.484,94.231,0.0,16.9431,0.0,23.0131,0.0,15.0501,0.0,-30.4559,0.0,18.4806,0.0,30.7295,0.0,-2.59979,0.0,-18.9896
0.529297,7.43399,7.0198,0.483629,12.4976,-31.5957,-16.5953,155.411,48.4392,58.4568,14.7454,-38.6228,-8.06842,-5.8027,-62.5461,-13.5187,-10.374,-170.646,23.6297,-133.894,0.0,34.6217,0.0,15.9924,0.0,7.42993,0.0,4.66121,0.0,-18.4532,0.0,-14.1484,0.0,8.39225,0.0,-2.16611
0.695313,7.54413,6.93121,0.715866,7.52286,-38.7812,-20.816,109.017,34.7675,24.2828,18.3199,-19.1821,-10.0192,-2.43005,-24.5368,37.9155,32.4369,-82.137,29.2333,24.6448,0.0,21.0614,0.0,19.2911,0.0,13.4953,0.0,8.9714,0.0,18.2037,0.0,-33.8108,0.0,39.1245,0.0,8.98441
0.847656,7.49864,6.96952,0.519542,9.26971,-23.879,-17.7062,73.57,22.1187,15.2213,21.4953,-0.177599,-0.904905,0.286476,13.7557,41.7968,-38.8043,4.41088,31.235,74.0549,0.0,11.8264,0.0,20.5636,0.0,5.80033,0.0,-19.9718,0.0,-30.3882,0.0,25.0776,0.0,0.866092,0.0,19.1448
1.00781,7.52019,6.93361,0.440533,3.67748,-11.5347,-3.05887,46.0422,18.2651,5.4825,32.1937,0.210151,-1.89732,-13.1043,0.34831,33.37,43.7574,29.3068,24.5599,52.7659,0.0,-23.4742,0.0,-15.319,0.0,-12.4229,0.0,17.9007,0.0,3.94965,0.0,17.476,0.0,2.17534,0.0,31.5158
1.16602,7.38611,7.09641,0.426168,0.961205,-7.66746,-0.0860918,40.5092,5.29855,3.64577,13.0156,-3.28308,-3.63813,-9.35551,12.469,36.3466,2.20734,-6.91341,2.42728,39.1894,0.0,-64.6807,0.0,22.1904,0.0,26.0332,0.0,5.5033,0.0,4.62466,0.0,-53.6386,0.0,17.8122,0.0,3.94204
1.32617,7.44836,6.99825,0.40462,-0.728179,-24.6745,-9.0878,34.1946,12.0453,3.31277,15.302,-7.14067,-2.86176,-2.27071,8.9447,32.1517,62.1777,-26.9599,-8.0851,-8.78582,0.0,19.0325,0.0,19.1332,0.0,18.3543,0.0,-32.9928,0.0,10.3993,0.0,19.0805,0.0,34.1536,0.0,-28.5083
1.48828,7.52019,6.99586,0.61531,4.15685,-20.1649,-0.716762,25.9233,7.96213,-0.817183,8.07076,1.46081,1.07819,-0.602029,27.8941,-23.9228,4.48736,-0.542747,3.16698,-181.726,0.0,15.6335,0.0,13.834,0.0,21.7663,0.0,21.9927,0.0,-34.19,0.0,10.9266,0.0,20.0027,0.0,16.1666
1.64844,7.3909,6.93121,0.35913,6.23115,-29.1404,-3.49978,20.9578,6.13165,3.39796,6.28154,-5.43303,0.751588,-2.82665,3.25604,43.0557,-13.7041,2.84659,0.450643,-146.486,0.0,10.8778,0.0,2.9318,0.0,11.6567,0.0,30.3387,0.0,-27.7911,0.0,9.74401,0.0,8.87152,0.0,5.62274
