time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0,6.63672,-2.15957,-1.19231,12.96,730.08,692.64,897.12,434.88,541.44,806.4,799.2,660.96,86.4,849.6,637.92,665.28,1549.44,957.599,912.96,-57.6,378.72,0.0,492.48,0.0,486.72,0.0,388.8,0.0,411.84,0.0,370.08,0.0,518.4,0.0,362.88
0,10.6518,1.25456,-3.65594,-2650.84,26.9567,27.8641,61.1712,-1.33928,40.2912,63.9792,142.906,24.5664,-14.0688,90.1872,-10.7136,54.7776,525.931,274.334,230.285,-33.408,37.4543,0.0,22.5504,0.0,27.3024,0.0,78.8399,0.0,16.8192,0.0,31.5216,0.0,21.456,0.0,43.1711
0,10.3765,3.10528,0.481234,-1537.9,-9.36177,-20.9651,0.394689,-25.4702,-13.6846,9.20657,308.511,-9.51421,1.22024,381.883,306.271,439.4,495.463,347.341,233.2,-16.8365,-7.2899,0.0,-37.5688,0.0,33.6542,0.0,21.6835,0.0,7.95146,0.0,-35.406,0.0,4.40063,0.0,25.337
0,9.3709,2.86586,0.665588,-751.003,8.09824,-23.4398,2.29762,-5.23839,0.956437,-9.23195,188.719,-5.76649,-14.2958,276.411,268.513,412.104,456.934,469.426,262.318,-8.29186,-48.4175,0.0,20.7469,0.0,13.6931,0.0,5.98921,0.0,-7.96676,0.0,21.26,0.0,43.0782,0.0,10.43
1,8.86812,2.67432,-0.0430956,-378.171,23.3691,-14.9456,-3.23507,-7.07024,88.4655,-37.4406,-90.3402,2.15813,-4.32779,531.226,-112.016,-402.408,331.587,668.573,476.689,-4.06679,25.3177,0.0,3.20675,0.0,-59.019,0.0,2.35904,0.0,5.79973,0.0,22.6474,0.0,-6.44231,0.0,-34.8551
1,10.2855,14.0372,0.605733,5154.22,-220.688,122.671,525.969,712.415,48.1861,-118.753,-476.405,0.973236,-7.56767,-795.324,-443.938,-452.508,-892.45,-529.79,-323.904,-1.99307,0.677181,0.0,-18.4374,0.0,9.68999,0.0,11.0257,0.0,20.736,0.0,-57.4548,0.0,16.2806,0.0,4.65359
1,5.95917,7.48667,-0.179565,-2245.57,-17.9912,-37.8047,-122.734,-120.051,-110.147,-72.2657,-245.792,9.33969,-3.66559,-550.61,-195.319,-200.832,-590.074,-562.007,-407.074,-0.976635,29.4442,0.0,19.3473,0.0,24.2932,0.0,-17.4546,0.0,-52.7408,0.0,30.2902,0.0,2.75717,0.0,21.2715
1,3.9241,5.64552,0.565031,670.517,-2.53135,-93.3029,-322.952,-358.015,-90.8069,-24.5525,-131.788,4.53907,-4.9747,-267.288,-102.074,-62.8308,-262.422,-270.834,-218.42,-0.478554,26.3501,0.0,18.9754,0.0,-15.3676,0.0,-33.3332,0.0,12.1134,0.0,28.0941,0.0,12.8476,0.0,-50.9254
1,2.46842,-7.95114,-16.6565,3013.8,75.5012,-35.4421,-211.881,-223.162,-65.4506,36.2362,-154.806,1.91824,0.991522,-242.561,-130.495,-73.3052,-174.322,-168.717,-63.8471,-0.234492,-1.63937,0.0,-5.91788,0.0,29.1691,0.0,32.8444,0.0,12.1597,0.0,-12.5452,0.0,6.24994,0.0,26.9092
1,-0.632069,9.27514,1.4437,2656.38,150.606,50.043,-54.5189,-116.367,0.977627,36.5717,-94.5882,-4.01233,1.93206,-148.554,-122.118,-10.0247,-103.862,-73.1824,-46.4359,-0.114901,-35.1753,0.0,-29.4404,0.0,21.0662,0.0,16.2718,0.0,25.8143,0.0,-61.1616,0.0,-8.97999,0.0,5.5124
