time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
1,6.83544,7.52019,0.488417,37.137,34.0932,83.493,121.13,59.3299,-534.986,0.187397,15.6786,18.4327,1.13393,21.6392,44.3259,2.42732,-9.43255,-391.219,-230.633,0.0,-9.74546,0.0,-10.8973,0.0,13.9683,0.0,4.33989,0.0,14.0488,0.0,-26.4859,0.0,19.614,0.0,13.6402
1,7.06768,6.73968,0.390255,-7.0311,-4.94344,20.3824,77.9983,47.9496,185.007,-17.4585,65.1509,6.08414,1.20496,-66.5042,98.5533,6.56757,-3.19886,-104.277,-71.2167,0.0,-18.2247,0.0,34.8987,0.0,5.02295,0.0,9.59943,0.0,18.9643,0.0,-47.1027,0.0,19.1723,0.0,-4.95591
1,7.54413,6.55532,0.162806,15.1076,-10.9514,4.15091,113.395,46.9382,60.7257,-12.5534,30.4289,-0.696782,-5.48553,9.93739,49.8062,-13.8082,-4.85211,-198.676,-80.5267,0.0,38.0706,0.0,5.78901,0.0,-3.5491,0.0,-42.4605,0.0,-25.0298,0.0,48.8869,0.0,9.72224,0.0,-21.0583
1,7.19218,7.08684,0.270545,17.64,-18.0859,-8.16814,88.5374,36.3991,51.5706,-6.51102,26.598,1.37226,-0.959542,8.12041,68.5765,42.6344,0.739551,-107.84,-47.6979,0.0,27.507,0.0,-47.8902,0.0,-60.5568,0.0,27.0921,0.0,4.05758,0.0,37.3293,0.0,-2.88193,0.0,-48.6865
1,7.26161,7.07726,0.0885854,-2.79029,-6.13322,-18.2981,51.2901,24.8017,23.2873,-5.80041,10.1393,5.98194,-0.0122196,11.1404,52.698,29.7864,-10.7331,-54.9233,-72.7133,0.0,20.4096,0.0,13.6851,0.0,8.19042,0.0,23.0146,0.0,-6.49313,0.0,11.2295,0.0,-6.03144,0.0,27.5258
1,7.2688,7.04374,0.222661,8.14524,-19.0317,-10.5407,38.8037,17.402,13.7381,-2.24185,-1.58492,-3.48858,-0.569575,0.789704,50.2061,30.4584,-3.75211,-30.8868,3.01438,0.0,13.1734,0.0,14.7438,0.0,-17.2893,0.0,-48.5567,0.0,14.3431,0.0,10.9148,0.0,16.1697,0.0,-14.1008
2,7.13711,7.05092,0.0215478,10.3041,-17.5791,-26.1146,20.561,13.017,4.89602,-9.91495,-7.12642,0.823171,-1.46741,-44.0828,35.6228,26.4755,-6.62773,-19.8122,17.1375,0.0,9.27488,0.0,-13.8105,0.0,-74.9442,0.0,-2.76824,0.0,13.9189,0.0,21.1138,0.0,1.1627,0.0,-63.5651
2,7.06768,7.15866,-0.0909796,5.08483,-15.3902,-17.9217,15.1391,5.0401,2.76681,1.54817,-61.361,-2.24883,-0.523586,-24.6092,-23.5001,-42.3202,-29.5987,-7.85379,0.562013,0.0,-15.2031,0.0,-34.8106,0.0,41.434,0.0,32.1438,0.0,-0.436327,0.0,-16.0561,0.0,-54.3123,0.0,34.631
2,7.00543,7.20894,-0.189142,-0.0831859,-9.28865,-5.45572,17.1187,5.76205,4.26872,2.17041,-36.1103,-0.505237,-3.03257,-13.0637,37.2294,-32.5965,-24.9677,-6.56144,-67.577,0.0,-41.8717,0.0,21.214,0.0,17.3287,0.0,29.4216,0.0,-37.2414,0.0,-28.5749,0.0,22.7501,0.0,26.6043
2,7.27358,7.11078,0.146046,5.71747,-17.7839,-11.446,15.0932,7.13722,0.914223,1.493,33.0692,0.943591,-4.61579,-5.97326,46.2886,45.4995,-21.2113,-4.59682,21.2175,0.0,14.0121,0.0,23.8473,0.0,-30.1958,0.0,-31.1243,0.0,28.5744,0.0,11.0626,0.0,-14.8082,0.0,-59.5367
