time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.189453,14.6836,-10.2496,-4.89614,8176.0,7712.0,4784.0,3520.0,4016.0,4960.0,5696.0,4416.0,6880.0,2352.0,5808.0,4016.0,3488.0,9408.0,8176.0,8256.0,46416.0,4576.0,3200.0,7632.0,24384.0,8176.0,2368.0,2016.0,6672.0,1584.0,2624.0,1744.0,1296.0,3536.0,9872.0,10288.0,14.9786,49.9898,24.9766,99.9796
0.30957,8.10916,-7.05811,-0.447716,4928.0,6048.0,3280.0,3168.0,2064.0,3296.0,3616.0,2864.0,5520.0,912.0,4544.0,2976.0,2368.0,8176.0,6912.0,7088.0,30032.0,3744.0,1920.0,2480.0,7952.0,6672.0,1568.0,2320.0,5856.0,960.0,976.0,1904.0,976.0,4128.0,6512.0,7808.0,14.9786,49.9898,25.9654,99.9796
0.429688,8.77235,-5.48033,-3.95522,4688.0,5760.0,3120.0,3104.0,2080.0,3072.0,3888.0,2272.0,5616.0,960.0,4560.0,2736.0,2512.0,8176.0,8176.0,8800.0,40256.0,3008.0,1968.0,1936.0,8000.0,7920.0,1568.0,2208.0,5808.0,1056.0,1328.0,2592.0,1120.0,5520.0,6096.0,7296.0,14.9786,49.9898,26.9908,99.9796
0.549805,16.9653,14.1737,-7.80988,50048.0,2784.0,3152.0,3104.0,1840.0,4672.0,3392.0,5952.0,6048.0,1024.0,16592.0,4400.0,1312.0,7840.0,7904.0,8576.0,46528.0,2592.0,1472.0,3408.0,7392.0,7104.0,1232.0,2496.0,5584.0,640.0,1760.0,2400.0,624.0,4768.0,6864.0,7984.0,14.9786,49.9898,27.9796,99.9796
0.677734,10.2376,4.94881,5.29837,8256.0,3168.0,3152.0,2608.0,3216.0,7728.0,3440.0,2400.0,7488.0,1408.0,9664.0,2704.0,1024.0,12992.0,19536.0,14112.0,51808.0,2864.0,1376.0,3584.0,7360.0,7488.0,2144.0,3392.0,6672.0,400.0,1760.0,1840.0,432.0,4576.0,6784.0,8160.0,14.9786,49.9898,28.9685,99.9796
0.80957,9.46188,4.75249,0.344765,8592.0,5312.0,4016.0,3040.0,2000.0,4656.0,3216.0,5920.0,6352.0,464.0,17040.0,5984.0,1120.0,15792.0,18528.0,15792.0,50944.0,2992.0,1360.0,3264.0,7456.0,7696.0,992.0,1968.0,5424.0,448.0,1616.0,1968.0,416.0,4560.0,6720.0,8112.0,14.9786,49.9898,29.9939,99.9796
0.929688,9.77073,2.7677,0.476446,8656.0,4704.0,3216.0,3040.0,1776.0,4688.0,3904.0,4992.0,6432.0,480.0,17280.0,5008.0,1568.0,15968.0,19456.0,16400.0,50064.0,3136.0,1360.0,3248.0,7552.0,7728.0,1008.0,2208.0,5408.0,448.0,1936.0,2176.0,448.0,4640.0,7504.0,7424.0,14.9786,49.9898,30.9827,99.9796
1.0498,9.742,2.78206,-0.361524,9040.0,4992.0,3232.0,3040.0,1856.0,6688.0,3744.0,5056.0,6464.0,480.0,15808.0,5008.0,1600.0,15200.0,19792.0,16768.0,56256.0,3136.0,1376.0,3296.0,7616.0,7712.0,976.0,4880.0,5440.0,464.0,1584.0,4688.0,448.0,3744.0,7616.0,8208.0,14.9786,49.9898,31.9715,99.9796
1.16895,9.72524,2.93529,-0.397437,47104.0,4624.0,3376.0,3088.0,1024.0,6720.0,3856.0,3168.0,6496.0,480.0,14336.0,2912.0,1632.0,12784.0,19728.0,16080.0,49600.0,3136.0,1344.0,3392.0,7584.0,7808.0,1008.0,5200.0,5440.0,464.0,1568.0,5232.0,448.0,3520.0,7632.0,7456.0,14.9786,49.9898,32.9969,99.9796
1.28906,9.7827,2.99754,-0.387861,42896.0,4000.0,3296.0,3072.0,960.0,6416.0,3760.0,3104.0,7216.0,1600.0,14144.0,3120.0,1600.0,12416.0,19728.0,15104.0,47936.0,3136.0,1328.0,3424.0,7552.0,8032.0,1232.0,6416.0,5472.0,368.0,1584.0,5648.0,464.0,3664.0,7968.0,8912.0,14.9786,49.9898,33.9857,99.9796
