time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.187988,8.5473,-2.19788,-1.31442,4944.0,7248.0,4608.0,4064.0,4704.0,5024.0,7104.0,4240.0,6544.0,2400.0,5680.0,4000.0,3408.0,9424.0,6960.0,7984.0,49024.0,5072.0,2592.0,6640.0,19008.0,10320.0,2640.0,2960.0,6400.0,2048.0,3904.0,2640.0,1760.0,5056.0,12128.0,11648.0,59.9878,49.9898,129.974,99.9796
0.308105,7.08444,-4.51067,-0.136469,4272.0,5392.0,2432.0,2576.0,1856.0,3376.0,5056.0,2176.0,5216.0,1600.0,4752.0,2896.0,1696.0,7760.0,5200.0,6864.0,36032.0,4064.0,672.0,3632.0,8736.0,8128.0,1280.0,1904.0,6288.0,1424.0,4288.0,896.0,480.0,2992.0,7712.0,8496.0,60.9766,49.9898,129.974,99.9796
0.428223,17.1042,11.7364,1.20907,3744.0,5440.0,2400.0,2176.0,816.0,2752.0,5040.0,2208.0,5520.0,1632.0,4928.0,3136.0,2512.0,7600.0,5168.0,6784.0,43584.0,4096.0,704.0,1680.0,7296.0,8112.0,1056.0,2368.0,5904.0,1360.0,3408.0,944.0,448.0,3136.0,13280.0,10528.0,61.9654,49.9898,129.974,99.9796
0.546875,10.9295,1.075,-4.61841,9984.0,5328.0,3680.0,2512.0,2224.0,3424.0,4480.0,2576.0,5664.0,1472.0,5168.0,3008.0,1296.0,7696.0,5200.0,6912.0,35888.0,3664.0,704.0,2496.0,7056.0,9056.0,1840.0,4848.0,6176.0,1520.0,9744.0,3488.0,1360.0,5488.0,14896.0,13664.0,62.9908,49.9898,129.974,99.9796
0.675781,9.33738,-0.823605,0.746991,4432.0,5344.0,4112.0,3344.0,2464.0,2560.0,4480.0,2144.0,5552.0,1712.0,4192.0,2144.0,2048.0,7744.0,5504.0,7168.0,44352.0,3760.0,720.0,2816.0,7520.0,7584.0,1232.0,3712.0,5760.0,464.0,11264.0,2320.0,480.0,4384.0,15712.0,14224.0,63.9796,49.9898,129.974,99.9796
0.807129,10.0413,-0.557849,0.885855,6464.0,5456.0,4640.0,2848.0,2944.0,3376.0,4480.0,2208.0,4752.0,480.0,4240.0,2176.0,2016.0,7760.0,5632.0,6896.0,47104.0,4784.0,0.0,2880.0,7488.0,9184.0,1120.0,2960.0,5056.0,464.0,11776.0,2912.0,464.0,4560.0,17856.0,14256.0,64.9684,49.9898,129.974,99.9796
0.928223,10.1347,-1.05584,0.241814,7584.0,5936.0,4032.0,2016.0,3584.0,2864.0,4496.0,2272.0,4800.0,480.0,4240.0,2288.0,2000.0,7760.0,5664.0,7168.0,52832.0,3872.0,688.0,2864.0,7424.0,9552.0,1136.0,2960.0,4992.0,464.0,12288.0,2960.0,576.0,4992.0,18496.0,16512.0,65.9939,49.9898,129.974,99.9796
1.04688,10.1011,-1.28808,-0.617704,5616.0,6032.0,4064.0,2144.0,3984.0,2752.0,4480.0,2320.0,4832.0,448.0,4256.0,2256.0,2128.0,7744.0,5664.0,7152.0,57424.0,3920.0,704.0,2720.0,6912.0,14672.0,1184.0,1664.0,5040.0,480.0,9696.0,1936.0,784.0,4832.0,17648.0,14080.0,66.9827,49.9898,129.974,99.9796
1.16699,10.4124,-2.05662,0.105345,4736.0,5376.0,3600.0,2736.0,3904.0,2880.0,4544.0,2272.0,5552.0,1664.0,4224.0,2240.0,2096.0,7776.0,5664.0,7168.0,61824.0,3888.0,736.0,2944.0,10960.0,16320.0,1184.0,2000.0,4832.0,464.0,7888.0,1184.0,704.0,5264.0,16032.0,14176.0,67.9715,49.9898,129.974,99.9796
1.28711,10.0652,-1.68312,-0.325611,4448.0,5088.0,3552.0,2368.0,2784.0,2880.0,4496.0,2304.0,5824.0,912.0,4256.0,2288.0,2048.0,7824.0,5584.0,6784.0,64944.0,4176.0,720.0,2976.0,16080.0,16864.0,1120.0,1664.0,6048.0,432.0,6592.0,1296.0,480.0,4832.0,15632.0,13856.0,68.9969,49.9898,129.974,99.9796
1.40918,10.1658,-1.30005,-0.536301,4432.0,5120.0,3776.0,2720.0,2752.0,3072.0,4528.0,3072.0,6400.0,1536.0,5152.0,1888.0,2000.0,7808.0,5552.0,7264.0,65072.0,4416.0,704.0,3232.0,17824.0,17408.0,2208.0,1936.0,5824.0,432.0,5856.0,1264.0,496.0,5328.0,15376.0,13728.0,69.9857,49.9898,129.974,99.9796
1.54688,9.98382,-1.7334,-0.486023,4176.0,5296.0,3568.0,2928.0,2480.0,2960.0,4608.0,3328.0,4640.0,480.0,4240.0,2320.0,2080.0,7712.0,5632.0,6912.0,65104.0,4752.0,1600.0,3200.0,18656.0,17280.0,1232.0,1216.0,5056.0,448.0,5184.0,1248.0,576.0,5120.0,15712.0,12032.0,70.9746,49.9898,129.974,99.9796
1.66602,10.1299,-1.15879,-0.237026,4032.0,5072.0,3248.0,2624.0,2464.0,3136.0,4560.0,3216.0,5088.0,1632.0,4880.0,2304.0,2048.0,7744.0,5600.0,7104.0,65120.0,4352.0,784.0,3488.0,18944.0,17472.0,2448.0,2032.0,6016.0,1408.0,5632.0,1104.0,576.0,5104.0,15072.0,11584.0,71.9633,49.9898,129.974,99.9796
1.78613,10.2041,-1.17555,-0.270545,4112.0,4928.0,3168.0,2368.0,2272.0,3072.0,4592.0,2784.0,5856.0,464.0,4192.0,2272.0,2048.0,7728.0,5600.0,6576.0,65152.0,4288.0,736.0,3344.0,20160.0,17696.0,2064.0,2336.0,4960.0,464.0,3072.0,1216.0,752.0,5136.0,10624.0,10528.0,72.9888,49.9898,129.974,99.9796
1.90723,10.2089,-1.74058,-0.577003,4160.0,5152.0,3344.0,2272.0,2128.0,2944.0,5040.0,3216.0,4736.0,1488.0,4256.0,2256.0,2016.0,7696.0,5568.0,7264.0,65184.0,4256.0,704.0,3712.0,21600.0,17696.0,2640.0,1984.0,4992.0,464.0,2432.0,1408.0,704.0,5200.0,11392.0,10816.0,73.9776,49.9898,129.974,99.9796
2.02686,10.0628,-1.6496,-0.37589,3888.0,5056.0,3248.0,2512.0,1088.0,3280.0,5024.0,3328.0,5680.0,1632.0,4240.0,2256.0,2080.0,7728.0,5600.0,7168.0,65184.0,4224.0,720.0,3712.0,21984.0,18000.0,2864.0,2320.0,5776.0,0.0,2720.0,1408.0,512.0,5008.0,10720.0,10640.0,74.9664,49.9898,129.974,99.9796
