time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.148926,9.60793,4.41012,-0.351948,46240.0,6384.0,5280.0,4144.0,3920.0,9488.0,7376.0,8992.0,6912.0,912.0,21728.0,8416.0,5456.0,22400.0,23840.0,20512.0,41296.0,7040.0,2112.0,4832.0,8016.0,9152.0,1744.0,2016.0,4096.0,832.0,2096.0,2352.0,2256.0,6224.0,12960.0,11232.0,14.9786,49.9898,24.9766,99.9796
0.267944,9.62469,4.76685,0.229843,47264.0,5824.0,3664.0,2608.0,2048.0,7696.0,6080.0,10768.0,6544.0,1248.0,22800.0,10832.0,6704.0,21248.0,22432.0,19104.0,45424.0,5712.0,832.0,3456.0,7040.0,8624.0,3040.0,2352.0,4304.0,1232.0,2496.0,2320.0,1120.0,5600.0,11952.0,11392.0,14.9786,49.9898,25.9654,99.9796
0.387939,9.58878,4.65193,-0.636858,9280.0,4880.0,3584.0,2608.0,2720.0,6640.0,5968.0,9984.0,7504.0,1360.0,23456.0,10496.0,7264.0,21792.0,22336.0,19456.0,48896.0,6288.0,1600.0,4272.0,7552.0,8624.0,1472.0,3408.0,5696.0,2112.0,3520.0,3200.0,2176.0,6128.0,11792.0,11456.0,14.9786,49.9898,26.9908,99.9796
0.507935,8.97586,4.61602,0.490811,6192.0,4960.0,3680.0,2768.0,2640.0,6032.0,5776.0,8976.0,6080.0,496.0,19872.0,9360.0,8592.0,22432.0,22288.0,18976.0,39072.0,5808.0,816.0,3488.0,6928.0,8176.0,1552.0,1664.0,3760.0,464.0,1792.0,1696.0,560.0,4896.0,11936.0,9728.0,14.9786,49.9898,27.9796,99.9796
0.635986,8.85136,4.06056,-0.620098,5824.0,5008.0,3744.0,2816.0,2736.0,6704.0,5248.0,9648.0,6192.0,1872.0,20880.0,9664.0,7792.0,21728.0,22688.0,16976.0,39200.0,5776.0,848.0,3552.0,6960.0,8256.0,1472.0,1696.0,3776.0,464.0,1760.0,1648.0,608.0,4928.0,11952.0,11616.0,14.9786,49.9898,28.9685,99.9796
0.767944,9.29908,4.69024,-0.88346,6208.0,4640.0,3488.0,2592.0,2624.0,6112.0,5232.0,11952.0,6112.0,512.0,23200.0,11872.0,8384.0,20288.0,21184.0,18000.0,50480.0,5840.0,848.0,3552.0,6880.0,8256.0,1456.0,1680.0,3760.0,464.0,1840.0,1712.0,608.0,4864.0,11824.0,11280.0,14.9786,49.9898,29.9939,99.9796
0.887939,8.88248,4.81713,0.665588,6752.0,4768.0,3552.0,2784.0,2496.0,6144.0,5424.0,12112.0,6272.0,2064.0,23712.0,12288.0,8992.0,21024.0,21472.0,17920.0,46480.0,5792.0,848.0,3680.0,6832.0,8224.0,1536.0,3008.0,2960.0,464.0,1792.0,1696.0,592.0,4880.0,11904.0,11328.0,14.9786,49.9898,30.9827,99.9796
1.00793,8.9591,4.7908,-0.083797,59920.0,4896.0,3728.0,2704.0,3072.0,10880.0,5616.0,8176.0,7328.0,1984.0,21248.0,8080.0,3776.0,21792.0,22512.0,17616.0,46528.0,5776.0,848.0,3664.0,6832.0,8240.0,1568.0,3088.0,3824.0,464.0,1760.0,1712.0,608.0,4832.0,11872.0,11488.0,14.9786,49.9898,31.9715,99.9796
1.12695,9.02853,4.04859,-0.105345,62144.0,5008.0,3904.0,2832.0,3968.0,11296.0,5264.0,6912.0,7392.0,0.0,19664.0,6880.0,3152.0,21040.0,22624.0,19216.0,45712.0,5792.0,832.0,3744.0,6784.0,8272.0,2000.0,3232.0,3776.0,464.0,1808.0,1728.0,640.0,4896.0,11920.0,10880.0,14.9786,49.9898,32.9969,99.9796
1.24695,9.01177,4.32871,-0.349553,60864.0,4816.0,3936.0,2832.0,4784.0,12032.0,5328.0,6560.0,6272.0,1968.0,19584.0,6544.0,2256.0,20736.0,22656.0,19488.0,46096.0,5776.0,816.0,3760.0,6832.0,8288.0,1552.0,2736.0,5312.0,432.0,1840.0,1728.0,592.0,4896.0,11920.0,9824.0,14.9786,49.9898,33.9857,99.9796
1.36792,9.31583,3.83551,-1.56581,61600.0,4960.0,4048.0,2720.0,4480.0,12176.0,5264.0,5888.0,6976.0,2000.0,18112.0,5648.0,2960.0,19808.0,22528.0,16512.0,45312.0,5808.0,832.0,3808.0,6736.0,8288.0,1568.0,3008.0,3808.0,448.0,1824.0,1632.0,608.0,4880.0,11920.0,11568.0,14.9786,49.9898,34.9746,99.9796
