time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.187988,9.89523,5.2457,-1.04866,53728.0,5536.0,4112.0,4496.0,5456.0,9904.0,5344.0,4608.0,6592.0,1808.0,19632.0,4176.0,1744.0,8512.0,20432.0,16864.0,41984.0,6160.0,1424.0,3552.0,7328.0,8688.0,2208.0,4704.0,5088.0,896.0,2192.0,4368.0,1968.0,6416.0,12080.0,11600.0,59.9878,49.9898,129.974,99.9796
0.307129,8.916,5.6982,-0.435745,58064.0,3472.0,2960.0,3456.0,4224.0,7984.0,4256.0,3024.0,5824.0,1168.0,18816.0,3456.0,1168.0,7472.0,15392.0,12432.0,39440.0,5568.0,1408.0,3456.0,7248.0,8320.0,2112.0,5168.0,5376.0,1200.0,2560.0,5248.0,1344.0,5408.0,11216.0,10960.0,60.9766,49.9898,129.974,99.9796
0.427002,5.81312,-4.15873,6.94079,12976.0,3008.0,2912.0,2784.0,6320.0,5680.0,3536.0,2240.0,6544.0,1936.0,6608.0,2064.0,896.0,6704.0,10080.0,9488.0,34400.0,5168.0,1120.0,2336.0,19264.0,13360.0,816.0,5984.0,5040.0,784.0,10208.0,4544.0,816.0,5040.0,12672.0,12048.0,61.9654,49.9898,129.974,99.9796
0.547119,10.003,-5.07092,-2.29604,8992.0,3936.0,2384.0,3168.0,1936.0,3152.0,4048.0,2000.0,5632.0,2272.0,6912.0,3616.0,1712.0,6448.0,9008.0,8720.0,62096.0,4656.0,816.0,2656.0,20752.0,15456.0,784.0,5776.0,5776.0,1184.0,7456.0,4320.0,560.0,4752.0,13440.0,12736.0,62.9908,49.9898,129.974,99.9796
0.675049,10.0868,-1.86508,0.677559,4784.0,3680.0,1936.0,2960.0,1280.0,4656.0,4192.0,1872.0,5264.0,1680.0,5312.0,1952.0,1232.0,6400.0,8896.0,9216.0,47680.0,5024.0,864.0,4352.0,13264.0,13024.0,1088.0,4352.0,5504.0,464.0,11616.0,4144.0,528.0,4816.0,11264.0,11232.0,63.9796,49.9898,129.974,99.9796
0.807129,10.149,-0.493205,-0.696712,4560.0,3696.0,2112.0,3088.0,1552.0,4288.0,4208.0,1808.0,5184.0,512.0,5552.0,1872.0,1280.0,6320.0,8800.0,9408.0,57456.0,4928.0,912.0,4432.0,13440.0,14224.0,1088.0,4304.0,4320.0,448.0,11904.0,4096.0,576.0,4736.0,13376.0,12384.0,64.9684,49.9898,129.974,99.9796
0.927002,10.1993,-1.24977,-0.059855,4400.0,3728.0,2000.0,3024.0,1632.0,4528.0,4224.0,1840.0,5376.0,1744.0,5328.0,1888.0,1168.0,6224.0,8608.0,9152.0,62768.0,5072.0,1008.0,2896.0,18736.0,14080.0,1184.0,5472.0,2992.0,432.0,11392.0,4432.0,480.0,4640.0,10320.0,10576.0,65.9939,49.9898,129.974,99.9796
1.04614,10.7619,-1.37427,-0.035913,5344.0,4496.0,1984.0,2512.0,1680.0,4576.0,4144.0,1952.0,5840.0,1776.0,6320.0,2784.0,1280.0,6112.0,8336.0,8400.0,63792.0,5024.0,1024.0,4128.0,19392.0,13920.0,2464.0,5344.0,5024.0,2064.0,12672.0,5584.0,2192.0,5856.0,12000.0,11344.0,66.9827,49.9898,129.974,99.9796
1.16699,10.7021,-0.287304,-1.27132,4608.0,3680.0,2192.0,2768.0,1728.0,4432.0,4000.0,1936.0,5712.0,1696.0,5936.0,1920.0,1200.0,6208.0,8000.0,8640.0,64352.0,5136.0,912.0,4112.0,20640.0,14672.0,2432.0,5376.0,5168.0,2144.0,11296.0,5712.0,2176.0,5792.0,11952.0,9552.0,67.9715,49.9898,129.974,99.9796
1.28711,8.69813,-1.64482,-0.474052,5056.0,4432.0,2368.0,2816.0,1728.0,4384.0,4128.0,1792.0,6416.0,1872.0,6400.0,3328.0,2576.0,7440.0,9120.0,9360.0,63856.0,5152.0,960.0,4016.0,20544.0,15152.0,1968.0,5728.0,5008.0,1760.0,11520.0,5008.0,1696.0,4560.0,12096.0,11168.0,68.9969,49.9898,129.974,99.9796
1.40698,8.53293,-1.47243,-2.00395,4288.0,3744.0,1920.0,2624.0,1632.0,4112.0,4032.0,2896.0,5552.0,2144.0,6400.0,3376.0,2688.0,7680.0,9232.0,9520.0,63120.0,6432.0,2272.0,5136.0,21472.0,16848.0,2400.0,5040.0,5568.0,1792.0,10368.0,4128.0,816.0,4704.0,14336.0,12848.0,69.9857,49.9898,129.974,99.9796
1.54614,9.59596,-2.46842,-0.600945,5216.0,4864.0,3136.0,3648.0,2128.0,4432.0,4000.0,1792.0,5312.0,1696.0,6240.0,2784.0,2000.0,6976.0,7968.0,7952.0,61840.0,5680.0,2016.0,4560.0,18704.0,15920.0,1376.0,4000.0,3600.0,432.0,11824.0,4224.0,832.0,5136.0,14528.0,12688.0,70.9746,49.9898,129.974,99.9796
1.66602,9.4547,-2.9305,0.131681,4032.0,3536.0,2032.0,2432.0,1184.0,4448.0,4048.0,2608.0,6064.0,1648.0,6064.0,1568.0,1040.0,6272.0,7920.0,8416.0,63152.0,5296.0,1024.0,4000.0,21088.0,17200.0,1376.0,4864.0,4784.0,1728.0,9904.0,4624.0,1376.0,5760.0,15888.0,14256.0,71.9633,49.9898,129.974,99.9796
1.78711,9.73721,-3.34709,-0.203507,3984.0,3712.0,2192.0,2400.0,1328.0,4480.0,4160.0,1840.0,4656.0,1712.0,6464.0,3200.0,2592.0,7328.0,8224.0,8368.0,56000.0,5296.0,992.0,4048.0,21632.0,17632.0,1648.0,5968.0,5040.0,2080.0,11648.0,5424.0,1888.0,6896.0,17056.0,14720.0,72.9888,49.9898,129.974,99.9796
1.90698,10.0006,-1.99676,0.0622492,3856.0,3840.0,2128.0,2384.0,1488.0,4544.0,4944.0,4048.0,5968.0,1888.0,6032.0,3200.0,1920.0,6288.0,7312.0,8176.0,42384.0,5376.0,992.0,4016.0,21936.0,18592.0,2320.0,5472.0,4784.0,224.0,10256.0,4608.0,544.0,5584.0,14608.0,13120.0,73.9776,49.9898,129.974,99.9796
2.02612,9.7827,-3.25611,0.782904,3872.0,3680.0,2128.0,2336.0,1680.0,4496.0,3968.0,3456.0,5088.0,1776.0,5600.0,2992.0,2016.0,6192.0,7216.0,8176.0,63632.0,5200.0,960.0,3824.0,22352.0,18048.0,3200.0,5712.0,5120.0,1664.0,10992.0,4480.0,528.0,5360.0,13280.0,12368.0,74.9664,49.9898,129.974,99.9796
2.146,9.83298,-1.07978,-1.95367,4064.0,3728.0,2096.0,2304.0,1600.0,4224.0,4064.0,2896.0,6160.0,1712.0,5760.0,3152.0,1824.0,6272.0,7232.0,8176.0,61136.0,5152.0,992.0,3872.0,22480.0,17888.0,2736.0,5552.0,5200.0,1712.0,7232.0,5392.0,528.0,5472.0,14928.0,12464.0,75.9919,49.9898,129.974,99.9796
2.27417,10.1514,-1.79086,-0.957681,4048.0,3664.0,2064.0,2336.0,1712.0,4288.0,4160.0,3472.0,5584.0,1488.0,4496.0,2096.0,1744.0,6240.0,7360.0,8080.0,60560.0,5264.0,1008.0,3856.0,22848.0,18656.0,2400.0,5344.0,4512.0,480.0,6480.0,4416.0,560.0,5424.0,14768.0,12224.0,76.9807,49.9898,129.974,99.9796
2.40601,10.082,-2.34871,-1.50116,3968.0,4816.0,2688.0,3472.0,3344.0,3872.0,3920.0,2160.0,4480.0,416.0,4576.0,2096.0,1760.0,6272.0,7424.0,8176.0,58656.0,6384.0,2304.0,5472.0,23968.0,18992.0,944.0,4096.0,3888.0,464.0,5520.0,4032.0,448.0,5392.0,15616.0,14048.0,77.9695,49.9898,129.974,99.9796
2.52612,10.0078,-2.04225,-1.075,3808.0,3648.0,2080.0,2384.0,2256.0,4608.0,4096.0,3600.0,5680.0,1952.0,5696.0,3232.0,2768.0,6272.0,7360.0,8320.0,60896.0,5520.0,960.0,3968.0,23360.0,18384.0,2736.0,5376.0,5264.0,1568.0,4256.0,4000.0,592.0,5488.0,12976.0,11408.0,78.9949,49.9898,129.974,99.9796
