time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.166992,8.64067,-2.87304,-0.742202,6432.0,8320.0,5808.0,4528.0,7344.0,6624.0,8176.0,5504.0,8480.0,3600.0,5904.0,5056.0,3984.0,8032.0,7760.0,8544.0,18912.0,3856.0,3216.0,7360.0,20944.0,7600.0,3152.0,5632.0,6256.0,2256.0,4160.0,5280.0,1552.0,7936.0,3664.0,5776.0,29.9939,49.9898,99.9796,99.9796
0.288086,10.1418,-7.17781,-0.488417,5232.0,5696.0,3104.0,2448.0,3968.0,4000.0,5136.0,2464.0,6336.0,2528.0,4816.0,2704.0,1808.0,5952.0,5536.0,7104.0,18544.0,1632.0,912.0,4352.0,9504.0,6592.0,1200.0,4912.0,5632.0,816.0,1440.0,3808.0,1296.0,8016.0,1808.0,5056.0,29.9939,49.9898,99.9796,99.9796
0.408203,8.84179,1.18513,2.70066,4480.0,5328.0,2544.0,1936.0,2992.0,3616.0,5152.0,2704.0,6160.0,1040.0,3712.0,2256.0,1344.0,5536.0,4864.0,6624.0,18992.0,1296.0,448.0,3760.0,7696.0,5808.0,1488.0,4656.0,4112.0,416.0,2224.0,4144.0,1312.0,7872.0,1136.0,4512.0,29.9939,49.9898,99.9796,99.9796
0.546387,9.14585,-3.3423,-1.16358,8448.0,3648.0,2336.0,2080.0,5328.0,2992.0,5136.0,2224.0,6736.0,2192.0,2976.0,2224.0,1360.0,5584.0,4896.0,6656.0,18464.0,1296.0,1392.0,3328.0,6864.0,5520.0,912.0,3408.0,4192.0,448.0,2080.0,3520.0,688.0,8128.0,2560.0,5200.0,32.9969,49.9898,99.9796,99.9796
0.694336,10.2711,-1.85551,-1.37667,8176.0,5728.0,2576.0,2144.0,3376.0,3088.0,5136.0,2352.0,5568.0,480.0,2992.0,2336.0,1376.0,5632.0,4912.0,6784.0,19072.0,1248.0,1568.0,3536.0,6960.0,5584.0,864.0,4256.0,4240.0,448.0,3664.0,4160.0,800.0,8096.0,1632.0,4912.0,33.9857,49.9898,99.9796,99.9796
0.826172,10.2208,-0.474052,0.383072,6800.0,5888.0,2992.0,2480.0,4064.0,3040.0,5120.0,2304.0,5520.0,448.0,2960.0,2352.0,1376.0,5584.0,4896.0,6928.0,23936.0,1328.0,1376.0,3488.0,6880.0,5584.0,896.0,4000.0,4272.0,496.0,3248.0,3840.0,928.0,8176.0,2208.0,5088.0,34.9746,49.9898,99.9796,99.9796
0.966309,10.173,-0.840364,-0.134075,8288.0,6320.0,2944.0,3168.0,3968.0,3248.0,5088.0,2320.0,5536.0,1440.0,4576.0,2304.0,1328.0,5648.0,4896.0,6304.0,22416.0,1376.0,1344.0,3504.0,6672.0,6448.0,896.0,4224.0,5568.0,0.0,3360.0,4112.0,768.0,7632.0,2112.0,5024.0,35.9634,49.9898,99.9796,99.9796
1.10596,10.0365,-2.25534,-1.34554,57984.0,5184.0,2128.0,2400.0,4288.0,3296.0,5136.0,2352.0,5888.0,1968.0,2976.0,2352.0,1344.0,5632.0,4880.0,6688.0,23952.0,1376.0,1312.0,3920.0,6672.0,6352.0,944.0,4960.0,5824.0,448.0,4704.0,3856.0,800.0,7600.0,1856.0,4960.0,36.9888,49.9898,99.9796,99.9796
1.24609,9.93114,-0.282516,-0.869095,51600.0,4992.0,3344.0,2304.0,3648.0,3152.0,4992.0,2304.0,5376.0,1472.0,4640.0,2304.0,1360.0,5648.0,4912.0,6080.0,19392.0,1552.0,1296.0,4016.0,6656.0,6352.0,912.0,5584.0,5392.0,1616.0,4144.0,3920.0,688.0,8016.0,2176.0,5024.0,37.9776,49.9898,99.9796,99.9796
1.38525,10.1969,-1.60411,1.17555,60448.0,5136.0,4000.0,3072.0,4496.0,3024.0,4960.0,2336.0,6752.0,1824.0,2576.0,2336.0,1328.0,5616.0,4944.0,6400.0,20704.0,1568.0,1408.0,3728.0,6800.0,6400.0,1792.0,6288.0,5696.0,432.0,5024.0,4032.0,1024.0,6608.0,2832.0,5632.0,38.9664,49.9898,99.9796,99.9796
1.52637,9.97663,0.873883,-0.368707,55584.0,5888.0,3744.0,2576.0,4816.0,2944.0,4880.0,2400.0,5152.0,464.0,3008.0,2352.0,1296.0,5584.0,4912.0,6832.0,20016.0,1584.0,1408.0,3744.0,6912.0,6048.0,912.0,3616.0,4272.0,464.0,5216.0,3664.0,432.0,6576.0,2560.0,5408.0,39.9919,49.9898,99.9796,99.9796
1.66602,10.0652,-1.68312,-0.543483,7328.0,5328.0,3664.0,4496.0,4640.0,4288.0,4944.0,2304.0,5264.0,480.0,2944.0,2320.0,1328.0,5632.0,4960.0,6848.0,19760.0,1680.0,2800.0,2960.0,6928.0,6096.0,896.0,4400.0,4256.0,448.0,3760.0,4352.0,400.0,7632.0,2832.0,5472.0,40.9807,49.9898,99.9796,99.9796
1.80518,10.0006,-1.49398,-0.409408,5344.0,5904.0,2464.0,2832.0,4624.0,3520.0,4960.0,2288.0,5248.0,1856.0,2272.0,2320.0,1376.0,5632.0,4960.0,6704.0,20992.0,1552.0,1440.0,3744.0,7040.0,6032.0,928.0,4528.0,5712.0,448.0,2768.0,4064.0,880.0,7744.0,2640.0,5472.0,41.9695,49.9898,99.9796,99.9796
1.94629,9.92875,-1.76453,-0.550666,4864.0,5968.0,2752.0,3136.0,4528.0,3392.0,4960.0,2336.0,5312.0,1504.0,4480.0,2288.0,1376.0,5648.0,4928.0,6432.0,23344.0,1568.0,1440.0,3792.0,6992.0,6032.0,912.0,4288.0,5536.0,0.0,2896.0,4240.0,528.0,7136.0,3072.0,5840.0,42.9949,49.9898,99.9796,99.9796
2.08643,9.96945,-1.45089,-0.316035,4704.0,5616.0,3328.0,3648.0,4528.0,3776.0,4928.0,2272.0,5344.0,1952.0,2944.0,2320.0,1408.0,5648.0,4928.0,6624.0,25472.0,1536.0,1376.0,3792.0,6976.0,6080.0,928.0,5456.0,5808.0,400.0,2848.0,4528.0,1232.0,7184.0,2256.0,4992.0,43.9837,49.9898,99.9796,99.9796
2.2251,10.082,-1.39342,-0.423774,4656.0,5600.0,3248.0,3264.0,4736.0,3344.0,4880.0,2304.0,5248.0,432.0,2944.0,2336.0,1360.0,5664.0,4912.0,6848.0,31680.0,1536.0,1456.0,3744.0,6864.0,5536.0,960.0,4576.0,4336.0,432.0,3472.0,4496.0,672.0,8000.0,2208.0,5264.0,44.9725,49.9898,99.9796,99.9796
2.36523,10.3262,-1.61848,-0.488417,4304.0,5392.0,3232.0,4864.0,5216.0,3200.0,4896.0,2272.0,5200.0,464.0,2912.0,2288.0,1376.0,5680.0,4896.0,6624.0,24992.0,1536.0,1584.0,3824.0,6928.0,5360.0,928.0,4512.0,4288.0,448.0,4272.0,4528.0,864.0,7488.0,2064.0,4672.0,45.998,49.9898,99.9796,99.9796
