time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.180664,12.3541,-9.45709,1.05105,64272.0,8080.0,8128.0,9280.0,8768.0,4320.0,6848.0,4032.0,6848.0,2272.0,4352.0,3600.0,3152.0,7072.0,6704.0,7744.0,25360.0,5872.0,3200.0,4400.0,6976.0,7808.0,2784.0,2192.0,6736.0,1936.0,3200.0,1152.0,2432.0,4240.0,7648.0,8352.0,39.9919,49.9898,39.9919,99.9796
0.308594,9.42836,8.22887,-2.82755,64416.0,2048.0,2432.0,1184.0,7968.0,3088.0,5168.0,4864.0,4432.0,448.0,13360.0,5568.0,1744.0,6336.0,9056.0,9872.0,24112.0,3760.0,1216.0,2480.0,5152.0,6032.0,976.0,544.0,5248.0,416.0,1872.0,992.0,592.0,3472.0,2512.0,5408.0,39.9919,49.9898,40.9807,99.9796
0.448242,8.80348,4.6256,1.64482,8736.0,2736.0,2048.0,800.0,2560.0,4192.0,4896.0,7296.0,6720.0,448.0,9248.0,6688.0,5552.0,16192.0,17424.0,14576.0,22656.0,3552.0,944.0,2240.0,5168.0,6544.0,1040.0,448.0,5152.0,448.0,1824.0,448.0,448.0,3680.0,3376.0,5952.0,39.9919,49.9898,41.9695,99.9796
0.587891,8.69334,5.57609,-1.03669,3680.0,3056.0,1920.0,1984.0,2256.0,4128.0,4944.0,8512.0,4992.0,512.0,15264.0,8400.0,4416.0,17120.0,18832.0,15040.0,22976.0,3552.0,896.0,2240.0,5152.0,6736.0,1056.0,560.0,5152.0,432.0,1712.0,560.0,464.0,3616.0,2432.0,4880.0,39.9919,49.9898,42.9949,99.9796
0.729492,8.81784,6.359,-0.871489,48720.0,2560.0,2432.0,1872.0,5712.0,6256.0,4944.0,6672.0,4608.0,480.0,16928.0,6560.0,1040.0,8016.0,15488.0,14080.0,23680.0,3360.0,960.0,2240.0,5200.0,6832.0,1024.0,576.0,5152.0,448.0,1952.0,464.0,432.0,3792.0,2560.0,5360.0,39.9919,49.9898,43.9837,99.9796
0.868164,8.65025,4.83389,0.150835,29664.0,2496.0,3024.0,1856.0,7312.0,6464.0,5376.0,6080.0,4512.0,512.0,16352.0,6032.0,1232.0,6736.0,14608.0,12496.0,22096.0,3328.0,912.0,2224.0,5248.0,6832.0,912.0,544.0,5120.0,480.0,1696.0,528.0,432.0,3920.0,2704.0,5456.0,39.9919,49.9898,44.9725,99.9796
1.00879,8.57603,5.10204,0.0383072,50736.0,2944.0,2384.0,1744.0,7232.0,6704.0,5248.0,6240.0,5312.0,1920.0,16480.0,6272.0,1232.0,7696.0,14944.0,13456.0,23696.0,3360.0,896.0,2256.0,5184.0,6816.0,1040.0,1664.0,4512.0,432.0,2000.0,480.0,448.0,3472.0,3504.0,6048.0,39.9919,49.9898,45.998,99.9796
1.14941,8.55687,5.3678,-0.241814,51360.0,2800.0,2704.0,1792.0,7504.0,6928.0,5216.0,6336.0,5760.0,208.0,16544.0,6112.0,928.0,7776.0,15072.0,13136.0,23808.0,3312.0,944.0,2272.0,5296.0,6832.0,1472.0,1936.0,5120.0,448.0,2032.0,544.0,432.0,3728.0,3232.0,5824.0,39.9919,49.9898,46.9868,99.9796
1.28809,8.61912,5.37019,-0.555454,48768.0,2576.0,2368.0,2144.0,7584.0,7008.0,5152.0,6016.0,4624.0,496.0,16560.0,6208.0,1136.0,7680.0,15024.0,13392.0,22240.0,3296.0,864.0,2208.0,5328.0,6944.0,960.0,528.0,5168.0,480.0,1808.0,528.0,448.0,3936.0,3424.0,5216.0,39.9919,49.9898,47.9756,99.9796
1.42773,8.58081,5.41329,-0.328006,54192.0,2784.0,2368.0,2496.0,7552.0,7120.0,5184.0,6208.0,5840.0,0.0,16640.0,6160.0,1056.0,7760.0,15056.0,13264.0,22736.0,3312.0,848.0,2256.0,5328.0,6976.0,1312.0,1936.0,5120.0,448.0,1840.0,512.0,464.0,4320.0,3712.0,5872.0,39.9919,49.9898,48.9644,99.9796
