time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.160889,15.4713,-16.0938,2.08774,65072.0,4688.0,6320.0,13760.0,15872.0,8784.0,7520.0,5600.0,6960.0,2688.0,5824.0,5280.0,3376.0,7584.0,12064.0,8624.0,48528.0,4016.0,2768.0,4240.0,6416.0,7408.0,2208.0,3296.0,6112.0,1680.0,1280.0,2128.0,3056.0,4896.0,4480.0,6544.0,39.9919,49.9898,39.9919,99.9796
0.289063,9.31823,-0.435745,-2.03507,10384.0,2880.0,2880.0,4368.0,4816.0,4544.0,5088.0,10256.0,4848.0,480.0,15312.0,10384.0,8656.0,17632.0,19520.0,16512.0,47072.0,2992.0,1728.0,2720.0,5280.0,5808.0,912.0,1952.0,4864.0,464.0,608.0,1824.0,528.0,4608.0,3344.0,5392.0,39.9919,49.9898,40.9807,99.9796
0.428955,7.66144,5.60482,1.01514,12544.0,3024.0,2368.0,3152.0,3616.0,5232.0,4912.0,8944.0,6736.0,0.0,10256.0,9216.0,9536.0,18208.0,19968.0,16944.0,48608.0,2256.0,1216.0,2736.0,5312.0,5728.0,912.0,3056.0,6784.0,448.0,512.0,1616.0,464.0,3216.0,3008.0,5680.0,39.9919,49.9898,41.9695,99.9796
0.569092,6.30872,10.0221,-0.071826,65088.0,2320.0,3456.0,12112.0,12464.0,6656.0,5168.0,3552.0,5456.0,2352.0,5728.0,4944.0,864.0,5936.0,8480.0,9168.0,48720.0,2320.0,1296.0,2768.0,5344.0,5760.0,912.0,2992.0,6608.0,1840.0,576.0,1616.0,448.0,3216.0,2992.0,5312.0,39.9919,49.9898,42.9949,99.9796
0.697021,6.71813,6.24168,1.52271,32384.0,2176.0,2096.0,10000.0,10912.0,5456.0,5600.0,3504.0,4864.0,2288.0,4816.0,5072.0,2320.0,5856.0,6752.0,7376.0,48784.0,2272.0,1280.0,2720.0,5312.0,5792.0,896.0,2064.0,6656.0,2304.0,2224.0,1040.0,464.0,3424.0,2848.0,5552.0,39.9919,49.9898,43.9837,99.9796
0.829102,7.73088,6.47392,-0.682347,65216.0,3552.0,5328.0,12992.0,14112.0,6544.0,6752.0,3344.0,4832.0,480.0,3424.0,3344.0,944.0,5808.0,5760.0,6928.0,49552.0,4176.0,3088.0,4416.0,6832.0,5744.0,848.0,1504.0,4864.0,432.0,528.0,1744.0,480.0,3392.0,3008.0,6160.0,39.9919,49.9898,44.9725,99.9796
0.948975,7.81228,5.46836,0.0287304,41280.0,3040.0,2432.0,10016.0,13456.0,8240.0,5600.0,6368.0,5072.0,2208.0,16960.0,6368.0,1248.0,5728.0,8576.0,8880.0,53696.0,2304.0,1200.0,2720.0,5328.0,5680.0,864.0,2256.0,6576.0,1968.0,528.0,1536.0,464.0,3488.0,2960.0,5648.0,39.9919,49.9898,45.998,99.9796
1.08789,7.79313,6.27281,-0.150835,64400.0,2752.0,2368.0,11600.0,14336.0,8528.0,5440.0,3760.0,5984.0,2576.0,13952.0,5264.0,800.0,5808.0,6624.0,7904.0,49840.0,2336.0,1280.0,2752.0,5344.0,5728.0,800.0,3552.0,6576.0,2272.0,2096.0,1824.0,464.0,3472.0,2784.0,5392.0,39.9919,49.9898,46.9868,99.9796
1.20801,7.7189,5.75805,-0.023942,64048.0,2736.0,2496.0,12000.0,14384.0,8672.0,5328.0,3680.0,5072.0,2432.0,13184.0,5392.0,2704.0,5824.0,5632.0,6992.0,47632.0,2304.0,1216.0,2768.0,5328.0,5776.0,784.0,2832.0,6704.0,2128.0,2032.0,1808.0,448.0,3456.0,2832.0,5152.0,39.9919,49.9898,47.9756,99.9796
1.33008,8.13789,5.21936,-0.37589,63200.0,2688.0,2320.0,12048.0,14400.0,8704.0,5360.0,4416.0,5184.0,2224.0,14896.0,6192.0,2640.0,5856.0,5808.0,7056.0,49344.0,2368.0,1168.0,2704.0,5328.0,5824.0,752.0,2176.0,6608.0,2240.0,2064.0,1744.0,432.0,3472.0,2912.0,5712.0,39.9919,49.9898,48.9644,99.9796
1.46802,7.99184,5.59764,-0.167594,52656.0,2704.0,2320.0,11776.0,14480.0,9344.0,5328.0,4512.0,6704.0,2336.0,15664.0,5792.0,1312.0,5856.0,6368.0,7856.0,49728.0,2368.0,1264.0,2704.0,5344.0,5760.0,912.0,3744.0,6576.0,2128.0,1424.0,1840.0,480.0,3488.0,2880.0,5392.0,39.9919,49.9898,49.9898,99.9796
1.60791,8.06128,5.16669,0.158017,60848.0,2704.0,2368.0,13280.0,15872.0,10832.0,6608.0,4448.0,5136.0,512.0,14480.0,4400.0,1280.0,5840.0,6352.0,7776.0,54608.0,2352.0,3136.0,4416.0,6864.0,7136.0,736.0,1552.0,4864.0,464.0,528.0,1872.0,496.0,3552.0,2960.0,5712.0,39.9919,49.9898,50.9786,99.9796
