time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.161133,10.4291,-6.8953,0.756567,7088.0,5360.0,4768.0,3936.0,4112.0,3488.0,5936.0,5296.0,7328.0,2320.0,9888.0,4400.0,3504.0,17520.0,18976.0,16576.0,42576.0,5824.0,3936.0,3936.0,6816.0,8320.0,2880.0,4096.0,6368.0,2128.0,3648.0,3680.0,1984.0,5120.0,8768.0,8976.0,39.9919,49.9898,29.9939,99.9796
0.288086,9.34217,-2.16675,-2.3128,5904.0,3856.0,2960.0,1968.0,2400.0,3440.0,4064.0,7600.0,5728.0,464.0,10320.0,7488.0,8528.0,14240.0,13104.0,12256.0,37024.0,3920.0,1680.0,1600.0,5520.0,5472.0,1040.0,2368.0,4656.0,416.0,1360.0,2256.0,1568.0,3664.0,4528.0,5920.0,30.9827,49.9898,29.9939,99.9796
0.427734,9.99579,-0.220267,-0.739808,5808.0,2880.0,2560.0,1568.0,2000.0,2896.0,4304.0,2080.0,5808.0,448.0,2144.0,1760.0,1568.0,6736.0,7584.0,7728.0,37472.0,3536.0,1680.0,1632.0,5632.0,5600.0,1056.0,2208.0,4688.0,448.0,1040.0,3104.0,1488.0,4032.0,2288.0,4528.0,31.9715,49.9898,29.9939,99.9796
0.567383,9.95988,-1.27611,-0.155623,4976.0,2896.0,2560.0,1584.0,2000.0,3024.0,4288.0,2352.0,7504.0,1696.0,2848.0,2368.0,2736.0,6736.0,6096.0,7280.0,34784.0,3552.0,1616.0,1632.0,5648.0,5376.0,1856.0,3792.0,4720.0,416.0,1104.0,2480.0,496.0,3168.0,1888.0,4928.0,32.9969,49.9898,29.9939,99.9796
0.71582,10.149,-0.0790086,-0.600945,4752.0,2912.0,2576.0,1600.0,1984.0,3008.0,4240.0,2288.0,6592.0,1840.0,2752.0,2272.0,2480.0,6432.0,5888.0,7296.0,40944.0,3552.0,1728.0,1648.0,5664.0,5392.0,1024.0,3504.0,4736.0,464.0,976.0,2304.0,480.0,3632.0,1776.0,4768.0,33.9857,49.9898,29.9939,99.9796
0.848633,10.1155,-0.287304,-0.555454,4800.0,3280.0,3840.0,1568.0,1968.0,2992.0,4272.0,2256.0,5808.0,464.0,2720.0,2240.0,2752.0,6720.0,6064.0,7520.0,40944.0,4832.0,1712.0,1664.0,5696.0,5440.0,1024.0,2368.0,4752.0,416.0,1024.0,2400.0,512.0,3872.0,2816.0,5520.0,34.9746,49.9898,29.9939,99.9796
0.987305,10.2184,-0.656011,-0.23942,4816.0,2896.0,2576.0,1600.0,2000.0,3040.0,4336.0,2304.0,5824.0,432.0,2880.0,2304.0,2752.0,6832.0,6032.0,7552.0,41488.0,3520.0,1728.0,1632.0,5664.0,5312.0,1056.0,2528.0,4704.0,448.0,1024.0,2480.0,512.0,4064.0,1888.0,4880.0,35.9634,49.9898,29.9939,99.9796
1.12695,10.2041,-0.711078,-0.270545,4768.0,2912.0,2640.0,1632.0,2016.0,2992.0,4304.0,2320.0,5856.0,464.0,2832.0,2336.0,2832.0,6848.0,6016.0,7328.0,40144.0,3536.0,1776.0,1632.0,5728.0,5248.0,1040.0,2496.0,4736.0,448.0,1024.0,2432.0,528.0,4128.0,2080.0,5024.0,36.9888,49.9898,29.9939,99.9796
1.26855,10.0532,-1.19949,-0.579397,4928.0,2896.0,2576.0,1632.0,2000.0,3120.0,4304.0,2384.0,5888.0,464.0,2992.0,2384.0,2832.0,7248.0,5888.0,6960.0,37760.0,3552.0,1760.0,1680.0,5712.0,5472.0,1968.0,3760.0,4736.0,464.0,992.0,2432.0,480.0,3648.0,2048.0,4672.0,37.9776,49.9898,29.9939,99.9796
1.40723,10.1993,-0.691924,-0.773327,4736.0,2912.0,2560.0,1616.0,2064.0,3104.0,4304.0,2288.0,5872.0,480.0,3088.0,2352.0,2784.0,7360.0,5632.0,6688.0,37856.0,3536.0,1760.0,1696.0,5760.0,5440.0,1072.0,2528.0,4688.0,432.0,992.0,2464.0,544.0,3392.0,2576.0,5344.0,38.9664,49.9898,29.9939,99.9796
1.54688,10.0078,-0.0023942,-1.15879,4928.0,2960.0,2576.0,1616.0,2000.0,3056.0,4304.0,2400.0,5808.0,448.0,3264.0,2320.0,3520.0,7408.0,5584.0,6704.0,36624.0,3552.0,1712.0,1696.0,5760.0,5440.0,2080.0,3808.0,4688.0,448.0,1056.0,2400.0,480.0,3456.0,2096.0,4736.0,39.9919,49.9898,29.9939,99.9796
1.6875,10.568,0.186748,-0.414197,4752.0,2880.0,2480.0,1600.0,1920.0,3152.0,4272.0,3120.0,5664.0,448.0,2992.0,3184.0,4352.0,7600.0,6208.0,7680.0,42160.0,3616.0,2864.0,1680.0,5760.0,5376.0,1040.0,1856.0,4720.0,464.0,736.0,1792.0,560.0,3504.0,1920.0,5056.0,40.9807,49.9898,29.9939,99.9796
1.82715,9.90481,-0.435745,-0.344765,4672.0,2944.0,2560.0,1584.0,1968.0,3120.0,4320.0,2432.0,7376.0,1600.0,2976.0,2320.0,4304.0,7648.0,5584.0,6624.0,37200.0,3552.0,1680.0,1664.0,5888.0,5424.0,1120.0,3296.0,4192.0,432.0,704.0,2240.0,464.0,2560.0,1152.0,4544.0,41.9695,49.9898,29.9939,99.9796
1.9668,9.8665,-0.73502,-1.00796,4784.0,2944.0,2560.0,1600.0,1968.0,3280.0,4336.0,3424.0,5968.0,1696.0,2976.0,3392.0,4688.0,8096.0,5728.0,6688.0,36000.0,3536.0,1728.0,1616.0,5728.0,5216.0,1040.0,2752.0,5888.0,464.0,800.0,1568.0,464.0,3056.0,2448.0,5296.0,42.9949,49.9898,29.9939,99.9796
2.10645,10.4722,-1.24977,-0.639252,4624.0,2960.0,2496.0,1536.0,1936.0,3088.0,4384.0,3360.0,6368.0,1744.0,2976.0,3248.0,4544.0,7872.0,5856.0,7344.0,43184.0,3600.0,1776.0,1680.0,5824.0,5184.0,1712.0,3808.0,5824.0,432.0,1808.0,1856.0,448.0,2272.0,1360.0,4720.0,43.9837,49.9898,29.9939,99.9796
