time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.171875,11.5017,-0.457292,0.289698,55328.0,5104.0,4176.0,6048.0,6304.0,12464.0,11280.0,5280.0,6896.0,2528.0,3808.0,4608.0,5296.0,10928.0,12800.0,11760.0,44064.0,3616.0,2256.0,2608.0,5840.0,6320.0,2480.0,5808.0,6160.0,4912.0,0.0,5168.0,0.0,5024.0,0.0,4752.0,9.99796,49.9898,39.9919,99.9796
0.310547,12.1673,3.04064,-0.804451,7872.0,2736.0,1792.0,4144.0,2912.0,6448.0,9552.0,7168.0,5312.0,640.0,4272.0,6656.0,10960.0,17680.0,15424.0,13584.0,0.0,5200.0,0.0,5312.0,0.0,4416.0,0.0,5056.0,0.0,560.0,640.0,4432.0,688.0,3120.0,3344.0,5840.0,9.99796,49.9898,40.9807,99.9796
0.453125,8.20493,-4.47476,-0.011971,5168.0,2624.0,1376.0,4048.0,3168.0,5728.0,9216.0,7104.0,4672.0,544.0,3616.0,7136.0,10784.0,16608.0,13632.0,12368.0,44864.0,1888.0,560.0,704.0,2944.0,5264.0,1184.0,4320.0,4608.0,560.0,640.0,4240.0,576.0,1632.0,3120.0,5328.0,9.99796,49.9898,41.9695,99.9796
0.591797,10.1131,2.36547,-0.316035,6368.0,2496.0,1424.0,4096.0,2752.0,5808.0,9936.0,6656.0,5536.0,912.0,5344.0,5472.0,9360.0,14064.0,11920.0,11168.0,49936.0,1856.0,464.0,912.0,3376.0,5824.0,1456.0,4576.0,4688.0,464.0,448.0,3824.0,1424.0,2512.0,784.0,4128.0,9.99796,49.9898,42.9949,99.9796
0.740234,8.99741,5.14035,-0.177171,7472.0,2512.0,1920.0,3728.0,3280.0,9952.0,10320.0,6176.0,6288.0,1232.0,4336.0,5952.0,7648.0,14272.0,15456.0,13488.0,46352.0,1872.0,480.0,528.0,3376.0,7072.0,2272.0,4288.0,4608.0,448.0,448.0,4288.0,416.0,2688.0,1808.0,4656.0,9.99796,49.9898,43.9837,99.9796
0.871094,7.87213,6.76841,-0.464475,64768.0,4800.0,4000.0,3488.0,5808.0,11584.0,9808.0,2848.0,6160.0,512.0,1984.0,2864.0,1904.0,8496.0,10720.0,9168.0,45776.0,1968.0,464.0,784.0,3008.0,5440.0,1040.0,4320.0,4640.0,464.0,416.0,4384.0,464.0,3664.0,3088.0,4608.0,9.99796,49.9898,44.9725,99.9796
1.01172,8.54012,4.76685,-0.656011,64832.0,4944.0,6096.0,1104.0,8112.0,12064.0,9568.0,3536.0,6656.0,400.0,640.0,2528.0,1024.0,8016.0,7776.0,7872.0,44304.0,1888.0,480.0,800.0,3232.0,6352.0,2176.0,4160.0,4688.0,464.0,448.0,4288.0,464.0,3152.0,1968.0,4944.0,9.99796,49.9898,45.998,99.9796
1.15039,9.29908,3.95761,-0.861912,53968.0,2624.0,2640.0,848.0,4000.0,12480.0,9952.0,4736.0,7248.0,464.0,4000.0,4704.0,7552.0,12352.0,13184.0,11984.0,46240.0,1856.0,464.0,864.0,3264.0,5296.0,1056.0,4416.0,4672.0,432.0,400.0,4432.0,448.0,3216.0,2016.0,5040.0,9.99796,49.9898,46.9868,99.9796
1.29102,9.47864,3.59848,-0.567425,59056.0,2080.0,2512.0,992.0,3856.0,12864.0,10064.0,4912.0,5664.0,464.0,4256.0,4896.0,8000.0,13376.0,13552.0,11776.0,45360.0,1856.0,448.0,896.0,3216.0,5200.0,1024.0,4352.0,4704.0,432.0,448.0,4368.0,448.0,3184.0,2016.0,4992.0,9.99796,49.9898,47.9756,99.9796
1.43164,9.79467,0.806846,-0.543483,12576.0,1728.0,2192.0,1056.0,3424.0,11472.0,9440.0,5408.0,5344.0,432.0,3904.0,5504.0,8784.0,14368.0,14016.0,11088.0,46544.0,1824.0,448.0,944.0,3216.0,5200.0,976.0,4432.0,4656.0,432.0,384.0,4432.0,448.0,2272.0,3616.0,5728.0,9.99796,49.9898,48.9644,99.9796
1.57227,9.63905,3.91691,-0.806846,10624.0,2080.0,2096.0,1328.0,4496.0,10624.0,10512.0,6432.0,5648.0,432.0,5920.0,5280.0,9248.0,14608.0,14640.0,12336.0,46016.0,1824.0,448.0,688.0,3296.0,6288.0,1040.0,4496.0,4656.0,448.0,352.0,4496.0,432.0,2816.0,3744.0,6176.0,9.99796,49.9898,49.9898,99.9796
1.71094,9.83298,2.05662,-0.708683,41744.0,2128.0,2208.0,1600.0,4512.0,10672.0,9904.0,5376.0,5728.0,464.0,6288.0,5408.0,9344.0,14752.0,14672.0,12928.0,50528.0,1888.0,464.0,976.0,3392.0,5472.0,1056.0,4480.0,4688.0,464.0,448.0,4432.0,432.0,3056.0,3808.0,6304.0,9.99796,49.9898,50.9786,99.9796
1.85156,9.70609,3.28006,-1.01514,41264.0,2112.0,1984.0,1360.0,4512.0,10512.0,10448.0,6560.0,5856.0,464.0,6448.0,5520.0,9376.0,14768.0,14720.0,13104.0,52448.0,1872.0,464.0,1040.0,3472.0,5392.0,992.0,4528.0,4736.0,400.0,432.0,4496.0,464.0,3840.0,4048.0,6416.0,9.99796,49.9898,51.9674,99.9796
1.99219,9.66299,2.77248,-0.617704,29344.0,2144.0,2096.0,1552.0,4544.0,10704.0,10032.0,5552.0,5840.0,432.0,6368.0,5520.0,9392.0,14864.0,14768.0,11776.0,46112.0,1872.0,464.0,928.0,3424.0,5696.0,2112.0,4480.0,4736.0,464.0,448.0,4496.0,448.0,3360.0,4096.0,6336.0,9.99796,49.9898,52.9929,99.9796
2.13086,9.73721,2.79882,-0.6608,48944.0,2144.0,2192.0,1312.0,4496.0,10704.0,10112.0,5248.0,5856.0,480.0,6192.0,5280.0,8992.0,14480.0,14640.0,10912.0,46640.0,1904.0,464.0,1200.0,3552.0,5520.0,992.0,4480.0,4688.0,464.0,480.0,4464.0,448.0,3408.0,4240.0,6160.0,9.99796,49.9898,53.9817,99.9796
2.26953,9.76595,3.06697,-0.603339,57104.0,2128.0,2144.0,1440.0,4608.0,10688.0,10144.0,5200.0,5776.0,448.0,6160.0,5168.0,8800.0,14384.0,14640.0,12256.0,46640.0,1936.0,464.0,1312.0,3408.0,6112.0,2208.0,4448.0,4768.0,448.0,448.0,4416.0,464.0,3296.0,4224.0,5632.0,9.99796,49.9898,54.9705,99.9796
2.41211,9.78989,2.99993,-0.725443,60064.0,2032.0,2240.0,1424.0,4960.0,10752.0,10592.0,6336.0,5760.0,464.0,6240.0,5280.0,8672.0,14480.0,14592.0,11008.0,46256.0,1920.0,448.0,992.0,3408.0,6416.0,304.0,4384.0,4688.0,416.0,448.0,4448.0,416.0,3392.0,4272.0,6528.0,9.99796,49.9898,55.9959,99.9796
2.55859,9.82819,2.88741,-0.758962,57840.0,2080.0,2272.0,1632.0,5072.0,10768.0,10192.0,5280.0,5776.0,480.0,6240.0,5264.0,8608.0,14512.0,14640.0,13120.0,45840.0,1872.0,464.0,992.0,3680.0,5472.0,1024.0,4432.0,4736.0,464.0,448.0,4448.0,464.0,3360.0,4256.0,6336.0,9.99796,49.9898,56.9847,99.9796
2.68945,9.69891,2.70545,-0.612916,61888.0,2992.0,2464.0,1504.0,5504.0,10832.0,10176.0,4320.0,5824.0,464.0,5200.0,4368.0,7168.0,13648.0,14000.0,10848.0,46416.0,1840.0,496.0,800.0,3600.0,5440.0,1024.0,4432.0,4752.0,448.0,432.0,4416.0,464.0,3232.0,5344.0,6544.0,9.99796,49.9898,57.9735,99.9796
2.83008,9.79228,2.78446,-0.574608,62432.0,1888.0,2528.0,1568.0,5712.0,10976.0,10448.0,5840.0,5824.0,464.0,4928.0,4736.0,7184.0,13616.0,14016.0,10688.0,46496.0,1840.0,448.0,1024.0,3616.0,6304.0,2224.0,4608.0,4736.0,416.0,448.0,4576.0,448.0,3264.0,4272.0,5952.0,9.99796,49.9898,58.999,99.9796
2.9707,9.55286,2.39181,-0.663194,62304.0,1872.0,2608.0,1328.0,6144.0,10976.0,10192.0,4720.0,6480.0,512.0,4400.0,3632.0,6992.0,12960.0,13888.0,12768.0,46912.0,2464.0,448.0,816.0,3584.0,6144.0,2240.0,4640.0,4736.0,448.0,448.0,4608.0,464.0,3120.0,4224.0,6080.0,9.99796,49.9898,59.9878,99.9796
3.10938,9.39724,2.16915,-0.83797,61632.0,2432.0,2864.0,1360.0,6208.0,11296.0,11104.0,4768.0,5888.0,464.0,3344.0,3728.0,6992.0,12016.0,13152.0,12304.0,46768.0,2512.0,480.0,976.0,4656.0,6400.0,1168.0,4736.0,4736.0,448.0,464.0,4736.0,416.0,3040.0,4224.0,6160.0,9.99796,49.9898,60.9766,99.9796
3.25,9.6199,1.91057,-0.679953,63472.0,2496.0,3008.0,2064.0,6448.0,11152.0,10096.0,4288.0,7104.0,464.0,2576.0,3152.0,5120.0,10400.0,11792.0,9424.0,45136.0,2496.0,448.0,992.0,3712.0,5984.0,2256.0,5456.0,4672.0,448.0,464.0,4608.0,480.0,2768.0,4256.0,5840.0,9.99796,49.9898,61.9654,99.9796
3.39063,9.85214,2.53546,-0.545878,64048.0,2560.0,3088.0,2096.0,7312.0,11152.0,10576.0,4160.0,6288.0,480.0,1280.0,2976.0,4128.0,9232.0,11136.0,10336.0,47232.0,2512.0,496.0,1056.0,3616.0,6368.0,2048.0,4624.0,4704.0,464.0,416.0,4544.0,432.0,2752.0,4160.0,6544.0,9.99796,49.9898,62.9908,99.9796
3.53125,9.66299,2.45645,-0.581791,63680.0,2400.0,4768.0,1424.0,7472.0,11152.0,10112.0,3008.0,6144.0,448.0,1056.0,2944.0,4048.0,8576.0,10848.0,11168.0,52240.0,2224.0,512.0,1072.0,3376.0,5440.0,1024.0,4640.0,4736.0,400.0,624.0,4640.0,448.0,2560.0,5216.0,7120.0,9.99796,49.9898,63.9796,99.9796
3.66992,9.65102,2.37984,-0.500388,64208.0,2432.0,3760.0,1232.0,7584.0,10992.0,9872.0,3568.0,6960.0,400.0,928.0,2496.0,2720.0,8528.0,10704.0,9584.0,46032.0,2528.0,464.0,1072.0,3360.0,5936.0,2272.0,5568.0,4752.0,448.0,608.0,4656.0,448.0,2688.0,4240.0,6032.0,9.99796,49.9898,64.9684,99.9796
3.80859,9.55047,2.12126,-0.677559,64176.0,3648.0,4192.0,3072.0,7696.0,11232.0,10464.0,3664.0,6608.0,448.0,768.0,2432.0,2592.0,8208.0,10192.0,10208.0,47568.0,2528.0,464.0,1152.0,3360.0,6368.0,2112.0,5360.0,4736.0,448.0,608.0,4544.0,464.0,2608.0,3344.0,5712.0,9.99796,49.9898,65.9939,99.9796
