time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.150391,11.6023,0.0311246,-0.723049,9392.0,5104.0,3344.0,3504.0,4112.0,3408.0,5920.0,3808.0,6336.0,2048.0,2208.0,3392.0,2592.0,6800.0,5632.0,7104.0,28832.0,3312.0,1936.0,6976.0,17632.0,7248.0,2016.0,1920.0,5152.0,1280.0,1568.0,944.0,1488.0,6704.0,4800.0,6528.0,29.9939,49.9898,149.969,99.9796
0.289063,9.98142,-2.47321,-0.059855,5328.0,2496.0,1968.0,1536.0,1728.0,800.0,4752.0,3024.0,6272.0,1488.0,1696.0,2576.0,1728.0,5664.0,4816.0,6496.0,25120.0,1840.0,432.0,2112.0,6032.0,7392.0,2064.0,2240.0,5520.0,1632.0,1360.0,1248.0,1280.0,5696.0,4176.0,6336.0,30.9827,49.9898,149.969,99.9796
0.429688,10.0485,0.426168,-0.921767,4048.0,2112.0,1456.0,1728.0,1568.0,816.0,4448.0,2960.0,6368.0,1952.0,1952.0,3280.0,1008.0,5392.0,4416.0,5568.0,21136.0,1504.0,432.0,2000.0,5168.0,7520.0,2400.0,1984.0,5536.0,1616.0,1792.0,528.0,656.0,4912.0,2576.0,4864.0,31.9715,49.9898,149.969,99.9796
0.568359,10.0556,-0.744596,-0.610521,3984.0,1968.0,1696.0,2128.0,1824.0,816.0,4992.0,3392.0,6416.0,1872.0,2064.0,3408.0,2368.0,6416.0,4400.0,5536.0,19424.0,2320.0,448.0,1888.0,4704.0,7280.0,2656.0,2080.0,5616.0,1744.0,1856.0,1616.0,1280.0,4752.0,2992.0,5312.0,32.9969,49.9898,149.969,99.9796
0.716797,10.3046,-1.03429,-0.526724,4032.0,2352.0,1872.0,3600.0,1888.0,2128.0,4304.0,3408.0,6288.0,1840.0,2080.0,3296.0,2352.0,4912.0,4384.0,6368.0,19104.0,2336.0,432.0,1888.0,4640.0,6528.0,2048.0,1952.0,5648.0,1760.0,1984.0,1600.0,688.0,4880.0,3120.0,5680.0,33.9857,49.9898,149.969,99.9796
0.849609,10.2424,-1.18034,-0.519542,4352.0,3776.0,3136.0,5024.0,3152.0,3104.0,5376.0,2192.0,4944.0,448.0,704.0,2176.0,1248.0,5472.0,4384.0,7008.0,22016.0,3648.0,1760.0,3072.0,5392.0,5808.0,672.0,432.0,4320.0,416.0,768.0,512.0,1408.0,5536.0,4512.0,6448.0,34.9746,49.9898,149.969,99.9796
0.988281,10.0676,-0.993593,-0.545878,4288.0,2480.0,1664.0,3712.0,1856.0,1936.0,4320.0,3280.0,6304.0,1760.0,1968.0,3360.0,2320.0,5376.0,4368.0,6416.0,21184.0,2320.0,448.0,1856.0,4176.0,6160.0,2016.0,1840.0,5680.0,1696.0,2112.0,1312.0,1408.0,4768.0,3360.0,5648.0,35.9634,49.9898,149.969,99.9796
1.12891,10.137,-1.22583,-0.6608,3792.0,2464.0,1680.0,3904.0,1808.0,1856.0,5008.0,3392.0,6144.0,1792.0,1920.0,3280.0,656.0,5424.0,4384.0,6352.0,23600.0,2336.0,400.0,1984.0,4176.0,6672.0,2128.0,1792.0,5472.0,1680.0,2016.0,400.0,1376.0,5008.0,3424.0,5872.0,36.9888,49.9898,149.969,99.9796
1.26953,10.1562,-1.16358,-0.557849,3856.0,2464.0,1728.0,3984.0,1808.0,1552.0,4448.0,3376.0,6032.0,1792.0,1952.0,3312.0,832.0,5456.0,4368.0,6064.0,22416.0,2336.0,464.0,1984.0,4192.0,6592.0,1696.0,1792.0,5504.0,1616.0,1840.0,480.0,1312.0,5280.0,3056.0,6016.0,37.9776,49.9898,149.969,99.9796
1.4082,10.1538,-1.14203,-0.385466,3968.0,2448.0,1824.0,4016.0,1856.0,1744.0,4128.0,3360.0,5824.0,1776.0,2000.0,3328.0,2112.0,5456.0,4384.0,5824.0,22704.0,2352.0,448.0,1968.0,4112.0,6368.0,2336.0,1792.0,5520.0,1680.0,1808.0,464.0,1360.0,5040.0,2992.0,5200.0,38.9664,49.9898,149.969,99.9796
