time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.155273,10.2448,-6.94797,1.3192,12624.0,7520.0,3776.0,5440.0,5664.0,3456.0,4752.0,3280.0,6192.0,3504.0,4096.0,3328.0,3424.0,7392.0,7936.0,7968.0,10800.0,5904.0,3456.0,5472.0,8016.0,6784.0,2944.0,4944.0,5088.0,2496.0,2176.0,4400.0,2128.0,4016.0,7424.0,8176.0,29.9939,49.9898,129.974,99.9796
0.282227,11.0109,4.5394,-1.46046,5520.0,3904.0,3088.0,4368.0,3792.0,992.0,2480.0,1120.0,3456.0,384.0,1056.0,272.0,416.0,4608.0,5136.0,6560.0,8768.0,3872.0,2336.0,0.0,6208.0,4320.0,432.0,2736.0,3488.0,432.0,1008.0,2848.0,432.0,1808.0,5792.0,6464.0,30.9827,49.9898,129.974,99.9796
0.402344,10.6374,1.38864,-0.462081,5504.0,5152.0,2752.0,1296.0,2688.0,448.0,1296.0,416.0,3376.0,448.0,976.0,368.0,464.0,5376.0,6560.0,6368.0,8896.0,2992.0,528.0,1200.0,5488.0,4368.0,448.0,2512.0,3680.0,448.0,1200.0,3840.0,1872.0,4832.0,9280.0,8800.0,31.9715,49.9898,129.974,99.9796
0.523438,8.78672,-2.38223,0.21069,4448.0,4048.0,1584.0,480.0,2000.0,384.0,1024.0,464.0,3408.0,448.0,944.0,464.0,1872.0,5008.0,6192.0,7072.0,9216.0,2992.0,528.0,1216.0,5552.0,4416.0,416.0,2448.0,3648.0,448.0,1424.0,4304.0,1696.0,4320.0,6352.0,7440.0,32.9969,49.9898,129.974,99.9796
0.651367,11.2288,1.21865,-0.335188,4816.0,4560.0,2432.0,2480.0,4048.0,1984.0,2736.0,1824.0,4800.0,1664.0,2096.0,416.0,416.0,4512.0,6656.0,6832.0,9280.0,4016.0,544.0,1136.0,5680.0,4608.0,432.0,2656.0,3760.0,432.0,656.0,4016.0,1136.0,5328.0,7536.0,8176.0,33.9857,49.9898,129.974,99.9796
0.782227,10.0437,-0.011971,-0.117316,3280.0,2896.0,544.0,736.0,1792.0,400.0,1024.0,416.0,3488.0,432.0,928.0,416.0,432.0,4624.0,5328.0,6464.0,8304.0,2976.0,592.0,1920.0,5536.0,4544.0,416.0,2656.0,3744.0,480.0,848.0,2624.0,432.0,4000.0,6288.0,6864.0,34.9746,49.9898,129.974,99.9796
0.902344,10.2256,-0.627281,-0.160411,2720.0,4608.0,2256.0,1424.0,3296.0,432.0,896.0,416.0,3520.0,448.0,960.0,352.0,464.0,5168.0,5440.0,6336.0,8368.0,2960.0,560.0,1072.0,5424.0,4512.0,416.0,2592.0,3792.0,432.0,976.0,2704.0,448.0,2592.0,7040.0,7840.0,35.9634,49.9898,129.974,99.9796
1.02344,10.1586,1.75495,-0.225055,8080.0,4912.0,2464.0,2064.0,2624.0,448.0,896.0,400.0,3536.0,448.0,1008.0,400.0,464.0,5360.0,4512.0,6416.0,8352.0,3008.0,560.0,1440.0,5424.0,4512.0,448.0,2656.0,3664.0,432.0,1840.0,4624.0,2112.0,4560.0,9088.0,8400.0,36.9888,49.9898,129.974,99.9796
1.1416,10.3717,-1.22823,-0.246603,7328.0,4880.0,576.0,1872.0,2880.0,480.0,928.0,416.0,3504.0,448.0,1040.0,464.0,432.0,4608.0,5296.0,6448.0,8224.0,2976.0,560.0,1408.0,5536.0,4496.0,448.0,2640.0,3664.0,432.0,1216.0,2640.0,448.0,3424.0,7616.0,8224.0,37.9776,49.9898,129.974,99.9796
1.26172,10.2927,-1.53229,0.0311246,54848.0,7040.0,3760.0,1840.0,3168.0,448.0,944.0,416.0,3600.0,432.0,992.0,400.0,480.0,6704.0,6560.0,6768.0,8208.0,2960.0,560.0,1472.0,5520.0,4448.0,464.0,2560.0,3712.0,464.0,2224.0,4288.0,1920.0,4800.0,8848.0,9072.0,38.9664,49.9898,129.974,99.9796
1.38184,10.3836,-0.548272,-0.0622492,59360.0,5536.0,2336.0,3856.0,3088.0,400.0,976.0,384.0,3584.0,432.0,1072.0,384.0,528.0,5504.0,6480.0,6208.0,8272.0,2912.0,560.0,1552.0,5568.0,4528.0,416.0,2480.0,3712.0,432.0,1248.0,2640.0,448.0,3408.0,7712.0,7808.0,39.9919,49.9898,129.974,99.9796
1.52246,10.0413,-1.80044,-0.272939,59392.0,5424.0,3456.0,4368.0,3232.0,448.0,1072.0,384.0,3536.0,448.0,960.0,336.0,544.0,4896.0,5200.0,5632.0,8240.0,2912.0,576.0,1584.0,5536.0,4784.0,1744.0,2640.0,3664.0,432.0,1328.0,2608.0,480.0,3584.0,7824.0,8256.0,40.9807,49.9898,129.974,99.9796
1.64258,10.8721,-0.512359,1.13006,12720.0,5472.0,2944.0,3824.0,3088.0,432.0,1408.0,352.0,3520.0,480.0,1024.0,336.0,480.0,6144.0,6640.0,7456.0,9392.0,4272.0,1792.0,1488.0,5520.0,4528.0,448.0,2768.0,3680.0,448.0,672.0,3392.0,1936.0,4464.0,7520.0,7872.0,41.9695,49.9898,129.974,99.9796
1.76172,10.137,-0.497994,0.14844,11232.0,7264.0,4544.0,4816.0,2192.0,416.0,1440.0,448.0,3408.0,448.0,976.0,336.0,1840.0,5024.0,6240.0,7264.0,8480.0,2944.0,560.0,1552.0,5600.0,4544.0,448.0,2768.0,3632.0,448.0,944.0,4192.0,2096.0,5200.0,9008.0,9344.0,42.9949,49.9898,129.974,99.9796
1.88184,9.71567,-1.55623,-0.294487,8704.0,5904.0,2816.0,3472.0,3088.0,416.0,1440.0,320.0,3488.0,384.0,976.0,400.0,464.0,5568.0,4944.0,6560.0,8432.0,2944.0,528.0,1536.0,5568.0,4528.0,448.0,2816.0,3664.0,448.0,912.0,3152.0,1408.0,3120.0,8064.0,8288.0,43.9837,49.9898,129.974,99.9796
2.00195,11.1857,0.639252,-0.73502,8240.0,5936.0,4416.0,3584.0,2000.0,448.0,1456.0,288.0,3456.0,432.0,960.0,352.0,464.0,5168.0,6448.0,6528.0,8480.0,2960.0,544.0,1488.0,5536.0,4544.0,448.0,2752.0,3600.0,432.0,1088.0,4240.0,1792.0,3664.0,9120.0,8640.0,44.9725,49.9898,129.974,99.9796
2.12109,10.1059,-1.5706,-0.0215478,7648.0,7184.0,5344.0,4320.0,1680.0,384.0,1440.0,336.0,3456.0,432.0,944.0,432.0,480.0,5776.0,6416.0,7296.0,8288.0,2992.0,560.0,1552.0,5520.0,4544.0,432.0,2752.0,3648.0,464.0,1120.0,3472.0,1776.0,1712.0,7312.0,7808.0,45.998,49.9898,129.974,99.9796
