time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.142578,6.70137,-1.04148,-1.78368,57616.0,3472.0,4048.0,14096.0,11536.0,4928.0,7696.0,3216.0,4112.0,1664.0,2352.0,2864.0,1360.0,8208.0,11328.0,9120.0,11088.0,4320.0,1968.0,3344.0,5808.0,6352.0,1536.0,8528.0,4736.0,1248.0,1600.0,8176.0,2352.0,4336.0,8752.0,8752.0,9.99796,49.9898,39.9919,99.9796
0.257813,9.94551,1.01514,-0.778115,20096.0,2496.0,576.0,1552.0,2240.0,1152.0,5440.0,1952.0,2816.0,464.0,1248.0,2688.0,7680.0,21984.0,19264.0,13776.0,9360.0,3152.0,624.0,1920.0,4640.0,5312.0,608.0,7872.0,3728.0,864.0,2096.0,7808.0,528.0,2368.0,7600.0,8272.0,9.99796,49.9898,40.9807,99.9796
0.376953,9.68694,2.53546,0.363919,15248.0,3552.0,512.0,1008.0,2160.0,896.0,5936.0,4944.0,2816.0,496.0,1200.0,6016.0,12160.0,24704.0,21344.0,16256.0,8928.0,3024.0,608.0,1952.0,4672.0,5280.0,576.0,8064.0,3664.0,448.0,1056.0,8080.0,544.0,2496.0,7648.0,8256.0,9.99796,49.9898,41.9695,99.9796
0.498047,8.98783,4.85065,-0.320823,42208.0,3584.0,512.0,5680.0,5296.0,7920.0,6704.0,2816.0,2864.0,448.0,1504.0,2768.0,448.0,22096.0,19776.0,16768.0,7840.0,3072.0,608.0,2080.0,4672.0,5264.0,608.0,7984.0,3936.0,432.0,1088.0,8064.0,464.0,3024.0,8512.0,8192.0,9.99796,49.9898,42.9949,99.9796
0.626953,9.26077,3.99592,-1.09894,57600.0,3600.0,3648.0,7376.0,7280.0,9728.0,6752.0,1776.0,2784.0,448.0,1168.0,1760.0,448.0,17536.0,17168.0,13376.0,8448.0,2976.0,608.0,2048.0,4624.0,5312.0,576.0,8000.0,3920.0,432.0,1104.0,8048.0,528.0,3376.0,8544.0,8592.0,9.99796,49.9898,43.9837,99.9796
0.757813,9.30147,3.35906,-0.952892,55760.0,2592.0,544.0,5984.0,6560.0,9440.0,7376.0,1984.0,3072.0,1584.0,1072.0,2016.0,448.0,20928.0,18352.0,15504.0,7824.0,2912.0,656.0,2016.0,4736.0,5296.0,640.0,8400.0,3216.0,448.0,1088.0,7904.0,480.0,2608.0,7632.0,8480.0,9.99796,49.9898,44.9725,99.9796
0.876953,9.6175,3.4285,-1.56102,59568.0,3408.0,0.0,5952.0,5952.0,9664.0,7696.0,1984.0,2848.0,464.0,1040.0,2048.0,480.0,21712.0,18768.0,15808.0,7824.0,2944.0,608.0,2096.0,4736.0,5280.0,640.0,7936.0,3984.0,416.0,1120.0,7904.0,496.0,2400.0,8512.0,8960.0,9.99796,49.9898,45.998,99.9796
0.998047,9.4978,3.51947,-1.24738,59440.0,2624.0,528.0,4896.0,5472.0,8976.0,7712.0,3120.0,2832.0,432.0,1024.0,3200.0,2176.0,21904.0,18960.0,16384.0,8464.0,2960.0,592.0,2048.0,4704.0,5312.0,576.0,7312.0,4000.0,448.0,1072.0,7296.0,512.0,2640.0,7600.0,7120.0,9.99796,49.9898,46.9868,99.9796
1.11719,9.61272,3.26808,-1.14443,61024.0,2672.0,512.0,4576.0,5024.0,8720.0,7648.0,3216.0,2832.0,480.0,1040.0,3216.0,2208.0,22192.0,19136.0,15776.0,7600.0,3008.0,592.0,2048.0,4656.0,5280.0,592.0,7296.0,3984.0,448.0,1088.0,7232.0,528.0,2704.0,7584.0,8064.0,9.99796,49.9898,47.9756,99.9796
1.23828,9.52652,3.43328,-0.737414,61536.0,3664.0,544.0,4096.0,4992.0,8768.0,7728.0,3104.0,2832.0,448.0,992.0,3088.0,3152.0,22176.0,19072.0,16176.0,7760.0,2992.0,608.0,2112.0,4656.0,5280.0,608.0,7328.0,3984.0,416.0,1104.0,7248.0,560.0,2656.0,7568.0,7696.0,9.99796,49.9898,48.9644,99.9796
1.35742,9.5792,2.94008,-0.861912,60944.0,2624.0,528.0,4160.0,5056.0,8864.0,7760.0,3120.0,2864.0,480.0,1072.0,3088.0,3232.0,22288.0,19136.0,16128.0,7760.0,3008.0,640.0,2112.0,4752.0,5232.0,672.0,7264.0,4000.0,432.0,1056.0,7248.0,512.0,2816.0,7552.0,8176.0,9.99796,49.9898,49.9898,99.9796
1.47656,9.84974,2.229,-0.746991,22560.0,2640.0,544.0,1632.0,1120.0,1120.0,6160.0,4624.0,2864.0,432.0,1152.0,4624.0,10016.0,23216.0,19728.0,15440.0,7824.0,2992.0,592.0,2128.0,4640.0,5296.0,640.0,7296.0,4016.0,400.0,1088.0,7344.0,528.0,2656.0,7520.0,8112.0,9.99796,49.9898,50.9786,99.9796
1.59766,9.68694,3.29681,-0.964863,49200.0,2592.0,544.0,3584.0,3376.0,7488.0,6864.0,2896.0,2848.0,480.0,1088.0,2912.0,2000.0,23232.0,19888.0,16304.0,7424.0,3024.0,672.0,2016.0,4672.0,5312.0,624.0,7296.0,4000.0,432.0,1088.0,7328.0,496.0,2688.0,7712.0,8192.0,9.99796,49.9898,51.9674,99.9796
1.7168,9.76834,2.32477,-0.23942,48320.0,2624.0,560.0,3472.0,3248.0,4704.0,6480.0,3392.0,2832.0,464.0,912.0,3504.0,2320.0,22960.0,19600.0,16336.0,7520.0,3024.0,592.0,2112.0,4688.0,5168.0,576.0,7312.0,3872.0,448.0,992.0,7296.0,544.0,1744.0,7568.0,7616.0,9.99796,49.9898,52.9929,99.9796
1.83789,9.5792,2.78685,0.502782,51744.0,3744.0,576.0,6416.0,5696.0,8672.0,7072.0,1968.0,2784.0,464.0,800.0,1936.0,512.0,21424.0,19232.0,16320.0,6880.0,3024.0,592.0,2080.0,4752.0,5200.0,640.0,7328.0,3856.0,464.0,1104.0,7312.0,544.0,1904.0,8368.0,8176.0,9.99796,49.9898,53.9817,99.9796
1.95703,9.7851,2.46363,-0.500388,56784.0,3488.0,0.0,6352.0,5200.0,7968.0,7072.0,2048.0,2800.0,464.0,1120.0,1984.0,464.0,20864.0,18832.0,14496.0,8176.0,2992.0,560.0,2064.0,4688.0,5296.0,656.0,7312.0,3856.0,464.0,1040.0,7328.0,512.0,2720.0,8240.0,8336.0,9.99796,49.9898,54.9705,99.9796
2.07617,9.67496,3.12443,-0.610521,40928.0,3680.0,608.0,6800.0,5120.0,7488.0,6496.0,1952.0,2816.0,432.0,1088.0,1936.0,432.0,20672.0,18672.0,14096.0,8096.0,2944.0,656.0,2096.0,4784.0,5120.0,656.0,7328.0,3696.0,416.0,1072.0,7296.0,496.0,2480.0,8512.0,8832.0,9.99796,49.9898,55.9959,99.9796
2.20508,9.66299,2.08535,-0.476446,44304.0,3680.0,1536.0,7440.0,5456.0,7216.0,6288.0,1952.0,2816.0,480.0,1168.0,1888.0,448.0,18784.0,17568.0,14368.0,8176.0,3168.0,672.0,2064.0,4752.0,5184.0,656.0,7360.0,3648.0,432.0,1056.0,7344.0,480.0,2272.0,8528.0,8176.0,9.99796,49.9898,56.9847,99.9796
2.31836,9.38527,1.8579,-0.639252,48736.0,2400.0,2624.0,7424.0,6576.0,5120.0,5648.0,1872.0,2832.0,928.0,2352.0,2832.0,32.0,10000.0,12032.0,11056.0,7408.0,2992.0,592.0,2080.0,4704.0,4960.0,608.0,7248.0,4416.0,1440.0,1968.0,7312.0,496.0,2624.0,7392.0,8176.0,9.99796,49.9898,57.9735,99.9796
2.4375,9.76595,1.55144,-1.00796,58448.0,3472.0,3312.0,9088.0,7344.0,1504.0,5344.0,1888.0,2848.0,448.0,1184.0,1888.0,448.0,8672.0,9360.0,8176.0,8128.0,3824.0,576.0,2064.0,4704.0,4800.0,592.0,7312.0,3504.0,400.0,1072.0,7312.0,432.0,1968.0,8336.0,8704.0,9.99796,49.9898,58.999,99.9796
2.55664,9.73721,2.15718,-0.325611,63024.0,3264.0,4608.0,10912.0,7440.0,432.0,5264.0,1936.0,2768.0,432.0,1152.0,1872.0,448.0,8176.0,8256.0,8032.0,8080.0,3856.0,1504.0,2048.0,4688.0,5168.0,608.0,7120.0,3360.0,464.0,1088.0,7136.0,480.0,2704.0,8128.0,8400.0,9.99796,49.9898,59.9878,99.9796
2.67578,9.65342,1.38385,-0.818817,64224.0,3584.0,4016.0,10528.0,7296.0,416.0,5088.0,1888.0,2832.0,432.0,1216.0,1888.0,464.0,8176.0,8176.0,8208.0,7952.0,3728.0,608.0,2080.0,4608.0,5264.0,656.0,6912.0,3504.0,448.0,1072.0,6992.0,464.0,2624.0,8064.0,8288.0,9.99796,49.9898,60.9766,99.9796
2.79688,10.0916,1.25217,-0.976834,64672.0,3376.0,3792.0,11808.0,5728.0,448.0,5600.0,1952.0,2768.0,432.0,1216.0,1952.0,464.0,8080.0,7968.0,8320.0,8176.0,3904.0,608.0,2064.0,4656.0,5248.0,592.0,7760.0,3888.0,400.0,1088.0,7776.0,512.0,1856.0,7904.0,8352.0,9.99796,49.9898,61.9654,99.9796
2.91602,9.17218,1.19471,-0.533907,64960.0,3344.0,4640.0,12160.0,4928.0,448.0,5168.0,1936.0,2816.0,448.0,1248.0,1936.0,480.0,7488.0,7744.0,8208.0,8176.0,3920.0,608.0,2080.0,4640.0,5136.0,608.0,7760.0,3904.0,448.0,1088.0,7792.0,512.0,2304.0,7904.0,7200.0,9.99796,49.9898,62.9908,99.9796
3.03711,9.2895,0.794875,-0.708683,65184.0,2320.0,4944.0,12096.0,4032.0,416.0,5184.0,1936.0,2784.0,448.0,1120.0,1920.0,1408.0,7136.0,7376.0,7984.0,7648.0,3008.0,592.0,2080.0,4608.0,5184.0,608.0,7712.0,4768.0,1616.0,2112.0,7968.0,480.0,2208.0,6624.0,7664.0,9.99796,49.9898,63.9796,99.9796
3.1582,9.13866,0.739808,-0.600945,65232.0,2768.0,4912.0,11808.0,3232.0,448.0,4896.0,1920.0,2784.0,480.0,1232.0,1984.0,432.0,7456.0,7216.0,7824.0,8320.0,3872.0,1456.0,2096.0,4576.0,5200.0,560.0,7824.0,3968.0,432.0,1088.0,7808.0,432.0,2352.0,7568.0,8304.0,9.99796,49.9898,64.9684,99.9796
3.27734,9.44752,0.775721,-0.897825,65216.0,1936.0,4960.0,11088.0,3328.0,1280.0,5088.0,1888.0,2848.0,416.0,1104.0,1920.0,480.0,7520.0,7104.0,8224.0,8432.0,4016.0,1488.0,2112.0,4496.0,5088.0,592.0,7888.0,3984.0,448.0,1104.0,7888.0,464.0,3168.0,7952.0,8288.0,9.99796,49.9898,65.9939,99.9796
3.39648,9.46428,0.488417,-0.727837,65264.0,1808.0,3360.0,10368.0,2800.0,1232.0,5264.0,1856.0,2768.0,448.0,1088.0,1872.0,416.0,7392.0,7008.0,7584.0,8240.0,3744.0,1680.0,2960.0,4448.0,5088.0,592.0,7744.0,4144.0,416.0,1088.0,7760.0,480.0,2240.0,7616.0,8400.0,9.99796,49.9898,66.9827,99.9796
3.52344,9.42118,0.493205,-0.395043,65232.0,1072.0,1888.0,8576.0,3424.0,1264.0,5184.0,1920.0,2784.0,560.0,2304.0,2976.0,1520.0,8080.0,6912.0,6912.0,8112.0,2912.0,608.0,2080.0,4400.0,5072.0,576.0,7664.0,5168.0,1728.0,2064.0,8400.0,0.0,2208.0,6608.0,7536.0,9.99796,49.9898,67.9715,99.9796
3.64063,9.18176,0.328006,-0.586579,65248.0,1264.0,528.0,8544.0,3280.0,1296.0,5152.0,1888.0,2800.0,448.0,1232.0,2848.0,1552.0,8176.0,7616.0,6880.0,8064.0,2832.0,608.0,2064.0,4432.0,5056.0,608.0,7808.0,4320.0,768.0,2176.0,8624.0,1504.0,1968.0,6560.0,7600.0,9.99796,49.9898,68.9969,99.9796
3.76953,10.3429,0.610521,-0.859518,65232.0,464.0,528.0,8176.0,2960.0,1184.0,5152.0,1824.0,2784.0,448.0,1152.0,2096.0,1568.0,7904.0,7552.0,7968.0,7872.0,2880.0,608.0,2112.0,4400.0,5072.0,592.0,7568.0,4288.0,416.0,2000.0,8400.0,1536.0,4000.0,6512.0,7088.0,9.99796,49.9898,69.9857,99.9796
