time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.257813,7.69496,-4.41012,1.47483,4512.0,5584.0,2320.0,2624.0,2432.0,2352.0,3264.0,2416.0,5344.0,2304.0,3216.0,2000.0,2048.0,7168.0,7200.0,7776.0,14848.0,4608.0,2112.0,5408.0,8864.0,5312.0,2176.0,7936.0,4640.0,1744.0,2368.0,7776.0,1696.0,3264.0,5712.0,6272.0,9.99796,49.9898,39.9919,99.9796
0.378906,8.19056,-1.7334,3.1388,2832.0,4032.0,736.0,848.0,1248.0,832.0,1808.0,688.0,3936.0,656.0,1968.0,640.0,784.0,5040.0,5520.0,6672.0,8448.0,832.0,816.0,4672.0,5904.0,3472.0,1024.0,6736.0,2864.0,848.0,1104.0,6640.0,560.0,1312.0,4992.0,6208.0,9.99796,49.9898,40.9807,99.9796
0.498047,10.0532,1.60172,-0.651223,2944.0,2960.0,768.0,864.0,1104.0,800.0,1456.0,560.0,3728.0,784.0,1920.0,736.0,816.0,5024.0,5408.0,5904.0,7040.0,3056.0,752.0,4608.0,5648.0,3488.0,944.0,7008.0,3200.0,736.0,688.0,6544.0,448.0,2496.0,5504.0,6928.0,9.99796,49.9898,41.9695,99.9796
0.617188,9.64624,-0.0263362,-1.89142,3136.0,3376.0,848.0,976.0,1088.0,896.0,1664.0,576.0,3616.0,672.0,1808.0,560.0,544.0,4992.0,5696.0,6144.0,6944.0,3200.0,912.0,4384.0,5040.0,2752.0,768.0,6608.0,3120.0,608.0,656.0,6464.0,496.0,2608.0,5680.0,6864.0,9.99796,49.9898,42.9949,99.9796
0.746094,8.58321,0.402226,-0.0814028,3328.0,3648.0,0.0,464.0,576.0,432.0,1216.0,336.0,3456.0,416.0,1552.0,272.0,448.0,5024.0,5744.0,7312.0,7232.0,3552.0,448.0,3888.0,4928.0,2528.0,608.0,7056.0,2896.0,448.0,688.0,7072.0,448.0,4016.0,6720.0,7488.0,9.99796,49.9898,43.9837,99.9796
0.878906,8.70531,5.07331,-2.12605,3088.0,2640.0,448.0,576.0,608.0,3808.0,800.0,6608.0,4752.0,320.0,1584.0,4640.0,1616.0,14032.0,16704.0,13664.0,6672.0,2720.0,464.0,3920.0,5088.0,4928.0,640.0,6592.0,3120.0,448.0,992.0,6528.0,416.0,3008.0,5328.0,6912.0,9.99796,49.9898,44.9725,99.9796
0.998047,9.82101,4.43885,-0.703895,64784.0,2016.0,1408.0,672.0,5680.0,18720.0,6048.0,6944.0,4224.0,464.0,3296.0,6832.0,640.0,6736.0,13168.0,11280.0,7312.0,2816.0,416.0,4000.0,5088.0,4992.0,576.0,7360.0,3200.0,448.0,1040.0,5200.0,448.0,4336.0,4960.0,7072.0,9.99796,49.9898,45.998,99.9796
1.11719,8.93755,2.8084,0.203507,63488.0,1456.0,400.0,608.0,6544.0,18896.0,6480.0,8096.0,4240.0,416.0,5440.0,8352.0,3952.0,10176.0,16080.0,12336.0,6736.0,2784.0,448.0,4016.0,5136.0,5008.0,480.0,7360.0,3216.0,448.0,960.0,7296.0,1280.0,5152.0,6016.0,5664.0,9.99796,49.9898,46.9868,99.9796
1.23828,8.95671,2.229,-1.04148,52304.0,0.0,432.0,576.0,4512.0,17376.0,1008.0,9744.0,3760.0,448.0,8176.0,9952.0,8192.0,15712.0,18384.0,13648.0,7088.0,2816.0,432.0,3920.0,5152.0,5024.0,560.0,7200.0,3264.0,400.0,1056.0,7392.0,416.0,4176.0,4736.0,6192.0,9.99796,49.9898,47.9756,99.9796
1.35742,10.3956,3.88579,-1.7765,19888.0,1504.0,480.0,736.0,3136.0,13344.0,1280.0,10528.0,3904.0,464.0,9008.0,10528.0,11488.0,16800.0,19568.0,14992.0,6736.0,2784.0,448.0,4224.0,5280.0,5008.0,464.0,7328.0,3360.0,432.0,1024.0,7328.0,1088.0,4624.0,5280.0,6752.0,9.99796,49.9898,48.9644,99.9796
