time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.154297,11.9231,-6.65109,-0.737414,4288.0,4288.0,2320.0,2720.0,3360.0,2128.0,2304.0,1856.0,5264.0,1744.0,2256.0,1504.0,1504.0,6064.0,6784.0,7936.0,12176.0,4112.0,2016.0,4544.0,6112.0,6368.0,1808.0,5728.0,4960.0,1680.0,1696.0,5504.0,1632.0,4784.0,6832.0,7216.0,29.9939,49.9898,129.974,99.9796
0.282227,9.98861,-2.1045,-1.29047,3360.0,2352.0,1008.0,2480.0,2704.0,1328.0,1424.0,1184.0,4608.0,448.0,1088.0,432.0,384.0,5024.0,5424.0,6304.0,11040.0,3072.0,1280.0,3888.0,5904.0,5888.0,480.0,4176.0,3792.0,432.0,432.0,4176.0,448.0,2512.0,5296.0,6928.0,30.9827,49.9898,129.974,99.9796
0.401367,11.4108,2.03747,-4.1707,3872.0,2896.0,464.0,592.0,1584.0,416.0,544.0,400.0,3632.0,464.0,1120.0,672.0,1504.0,6016.0,6336.0,7072.0,10912.0,2208.0,480.0,3056.0,4928.0,4544.0,464.0,4416.0,3264.0,416.0,1296.0,5792.0,1456.0,4128.0,8048.0,6976.0,31.9715,49.9898,129.974,99.9796
0.521484,9.95269,-1.97761,-0.514753,5136.0,3520.0,512.0,432.0,1968.0,416.0,640.0,400.0,3632.0,432.0,1152.0,1248.0,1952.0,5104.0,6176.0,7120.0,13424.0,2528.0,544.0,3040.0,5504.0,4800.0,448.0,4496.0,3664.0,432.0,1760.0,5152.0,1424.0,4416.0,7968.0,8400.0,32.9969,49.9898,129.974,99.9796
0.649414,10.398,-1.14682,0.260968,3184.0,2496.0,416.0,640.0,1888.0,464.0,736.0,336.0,3744.0,448.0,1120.0,352.0,448.0,5712.0,5552.0,6672.0,12704.0,2544.0,464.0,544.0,5424.0,4896.0,480.0,4624.0,3664.0,432.0,976.0,5072.0,1664.0,3520.0,7792.0,7696.0,33.9857,49.9898,129.974,99.9796
0.78125,10.3286,-0.45011,0.179565,3184.0,4096.0,2240.0,1872.0,1888.0,464.0,736.0,384.0,3664.0,448.0,1184.0,368.0,416.0,4688.0,5552.0,6688.0,14208.0,2560.0,528.0,3152.0,5408.0,4944.0,464.0,4656.0,3664.0,448.0,736.0,4656.0,448.0,2896.0,8064.0,8336.0,34.9746,49.9898,129.974,99.9796
0.901367,10.2615,-0.0885854,0.126893,5040.0,3216.0,464.0,1520.0,2400.0,400.0,816.0,352.0,3664.0,432.0,1120.0,320.0,704.0,5728.0,5536.0,6704.0,13568.0,2560.0,496.0,3024.0,5152.0,4640.0,464.0,4528.0,3680.0,432.0,960.0,4656.0,432.0,2464.0,8080.0,8480.0,35.9634,49.9898,129.974,99.9796
1.02148,9.71088,0.871489,0.797269,6640.0,3616.0,576.0,656.0,2448.0,432.0,784.0,320.0,3712.0,384.0,1152.0,416.0,1456.0,6032.0,6688.0,6752.0,13872.0,2752.0,544.0,3168.0,5632.0,5200.0,448.0,4704.0,3632.0,416.0,528.0,5520.0,1344.0,2864.0,7424.0,8016.0,36.9888,49.9898,129.974,99.9796
1.14063,10.173,-1.28329,0.0909796,5872.0,2208.0,2208.0,1856.0,2752.0,464.0,784.0,352.0,3696.0,416.0,1184.0,336.0,1184.0,4800.0,5440.0,6864.0,13024.0,2656.0,528.0,3232.0,5552.0,5344.0,480.0,4624.0,3664.0,512.0,720.0,4624.0,480.0,3072.0,7264.0,7520.0,37.9776,49.9898,129.974,99.9796
1.26172,9.991,-0.670376,0.189142,15808.0,3216.0,2352.0,1696.0,2240.0,480.0,832.0,304.0,3696.0,448.0,1152.0,400.0,1408.0,5568.0,5776.0,6448.0,12944.0,2688.0,576.0,3248.0,5632.0,5312.0,480.0,4640.0,3744.0,432.0,784.0,5680.0,432.0,2784.0,7520.0,8176.0,38.9664,49.9898,129.974,99.9796
1.38086,10.1155,-0.383072,0.201113,12064.0,3200.0,2416.0,2176.0,2320.0,448.0,880.0,352.0,3664.0,448.0,1152.0,384.0,1280.0,6400.0,5728.0,6400.0,12784.0,2608.0,576.0,3264.0,5696.0,5392.0,480.0,4688.0,3632.0,400.0,800.0,5776.0,384.0,2720.0,7760.0,8128.0,39.9919,49.9898,129.974,99.9796
1.52148,9.99339,-1.32639,-0.416591,9952.0,3408.0,2144.0,1728.0,2288.0,448.0,816.0,336.0,3616.0,480.0,1168.0,400.0,1536.0,5312.0,5808.0,6944.0,12960.0,2608.0,496.0,3216.0,6064.0,6416.0,480.0,4688.0,3712.0,416.0,848.0,4640.0,432.0,3328.0,7760.0,8176.0,40.9807,49.9898,129.974,99.9796
1.64063,9.71806,-0.988805,-0.356736,17440.0,4480.0,1280.0,1936.0,2400.0,384.0,768.0,320.0,3600.0,480.0,1152.0,400.0,1600.0,6048.0,6688.0,7232.0,13584.0,2608.0,544.0,3232.0,5664.0,5296.0,464.0,4624.0,3760.0,464.0,1472.0,5696.0,1344.0,3344.0,7696.0,8176.0,41.9695,49.9898,129.974,99.9796
1.78125,10.6135,-1.23541,-0.0263362,8736.0,3632.0,576.0,1872.0,3424.0,1600.0,1760.0,1312.0,3552.0,448.0,1152.0,352.0,416.0,5120.0,5696.0,6848.0,13232.0,2640.0,1472.0,4064.0,6208.0,5328.0,512.0,4624.0,3776.0,416.0,720.0,4640.0,416.0,3328.0,7680.0,7648.0,42.9949,49.9898,129.974,99.9796
1.90039,10.8362,-1.24259,0.179565,9232.0,3648.0,480.0,1520.0,2592.0,432.0,864.0,336.0,3504.0,464.0,1232.0,704.0,1408.0,5088.0,5792.0,6480.0,13232.0,2592.0,528.0,3232.0,5680.0,5312.0,448.0,4736.0,3744.0,1600.0,1616.0,5888.0,1728.0,3504.0,8528.0,8880.0,43.9837,49.9898,129.974,99.9796
2.02051,10.5417,-0.538695,0.141258,31376.0,3936.0,2048.0,1280.0,2496.0,432.0,848.0,400.0,3520.0,432.0,1152.0,400.0,1312.0,6032.0,5728.0,6784.0,13136.0,2592.0,496.0,3216.0,5696.0,5296.0,480.0,4656.0,3904.0,544.0,800.0,5536.0,464.0,2496.0,6928.0,6688.0,44.9725,49.9898,129.974,99.9796
2.14063,10.6853,-0.3304,0.0766144,18432.0,3872.0,2208.0,1760.0,2800.0,464.0,848.0,352.0,3504.0,448.0,1184.0,992.0,1504.0,5328.0,5776.0,6880.0,13136.0,2576.0,576.0,3248.0,5728.0,5280.0,512.0,4592.0,3904.0,1072.0,1536.0,4608.0,432.0,2432.0,6320.0,7328.0,45.998,49.9898,129.974,99.9796
2.26855,10.3884,0.167594,0.445321,14672.0,4400.0,2096.0,1968.0,2576.0,448.0,832.0,384.0,3440.0,416.0,1168.0,336.0,1408.0,5280.0,5760.0,6864.0,13232.0,2608.0,544.0,3232.0,5728.0,5296.0,464.0,4352.0,3984.0,416.0,1024.0,5408.0,464.0,2496.0,6432.0,7616.0,46.9868,49.9898,129.974,99.9796
