time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.164001,10.0868,-1.83156,-0.220267,5680.0,3520.0,1248.0,848.0,2096.0,4352.0,10656.0,6160.0,5712.0,448.0,1840.0,6160.0,14368.0,19856.0,11200.0,9232.0,26336.0,1008.0,544.0,6160.0,12768.0,9152.0,1680.0,544.0,3808.0,432.0,1056.0,560.0,640.0,8160.0,5728.0,7552.0,9.99796,49.9898,39.9919,99.9796
0.283997,10.2113,-1.79086,-0.272939,4704.0,3504.0,1408.0,864.0,2048.0,4000.0,10624.0,7328.0,5600.0,416.0,3056.0,7392.0,14480.0,19760.0,10496.0,10208.0,29104.0,960.0,544.0,6176.0,12064.0,9168.0,1616.0,560.0,3808.0,448.0,1072.0,592.0,592.0,8064.0,5840.0,7568.0,9.99796,49.9898,40.9807,99.9796
0.403992,10.0461,-1.57299,0.28491,4624.0,3456.0,1312.0,832.0,2128.0,4416.0,10336.0,6272.0,5632.0,448.0,2896.0,6288.0,14352.0,19856.0,11200.0,10464.0,29568.0,960.0,576.0,6224.0,13696.0,9216.0,1632.0,560.0,3840.0,432.0,1072.0,544.0,608.0,8224.0,5808.0,7488.0,9.99796,49.9898,41.9695,99.9796
0.523987,10.1083,-1.74058,-0.311246,4624.0,3504.0,1456.0,848.0,1968.0,4544.0,10080.0,6976.0,5680.0,352.0,2464.0,6752.0,14528.0,19792.0,11168.0,10944.0,31456.0,976.0,560.0,6112.0,12320.0,9568.0,1616.0,576.0,3840.0,432.0,1056.0,592.0,592.0,8320.0,5760.0,7328.0,9.99796,49.9898,42.9949,99.9796
0.652008,10.1011,-1.66876,0.0694318,4528.0,3504.0,1312.0,896.0,1984.0,4624.0,10080.0,7040.0,5648.0,464.0,3008.0,7136.0,14640.0,19872.0,11264.0,10784.0,31760.0,960.0,544.0,6192.0,12176.0,9184.0,1664.0,576.0,3840.0,432.0,1056.0,576.0,560.0,8448.0,5776.0,7456.0,9.99796,49.9898,43.9837,99.9796
0.783997,10.0987,-1.70946,-0.0311246,4576.0,3456.0,1456.0,896.0,2048.0,4608.0,9824.0,6608.0,5632.0,464.0,2608.0,6352.0,14624.0,19888.0,11312.0,10800.0,30208.0,1024.0,544.0,6240.0,14144.0,9392.0,1696.0,640.0,3792.0,448.0,944.0,624.0,576.0,8496.0,5776.0,7456.0,9.99796,49.9898,44.9725,99.9796
0.902985,10.1634,-1.67833,-0.0861912,4768.0,3488.0,1408.0,944.0,1920.0,4576.0,9568.0,7216.0,5632.0,464.0,2608.0,7216.0,14688.0,19888.0,11344.0,10848.0,27680.0,1040.0,560.0,6336.0,13840.0,9376.0,1680.0,672.0,3808.0,464.0,1056.0,656.0,624.0,8336.0,5840.0,7120.0,9.99796,49.9898,45.998,99.9796
1.02399,10.0724,-1.68791,-0.035913,4704.0,3456.0,1360.0,832.0,1952.0,4544.0,9296.0,7136.0,5648.0,480.0,2912.0,7184.0,14544.0,19904.0,11392.0,10000.0,27072.0,1040.0,544.0,6272.0,14208.0,9168.0,1664.0,608.0,3856.0,416.0,1072.0,608.0,480.0,8480.0,5904.0,7488.0,9.99796,49.9898,46.9868,99.9796
1.14401,10.1179,-1.66876,-0.0407014,4736.0,3392.0,1456.0,800.0,1936.0,4432.0,8928.0,7200.0,5632.0,432.0,2304.0,7264.0,14560.0,19856.0,11408.0,10944.0,26864.0,976.0,512.0,6288.0,14224.0,9360.0,1760.0,608.0,3776.0,448.0,976.0,640.0,592.0,8672.0,5824.0,6976.0,9.99796,49.9898,47.9756,99.9796
1.263,10.0796,-1.76931,0.0167594,4608.0,3424.0,1488.0,832.0,1968.0,4400.0,8720.0,7216.0,5568.0,464.0,2832.0,7248.0,14528.0,19904.0,11392.0,11040.0,31408.0,1040.0,576.0,6400.0,14208.0,9184.0,1664.0,656.0,3808.0,400.0,1072.0,560.0,608.0,8528.0,5840.0,7472.0,9.99796,49.9898,48.9644,99.9796
1.383,10.1107,-1.68552,0.023942,4528.0,3424.0,1456.0,816.0,1952.0,4432.0,8512.0,7216.0,5600.0,480.0,2128.0,7248.0,14576.0,19920.0,11360.0,10880.0,33360.0,960.0,560.0,6368.0,14256.0,9232.0,1712.0,512.0,3840.0,448.0,1040.0,560.0,576.0,8720.0,5888.0,7632.0,9.99796,49.9898,49.9898,99.9796
1.52301,10.1131,-1.66397,-0.0335188,4656.0,3392.0,1456.0,800.0,2000.0,4416.0,8400.0,7216.0,5552.0,416.0,2352.0,7232.0,14624.0,19936.0,11328.0,10800.0,28736.0,960.0,544.0,6400.0,14288.0,9296.0,1680.0,592.0,3856.0,448.0,1024.0,608.0,576.0,8752.0,5840.0,7216.0,9.99796,49.9898,50.9786,99.9796
1.64301,10.161,-1.65439,0.00957681,4512.0,3488.0,1472.0,832.0,1952.0,4400.0,8480.0,7200.0,5600.0,464.0,2496.0,7216.0,14560.0,19904.0,11408.0,10752.0,33200.0,944.0,528.0,6448.0,14272.0,9216.0,1696.0,608.0,3808.0,448.0,1040.0,592.0,608.0,8816.0,5856.0,7664.0,9.99796,49.9898,51.9674,99.9796
1.763,10.0652,-1.70707,0.0,4496.0,3376.0,1536.0,768.0,1936.0,4336.0,8272.0,7200.0,5568.0,432.0,2368.0,7184.0,14528.0,19904.0,11360.0,9968.0,27536.0,1040.0,560.0,6512.0,14368.0,9232.0,1648.0,608.0,3808.0,480.0,1056.0,640.0,608.0,8640.0,5824.0,7552.0,9.99796,49.9898,52.9929,99.9796
1.88199,10.1754,-1.67594,-0.083797,4544.0,3456.0,1536.0,800.0,1968.0,4336.0,8192.0,7216.0,5472.0,464.0,2336.0,7312.0,14576.0,19888.0,11408.0,11008.0,30368.0,928.0,544.0,6496.0,14336.0,9216.0,1712.0,672.0,3840.0,464.0,1072.0,624.0,608.0,8800.0,5856.0,7616.0,9.99796,49.9898,53.9817,99.9796
2.004,10.0916,-1.66397,-0.0430956,4512.0,3408.0,1616.0,800.0,1936.0,4272.0,8288.0,7232.0,5536.0,432.0,2720.0,7216.0,14560.0,19920.0,11408.0,11024.0,32304.0,912.0,592.0,6496.0,14336.0,9552.0,1632.0,656.0,3872.0,464.0,1088.0,656.0,640.0,8704.0,5904.0,7472.0,9.99796,49.9898,54.9705,99.9796
2.12299,10.1299,-1.67594,0.0071826,4544.0,3360.0,1584.0,816.0,1936.0,4240.0,8176.0,7216.0,5568.0,448.0,2688.0,7184.0,14592.0,19936.0,11440.0,10944.0,33104.0,992.0,576.0,6480.0,14512.0,9776.0,1696.0,688.0,3824.0,448.0,1056.0,656.0,608.0,8912.0,5856.0,7680.0,9.99796,49.9898,55.9959,99.9796
2.25101,10.0748,-1.7358,-0.0263362,4480.0,3408.0,1600.0,800.0,1952.0,4384.0,8416.0,7184.0,5520.0,448.0,2704.0,7216.0,14608.0,19936.0,11424.0,10992.0,31376.0,880.0,608.0,6480.0,14496.0,9728.0,1744.0,640.0,3808.0,432.0,1072.0,672.0,608.0,8992.0,5808.0,7456.0,9.99796,49.9898,56.9847,99.9796
2.38199,10.0963,-1.74058,-0.0814028,4128.0,3536.0,1504.0,784.0,1936.0,4272.0,8272.0,7232.0,5520.0,464.0,2592.0,7168.0,14592.0,19936.0,11424.0,11072.0,29200.0,816.0,592.0,6464.0,14592.0,9760.0,1760.0,608.0,3792.0,432.0,960.0,656.0,640.0,9008.0,5888.0,6576.0,9.99796,49.9898,57.9735,99.9796
2.50299,10.1347,-1.6496,-0.0287304,4496.0,3456.0,1536.0,768.0,1920.0,4368.0,8224.0,7168.0,5472.0,432.0,2336.0,7264.0,14592.0,19952.0,11408.0,10768.0,28560.0,928.0,560.0,6544.0,14576.0,9696.0,1760.0,736.0,3808.0,464.0,976.0,688.0,608.0,8880.0,5856.0,6736.0,9.99796,49.9898,58.999,99.9796
2.62299,10.1275,-1.6496,0.1652,4608.0,3376.0,1584.0,800.0,1920.0,4304.0,8192.0,7232.0,5472.0,464.0,2256.0,7216.0,14672.0,19968.0,11408.0,10704.0,31568.0,896.0,560.0,6544.0,14528.0,9664.0,1760.0,656.0,3808.0,464.0,1024.0,656.0,592.0,8880.0,5856.0,6944.0,9.99796,49.9898,59.9878,99.9796
2.74301,9.89523,-1.85311,-0.19393,4672.0,3472.0,1584.0,800.0,1984.0,4368.0,8016.0,3984.0,5536.0,480.0,1632.0,4000.0,13216.0,19936.0,11984.0,11088.0,28848.0,832.0,576.0,6352.0,14816.0,9536.0,1712.0,704.0,3840.0,448.0,960.0,688.0,736.0,8592.0,5936.0,6464.0,9.99796,49.9898,60.9766,99.9796
2.862,10.2879,-1.76931,-0.368707,4416.0,3456.0,1600.0,864.0,1984.0,4256.0,7952.0,5648.0,5520.0,480.0,1616.0,5632.0,14208.0,20032.0,11840.0,11232.0,31488.0,832.0,592.0,6528.0,14624.0,9808.0,1728.0,816.0,3808.0,448.0,1024.0,800.0,720.0,8976.0,5824.0,7568.0,9.99796,49.9898,61.9654,99.9796
2.98199,9.97185,-2.22182,-0.282516,4144.0,3440.0,1584.0,960.0,1984.0,4224.0,7712.0,5728.0,5536.0,512.0,1728.0,5568.0,14240.0,20000.0,11824.0,11056.0,34192.0,896.0,576.0,6304.0,14288.0,9552.0,1696.0,816.0,3808.0,448.0,992.0,736.0,656.0,8960.0,5952.0,7312.0,9.99796,49.9898,62.9908,99.9796
3.12299,10.0269,-2.05422,-0.158017,4560.0,3520.0,1520.0,976.0,2000.0,2896.0,7568.0,3616.0,5504.0,512.0,1600.0,3984.0,8064.0,18512.0,11904.0,10512.0,28544.0,848.0,592.0,6592.0,14160.0,9536.0,1664.0,736.0,3840.0,464.0,1040.0,768.0,800.0,9024.0,5760.0,7424.0,9.99796,49.9898,63.9796,99.9796
