time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.142944,9.9096,-2.81558,-1.48201,9536.0,7040.0,3584.0,3712.0,5072.0,6016.0,7712.0,4384.0,6048.0,2320.0,3648.0,3792.0,1632.0,7040.0,7184.0,8176.0,26320.0,4192.0,7168.0,10928.0,14912.0,5600.0,3072.0,1952.0,5104.0,1808.0,1920.0,1840.0,2192.0,14176.0,5504.0,6704.0,29.9939,49.9898,89.9817,99.9796
0.26001,9.57201,-4.30477,3.08134,4816.0,5024.0,1600.0,1632.0,2992.0,4016.0,5840.0,2432.0,4416.0,464.0,1696.0,2848.0,1984.0,7536.0,6016.0,6928.0,35984.0,2272.0,816.0,1296.0,6224.0,6032.0,1664.0,1312.0,3296.0,512.0,1168.0,3280.0,4320.0,13360.0,4096.0,6336.0,29.9939,49.9898,89.9817,99.9796
0.383911,11.7507,-0.684741,-4.29998,8512.0,3840.0,3600.0,8160.0,3856.0,3616.0,5008.0,2048.0,4384.0,480.0,1840.0,2048.0,416.0,6160.0,6288.0,8112.0,42560.0,1408.0,464.0,1072.0,5904.0,4528.0,1808.0,608.0,3248.0,400.0,1152.0,528.0,1360.0,10400.0,4400.0,5408.0,31.9715,49.9898,89.9817,99.9796
0.50293,9.4116,-0.823605,-0.584185,5856.0,2816.0,1040.0,5328.0,3104.0,3616.0,5024.0,1936.0,4496.0,464.0,1744.0,3088.0,1664.0,7152.0,6688.0,7040.0,34816.0,1568.0,432.0,1040.0,6208.0,4112.0,1824.0,464.0,3200.0,1040.0,3072.0,1952.0,2784.0,11488.0,5456.0,6336.0,32.9969,49.9898,89.9817,99.9796
0.631958,9.35175,-1.79565,0.557849,11792.0,2896.0,1584.0,1408.0,1248.0,3648.0,5024.0,2240.0,4368.0,480.0,1744.0,3392.0,1760.0,7232.0,6624.0,6992.0,35744.0,1808.0,464.0,1024.0,6576.0,3904.0,1744.0,1424.0,3296.0,1280.0,3344.0,2640.0,3248.0,9072.0,6608.0,7712.0,33.9857,49.9898,89.9817,99.9796
0.761963,9.99339,-1.55862,-1.81241,7904.0,3760.0,1168.0,6064.0,3376.0,4784.0,6032.0,3104.0,5440.0,432.0,1728.0,1920.0,672.0,6144.0,5744.0,7200.0,39808.0,1664.0,496.0,1680.0,7632.0,6848.0,2512.0,1568.0,3344.0,432.0,1488.0,624.0,1568.0,10320.0,4368.0,6352.0,34.9746,49.9898,89.9817,99.9796
0.882935,9.9096,-1.60411,0.770933,4112.0,4320.0,1616.0,5040.0,2720.0,3712.0,5680.0,2256.0,4496.0,464.0,1824.0,2224.0,1072.0,7216.0,5664.0,7104.0,40224.0,2080.0,512.0,960.0,6080.0,5552.0,1616.0,1216.0,3264.0,448.0,1728.0,2272.0,2080.0,10896.0,3552.0,5904.0,35.9634,49.9898,89.9817,99.9796
1.00293,10.2041,-1.52989,-1.51313,3984.0,4032.0,1744.0,5568.0,2880.0,3680.0,5696.0,2048.0,4432.0,464.0,1792.0,3104.0,976.0,7248.0,6688.0,7824.0,40352.0,2304.0,512.0,960.0,5824.0,5536.0,1680.0,896.0,3360.0,768.0,2816.0,2064.0,2736.0,10720.0,3744.0,5648.0,36.9888,49.9898,89.9817,99.9796
1.12292,10.0006,-1.41976,0.155623,3776.0,4160.0,1664.0,5664.0,3360.0,3728.0,5648.0,2080.0,4448.0,480.0,1744.0,2048.0,944.0,7248.0,5600.0,6880.0,38016.0,2144.0,512.0,912.0,6080.0,5680.0,1696.0,1312.0,3360.0,416.0,1648.0,2352.0,3264.0,10832.0,3344.0,5776.0,37.9776,49.9898,89.9817,99.9796
1.24292,10.1849,-1.58496,-0.97444,3744.0,4096.0,1712.0,5248.0,3008.0,3680.0,5600.0,2240.0,4480.0,480.0,1664.0,3392.0,1584.0,7152.0,6672.0,7056.0,37904.0,2272.0,512.0,912.0,5840.0,5584.0,1712.0,1424.0,3344.0,1056.0,3280.0,2656.0,3168.0,11184.0,3632.0,5920.0,38.9664,49.9898,89.9817,99.9796
