time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.158203,9.04529,4.6232,-0.529118,65200.0,3376.0,6880.0,11312.0,10816.0,8320.0,5728.0,3840.0,3840.0,480.0,1744.0,3776.0,4864.0,15920.0,14080.0,12736.0,43568.0,3024.0,560.0,2352.0,4224.0,4912.0,608.0,416.0,4224.0,432.0,432.0,416.0,1216.0,4640.0,9216.0,9728.0,29.9939,49.9898,89.9817,99.9796
0.275391,9.02374,4.6232,-0.543483,65248.0,3280.0,6848.0,11344.0,10768.0,8368.0,5712.0,3776.0,3840.0,480.0,1712.0,3760.0,4928.0,15904.0,14016.0,12592.0,39040.0,3024.0,544.0,2272.0,4176.0,4608.0,560.0,400.0,4208.0,448.0,432.0,400.0,1040.0,4992.0,9264.0,8960.0,29.9939,49.9898,89.9817,99.9796
0.394531,9.06205,4.69024,-0.493205,65264.0,3232.0,6896.0,11344.0,10832.0,8464.0,5600.0,3744.0,3792.0,480.0,1776.0,3760.0,4992.0,16016.0,14032.0,11968.0,37216.0,3072.0,544.0,2320.0,4160.0,4496.0,560.0,400.0,4176.0,432.0,448.0,400.0,1360.0,4704.0,9232.0,9120.0,29.9939,49.9898,89.9817,99.9796
0.509766,9.01896,4.6639,-0.555454,65280.0,3216.0,6912.0,11280.0,10832.0,8480.0,5360.0,3776.0,3808.0,528.0,1808.0,3776.0,4960.0,15904.0,13984.0,12352.0,44256.0,3008.0,576.0,2304.0,4112.0,4528.0,528.0,432.0,4256.0,432.0,416.0,400.0,1440.0,4736.0,9200.0,9504.0,29.9939,49.9898,89.9817,99.9796
0.634766,8.98544,4.59687,-0.531512,65248.0,3296.0,6960.0,10976.0,10832.0,8480.0,5200.0,3856.0,3808.0,544.0,1712.0,3792.0,5024.0,15968.0,13984.0,12736.0,45744.0,2976.0,560.0,2320.0,4128.0,4544.0,560.0,384.0,4224.0,448.0,464.0,384.0,1456.0,4512.0,9168.0,9600.0,29.9939,49.9898,89.9817,99.9796
0.753906,9.07881,4.62799,-0.533907,65296.0,3312.0,6960.0,11024.0,10896.0,8464.0,5248.0,3808.0,3792.0,528.0,1712.0,3856.0,4896.0,15936.0,14000.0,11984.0,34848.0,3040.0,640.0,2272.0,4128.0,4320.0,560.0,384.0,4240.0,432.0,432.0,448.0,1424.0,4512.0,9040.0,8512.0,29.9939,49.9898,89.9817,99.9796
0.869141,9.03093,4.58011,-0.567425,65248.0,3344.0,6912.0,11024.0,10896.0,8496.0,5536.0,3808.0,3808.0,528.0,1744.0,3808.0,4928.0,15920.0,14016.0,11456.0,35520.0,2960.0,576.0,2352.0,4128.0,4272.0,576.0,416.0,4224.0,432.0,432.0,400.0,1408.0,4704.0,9264.0,8432.0,29.9939,49.9898,89.9817,99.9796
0.988281,9.02853,4.55856,-0.591368,65264.0,3376.0,6928.0,10944.0,10848.0,8528.0,5520.0,3776.0,3856.0,528.0,1616.0,3776.0,4944.0,16048.0,14032.0,12800.0,41456.0,2992.0,576.0,2304.0,4128.0,4368.0,528.0,400.0,4176.0,432.0,400.0,400.0,1424.0,4576.0,9104.0,9680.0,29.9939,49.9898,89.9817,99.9796
1.10742,9.03332,4.63278,-0.562637,65248.0,3280.0,6976.0,10976.0,10880.0,8496.0,5424.0,3856.0,3808.0,528.0,1664.0,3808.0,5008.0,15936.0,14080.0,12416.0,39440.0,3056.0,528.0,2352.0,4016.0,4912.0,544.0,384.0,4192.0,416.0,432.0,400.0,1408.0,4528.0,9168.0,9616.0,29.9939,49.9898,89.9817,99.9796
1.22461,9.05487,4.70939,-0.59855,65216.0,3328.0,6960.0,10944.0,10896.0,8512.0,5280.0,3728.0,3808.0,576.0,1664.0,3760.0,5056.0,15952.0,14032.0,11760.0,38944.0,2992.0,592.0,2224.0,4000.0,4320.0,560.0,384.0,4224.0,416.0,432.0,320.0,1440.0,4368.0,9296.0,8432.0,29.9939,49.9898,89.9817,99.9796
