time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.156738,10.0772,-1.72861,-0.543483,4928.0,2656.0,2080.0,1120.0,2304.0,3792.0,8976.0,12768.0,3632.0,496.0,3232.0,12784.0,13072.0,10880.0,5184.0,6960.0,31184.0,1296.0,3392.0,10176.0,14832.0,9696.0,736.0,1040.0,4368.0,448.0,464.0,1024.0,784.0,10912.0,7456.0,8368.0,29.9939,49.9898,89.9817,99.9796
0.272949,10.0844,-1.68791,-0.538695,4336.0,2576.0,2144.0,1312.0,2304.0,3776.0,9024.0,12800.0,3680.0,464.0,3312.0,12800.0,13184.0,10848.0,5152.0,6832.0,30720.0,1360.0,3504.0,10016.0,14816.0,9712.0,768.0,1040.0,4336.0,448.0,480.0,1008.0,752.0,10832.0,7456.0,8480.0,29.9939,49.9898,89.9817,99.9796
0.388672,10.0461,-1.71185,-0.543483,4128.0,2608.0,2080.0,1216.0,2288.0,3872.0,8992.0,12736.0,3616.0,512.0,3312.0,12720.0,13104.0,10832.0,5168.0,6704.0,28880.0,1360.0,3424.0,10160.0,14832.0,9728.0,720.0,1024.0,4352.0,416.0,432.0,1008.0,736.0,10816.0,7456.0,8176.0,29.9939,49.9898,89.9817,99.9796
0.505859,10.0724,-1.7358,-0.521936,4096.0,2624.0,2080.0,1216.0,2320.0,3776.0,8976.0,12736.0,3664.0,448.0,3344.0,12800.0,13120.0,10832.0,5088.0,6128.0,26960.0,1312.0,3328.0,10208.0,14768.0,9680.0,736.0,1024.0,4320.0,448.0,464.0,976.0,736.0,10800.0,7424.0,8496.0,29.9939,49.9898,89.9817,99.9796
0.629883,10.1275,-1.73819,-0.43335,3904.0,2608.0,2048.0,1184.0,2256.0,3808.0,8928.0,12768.0,3664.0,464.0,3360.0,12816.0,13104.0,10832.0,5184.0,6816.0,27456.0,1312.0,3344.0,10240.0,14800.0,9744.0,736.0,976.0,4384.0,512.0,448.0,976.0,768.0,10800.0,7472.0,8064.0,29.9939,49.9898,89.9817,99.9796
0.745605,10.1203,-1.68073,-0.426168,4176.0,2592.0,2000.0,1056.0,2320.0,3792.0,9040.0,12832.0,3664.0,480.0,3360.0,12736.0,13104.0,10848.0,5152.0,6800.0,26112.0,1344.0,3392.0,10160.0,14800.0,9792.0,736.0,1008.0,4320.0,464.0,464.0,992.0,720.0,10864.0,7504.0,8352.0,29.9939,49.9898,89.9817,99.9796
0.86084,10.0317,-1.71185,-0.567425,4032.0,2576.0,2000.0,1168.0,2304.0,3792.0,8992.0,12816.0,3568.0,480.0,3280.0,12768.0,13104.0,10912.0,5152.0,6816.0,30736.0,1392.0,3328.0,10144.0,14800.0,9776.0,736.0,992.0,4368.0,480.0,448.0,992.0,784.0,10960.0,7456.0,8320.0,29.9939,49.9898,89.9817,99.9796
0.978027,10.003,-1.69988,-0.442927,4032.0,2560.0,1872.0,1072.0,2256.0,3840.0,8992.0,12816.0,3648.0,464.0,3360.0,12784.0,13088.0,10960.0,5136.0,6048.0,27024.0,1392.0,3424.0,10256.0,14816.0,9744.0,704.0,992.0,4336.0,448.0,432.0,1072.0,784.0,10944.0,7504.0,8272.0,29.9939,49.9898,89.9817,99.9796
1.09375,10.0413,-1.74298,-0.47884,4288.0,2560.0,1824.0,1120.0,2320.0,3840.0,9024.0,12784.0,3552.0,512.0,3312.0,12784.0,13072.0,10880.0,5168.0,6432.0,28288.0,1360.0,3376.0,10208.0,14816.0,9760.0,736.0,1024.0,4368.0,448.0,432.0,992.0,736.0,10912.0,7520.0,8384.0,29.9939,49.9898,89.9817,99.9796
1.20996,10.0365,-1.71425,-0.474052,4112.0,2496.0,1856.0,1104.0,2256.0,3808.0,9008.0,12752.0,3616.0,432.0,3264.0,12816.0,13120.0,10880.0,5120.0,6624.0,27120.0,1360.0,3408.0,10240.0,14736.0,9776.0,720.0,960.0,4368.0,448.0,416.0,992.0,736.0,10944.0,7552.0,7360.0,29.9939,49.9898,89.9817,99.9796
1.32471,10.0245,-1.72143,-0.519542,4000.0,2512.0,1936.0,1200.0,2256.0,3824.0,8992.0,12832.0,3632.0,464.0,3248.0,12768.0,13088.0,10848.0,5120.0,6848.0,32320.0,1360.0,3360.0,10224.0,14752.0,9744.0,832.0,1008.0,4368.0,448.0,448.0,1040.0,736.0,10944.0,7488.0,8112.0,29.9939,49.9898,89.9817,99.9796
1.44873,10.0892,-1.70467,-0.584185,4144.0,2528.0,1952.0,1184.0,2320.0,3808.0,8960.0,12800.0,3632.0,464.0,3248.0,12800.0,13072.0,10944.0,5168.0,6800.0,27584.0,1328.0,3408.0,10304.0,14656.0,9760.0,720.0,1008.0,4368.0,448.0,448.0,976.0,736.0,10976.0,7472.0,8176.0,29.9939,49.9898,89.9817,99.9796
1.56494,10.161,-1.75255,-0.536301,3808.0,2528.0,1904.0,1760.0,2240.0,3808.0,8992.0,12832.0,3616.0,480.0,3360.0,12832.0,13120.0,10976.0,5168.0,6896.0,26880.0,1360.0,3280.0,10192.0,14672.0,9824.0,784.0,1008.0,4368.0,448.0,416.0,1024.0,752.0,10992.0,7472.0,7744.0,29.9939,49.9898,89.9817,99.9796
