time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.164993,12.8257,7.8051,0.047884,5200.0,4480.0,3904.0,3856.0,3936.0,7264.0,5776.0,5584.0,5936.0,2864.0,5728.0,5008.0,5040.0,7104.0,7632.0,8624.0,12608.0,2304.0,3232.0,6448.0,20064.0,5776.0,1872.0,1888.0,4960.0,1856.0,2304.0,288.0,1840.0,8032.0,4912.0,6656.0,9.99796,49.9898,39.9919,99.9796
0.284988,8.53772,1.72143,-2.13323,3632.0,2848.0,1840.0,1776.0,2144.0,5024.0,4128.0,4016.0,3600.0,672.0,4144.0,4736.0,3968.0,5776.0,6992.0,7648.0,29488.0,1104.0,1072.0,2304.0,6592.0,7120.0,432.0,384.0,4432.0,1008.0,1792.0,848.0,1296.0,4256.0,4640.0,6048.0,9.99796,49.9898,40.9807,99.9796
0.404999,10.8745,-3.5913,11.6669,3776.0,3264.0,2176.0,1984.0,2352.0,4544.0,3680.0,8128.0,3504.0,464.0,4352.0,10016.0,5824.0,9792.0,6416.0,6832.0,32384.0,1312.0,1312.0,2912.0,2960.0,6352.0,448.0,0.0,4112.0,1216.0,1632.0,1856.0,1680.0,5696.0,3088.0,5280.0,9.99796,49.9898,41.9695,99.9796
0.526001,12.402,6.78277,-1.54905,3072.0,2400.0,1552.0,816.0,1712.0,4624.0,3104.0,10304.0,3632.0,1744.0,5456.0,10240.0,4672.0,13344.0,11696.0,11056.0,43216.0,448.0,480.0,3040.0,1680.0,6832.0,432.0,672.0,6464.0,2480.0,928.0,320.0,448.0,4384.0,3296.0,5504.0,9.99796,49.9898,42.9949,99.9796
0.653,9.36372,5.46836,-0.852335,6560.0,1104.0,1440.0,576.0,3696.0,13728.0,3008.0,9392.0,4272.0,544.0,10656.0,11424.0,12176.0,14688.0,14016.0,12208.0,38464.0,448.0,448.0,2992.0,1440.0,6688.0,464.0,384.0,4176.0,1360.0,3008.0,336.0,592.0,5376.0,2480.0,4704.0,9.99796,49.9898,43.9837,99.9796
0.783997,8.2552,6.52899,1.38385,31248.0,1184.0,1168.0,976.0,6544.0,14992.0,3216.0,6096.0,4016.0,560.0,4000.0,5552.0,4256.0,11728.0,11136.0,10256.0,39840.0,448.0,496.0,4864.0,1488.0,6368.0,432.0,384.0,4192.0,448.0,1040.0,384.0,768.0,5152.0,2576.0,5056.0,9.99796,49.9898,44.9725,99.9796
0.903992,9.54807,4.21379,-1.28808,28592.0,912.0,1408.0,896.0,4768.0,14992.0,4752.0,9008.0,4544.0,576.0,8544.0,10544.0,10976.0,14096.0,13248.0,12128.0,39824.0,448.0,464.0,2992.0,1408.0,6592.0,432.0,288.0,4192.0,1024.0,2992.0,384.0,896.0,5168.0,2608.0,5168.0,9.99796,49.9898,45.998,99.9796
1.02499,9.71806,3.95761,0.471658,28288.0,1328.0,1376.0,832.0,4352.0,15680.0,5088.0,9760.0,4688.0,608.0,8992.0,9776.0,12176.0,14256.0,14320.0,12752.0,40704.0,448.0,448.0,2976.0,1504.0,6704.0,432.0,320.0,4240.0,528.0,1040.0,336.0,752.0,5024.0,2640.0,4944.0,9.99796,49.9898,46.9868,99.9796
1.14499,9.65342,3.69904,-0.0071826,7952.0,2096.0,1056.0,1040.0,4288.0,15824.0,4560.0,9120.0,4096.0,544.0,5664.0,9168.0,12528.0,15152.0,14528.0,12672.0,35072.0,432.0,464.0,2976.0,1504.0,6624.0,448.0,336.0,4160.0,496.0,944.0,384.0,704.0,5040.0,2704.0,4688.0,9.99796,49.9898,47.9756,99.9796
1.265,9.67018,3.3854,-0.203507,24560.0,2176.0,992.0,1216.0,4448.0,15872.0,4752.0,9728.0,4192.0,560.0,9456.0,11600.0,12592.0,14944.0,14672.0,12848.0,40416.0,416.0,432.0,2960.0,1456.0,6560.0,448.0,336.0,4272.0,544.0,688.0,432.0,656.0,5168.0,2992.0,5264.0,9.99796,49.9898,48.9644,99.9796
