time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.186035,12.0285,-0.790086,1.69509,64640.0,4224.0,1792.0,6048.0,8176.0,16512.0,10128.0,4032.0,4912.0,848.0,6016.0,3936.0,4512.0,10448.0,10336.0,8720.0,32288.0,896.0,752.0,3232.0,2656.0,5712.0,960.0,656.0,3632.0,864.0,1408.0,320.0,2784.0,7424.0,2528.0,4480.0,29.9939,49.9898,89.9817,99.9796
0.30603,9.95988,0.208295,-0.181959,61008.0,1152.0,2000.0,2080.0,3024.0,2688.0,9360.0,3456.0,3568.0,1056.0,5872.0,4224.0,3392.0,7696.0,6704.0,7072.0,45232.0,448.0,464.0,2944.0,2160.0,5248.0,528.0,336.0,5024.0,3232.0,1728.0,1632.0,1408.0,3776.0,1936.0,4576.0,30.9827,49.9898,89.9817,99.9796
0.426025,9.85693,0.636858,0.248997,7776.0,1072.0,1408.0,1808.0,1792.0,2624.0,9088.0,3376.0,3296.0,464.0,5376.0,6208.0,3360.0,8976.0,7392.0,7664.0,43472.0,448.0,400.0,2960.0,2192.0,5152.0,560.0,384.0,3488.0,2368.0,2176.0,2096.0,2080.0,5952.0,960.0,4448.0,31.9715,49.9898,89.9817,99.9796
0.545044,9.51216,0.888249,-0.146046,5408.0,768.0,1584.0,1856.0,2528.0,2400.0,8192.0,3216.0,3104.0,1424.0,6448.0,4896.0,2368.0,8896.0,7056.0,6688.0,45392.0,368.0,464.0,3008.0,2208.0,5024.0,592.0,384.0,5072.0,1296.0,2336.0,1968.0,1952.0,5808.0,2224.0,4656.0,32.9969,49.9898,89.9817,99.9796
0.67395,9.97424,1.10373,0.972046,3232.0,864.0,1536.0,2576.0,3008.0,2320.0,8192.0,3248.0,3328.0,464.0,3968.0,4400.0,3104.0,7632.0,5680.0,6560.0,45280.0,448.0,448.0,2928.0,2144.0,5296.0,560.0,416.0,3456.0,512.0,2176.0,0.0,448.0,4704.0,2048.0,4512.0,33.9857,49.9898,89.9817,99.9796
0.805054,9.88326,0.90022,0.217872,6480.0,944.0,1808.0,2832.0,4608.0,4192.0,8176.0,3232.0,3312.0,464.0,3984.0,3200.0,1168.0,7488.0,5552.0,6784.0,45792.0,432.0,496.0,4384.0,1104.0,5296.0,512.0,384.0,3488.0,448.0,512.0,384.0,464.0,4672.0,2656.0,4864.0,34.9746,49.9898,89.9817,99.9796
0.925049,11.2934,1.81002,0.150835,11424.0,736.0,1824.0,2928.0,3760.0,2464.0,8064.0,3168.0,3376.0,432.0,4176.0,3152.0,1152.0,7568.0,5408.0,6800.0,49552.0,448.0,432.0,2960.0,2192.0,5296.0,560.0,320.0,5200.0,1648.0,2336.0,2064.0,2128.0,4496.0,4912.0,6928.0,35.9634,49.9898,89.9817,99.9796
1.04504,10.3669,1.40779,0.390255,47168.0,2256.0,1632.0,2864.0,2864.0,2512.0,8064.0,3232.0,3280.0,464.0,4112.0,4896.0,1120.0,7472.0,5200.0,6496.0,46096.0,448.0,432.0,2992.0,2128.0,5312.0,512.0,336.0,4592.0,3232.0,2320.0,1808.0,2144.0,5600.0,4656.0,6560.0,36.9888,49.9898,89.9817,99.9796
1.16504,10.2376,0.167594,-0.203507,50144.0,2560.0,3408.0,2704.0,2864.0,2752.0,8192.0,3216.0,3296.0,464.0,4224.0,4672.0,128.0,7376.0,5216.0,5904.0,44368.0,432.0,432.0,2944.0,2176.0,5296.0,512.0,352.0,3472.0,480.0,944.0,352.0,752.0,4816.0,5104.0,6864.0,37.9776,49.9898,89.9817,99.9796
1.28503,10.2256,1.25696,0.059855,50448.0,1216.0,2880.0,2736.0,4096.0,2816.0,8208.0,3200.0,3312.0,464.0,4240.0,3232.0,1168.0,7312.0,5184.0,6592.0,45520.0,432.0,400.0,3008.0,2208.0,5248.0,544.0,400.0,3552.0,432.0,896.0,400.0,1008.0,4720.0,5248.0,5808.0,38.9664,49.9898,89.9817,99.9796
1.40503,10.3382,0.864306,-0.059855,43824.0,1280.0,2208.0,2464.0,3376.0,2784.0,8176.0,3232.0,3296.0,464.0,4192.0,4816.0,1200.0,7296.0,5168.0,6640.0,45872.0,448.0,448.0,3008.0,2144.0,5216.0,576.0,352.0,3456.0,1712.0,2784.0,352.0,688.0,5568.0,5568.0,6080.0,39.9919,49.9898,89.9817,99.9796
