time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.156006,10.2472,0.301669,-0.332794,24560.0,3328.0,2272.0,2624.0,5984.0,11040.0,5840.0,7104.0,5008.0,432.0,14272.0,7072.0,2960.0,16608.0,16144.0,14112.0,25136.0,2784.0,448.0,3120.0,23536.0,14112.0,1008.0,480.0,3920.0,448.0,992.0,480.0,432.0,4752.0,10816.0,10688.0,29.9939,49.9898,89.9817,99.9796
0.27301,10.2615,0.292093,-0.3304,23632.0,3360.0,2368.0,2608.0,6048.0,11088.0,5744.0,7120.0,4960.0,464.0,14256.0,7088.0,2976.0,16544.0,16192.0,13456.0,22432.0,2848.0,464.0,3056.0,23440.0,14112.0,1056.0,448.0,3920.0,464.0,976.0,464.0,480.0,4688.0,10800.0,9808.0,29.9939,49.9898,89.9817,99.9796
0.389008,10.2328,0.265756,-0.263362,24128.0,3376.0,2272.0,2432.0,6080.0,11040.0,5744.0,7104.0,5008.0,528.0,14272.0,7104.0,2976.0,16560.0,16160.0,14272.0,23488.0,2848.0,432.0,3104.0,23504.0,14048.0,1056.0,480.0,3920.0,432.0,976.0,464.0,448.0,4672.0,10784.0,10432.0,29.9939,49.9898,89.9817,99.9796
0.505005,10.2927,0.225055,-0.256179,25904.0,3408.0,2384.0,2208.0,6016.0,11024.0,5808.0,7168.0,4944.0,512.0,14256.0,7136.0,2960.0,16560.0,16192.0,14096.0,22992.0,2848.0,432.0,3088.0,23504.0,14016.0,1088.0,464.0,3936.0,432.0,944.0,416.0,480.0,4656.0,10768.0,10496.0,29.9939,49.9898,89.9817,99.9796
0.628998,10.1921,0.280121,-0.304064,25680.0,3376.0,2352.0,2192.0,6144.0,10976.0,5792.0,7136.0,4944.0,480.0,14272.0,7136.0,2944.0,16608.0,16192.0,13952.0,21168.0,2864.0,416.0,3072.0,23472.0,14016.0,1072.0,464.0,3904.0,512.0,928.0,432.0,448.0,4576.0,11088.0,10816.0,29.9939,49.9898,89.9817,99.9796
0.744995,10.2568,0.318429,-0.251391,28992.0,3408.0,2384.0,2224.0,6016.0,10960.0,5760.0,7184.0,4960.0,464.0,14240.0,7120.0,2912.0,16592.0,16144.0,12048.0,21920.0,2864.0,448.0,3072.0,23520.0,13904.0,1104.0,448.0,3904.0,432.0,944.0,448.0,448.0,4624.0,11072.0,10416.0,29.9939,49.9898,89.9817,99.9796
0.860992,10.2424,0.332794,-0.306458,29104.0,3360.0,2304.0,2272.0,6096.0,11008.0,5760.0,7104.0,5008.0,480.0,14224.0,7184.0,2960.0,16576.0,16192.0,14384.0,23936.0,2912.0,464.0,3024.0,23488.0,14096.0,1056.0,480.0,3920.0,448.0,960.0,432.0,448.0,4624.0,11296.0,10096.0,29.9939,49.9898,89.9817,99.9796
0.97699,10.1682,0.289698,-0.31364,28864.0,3360.0,2368.0,2400.0,6080.0,10976.0,5760.0,7136.0,4912.0,480.0,14176.0,7136.0,3056.0,16640.0,16208.0,13248.0,22064.0,2880.0,432.0,3040.0,23504.0,14080.0,1056.0,464.0,3920.0,448.0,960.0,480.0,480.0,4528.0,11088.0,10944.0,29.9939,49.9898,89.9817,99.9796
1.09299,10.2256,0.241814,-0.248997,31648.0,3472.0,2400.0,2512.0,6032.0,10960.0,5680.0,7120.0,4960.0,512.0,14240.0,7120.0,2992.0,16560.0,16256.0,14080.0,23488.0,2912.0,448.0,3008.0,23504.0,13952.0,1056.0,416.0,3984.0,464.0,976.0,432.0,448.0,4608.0,11072.0,10592.0,29.9939,49.9898,89.9817,99.9796
1.20999,10.2184,0.294487,-0.311246,29504.0,3360.0,2192.0,2528.0,6096.0,10976.0,5792.0,7120.0,4960.0,480.0,14176.0,7056.0,3008.0,16608.0,16208.0,14224.0,23872.0,2864.0,464.0,3024.0,23504.0,14048.0,1072.0,400.0,3920.0,432.0,928.0,400.0,432.0,4576.0,11008.0,10672.0,29.9939,49.9898,89.9817,99.9796
1.327,10.2304,0.277727,-0.246603,31792.0,3376.0,2336.0,2576.0,5984.0,10960.0,5824.0,7072.0,4944.0,528.0,14160.0,7056.0,2992.0,16592.0,16208.0,14144.0,25152.0,2912.0,448.0,3024.0,23520.0,14048.0,1072.0,432.0,3920.0,464.0,944.0,448.0,448.0,4608.0,10848.0,9600.0,29.9939,49.9898,89.9817,99.9796
1.45099,10.2352,0.296881,-0.306458,28464.0,3344.0,2368.0,2592.0,6080.0,10928.0,5824.0,7120.0,4960.0,480.0,14176.0,7136.0,3008.0,16592.0,16176.0,14176.0,23040.0,2944.0,448.0,2912.0,23488.0,14048.0,1056.0,480.0,3952.0,416.0,944.0,448.0,464.0,4544.0,10816.0,9152.0,29.9939,49.9898,89.9817,99.9796
1.56699,10.2448,0.351948,-0.306458,28768.0,3376.0,2384.0,2528.0,6096.0,10912.0,5792.0,7120.0,4992.0,480.0,14224.0,7120.0,3008.0,16544.0,16192.0,14176.0,24048.0,2864.0,432.0,2992.0,23456.0,14032.0,1184.0,416.0,3936.0,448.0,944.0,400.0,464.0,4544.0,10832.0,10656.0,29.9939,49.9898,89.9817,99.9796
1.68201,10.2065,0.299275,-0.280121,28384.0,3360.0,2352.0,2528.0,6160.0,10960.0,5728.0,7104.0,4960.0,528.0,14160.0,7136.0,3456.0,16608.0,16144.0,13392.0,23424.0,2912.0,432.0,3008.0,23472.0,13952.0,1056.0,480.0,3968.0,464.0,912.0,416.0,464.0,4608.0,10992.0,10736.0,29.9939,49.9898,89.9817,99.9796
1.79999,10.2424,0.325611,-0.325611,30096.0,3392.0,2304.0,2576.0,6144.0,10928.0,5728.0,7136.0,4928.0,528.0,14208.0,7184.0,3504.0,16560.0,16160.0,14400.0,26368.0,2880.0,400.0,3072.0,23456.0,14032.0,1040.0,464.0,3936.0,448.0,992.0,448.0,416.0,4560.0,11136.0,10272.0,29.9939,49.9898,89.9817,99.9796
1.91599,10.2113,0.282516,-0.28491,32384.0,3360.0,2272.0,2496.0,6208.0,10896.0,5616.0,7152.0,4880.0,512.0,14208.0,7120.0,3472.0,16592.0,16224.0,14288.0,24624.0,2896.0,432.0,3024.0,23472.0,13936.0,1056.0,384.0,3936.0,448.0,912.0,448.0,432.0,4544.0,10928.0,10656.0,29.9939,49.9898,89.9817,99.9796
2.03201,10.1873,0.299275,-0.328006,28496.0,3376.0,2368.0,2512.0,6176.0,10928.0,5680.0,7120.0,4864.0,512.0,14160.0,7136.0,3472.0,16656.0,16208.0,14224.0,24768.0,2992.0,432.0,3120.0,23456.0,14128.0,1056.0,448.0,3920.0,432.0,944.0,416.0,400.0,4512.0,11056.0,10832.0,29.9939,49.9898,89.9817,99.9796
2.15601,10.1754,0.318429,-0.311246,29520.0,3360.0,2272.0,2528.0,6224.0,11040.0,5536.0,7168.0,4816.0,480.0,14224.0,7168.0,3424.0,16640.0,16208.0,14256.0,24784.0,2928.0,448.0,3200.0,23504.0,13952.0,1088.0,480.0,3920.0,448.0,960.0,480.0,432.0,4512.0,11056.0,10192.0,29.9939,49.9898,89.9817,99.9796
