time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.172363,7.01501,-3.71341,-0.579397,65008.0,5056.0,13616.0,6160.0,7232.0,10320.0,10240.0,6832.0,8176.0,2576.0,5216.0,5712.0,4832.0,9600.0,11424.0,10112.0,57360.0,3792.0,2512.0,4384.0,8176.0,8176.0,1968.0,2192.0,10016.0,1792.0,2624.0,640.0,2464.0,10032.0,3152.0,4896.0,49.9898,49.9898,59.9878,99.9796
0.286133,8.59279,4.44124,-0.442927,63424.0,1536.0,8576.0,3872.0,4640.0,9120.0,8320.0,5712.0,8288.0,496.0,3792.0,6224.0,7120.0,11568.0,8880.0,8176.0,56752.0,464.0,448.0,4048.0,4896.0,10464.0,432.0,704.0,8176.0,448.0,1344.0,720.0,1104.0,8096.0,2944.0,5296.0,49.9898,49.9898,59.9878,99.9796
0.398438,10.0628,-1.10133,0.871489,10784.0,1680.0,4960.0,544.0,3232.0,10064.0,8128.0,7376.0,8176.0,480.0,5152.0,8688.0,8832.0,15968.0,11856.0,11216.0,60480.0,448.0,448.0,2624.0,4112.0,8176.0,576.0,864.0,8576.0,1984.0,1440.0,944.0,1488.0,8848.0,7472.0,8464.0,49.9898,49.9898,59.9878,99.9796
0.51123,10.2256,-0.215478,-1.82917,61440.0,1424.0,5856.0,1040.0,3200.0,9216.0,8176.0,8848.0,9296.0,528.0,4416.0,8672.0,9616.0,16480.0,11984.0,10336.0,56032.0,432.0,448.0,2656.0,4256.0,7488.0,704.0,928.0,8128.0,448.0,1424.0,944.0,1424.0,9648.0,9888.0,9360.0,49.9898,49.9898,59.9878,99.9796
0.632324,10.2089,-0.45011,0.248997,18656.0,1552.0,6096.0,1216.0,3488.0,9376.0,8176.0,9120.0,9536.0,480.0,4768.0,9088.0,10032.0,16992.0,12160.0,10752.0,56128.0,432.0,448.0,2672.0,6144.0,6416.0,816.0,944.0,8416.0,400.0,1536.0,976.0,1536.0,8512.0,8672.0,9008.0,49.9898,49.9898,59.9878,99.9796
0.74707,10.2065,0.234632,-0.220267,20736.0,1552.0,6112.0,1264.0,4832.0,9712.0,8448.0,8672.0,9104.0,528.0,4496.0,8672.0,10112.0,17040.0,12288.0,11440.0,57008.0,432.0,496.0,2624.0,4192.0,7648.0,816.0,992.0,8176.0,448.0,1488.0,960.0,1552.0,8848.0,9008.0,9936.0,49.9898,49.9898,59.9878,99.9796
0.860352,10.252,0.320823,-0.529118,20384.0,1648.0,6128.0,1504.0,3536.0,9536.0,8224.0,9056.0,9456.0,496.0,4544.0,9056.0,10464.0,17088.0,12288.0,11600.0,56896.0,464.0,432.0,2624.0,4640.0,7632.0,800.0,1040.0,8256.0,464.0,1440.0,960.0,1488.0,9056.0,9024.0,9504.0,49.9898,49.9898,59.9878,99.9796
0.974121,10.1083,0.131681,-0.124498,18880.0,1632.0,6080.0,1488.0,3600.0,9648.0,8320.0,9024.0,9296.0,448.0,4560.0,9040.0,10512.0,17184.0,12336.0,11488.0,56688.0,448.0,480.0,2608.0,4688.0,7680.0,800.0,960.0,8352.0,464.0,1504.0,976.0,1536.0,9280.0,9056.0,9648.0,49.9898,49.9898,59.9878,99.9796
1.08838,10.2161,0.1652,-0.229843,19072.0,1600.0,6160.0,1536.0,3616.0,9680.0,8512.0,8944.0,9296.0,480.0,4336.0,8944.0,10560.0,17168.0,12352.0,11792.0,59600.0,496.0,448.0,2656.0,4672.0,7680.0,832.0,912.0,8320.0,448.0,1376.0,944.0,1488.0,9296.0,9056.0,9072.0,49.9898,49.9898,59.9878,99.9796
1.20215,10.1921,0.205901,-0.361524,20880.0,1632.0,6080.0,1616.0,3616.0,9696.0,8496.0,9056.0,9280.0,448.0,4352.0,9024.0,10624.0,17168.0,12336.0,10880.0,56912.0,432.0,416.0,2624.0,4560.0,7648.0,800.0,912.0,8384.0,432.0,1344.0,880.0,1600.0,9424.0,9088.0,9616.0,49.9898,49.9898,59.9878,99.9796
