time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.145,7.54173,-1.01514,-0.835576,11152.0,6848.0,4784.0,4096.0,4864.0,9184.0,10016.0,4960.0,6720.0,2832.0,6544.0,4816.0,2560.0,7296.0,7680.0,8512.0,47792.0,5984.0,3392.0,8720.0,12288.0,10704.0,2752.0,3264.0,5296.0,2224.0,2960.0,2992.0,2704.0,12288.0,4256.0,6304.0,49.9898,49.9898,59.9878,99.9796
0.247002,7.69017,-6.25605,-0.921767,4960.0,3280.0,1536.0,1216.0,2048.0,6640.0,8016.0,2496.0,4624.0,448.0,4608.0,2576.0,1024.0,5984.0,6880.0,8064.0,48944.0,2800.0,464.0,3664.0,6144.0,8992.0,896.0,1344.0,3648.0,464.0,1280.0,1360.0,1696.0,12128.0,8576.0,10384.0,49.9898,49.9898,59.9878,99.9796
0.350002,9.14106,-5.35822,-1.59454,3968.0,3264.0,1584.0,1264.0,1968.0,6608.0,8064.0,2496.0,4816.0,448.0,4512.0,2512.0,2352.0,6592.0,6896.0,7920.0,50944.0,2816.0,464.0,2368.0,4880.0,8128.0,896.0,1376.0,3696.0,432.0,1056.0,1424.0,2816.0,16448.0,10128.0,10288.0,49.9898,49.9898,59.9878,99.9796
0.452999,5.82509,1.69509,3.50032,3712.0,3264.0,1568.0,1184.0,2080.0,6496.0,7728.0,2896.0,4544.0,1536.0,8384.0,5920.0,1712.0,5392.0,5696.0,7216.0,51152.0,2784.0,480.0,2768.0,9312.0,10320.0,896.0,1280.0,3616.0,464.0,3008.0,2240.0,864.0,10080.0,6080.0,7472.0,49.9898,49.9898,59.9878,99.9796
0.558002,6.77798,-2.18591,-1.42694,11200.0,4384.0,1968.0,752.0,1104.0,7312.0,7840.0,4224.0,6608.0,480.0,5248.0,4320.0,2944.0,5936.0,5888.0,7392.0,49280.0,2800.0,448.0,3136.0,6224.0,9920.0,912.0,1424.0,3648.0,448.0,1120.0,1376.0,3200.0,11888.0,11360.0,11216.0,49.9898,49.9898,59.9878,99.9796
0.662003,11.0325,-2.87543,-2.78206,4144.0,3552.0,3392.0,672.0,1232.0,6192.0,7888.0,3120.0,4912.0,480.0,4400.0,3056.0,1056.0,5568.0,5920.0,7440.0,49872.0,2816.0,1088.0,4272.0,4864.0,9184.0,928.0,1568.0,3680.0,432.0,1216.0,1536.0,1984.0,14736.0,11568.0,11392.0,49.9898,49.9898,59.9878,99.9796
0.763,6.42603,-2.38702,-1.86029,50416.0,7056.0,1904.0,1120.0,1296.0,8480.0,7808.0,3280.0,9888.0,480.0,7296.0,3344.0,1440.0,5968.0,6160.0,7696.0,51136.0,4304.0,0.0,2496.0,4960.0,9040.0,848.0,1584.0,3648.0,448.0,1312.0,1472.0,2256.0,14400.0,11872.0,11824.0,49.9898,49.9898,59.9878,99.9796
0.866001,10.5465,0.397437,-0.0814028,22336.0,3968.0,1632.0,1344.0,2048.0,9136.0,8224.0,3024.0,8128.0,448.0,6816.0,3008.0,1072.0,5568.0,6224.0,8448.0,48992.0,2800.0,528.0,2752.0,4784.0,9648.0,848.0,1648.0,3648.0,448.0,1360.0,1808.0,1920.0,13488.0,12016.0,12080.0,49.9898,49.9898,59.9878,99.9796
0.968002,10.07,-0.428562,-0.102951,10112.0,4384.0,1920.0,1200.0,1296.0,8224.0,7952.0,3520.0,7584.0,480.0,6224.0,3008.0,1152.0,7216.0,6400.0,7984.0,50384.0,2816.0,544.0,2848.0,4944.0,9824.0,896.0,1616.0,3600.0,480.0,1280.0,1632.0,2096.0,15936.0,14064.0,12112.0,49.9898,49.9898,59.9878,99.9796
1.07,10.2161,-1.28569,-0.28491,10448.0,4736.0,1920.0,1328.0,1296.0,8432.0,8256.0,3392.0,7344.0,448.0,5920.0,4592.0,2960.0,5872.0,6656.0,7936.0,51744.0,2768.0,480.0,2896.0,5136.0,9888.0,928.0,1680.0,3600.0,464.0,1424.0,1760.0,4112.0,15888.0,13024.0,12480.0,49.9898,49.9898,59.9878,99.9796
1.172,10.0916,-1.81959,-0.521936,11456.0,4672.0,1856.0,1424.0,1456.0,8464.0,8704.0,3504.0,8176.0,1968.0,8160.0,3584.0,1152.0,5840.0,6656.0,7984.0,50992.0,2784.0,448.0,2880.0,5248.0,9920.0,896.0,1616.0,3664.0,976.0,3120.0,1504.0,2720.0,16096.0,13136.0,12592.0,49.9898,49.9898,59.9878,99.9796
1.283,9.85932,-1.67115,-0.579397,23728.0,4672.0,1824.0,1360.0,1328.0,8480.0,8960.0,4704.0,9744.0,480.0,6720.0,3632.0,1184.0,5904.0,6672.0,7824.0,55232.0,3616.0,2304.0,2816.0,5152.0,9952.0,864.0,1680.0,3584.0,448.0,1376.0,1664.0,3024.0,16160.0,13408.0,12576.0,49.9898,49.9898,59.9878,99.9796
1.385,10.058,-1.94888,-0.476446,20880.0,4768.0,1952.0,1376.0,1328.0,8448.0,8896.0,3776.0,8176.0,512.0,6704.0,3776.0,1216.0,5904.0,6720.0,8624.0,51856.0,2848.0,496.0,2896.0,5296.0,9776.0,880.0,1680.0,3680.0,464.0,1424.0,1664.0,3104.0,16208.0,13408.0,12640.0,49.9898,49.9898,59.9878,99.9796
1.488,10.1706,-2.24337,-0.430956,22288.0,4768.0,1952.0,1408.0,1376.0,8512.0,8960.0,3792.0,8208.0,480.0,6624.0,3760.0,1168.0,7232.0,8176.0,8096.0,54672.0,2784.0,464.0,2784.0,5264.0,9968.0,848.0,1696.0,3264.0,464.0,1408.0,1680.0,2944.0,16720.0,14880.0,13056.0,49.9898,49.9898,59.9878,99.9796
1.59,10.3429,-2.32477,-0.430956,25280.0,4800.0,1936.0,1424.0,1376.0,8560.0,8912.0,3760.0,8176.0,512.0,6672.0,5344.0,672.0,5888.0,6672.0,8016.0,57104.0,2784.0,480.0,2912.0,5264.0,9856.0,928.0,1712.0,3312.0,480.0,1328.0,2544.0,4752.0,16368.0,13536.0,12784.0,49.9898,49.9898,59.9878,99.9796
1.692,10.252,-2.46842,-0.509965,28032.0,4752.0,1920.0,1376.0,1376.0,8496.0,8912.0,3824.0,8208.0,1536.0,8176.0,3760.0,1168.0,5856.0,6720.0,8032.0,57280.0,2784.0,480.0,2912.0,5264.0,9872.0,912.0,1680.0,3296.0,448.0,2736.0,1312.0,3088.0,16384.0,13536.0,12832.0,49.9898,49.9898,59.9878,99.9796
1.794,9.8665,-1.96564,-0.76375,28048.0,4768.0,1968.0,1392.0,1296.0,8544.0,8976.0,5088.0,9760.0,528.0,6800.0,3776.0,1232.0,5856.0,6672.0,8160.0,55728.0,2768.0,528.0,2928.0,5312.0,9936.0,912.0,1600.0,5152.0,576.0,1296.0,1680.0,3120.0,16448.0,13504.0,12848.0,49.9898,49.9898,59.9878,99.9796
1.905,9.7037,-1.89142,-0.938527,27536.0,4704.0,1920.0,1408.0,1248.0,9792.0,10560.0,3728.0,8176.0,512.0,6752.0,3776.0,1168.0,5856.0,6624.0,8016.0,56848.0,2848.0,512.0,2896.0,5280.0,10176.0,2688.0,1504.0,3536.0,464.0,1296.0,1680.0,3152.0,16512.0,13520.0,12848.0,49.9898,49.9898,59.9878,99.9796
2.007,10.2113,-2.25534,-0.397437,27152.0,4752.0,1968.0,1504.0,1424.0,8528.0,9056.0,3728.0,8176.0,464.0,6960.0,3744.0,1216.0,7200.0,8192.0,7856.0,57136.0,2752.0,480.0,2656.0,5280.0,9872.0,896.0,1664.0,3424.0,448.0,1152.0,1696.0,3216.0,17136.0,14992.0,12544.0,49.9898,49.9898,59.9878,99.9796
2.11,10.2711,-2.29364,-0.385466,28736.0,4688.0,1920.0,1568.0,1376.0,8512.0,8960.0,3664.0,8208.0,480.0,7216.0,5328.0,1552.0,5856.0,6800.0,8032.0,56400.0,2784.0,528.0,2896.0,5216.0,9792.0,864.0,1680.0,3504.0,464.0,1200.0,2880.0,4944.0,16576.0,13536.0,12800.0,49.9898,49.9898,59.9878,99.9796
2.207,10.1945,-2.25534,-0.438139,27696.0,4736.0,1952.0,1600.0,1312.0,8496.0,9120.0,3728.0,8176.0,512.0,6928.0,3760.0,1984.0,7552.0,6752.0,8096.0,56832.0,2816.0,512.0,2880.0,5168.0,9808.0,896.0,1696.0,3552.0,464.0,1248.0,1696.0,3328.0,17808.0,14880.0,12688.0,49.9898,49.9898,59.9878,99.9796
2.306,10.1754,-2.20745,-0.351948,27776.0,4736.0,1968.0,1600.0,1376.0,8528.0,9168.0,3744.0,8208.0,512.0,6912.0,3744.0,1200.0,5888.0,8176.0,8816.0,56208.0,2784.0,480.0,2912.0,5280.0,9712.0,960.0,1616.0,3584.0,464.0,1248.0,1696.0,3360.0,16624.0,14464.0,13712.0,49.9898,49.9898,59.9878,99.9796
2.408,10.2352,-2.25055,-0.426168,27920.0,4736.0,1952.0,1632.0,1344.0,8576.0,9184.0,3712.0,8176.0,464.0,6960.0,3744.0,2480.0,7600.0,6784.0,7984.0,55440.0,2784.0,512.0,2864.0,5248.0,9616.0,912.0,1632.0,3328.0,464.0,1280.0,1664.0,3712.0,17888.0,13760.0,12720.0,49.9898,49.9898,59.9878,99.9796
2.51,10.2017,-2.34632,-0.452504,29856.0,4752.0,2000.0,1632.0,1328.0,8528.0,9216.0,3728.0,8192.0,528.0,8256.0,3648.0,1184.0,6032.0,6816.0,8032.0,57216.0,2816.0,480.0,2880.0,5312.0,9680.0,928.0,1616.0,3520.0,480.0,2352.0,3456.0,3424.0,16656.0,13568.0,12528.0,49.9898,49.9898,59.9878,99.9796
2.617,9.66299,-1.87705,-0.828393,28576.0,4656.0,1968.0,1632.0,1344.0,8544.0,9200.0,3728.0,8176.0,480.0,7008.0,4736.0,3024.0,6048.0,6784.0,8048.0,55680.0,2752.0,448.0,2880.0,5312.0,9632.0,912.0,1664.0,3584.0,480.0,1424.0,1600.0,5088.0,16320.0,13616.0,12848.0,49.9898,49.9898,59.9878,99.9796
2.719,9.83777,-1.83635,-0.687136,25536.0,4704.0,2000.0,3280.0,2096.0,8528.0,9312.0,3728.0,8176.0,480.0,6912.0,3712.0,1184.0,6048.0,6832.0,7904.0,56912.0,2816.0,512.0,3712.0,6944.0,9520.0,912.0,1664.0,3408.0,512.0,1424.0,1632.0,3456.0,16688.0,13584.0,12960.0,49.9898,49.9898,59.9878,99.9796
2.822,9.97185,-1.85072,-0.691924,31184.0,6432.0,1984.0,1584.0,1808.0,8528.0,9232.0,3760.0,8176.0,512.0,6976.0,3744.0,1200.0,6064.0,6864.0,7920.0,57264.0,4016.0,2304.0,2880.0,5328.0,9520.0,912.0,1664.0,3344.0,464.0,1456.0,1664.0,3456.0,16784.0,13696.0,12832.0,49.9898,49.9898,59.9878,99.9796
2.923,10.0652,-1.92494,-0.402226,30912.0,4752.0,2000.0,1568.0,1840.0,8528.0,9312.0,3760.0,8176.0,464.0,6992.0,3728.0,1200.0,6032.0,6864.0,7984.0,56400.0,2480.0,480.0,2848.0,5264.0,9472.0,896.0,1632.0,3376.0,448.0,1440.0,1632.0,3472.0,16800.0,13552.0,12832.0,49.9898,49.9898,59.9878,99.9796
3.037,9.87847,-1.96564,-0.835576,31184.0,4752.0,1968.0,1616.0,1920.0,9440.0,10928.0,3776.0,8176.0,432.0,6992.0,3728.0,1184.0,6048.0,6880.0,8176.0,56528.0,2752.0,512.0,2864.0,5312.0,9504.0,2368.0,3440.0,3504.0,432.0,1472.0,1664.0,3584.0,16784.0,13648.0,12752.0,49.9898,49.9898,59.9878,99.9796
3.139,9.71327,-1.77171,-0.811634,31632.0,4752.0,1968.0,1760.0,3616.0,9120.0,9312.0,3760.0,8176.0,416.0,6912.0,3792.0,1216.0,6048.0,6864.0,8176.0,57104.0,2800.0,528.0,2896.0,6208.0,11008.0,928.0,1664.0,3344.0,464.0,1344.0,1664.0,3584.0,16704.0,13664.0,12864.0,49.9898,49.9898,59.9878,99.9796
3.242,9.83777,-1.86269,-0.603339,28960.0,5568.0,3744.0,1600.0,1968.0,8528.0,9344.0,3760.0,8176.0,432.0,6960.0,3824.0,1200.0,6112.0,6864.0,8016.0,56880.0,2784.0,1744.0,4640.0,5280.0,9488.0,896.0,1600.0,3344.0,448.0,1424.0,1632.0,3536.0,16704.0,13664.0,12800.0,49.9898,49.9898,59.9878,99.9796
3.352,10.0341,-2.18591,-0.550666,29888.0,4768.0,1952.0,1616.0,2016.0,8528.0,9408.0,3744.0,8176.0,2064.0,6352.0,3776.0,1200.0,6080.0,6912.0,8128.0,55712.0,2816.0,528.0,2832.0,5312.0,9696.0,912.0,1632.0,3296.0,1248.0,3152.0,1616.0,3584.0,16784.0,13712.0,12560.0,49.9898,49.9898,59.9878,99.9796
3.454,9.97185,-1.95367,-0.890643,25600.0,4800.0,1936.0,1504.0,1984.0,8528.0,9312.0,5056.0,9696.0,512.0,6960.0,3760.0,1232.0,6144.0,6848.0,8080.0,56704.0,2768.0,512.0,2848.0,5328.0,9584.0,944.0,1648.0,4912.0,640.0,1344.0,1648.0,3616.0,16832.0,13648.0,12832.0,49.9898,49.9898,59.9878,99.9796
3.557,9.64863,-1.82199,-0.893037,22320.0,4752.0,1968.0,1568.0,2048.0,10016.0,9696.0,3744.0,8176.0,480.0,6976.0,3760.0,1216.0,6112.0,6880.0,8064.0,55248.0,2800.0,512.0,2848.0,5312.0,10384.0,2768.0,1632.0,3328.0,480.0,1312.0,1616.0,3648.0,16832.0,13696.0,13136.0,49.9898,49.9898,59.9878,99.9796
3.66,9.74679,-1.83396,-0.663194,23200.0,4768.0,2080.0,3328.0,2688.0,8512.0,9408.0,3728.0,8176.0,480.0,6912.0,3728.0,1184.0,6144.0,6880.0,8160.0,56752.0,2752.0,528.0,3648.0,7088.0,9568.0,928.0,1680.0,3328.0,480.0,1328.0,1632.0,3648.0,16896.0,13712.0,12704.0,49.9898,49.9898,59.9878,99.9796
