time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.154053,8.54969,-3.83551,-0.0287304,5824.0,7104.0,6288.0,4432.0,4800.0,9168.0,8352.0,5712.0,5776.0,2704.0,5776.0,5568.0,2912.0,9104.0,10688.0,10464.0,57248.0,4768.0,2480.0,10224.0,17600.0,7120.0,2256.0,2576.0,8288.0,1920.0,5008.0,480.0,2224.0,8864.0,5024.0,6832.0,49.9898,49.9898,59.9878,99.9796
0.265869,8.88009,-8.85376,-1.21865,2848.0,4320.0,3104.0,1392.0,2768.0,7520.0,6960.0,3424.0,3376.0,480.0,3936.0,3344.0,1168.0,7056.0,7568.0,8288.0,55344.0,1712.0,992.0,4544.0,7296.0,7040.0,480.0,1136.0,4976.0,448.0,4000.0,1168.0,1456.0,7360.0,5584.0,6944.0,49.9898,49.9898,59.9878,99.9796
0.378906,8.51857,-6.18901,-2.33674,2944.0,4304.0,3200.0,1488.0,1616.0,6080.0,6352.0,3488.0,3408.0,1680.0,5568.0,3456.0,1200.0,6800.0,7472.0,8176.0,57120.0,1776.0,480.0,2992.0,5920.0,6592.0,528.0,1472.0,5424.0,464.0,2944.0,1248.0,912.0,5920.0,8544.0,9488.0,49.9898,49.9898,59.9878,99.9796
0.49292,7.90805,-0.0526724,2.54743,4768.0,6208.0,3136.0,672.0,1920.0,8992.0,5088.0,4304.0,3552.0,512.0,3888.0,5328.0,8304.0,13328.0,12576.0,12064.0,57824.0,1840.0,480.0,2720.0,5280.0,6928.0,432.0,1104.0,5008.0,464.0,4224.0,1136.0,2176.0,8016.0,6144.0,7104.0,49.9898,49.9898,59.9878,99.9796
0.61499,10.1394,-1.21625,-2.66714,7488.0,4448.0,2768.0,896.0,1824.0,7552.0,5264.0,3104.0,4464.0,512.0,4000.0,3072.0,848.0,8176.0,9024.0,9040.0,56400.0,816.0,512.0,4224.0,5952.0,6320.0,448.0,1216.0,6720.0,448.0,4560.0,1088.0,1456.0,7584.0,8128.0,8240.0,49.9898,49.9898,59.9878,99.9796
0.729004,9.35893,-3.60088,-0.778115,4144.0,4528.0,2896.0,2832.0,1632.0,9040.0,3488.0,3152.0,4656.0,464.0,3392.0,3216.0,928.0,10432.0,12048.0,11536.0,55760.0,2960.0,2304.0,2720.0,4912.0,6528.0,448.0,1168.0,5440.0,448.0,5200.0,1200.0,1408.0,8544.0,9216.0,9744.0,49.9898,49.9898,59.9878,99.9796
0.841064,9.81622,-3.95761,-1.11809,3984.0,4608.0,2752.0,2640.0,1296.0,8192.0,3760.0,6752.0,6368.0,464.0,5024.0,5360.0,6880.0,11696.0,11392.0,11008.0,55584.0,1712.0,480.0,2720.0,4640.0,6416.0,2128.0,1712.0,6624.0,448.0,6416.0,1200.0,1344.0,8832.0,8816.0,8768.0,49.9898,49.9898,59.9878,99.9796
0.955078,9.63905,-3.87861,-0.395043,3776.0,4512.0,2784.0,1072.0,1616.0,9568.0,4512.0,3120.0,4528.0,464.0,3648.0,3072.0,5648.0,12464.0,11856.0,11344.0,58320.0,1824.0,448.0,2000.0,4416.0,5936.0,480.0,1152.0,5440.0,464.0,6848.0,2560.0,1408.0,9040.0,8976.0,8384.0,49.9898,49.9898,59.9878,99.9796
1.07007,9.4116,-3.47159,-1.14682,3792.0,4912.0,4448.0,2528.0,1520.0,8976.0,5312.0,4528.0,4544.0,448.0,4304.0,4608.0,6416.0,11968.0,12000.0,11472.0,56448.0,2400.0,496.0,2528.0,4432.0,6160.0,464.0,1280.0,5664.0,448.0,5776.0,1328.0,1488.0,9392.0,10032.0,9936.0,49.9898,49.9898,59.9878,99.9796
1.18286,9.49061,-3.15077,-0.505176,3664.0,4560.0,2784.0,2064.0,1632.0,9440.0,6736.0,4736.0,4624.0,480.0,3856.0,4320.0,6032.0,12112.0,11968.0,11152.0,55744.0,1760.0,496.0,2384.0,5344.0,7952.0,432.0,1296.0,5696.0,448.0,5920.0,1328.0,1504.0,9136.0,9104.0,9056.0,49.9898,49.9898,59.9878,99.9796
1.29785,9.69651,-3.59609,-0.770933,3856.0,4544.0,2800.0,2192.0,1680.0,9616.0,5728.0,4448.0,4560.0,528.0,5456.0,4928.0,6048.0,12080.0,12064.0,11312.0,54096.0,1760.0,464.0,1984.0,4608.0,6032.0,448.0,1360.0,6816.0,2320.0,5888.0,1328.0,1456.0,9664.0,9232.0,9728.0,49.9898,49.9898,59.9878,99.9796
1.41895,9.7013,-3.39977,-0.677559,5072.0,4416.0,2768.0,2320.0,1696.0,9552.0,5760.0,4720.0,4448.0,480.0,4224.0,4704.0,6544.0,12160.0,12048.0,11184.0,57232.0,1744.0,512.0,1760.0,4384.0,6016.0,464.0,3056.0,5248.0,448.0,6016.0,1296.0,1360.0,9568.0,8832.0,9408.0,49.9898,49.9898,59.9878,99.9796
1.53491,9.75637,-3.72298,-0.488417,3776.0,4624.0,2704.0,2272.0,1616.0,9648.0,5840.0,4656.0,4400.0,464.0,3888.0,4624.0,7424.0,13616.0,12032.0,11568.0,53632.0,1744.0,480.0,1824.0,4128.0,6224.0,432.0,1296.0,5664.0,464.0,6864.0,3104.0,1376.0,9664.0,8592.0,9312.0,49.9898,49.9898,59.9878,99.9796
1.64893,9.57441,-3.48835,-0.770933,3808.0,4576.0,4256.0,2944.0,1696.0,9568.0,5840.0,4656.0,4368.0,528.0,4096.0,4704.0,6096.0,12096.0,12080.0,11616.0,54400.0,3600.0,480.0,1792.0,4176.0,5952.0,464.0,1296.0,5728.0,464.0,6112.0,1296.0,1360.0,9648.0,9456.0,10848.0,49.9898,49.9898,59.9878,99.9796
1.76294,9.4978,-3.23217,-0.847547,3584.0,4640.0,2736.0,2256.0,1696.0,9600.0,7504.0,5712.0,4432.0,480.0,4128.0,4864.0,6176.0,12112.0,12048.0,10576.0,55072.0,1808.0,464.0,1808.0,5200.0,7648.0,480.0,1328.0,5712.0,432.0,6176.0,1280.0,1360.0,9680.0,9520.0,9248.0,49.9898,49.9898,59.9878,99.9796
1.87695,9.6175,-3.53623,-0.488417,3680.0,4608.0,2832.0,2336.0,1712.0,9616.0,6032.0,4768.0,4432.0,480.0,5504.0,6544.0,6208.0,12128.0,12080.0,11536.0,54480.0,1776.0,448.0,1696.0,4160.0,5936.0,432.0,1296.0,5808.0,2208.0,6096.0,1280.0,1424.0,9632.0,9216.0,7408.0,49.9898,49.9898,59.9878,99.9796
