time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.154785,8.37252,-6.6056,-0.991199,14544.0,7392.0,6352.0,7056.0,4864.0,7776.0,8592.0,5952.0,6944.0,2704.0,5008.0,5280.0,3520.0,9744.0,11728.0,10128.0,24064.0,2912.0,2544.0,6880.0,7440.0,3792.0,2192.0,2528.0,5536.0,1600.0,2992.0,1760.0,2352.0,11968.0,11488.0,10256.0,49.9898,49.9898,59.9878,99.9796
0.26709,7.42442,-5.67665,-0.691924,8368.0,4000.0,2736.0,1552.0,2096.0,6560.0,6960.0,3536.0,4896.0,480.0,3136.0,3328.0,1760.0,7664.0,8160.0,9056.0,26016.0,640.0,720.0,3712.0,5328.0,4256.0,448.0,1184.0,4032.0,512.0,1120.0,1216.0,896.0,11440.0,13968.0,12096.0,49.9898,49.9898,59.9878,99.9796
0.379883,8.1331,-6.27999,-2.81079,4288.0,4032.0,2720.0,1648.0,2416.0,5504.0,6112.0,3696.0,4800.0,480.0,3872.0,5216.0,1776.0,7568.0,7888.0,7168.0,32160.0,608.0,464.0,1200.0,4064.0,5440.0,432.0,1184.0,4496.0,1984.0,1312.0,1120.0,1248.0,13600.0,15776.0,14528.0,49.9898,49.9898,59.9878,99.9796
0.493164,8.90164,-5.9448,-1.50356,5312.0,3792.0,2720.0,1760.0,2368.0,5568.0,6160.0,3824.0,4736.0,496.0,3120.0,3808.0,1584.0,7344.0,8592.0,9344.0,36112.0,576.0,512.0,1200.0,4000.0,5936.0,416.0,1184.0,4096.0,448.0,1536.0,1216.0,1664.0,15504.0,17104.0,13456.0,49.9898,49.9898,59.9878,99.9796
0.614258,8.88009,-5.31273,1.6113,4112.0,4000.0,2640.0,1776.0,2368.0,6880.0,5920.0,3648.0,4608.0,464.0,3136.0,3712.0,1760.0,7280.0,7648.0,8368.0,36176.0,608.0,560.0,1632.0,5664.0,5376.0,464.0,1408.0,3232.0,464.0,1984.0,1472.0,2560.0,15696.0,16176.0,14416.0,49.9898,49.9898,59.9878,99.9796
0.727051,10.8433,3.25132,-2.13084,3792.0,4032.0,2608.0,1840.0,3840.0,5712.0,6144.0,3856.0,4496.0,480.0,3088.0,3472.0,1376.0,7216.0,7760.0,7936.0,42672.0,704.0,1072.0,2960.0,3664.0,5072.0,432.0,848.0,1536.0,448.0,1520.0,992.0,720.0,12464.0,14544.0,12640.0,49.9898,49.9898,59.9878,99.9796
0.839844,8.75799,-5.38695,0.52433,3328.0,3936.0,2576.0,1088.0,2992.0,8128.0,4784.0,3168.0,4384.0,1408.0,4528.0,2976.0,1696.0,8544.0,8160.0,8624.0,47680.0,720.0,512.0,1360.0,3280.0,7760.0,464.0,1184.0,1936.0,2000.0,1248.0,1296.0,800.0,10944.0,13920.0,13120.0,49.9898,49.9898,59.9878,99.9796
0.952148,8.80587,-5.77721,-2.55461,4576.0,4784.0,2656.0,1248.0,848.0,4928.0,5920.0,3456.0,4320.0,464.0,2960.0,3440.0,1360.0,5968.0,8112.0,9632.0,50816.0,800.0,544.0,1424.0,3392.0,8176.0,464.0,1360.0,1424.0,448.0,1184.0,1440.0,816.0,13008.0,17216.0,14208.0,49.9898,49.9898,59.9878,99.9796
1.06592,9.38527,-3.30879,-0.749385,3776.0,3936.0,2736.0,1312.0,1680.0,5920.0,6208.0,3088.0,4480.0,448.0,2864.0,3104.0,1664.0,5968.0,6992.0,7024.0,48432.0,896.0,544.0,1376.0,3840.0,9360.0,464.0,1232.0,1440.0,480.0,1184.0,1232.0,880.0,12064.0,15808.0,13744.0,49.9898,49.9898,59.9878,99.9796
1.17725,9.48822,-2.65996,-0.349553,3744.0,3856.0,2752.0,1312.0,1552.0,6032.0,5712.0,3104.0,4416.0,464.0,2864.0,3120.0,1840.0,6096.0,6736.0,7952.0,49072.0,768.0,528.0,1408.0,3632.0,7872.0,480.0,1312.0,1504.0,496.0,1552.0,1312.0,848.0,12624.0,15488.0,14096.0,49.9898,49.9898,59.9878,99.9796
1.29004,9.17458,-4.32871,-1.65679,3840.0,3968.0,2784.0,1488.0,2112.0,6416.0,5504.0,3168.0,4496.0,480.0,2880.0,3136.0,1888.0,6144.0,6704.0,7968.0,52160.0,864.0,544.0,1376.0,3648.0,8256.0,448.0,1232.0,1568.0,464.0,1120.0,1232.0,1056.0,12896.0,16688.0,14992.0,49.9898,49.9898,59.9878,99.9796
1.41016,9.34696,-3.94564,-0.146046,3632.0,3872.0,2720.0,1616.0,2752.0,6688.0,5376.0,3232.0,4400.0,448.0,2912.0,3168.0,1888.0,6144.0,6992.0,7984.0,52896.0,928.0,528.0,1472.0,3680.0,8400.0,464.0,1296.0,1856.0,464.0,1488.0,1248.0,1200.0,12976.0,16832.0,13872.0,49.9898,49.9898,59.9878,99.9796
1.52393,9.37809,-4.27365,-1.06542,3632.0,3872.0,2768.0,1584.0,2704.0,6848.0,5440.0,3136.0,4400.0,448.0,2848.0,3152.0,1968.0,6160.0,7040.0,8080.0,55584.0,960.0,528.0,1408.0,3680.0,8464.0,448.0,1440.0,1984.0,464.0,1616.0,1408.0,1104.0,13216.0,17200.0,13504.0,49.9898,49.9898,59.9878,99.9796
1.63525,9.38766,-3.96001,-0.37589,3712.0,3888.0,2720.0,1616.0,2816.0,6912.0,5600.0,3168.0,4400.0,512.0,2848.0,3120.0,2000.0,6144.0,7152.0,8176.0,54704.0,1024.0,528.0,1424.0,3712.0,8416.0,464.0,1408.0,2144.0,432.0,1568.0,1408.0,1232.0,13232.0,17280.0,14064.0,49.9898,49.9898,59.9878,99.9796
