time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.145996,9.33978,-2.9712,0.641646,6480.0,7104.0,5568.0,4912.0,5568.0,8832.0,6688.0,6576.0,6960.0,2944.0,5280.0,6144.0,3856.0,8176.0,6720.0,7856.0,29984.0,3904.0,2880.0,8112.0,20528.0,6096.0,2384.0,2640.0,5952.0,1856.0,2576.0,1824.0,2208.0,10400.0,3344.0,5840.0,49.9898,49.9898,59.9878,99.9796
0.249008,7.45554,-6.46913,1.31202,4864.0,4960.0,2592.0,1616.0,2256.0,6048.0,3936.0,4288.0,4352.0,448.0,2960.0,3920.0,1840.0,6560.0,6224.0,7776.0,35600.0,1952.0,448.0,2320.0,7904.0,6368.0,592.0,1344.0,4512.0,448.0,1344.0,1184.0,512.0,15824.0,16032.0,14864.0,49.9898,49.9898,59.9878,99.9796
0.350998,7.92241,-5.31273,1.17555,3680.0,4000.0,2688.0,1552.0,2240.0,6464.0,3888.0,4144.0,4336.0,512.0,2976.0,4256.0,1872.0,6352.0,5024.0,6880.0,45216.0,1616.0,448.0,1968.0,5776.0,5168.0,432.0,688.0,4640.0,464.0,1984.0,704.0,1168.0,10800.0,12496.0,12144.0,49.9898,49.9898,59.9878,99.9796
0.453995,5.88255,-6.90009,-1.75495,3456.0,3744.0,2688.0,1840.0,2368.0,6528.0,3872.0,3920.0,4016.0,512.0,4352.0,5568.0,1936.0,6192.0,5328.0,7184.0,30176.0,2240.0,448.0,1776.0,5184.0,4656.0,448.0,864.0,4608.0,432.0,2480.0,2576.0,1280.0,9120.0,6560.0,8176.0,49.9898,49.9898,59.9878,99.9796
0.565002,-2.95444,-19.6133,-15.7107,3504.0,4496.0,2144.0,1392.0,2272.0,6480.0,3088.0,3968.0,5536.0,0.0,3392.0,3808.0,928.0,6320.0,5072.0,6880.0,33520.0,1968.0,448.0,1856.0,5072.0,4512.0,512.0,848.0,5808.0,2800.0,2480.0,896.0,480.0,9776.0,1504.0,4784.0,49.9898,49.9898,59.9878,99.9796
0.667007,1.04627,-18.895,3.89536,4144.0,4416.0,2128.0,1712.0,2384.0,6400.0,1824.0,3328.0,3264.0,464.0,2752.0,3536.0,464.0,1376.0,6064.0,8672.0,33664.0,2976.0,0.0,944.0,4640.0,4816.0,432.0,592.0,4480.0,432.0,2064.0,640.0,448.0,9808.0,592.0,5824.0,49.9898,49.9898,59.9878,99.9796
0.770004,0.347159,-11.7699,-4.89614,5408.0,14224.0,512.0,1696.0,2368.0,6432.0,2896.0,3920.0,5472.0,464.0,2704.0,3920.0,2464.0,7632.0,6736.0,7664.0,43088.0,1456.0,480.0,2272.0,4576.0,4800.0,400.0,832.0,4560.0,432.0,1840.0,800.0,1040.0,11392.0,2480.0,5264.0,49.9898,49.9898,59.9878,99.9796
0.874008,4.12521,-6.77798,-2.71263,7344.0,4176.0,1968.0,1776.0,2320.0,6240.0,3072.0,3968.0,3616.0,1712.0,5632.0,5648.0,1888.0,5872.0,4880.0,6752.0,55920.0,1568.0,448.0,2400.0,4480.0,4496.0,464.0,864.0,4512.0,448.0,3712.0,2112.0,1936.0,9648.0,512.0,4160.0,49.9898,49.9898,59.9878,99.9796
0.975998,4.45561,-7.04853,-0.984017,3408.0,13744.0,2256.0,1536.0,2336.0,6336.0,3264.0,5200.0,6624.0,2192.0,2272.0,3792.0,608.0,4656.0,5152.0,6720.0,50096.0,2192.0,432.0,1728.0,4576.0,5136.0,432.0,944.0,6528.0,1888.0,3456.0,864.0,496.0,9216.0,1072.0,4480.0,49.9898,49.9898,59.9878,99.9796
1.08,4.43167,-9.75637,-5.1188,3552.0,5216.0,1968.0,1568.0,2336.0,7600.0,5024.0,4016.0,4096.0,448.0,2816.0,4016.0,416.0,5376.0,5088.0,6816.0,47312.0,1936.0,448.0,1632.0,4544.0,5536.0,2096.0,576.0,4496.0,464.0,2240.0,720.0,976.0,9232.0,1296.0,4656.0,49.9898,49.9898,59.9878,99.9796
