time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.189453,3.0119,-2.67911,0.600945,64944.0,3552.0,5536.0,12080.0,12384.0,7232.0,4448.0,3360.0,5648.0,1920.0,2448.0,2960.0,1840.0,5632.0,8608.0,7936.0,0.0,5136.0,0.0,5280.0,0.0,4928.0,0.0,4224.0,0.0,5072.0,0.0,5056.0,0.0,4640.0,0.0,4752.0,9.99796,49.9898,39.9919,99.9796
0.331055,9.7827,0.366313,0.787692,7936.0,1536.0,480.0,976.0,2656.0,4672.0,3088.0,2320.0,4432.0,416.0,8736.0,1760.0,1792.0,11088.0,12672.0,11040.0,36800.0,1408.0,800.0,1456.0,3872.0,4096.0,2464.0,3584.0,4016.0,432.0,400.0,2112.0,432.0,2496.0,2688.0,5504.0,9.99796,49.9898,40.9807,99.9796
0.469727,9.58638,3.1388,-1.5706,4816.0,1344.0,480.0,1184.0,2064.0,4768.0,3264.0,1328.0,4448.0,480.0,11232.0,1344.0,3824.0,15200.0,13376.0,12432.0,43264.0,1440.0,816.0,1344.0,3856.0,3824.0,1104.0,2224.0,4096.0,448.0,512.0,2176.0,416.0,3040.0,2688.0,5392.0,9.99796,49.9898,41.9695,99.9796
0.609375,7.97987,3.55539,0.957681,4064.0,1376.0,512.0,1152.0,2016.0,8160.0,3648.0,1680.0,4480.0,416.0,11008.0,1680.0,752.0,12688.0,17632.0,14064.0,39680.0,1408.0,848.0,1408.0,3792.0,4032.0,1088.0,2224.0,4000.0,416.0,512.0,2224.0,448.0,3280.0,2784.0,5424.0,9.99796,49.9898,42.9949,99.9796
0.757813,7.74763,7.08923,-0.612916,21776.0,1200.0,544.0,11472.0,12688.0,7600.0,3152.0,2768.0,5472.0,1488.0,2528.0,1760.0,704.0,4528.0,7104.0,7440.0,38928.0,1472.0,864.0,1408.0,3792.0,4128.0,2176.0,3216.0,4960.0,464.0,480.0,2192.0,448.0,4096.0,2752.0,5200.0,9.99796,49.9898,43.9837,99.9796
0.889648,9.4547,3.52187,-2.37744,36544.0,2208.0,144.0,1344.0,10688.0,14096.0,3200.0,2032.0,4304.0,496.0,11904.0,1856.0,592.0,7392.0,8960.0,10160.0,44592.0,1424.0,960.0,1440.0,3792.0,3968.0,1120.0,2496.0,4064.0,432.0,464.0,2464.0,432.0,3920.0,3600.0,5584.0,9.99796,49.9898,44.9725,99.9796
1.0293,9.4978,2.66953,0.758962,5792.0,1296.0,512.0,1088.0,3520.0,14416.0,3296.0,2784.0,5408.0,464.0,11600.0,1792.0,672.0,11552.0,13120.0,11536.0,36224.0,1440.0,880.0,1408.0,3856.0,4000.0,2080.0,2496.0,4144.0,464.0,512.0,2480.0,432.0,4160.0,2768.0,5520.0,9.99796,49.9898,45.998,99.9796
1.16895,9.35893,3.60088,0.612916,4480.0,1328.0,928.0,1376.0,2896.0,12800.0,3648.0,2048.0,4336.0,448.0,9264.0,2096.0,704.0,12976.0,15856.0,13088.0,38544.0,1488.0,864.0,1376.0,3856.0,4016.0,1104.0,2400.0,4112.0,464.0,480.0,2400.0,448.0,4352.0,2768.0,5504.0,9.99796,49.9898,46.9868,99.9796
1.30957,9.17218,5.06613,-1.72143,6416.0,1440.0,832.0,960.0,5856.0,14176.0,3872.0,2656.0,3808.0,512.0,12416.0,1792.0,640.0,9696.0,13120.0,10560.0,38736.0,1440.0,912.0,1408.0,3840.0,3920.0,1104.0,2400.0,4128.0,480.0,480.0,2352.0,448.0,4400.0,2752.0,5472.0,9.99796,49.9898,47.9756,99.9796
1.44922,9.34696,3.71101,-1.06542,9296.0,1280.0,544.0,960.0,7760.0,15120.0,3920.0,2880.0,4352.0,464.0,13024.0,1824.0,640.0,8928.0,10992.0,10688.0,42656.0,1536.0,912.0,1456.0,3808.0,4016.0,1104.0,2240.0,4128.0,416.0,528.0,2240.0,432.0,4256.0,2832.0,5328.0,9.99796,49.9898,48.9644,99.9796
