time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.205078,9.81144,-8.59279,-1.18513,4304.0,4368.0,1984.0,2176.0,3152.0,3904.0,5376.0,3760.0,4784.0,1856.0,3168.0,3888.0,1712.0,6736.0,5104.0,5904.0,25856.0,4064.0,3040.0,3120.0,5760.0,5920.0,2960.0,6944.0,5872.0,2016.0,1920.0,6672.0,2048.0,5056.0,5168.0,6560.0,29.9939,49.9898,129.974,99.9796
0.330078,10.2855,-1.6496,-0.780509,3424.0,2736.0,848.0,912.0,1952.0,2752.0,3808.0,2448.0,3280.0,432.0,1984.0,2896.0,896.0,5792.0,3760.0,5520.0,27328.0,2496.0,1456.0,1312.0,3904.0,4256.0,1152.0,5040.0,4432.0,768.0,1936.0,6352.0,512.0,960.0,1856.0,4224.0,30.9827,49.9898,129.974,99.9796
0.472656,9.99818,0.948104,-0.519542,2976.0,2752.0,480.0,480.0,1408.0,2224.0,3392.0,3408.0,4064.0,448.0,1744.0,2400.0,432.0,5360.0,3360.0,5568.0,25392.0,2128.0,1152.0,1296.0,3904.0,4592.0,2240.0,4960.0,4416.0,432.0,480.0,4960.0,448.0,1456.0,1632.0,4608.0,31.9715,49.9898,129.974,99.9796
0.611328,10.4339,0.150835,0.272939,2704.0,2064.0,528.0,448.0,1504.0,2672.0,4480.0,3280.0,4288.0,1248.0,1696.0,2400.0,400.0,5392.0,3344.0,5280.0,24048.0,2160.0,1104.0,1216.0,4896.0,4112.0,2176.0,5856.0,5296.0,1360.0,400.0,4752.0,448.0,2368.0,2256.0,4736.0,32.9969,49.9898,129.974,99.9796
0.759766,9.48582,-1.10612,-0.110133,3344.0,1776.0,464.0,512.0,1664.0,3104.0,5008.0,3392.0,4384.0,1456.0,2560.0,3024.0,464.0,5296.0,3360.0,5344.0,24624.0,2112.0,1104.0,1296.0,4000.0,5280.0,2080.0,5392.0,4416.0,448.0,464.0,5136.0,448.0,2368.0,2096.0,4320.0,33.9857,49.9898,129.974,99.9796
0.890625,10.2783,0.0646434,0.3304,2848.0,3600.0,448.0,608.0,1680.0,2224.0,3472.0,2432.0,3424.0,432.0,1840.0,2464.0,464.0,5344.0,3392.0,5552.0,28944.0,2144.0,1136.0,1344.0,3936.0,4304.0,1168.0,4880.0,4384.0,432.0,416.0,5376.0,448.0,2384.0,2224.0,4960.0,34.9746,49.9898,129.974,99.9796
1.03125,9.92396,-0.45011,-0.0526724,2736.0,2192.0,464.0,496.0,1520.0,2192.0,4640.0,3456.0,4544.0,1696.0,2864.0,3584.0,1360.0,6192.0,4288.0,6192.0,28848.0,2144.0,1120.0,1312.0,4864.0,5856.0,2048.0,5920.0,5328.0,1408.0,1312.0,5040.0,448.0,2352.0,2304.0,4880.0,35.9634,49.9898,129.974,99.9796
1.16992,10.2448,-0.373495,-0.0287304,2768.0,2768.0,528.0,528.0,1632.0,2320.0,3456.0,2384.0,3392.0,480.0,1744.0,2432.0,400.0,5264.0,3344.0,5168.0,29520.0,2144.0,1104.0,1344.0,3968.0,4304.0,1152.0,4960.0,4416.0,448.0,448.0,5008.0,464.0,2192.0,2320.0,4656.0,36.9888,49.9898,129.974,99.9796
1.31055,10.2448,-0.244209,-0.0335188,2912.0,2512.0,448.0,512.0,1568.0,2240.0,3392.0,2400.0,3392.0,448.0,1712.0,2432.0,432.0,5264.0,3392.0,5504.0,29408.0,2176.0,1168.0,1344.0,3984.0,4288.0,1152.0,4288.0,4416.0,432.0,448.0,4960.0,464.0,2016.0,2288.0,5040.0,37.9776,49.9898,129.974,99.9796
1.45117,10.3334,-0.545878,-0.0047884,2992.0,3296.0,448.0,432.0,1568.0,2208.0,3232.0,2400.0,3392.0,432.0,2736.0,2400.0,464.0,5312.0,3392.0,5536.0,28912.0,2176.0,1072.0,1296.0,3952.0,4288.0,1104.0,4928.0,4432.0,416.0,432.0,4528.0,464.0,1968.0,2288.0,4832.0,38.9664,49.9898,129.974,99.9796
1.58984,10.2687,-0.952892,-0.117316,2768.0,2704.0,480.0,464.0,1536.0,2176.0,3904.0,3584.0,3344.0,432.0,2640.0,2448.0,416.0,5312.0,3376.0,5088.0,29520.0,2176.0,1152.0,1328.0,4000.0,5248.0,1152.0,5440.0,4448.0,400.0,448.0,5536.0,464.0,544.0,2368.0,5136.0,39.9919,49.9898,129.974,99.9796
1.73047,10.1969,-0.646434,-0.134075,2992.0,3424.0,768.0,784.0,1536.0,2128.0,3008.0,2384.0,3312.0,480.0,2656.0,2432.0,464.0,5328.0,3424.0,5584.0,29456.0,2176.0,1168.0,1344.0,3856.0,4272.0,1152.0,5456.0,4432.0,464.0,432.0,5440.0,480.0,960.0,2240.0,5120.0,40.9807,49.9898,129.974,99.9796
1.86914,10.4196,-0.246603,-0.0742202,2752.0,3008.0,768.0,928.0,1712.0,2176.0,2960.0,2400.0,3424.0,400.0,2688.0,2432.0,432.0,5360.0,3376.0,4848.0,28464.0,2176.0,1152.0,1344.0,3840.0,4256.0,1168.0,5008.0,4432.0,416.0,448.0,5056.0,464.0,592.0,1872.0,4256.0,41.9695,49.9898,129.974,99.9796
2.00977,10.2328,-0.768538,-0.28491,2784.0,3312.0,720.0,1024.0,1632.0,1968.0,2832.0,2432.0,3392.0,448.0,2656.0,2368.0,432.0,5328.0,3408.0,5136.0,27696.0,2192.0,1136.0,1312.0,3872.0,4240.0,1184.0,5536.0,4400.0,464.0,432.0,5536.0,448.0,448.0,1632.0,4704.0,42.9949,49.9898,129.974,99.9796
2.14844,10.2592,-0.35913,0.0574608,2816.0,3744.0,976.0,1056.0,1664.0,800.0,3312.0,2400.0,3360.0,416.0,2656.0,2448.0,448.0,5232.0,3408.0,5600.0,32544.0,2128.0,1088.0,1360.0,3808.0,4256.0,1184.0,5072.0,4432.0,464.0,432.0,5056.0,448.0,480.0,1664.0,4704.0,43.9837,49.9898,129.974,99.9796
2.28906,10.2137,-0.71826,-0.138864,2944.0,4096.0,1104.0,1568.0,656.0,976.0,3360.0,2448.0,3328.0,416.0,2640.0,2384.0,416.0,5248.0,3392.0,5600.0,31728.0,2128.0,1152.0,1280.0,3808.0,4288.0,1168.0,5024.0,4432.0,432.0,432.0,5200.0,432.0,496.0,1888.0,4864.0,44.9725,49.9898,129.974,99.9796
2.42969,10.6135,-0.342371,0.0790086,2656.0,4496.0,1696.0,1088.0,608.0,1248.0,4304.0,2368.0,3280.0,400.0,2640.0,2432.0,400.0,5264.0,3376.0,5632.0,32960.0,2176.0,1088.0,1376.0,3808.0,4304.0,1152.0,5216.0,4400.0,448.0,432.0,4944.0,416.0,512.0,1824.0,4704.0,45.998,49.9898,129.974,99.9796
2.57813,10.3525,-0.64404,-0.0670376,2848.0,4480.0,1568.0,944.0,640.0,1312.0,3328.0,2432.0,3264.0,464.0,2624.0,2448.0,432.0,5344.0,3376.0,5648.0,30352.0,2192.0,1184.0,1296.0,3760.0,5360.0,1152.0,4768.0,4512.0,400.0,448.0,4288.0,464.0,704.0,1840.0,4672.0,46.9868,49.9898,129.974,99.9796
2.70898,10.1586,-0.454898,0.430956,3616.0,3008.0,1584.0,1088.0,624.0,992.0,3040.0,2384.0,3040.0,448.0,2624.0,2368.0,448.0,5296.0,4288.0,6432.0,31008.0,2112.0,1168.0,1296.0,3760.0,4288.0,1104.0,5488.0,4448.0,432.0,432.0,4336.0,1088.0,1696.0,1616.0,4768.0,47.9756,49.9898,129.974,99.9796
2.84961,10.2448,-0.986411,0.0167594,2624.0,2704.0,1744.0,832.0,576.0,1616.0,3904.0,2448.0,3328.0,448.0,2560.0,2384.0,416.0,5376.0,3344.0,5648.0,28624.0,2192.0,1136.0,1408.0,4640.0,3872.0,1088.0,4480.0,4448.0,416.0,352.0,4544.0,464.0,816.0,2144.0,5024.0,48.9644,49.9898,129.974,99.9796
2.98828,10.1347,-0.960075,0.035913,2688.0,3552.0,1680.0,704.0,672.0,2304.0,3520.0,3392.0,4272.0,416.0,1664.0,2432.0,432.0,5296.0,3328.0,5472.0,28592.0,2192.0,1184.0,1408.0,4368.0,5376.0,2000.0,4768.0,4496.0,400.0,448.0,4336.0,512.0,784.0,1440.0,3920.0,49.9898,49.9898,129.974,99.9796
3.12891,10.1754,-1.00796,0.0335188,2992.0,2992.0,1808.0,1056.0,608.0,1600.0,3616.0,2320.0,3392.0,400.0,1728.0,2384.0,416.0,5424.0,3376.0,5616.0,28624.0,2128.0,1120.0,1280.0,4736.0,3648.0,1104.0,4432.0,4480.0,432.0,416.0,4416.0,496.0,752.0,1344.0,4128.0,50.9786,49.9898,129.974,99.9796
3.26953,9.84496,-3.21302,-0.366313,2848.0,3344.0,1600.0,2080.0,2256.0,1184.0,3520.0,3488.0,3360.0,448.0,1696.0,2432.0,416.0,5424.0,3328.0,5536.0,33264.0,2208.0,1088.0,1296.0,3936.0,5104.0,1120.0,4496.0,4448.0,400.0,400.0,4512.0,448.0,944.0,1056.0,4352.0,51.9674,49.9898,129.974,99.9796
3.4082,10.6279,-0.227449,0.526724,2528.0,4176.0,1952.0,1872.0,1744.0,1872.0,4064.0,2432.0,3072.0,448.0,1728.0,2432.0,432.0,5344.0,3360.0,5280.0,26192.0,2080.0,1088.0,1360.0,3680.0,4176.0,1104.0,5440.0,4512.0,464.0,448.0,5632.0,464.0,1280.0,944.0,3728.0,52.9929,49.9898,129.974,99.9796
3.54883,10.4938,-0.129287,0.0023942,2544.0,2496.0,544.0,1744.0,800.0,1440.0,3920.0,2384.0,3200.0,416.0,1744.0,2480.0,432.0,5392.0,3392.0,5632.0,31232.0,1984.0,1104.0,1344.0,4192.0,5152.0,1072.0,5632.0,4528.0,448.0,480.0,5648.0,464.0,1152.0,1856.0,4896.0,53.9817,49.9898,129.974,99.9796
