time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.169922,9.76116,-1.32639,-0.150835,4800.0,5696.0,2848.0,4048.0,3728.0,4304.0,5728.0,4160.0,5760.0,2496.0,3168.0,4048.0,2512.0,7200.0,5264.0,6320.0,0.0,5120.0,0.0,5008.0,0.0,4832.0,0.0,4752.0,0.0,5152.0,0.0,5056.0,0.0,4320.0,0.0,5760.0,9.99796,49.9898,39.9919,99.9796
0.311035,5.96156,-10.2448,1.9393,3552.0,3904.0,1120.0,2048.0,1168.0,2560.0,3728.0,2400.0,4064.0,928.0,1568.0,2608.0,1072.0,5552.0,3488.0,5824.0,19872.0,2112.0,960.0,992.0,6592.0,3360.0,1200.0,2416.0,4592.0,928.0,832.0,2288.0,1296.0,4528.0,4320.0,6720.0,9.99796,49.9898,40.9807,99.9796
0.430664,19.6127,-2.44927,-2.80361,64992.0,6160.0,4496.0,7776.0,6160.0,2752.0,4064.0,2080.0,4176.0,784.0,1232.0,2336.0,864.0,5184.0,3216.0,4944.0,20912.0,1824.0,672.0,864.0,4784.0,3552.0,1136.0,2400.0,4048.0,624.0,912.0,1968.0,576.0,2064.0,2336.0,4992.0,9.99796,49.9898,41.9695,99.9796
0.571777,7.80749,1.92015,0.825999,3984.0,4096.0,848.0,752.0,3360.0,5648.0,3552.0,3296.0,5504.0,1520.0,8336.0,1376.0,672.0,7104.0,17616.0,15488.0,17184.0,1680.0,512.0,560.0,4544.0,2208.0,2448.0,2864.0,3520.0,432.0,720.0,1824.0,464.0,2336.0,1744.0,4144.0,9.99796,49.9898,42.9949,99.9796
0.71875,9.91917,4.24013,1.10851,3760.0,4352.0,720.0,560.0,7776.0,10976.0,4752.0,1696.0,3904.0,432.0,9952.0,1856.0,848.0,6272.0,18144.0,13376.0,16672.0,1680.0,480.0,608.0,4528.0,3536.0,1920.0,1936.0,4192.0,432.0,448.0,1824.0,448.0,2832.0,1952.0,4928.0,9.99796,49.9898,43.9837,99.9796
0.851074,9.09317,4.35984,-0.991199,3760.0,5440.0,1920.0,1696.0,8352.0,12080.0,3616.0,1472.0,3584.0,448.0,11536.0,1456.0,832.0,6192.0,16032.0,14864.0,23216.0,1248.0,528.0,672.0,4528.0,2704.0,832.0,1808.0,4272.0,448.0,464.0,1760.0,448.0,3344.0,3376.0,4800.0,9.99796,49.9898,44.9725,99.9796
0.990723,9.30386,3.91691,-1.33836,3392.0,3584.0,800.0,1504.0,8672.0,11872.0,3424.0,1488.0,3568.0,512.0,11616.0,1504.0,816.0,6928.0,16784.0,13968.0,19360.0,1664.0,528.0,672.0,4272.0,2336.0,1696.0,3008.0,4256.0,448.0,448.0,1712.0,432.0,3072.0,2208.0,5072.0,9.99796,49.9898,45.998,99.9796
1.12988,9.54089,1.66876,1.4868,3344.0,3760.0,608.0,1232.0,3072.0,4000.0,2896.0,2720.0,4896.0,448.0,10336.0,1776.0,544.0,10752.0,17856.0,14144.0,28032.0,1632.0,528.0,752.0,3840.0,2432.0,1936.0,1568.0,4400.0,464.0,448.0,2016.0,448.0,2960.0,1888.0,4800.0,9.99796,49.9898,46.9868,99.9796
1.27002,9.64145,3.99832,0.0167594,3104.0,3712.0,704.0,464.0,5920.0,10176.0,2880.0,2000.0,3648.0,448.0,10544.0,1952.0,1088.0,7360.0,19168.0,16560.0,37504.0,1664.0,560.0,720.0,4032.0,2192.0,784.0,2016.0,4368.0,432.0,448.0,2016.0,448.0,3744.0,2112.0,4816.0,9.99796,49.9898,47.9756,99.9796
1.41064,9.84016,3.43807,0.531512,3248.0,3792.0,672.0,1040.0,4752.0,8480.0,2992.0,3104.0,4976.0,448.0,11024.0,1984.0,848.0,6944.0,18816.0,16320.0,35888.0,1648.0,544.0,704.0,3856.0,2384.0,832.0,2080.0,4368.0,448.0,432.0,2000.0,400.0,2864.0,2272.0,5120.0,9.99796,49.9898,48.9644,99.9796
