time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15,serv1,serv2,serv3,serv4
0.163086,7.61356,-8.73883,0.100556,5456.0,4832.0,2784.0,3264.0,4688.0,5328.0,4720.0,3808.0,6304.0,2272.0,3264.0,3664.0,1968.0,6096.0,5072.0,6816.0,23632.0,2592.0,1936.0,3696.0,10880.0,15760.0,1744.0,7184.0,5008.0,1616.0,7296.0,7808.0,1984.0,15552.0,6176.0,7472.0,29.9939,49.9898,129.974,99.9796
0.283936,6.87375,-7.32386,-0.960075,4528.0,3408.0,1408.0,1600.0,3168.0,3936.0,3264.0,2400.0,4864.0,800.0,1968.0,2064.0,704.0,5072.0,4128.0,5776.0,16960.0,1232.0,1072.0,1296.0,4000.0,5760.0,1040.0,3808.0,4112.0,864.0,432.0,3952.0,1776.0,11008.0,2976.0,5728.0,29.9939,49.9898,129.974,99.9796
0.405029,7.69975,-5.89931,0.684741,4352.0,3136.0,1376.0,1728.0,3088.0,3968.0,3232.0,2384.0,4896.0,816.0,1408.0,2128.0,832.0,5056.0,4064.0,5952.0,0.0,4560.0,0.0,4912.0,0.0,5072.0,0.0,4992.0,0.0,4784.0,0.0,5008.0,0.0,5008.0,0.0,4784.0,29.9939,49.9898,129.974,99.9796
0.5271,7.21612,-5.00627,-0.011971,3808.0,3344.0,976.0,1280.0,2688.0,3504.0,2784.0,2016.0,4528.0,416.0,1872.0,2400.0,800.0,5088.0,4112.0,5808.0,0.0,4608.0,0.0,4576.0,0.0,5056.0,0.0,5104.0,0.0,4800.0,0.0,5056.0,0.0,5008.0,0.0,4560.0,29.9939,49.9898,129.974,99.9796
0.656982,10.5896,6.66067,-4.80995,64928.0,5648.0,3760.0,4448.0,1040.0,3536.0,2704.0,2272.0,4224.0,1280.0,2896.0,3216.0,1504.0,5088.0,4912.0,6672.0,16368.0,1744.0,1456.0,1536.0,3248.0,4992.0,544.0,3280.0,4944.0,672.0,1328.0,4016.0,1312.0,8336.0,2368.0,4480.0,33.9857,49.9898,129.974,99.9796
0.789063,7.89847,5.05416,1.6496,10416.0,5568.0,3344.0,2096.0,3312.0,4960.0,2576.0,2320.0,4704.0,400.0,1296.0,2336.0,672.0,4240.0,3888.0,6016.0,20352.0,1872.0,1600.0,1856.0,3168.0,4896.0,544.0,3248.0,3792.0,464.0,544.0,3296.0,448.0,7568.0,2208.0,5312.0,34.9746,49.9898,129.974,99.9796
0.909912,7.85537,-7.07726,2.92571,8176.0,4016.0,944.0,1088.0,1664.0,2368.0,2528.0,2112.0,4736.0,1584.0,2352.0,2112.0,704.0,4224.0,3856.0,5968.0,23760.0,880.0,624.0,784.0,3136.0,4720.0,576.0,4816.0,4928.0,432.0,1088.0,4416.0,1584.0,6480.0,736.0,3856.0,34.9746,49.9898,129.974,99.9796
1.04907,11.3006,-3.14119,-3.78523,35136.0,5936.0,2960.0,5344.0,1680.0,4512.0,2640.0,2240.0,5600.0,512.0,1232.0,2208.0,752.0,4448.0,4032.0,5600.0,27552.0,784.0,576.0,784.0,3200.0,4944.0,544.0,3216.0,3824.0,480.0,960.0,3024.0,448.0,5856.0,2704.0,5408.0,36.9888,49.9898,129.974,99.9796
1.18994,10.0892,-1.5706,-1.42694,60288.0,5856.0,1408.0,1024.0,2192.0,2832.0,2592.0,2128.0,4704.0,432.0,1152.0,2144.0,640.0,4368.0,3776.0,5824.0,28384.0,704.0,656.0,944.0,3248.0,4960.0,1408.0,4912.0,4880.0,1600.0,2464.0,4400.0,2400.0,6064.0,1504.0,4656.0,37.9776,49.9898,129.974,99.9796
1.3291,10.173,-1.35033,1.71425,49120.0,5632.0,3232.0,1760.0,2304.0,4432.0,2560.0,2176.0,5552.0,816.0,1280.0,2176.0,688.0,4480.0,3888.0,5712.0,21952.0,768.0,576.0,928.0,3392.0,5152.0,608.0,3344.0,4048.0,400.0,1072.0,3376.0,448.0,6912.0,1872.0,4544.0,38.9664,49.9898,129.974,99.9796
