time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.147949,10.1011,1.09894,-0.703895,6336.0,7968.0,6320.0,4624.0,7232.0,12080.0,9056.0,5888.0,6576.0,720.0,4544.0,5216.0,10304.0,18272.0,17424.0,14736.0,50000.0,4624.0,2064.0,6528.0,4896.0,7600.0,2080.0,28992.0,4304.0,960.0,1104.0,28064.0,2496.0,4704.0,4448.0,6192.0
0.268066,9.97185,1.98958,-0.711078,5776.0,7328.0,5184.0,3968.0,5136.0,11696.0,8912.0,7072.0,6464.0,1056.0,6400.0,7104.0,14592.0,19024.0,16944.0,15040.0,42848.0,3792.0,1248.0,5968.0,4656.0,7344.0,2336.0,27680.0,4336.0,944.0,720.0,28144.0,1568.0,3728.0,2896.0,5328.0
0.388916,9.29908,2.67432,-2.15478,5184.0,6880.0,4512.0,3440.0,2272.0,6704.0,7744.0,5984.0,5840.0,480.0,4432.0,5568.0,15232.0,22192.0,18704.0,16144.0,49808.0,3376.0,848.0,5376.0,3952.0,7056.0,1824.0,27856.0,3888.0,480.0,768.0,26912.0,1168.0,3104.0,3184.0,5120.0
0.508057,9.22725,3.73974,-2.57377,5904.0,7392.0,4032.0,3536.0,2224.0,5056.0,7488.0,3264.0,5920.0,432.0,3424.0,3264.0,10896.0,22224.0,20496.0,16784.0,44752.0,3376.0,848.0,5424.0,4016.0,6976.0,1792.0,27232.0,3856.0,528.0,864.0,26832.0,1232.0,4384.0,2560.0,5456.0
0.62793,8.49941,5.85382,0.73502,5024.0,6432.0,4480.0,3280.0,4512.0,10432.0,7968.0,6896.0,5808.0,512.0,4800.0,6928.0,13200.0,20624.0,17344.0,15952.0,43856.0,3408.0,864.0,5264.0,4112.0,7024.0,1776.0,27200.0,3936.0,480.0,960.0,27040.0,1152.0,2752.0,2800.0,4400.0
0.748047,8.35576,6.5649,-1.92254,5920.0,6432.0,4704.0,3168.0,5904.0,10896.0,8224.0,6880.0,6144.0,1072.0,6560.0,6624.0,13824.0,19280.0,16480.0,14528.0,44448.0,3392.0,832.0,5392.0,4144.0,6992.0,1792.0,25760.0,5008.0,2000.0,960.0,25984.0,1088.0,2528.0,1696.0,4864.0
0.86792,8.58561,4.46279,-0.852335,5600.0,7808.0,4624.0,3392.0,5968.0,11584.0,8608.0,5824.0,5840.0,464.0,4160.0,6016.0,12944.0,19968.0,17312.0,15568.0,49328.0,3344.0,832.0,5440.0,4176.0,7008.0,1776.0,24512.0,3856.0,480.0,976.0,18720.0,1200.0,2976.0,3344.0,4672.0
0.988037,8.61912,5.41089,-1.06302,4896.0,7712.0,4640.0,3584.0,6240.0,11664.0,8752.0,5696.0,5840.0,512.0,4144.0,5696.0,13104.0,20304.0,17648.0,15632.0,44096.0,3392.0,832.0,5344.0,4176.0,6976.0,1840.0,24608.0,3888.0,480.0,976.0,18304.0,992.0,2816.0,2784.0,4688.0
1.10815,8.7125,5.14993,-1.04866,5072.0,7568.0,4096.0,3392.0,6304.0,11712.0,8896.0,6048.0,5840.0,512.0,4288.0,6064.0,13344.0,20512.0,17696.0,14096.0,44512.0,3376.0,832.0,5248.0,4176.0,6976.0,1792.0,14800.0,3872.0,480.0,976.0,23216.0,1184.0,2768.0,2448.0,5296.0
1.22803,8.73404,5.22894,-1.07978,4992.0,7712.0,4704.0,3120.0,6448.0,11664.0,8832.0,6032.0,5856.0,464.0,4320.0,6032.0,13344.0,20512.0,17680.0,15792.0,48928.0,3344.0,864.0,5440.0,4128.0,6944.0,1824.0,23312.0,3888.0,416.0,1024.0,23184.0,1200.0,3008.0,2992.0,4480.0
1.34692,8.64307,5.05895,-1.1157,4992.0,7760.0,4640.0,3168.0,6368.0,11616.0,9072.0,6048.0,5888.0,480.0,4800.0,6144.0,13328.0,20480.0,17696.0,14976.0,49216.0,3376.0,832.0,5440.0,4176.0,6960.0,1792.0,19200.0,3872.0,448.0,992.0,24560.0,1184.0,3312.0,2672.0,5136.0
1.46704,8.72926,5.21218,-1.16358,5136.0,7760.0,4624.0,3120.0,6464.0,11664.0,9280.0,6224.0,5856.0,512.0,4608.0,6224.0,13408.0,20512.0,17696.0,15760.0,46544.0,3376.0,816.0,5472.0,4032.0,6912.0,1824.0,18992.0,3872.0,448.0,928.0,25232.0,1232.0,3440.0,2848.0,4576.0
