time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.166016,9.15542,4.91529,-0.181959,63408.0,8096.0,6208.0,4688.0,7376.0,14848.0,9056.0,8768.0,11536.0,1920.0,9888.0,8592.0,11984.0,19536.0,17344.0,14864.0,52656.0,4784.0,2176.0,7088.0,5264.0,8080.0,2848.0,24656.0,4000.0,784.0,1216.0,24336.0,1760.0,3728.0,3296.0,5664.0
0.286133,9.44752,1.58975,-1.99437,50320.0,6560.0,5472.0,3808.0,5328.0,13152.0,8112.0,6064.0,7584.0,1024.0,6672.0,5312.0,6592.0,12864.0,13792.0,12560.0,46864.0,3712.0,1184.0,5936.0,4544.0,6944.0,2000.0,24272.0,4144.0,640.0,1392.0,24176.0,1760.0,3680.0,4704.0,6992.0
0.404785,9.89284,-3.94325,-1.02711,65296.0,8608.0,9728.0,7216.0,9056.0,6528.0,7056.0,1856.0,6096.0,672.0,4368.0,2112.0,3104.0,8352.0,8752.0,9296.0,43952.0,3664.0,928.0,4848.0,16384.0,8000.0,1600.0,24144.0,3936.0,720.0,1936.0,22896.0,1712.0,1968.0,3104.0,5088.0
0.525879,10.7571,-1.90578,0.160411,23520.0,4064.0,6848.0,4288.0,3808.0,5280.0,7120.0,1664.0,5632.0,464.0,3264.0,1616.0,3072.0,7664.0,8176.0,8784.0,47184.0,4624.0,1888.0,7680.0,21632.0,8448.0,1680.0,23984.0,3904.0,464.0,1696.0,24240.0,1616.0,3360.0,1040.0,5056.0
0.645996,10.3118,-0.775721,-0.440533,5760.0,6208.0,5344.0,4512.0,3472.0,3872.0,7264.0,1568.0,4800.0,432.0,3392.0,1680.0,3040.0,7568.0,8112.0,8784.0,48320.0,3120.0,656.0,8128.0,22288.0,8096.0,1936.0,24080.0,3808.0,480.0,1280.0,23872.0,1600.0,3216.0,2336.0,4752.0
0.766113,9.96706,-1.403,-0.215478,4576.0,5952.0,5216.0,4416.0,2512.0,3920.0,7072.0,1600.0,4768.0,480.0,4352.0,1952.0,3104.0,7936.0,7904.0,7392.0,45424.0,3472.0,720.0,8176.0,22688.0,8176.0,1632.0,23264.0,5664.0,1584.0,2528.0,22880.0,1232.0,4144.0,1408.0,4256.0
0.885742,10.3621,-1.4844,-0.0981622,4096.0,5424.0,3808.0,5152.0,3776.0,4784.0,7088.0,1632.0,4688.0,464.0,3360.0,1600.0,2960.0,7728.0,7760.0,8624.0,47552.0,4512.0,1712.0,8736.0,22880.0,8352.0,2000.0,23024.0,4064.0,480.0,1376.0,23248.0,1424.0,3472.0,2608.0,5744.0
1.00586,10.4315,-1.39582,-0.071826,3808.0,4544.0,2576.0,3696.0,2496.0,3728.0,6528.0,1584.0,4736.0,464.0,3552.0,1568.0,2656.0,8080.0,7648.0,8336.0,42848.0,3392.0,656.0,9680.0,23168.0,9264.0,1936.0,23984.0,3888.0,480.0,1344.0,23632.0,1360.0,2656.0,3040.0,5296.0
1.125,10.0437,-1.4868,-0.0550666,4160.0,5568.0,3200.0,4832.0,2144.0,3712.0,6464.0,1504.0,4736.0,464.0,3744.0,1536.0,2864.0,7760.0,7616.0,7296.0,39808.0,4432.0,1968.0,10304.0,23472.0,9728.0,1856.0,24032.0,3840.0,464.0,1184.0,24368.0,1408.0,2528.0,3104.0,6080.0
1.24512,10.1538,-1.47243,-0.227449,3984.0,5888.0,3616.0,4880.0,3136.0,3424.0,6528.0,1856.0,4688.0,448.0,3760.0,1824.0,2912.0,8096.0,7616.0,8512.0,44304.0,4640.0,1984.0,10272.0,23504.0,9936.0,1808.0,24336.0,3744.0,464.0,1168.0,24272.0,1408.0,3424.0,3936.0,5424.0
1.36475,10.2663,-1.55862,-0.229843,4096.0,5600.0,3456.0,5008.0,3296.0,2960.0,6480.0,1280.0,4704.0,416.0,3920.0,1248.0,2912.0,7392.0,7264.0,8176.0,39440.0,4704.0,2016.0,12096.0,23680.0,9744.0,2112.0,24096.0,3888.0,464.0,1120.0,23744.0,1504.0,3376.0,3856.0,5808.0
1.48486,10.2113,-1.06542,-0.160411,4064.0,5824.0,3712.0,4496.0,2064.0,3504.0,6448.0,1376.0,4608.0,480.0,4160.0,1408.0,2848.0,7456.0,7056.0,8080.0,38096.0,4672.0,2496.0,12384.0,23792.0,9936.0,2080.0,24160.0,3856.0,480.0,784.0,23744.0,1360.0,2960.0,4000.0,6160.0
1.60498,10.1275,-1.09894,-0.366313,3936.0,5664.0,3216.0,5008.0,2064.0,3424.0,6320.0,2224.0,4704.0,448.0,4224.0,1712.0,2640.0,7456.0,6960.0,8192.0,45376.0,4736.0,2512.0,11408.0,23968.0,9264.0,1776.0,24560.0,3808.0,512.0,784.0,24560.0,1296.0,3104.0,4096.0,4912.0
1.7251,10.3166,-1.38385,-0.28491,3520.0,6096.0,3840.0,4928.0,3152.0,3536.0,6336.0,2368.0,4672.0,448.0,4240.0,2512.0,2656.0,7392.0,6944.0,8448.0,43776.0,4928.0,1680.0,11472.0,24144.0,8544.0,1760.0,23648.0,3856.0,464.0,768.0,23328.0,1232.0,3744.0,3744.0,5888.0
1.84473,10.2807,-1.21865,-0.301669,3856.0,5376.0,4320.0,4944.0,2992.0,3376.0,6336.0,1840.0,4672.0,480.0,4176.0,2384.0,2544.0,7488.0,6944.0,7968.0,45440.0,5040.0,2144.0,12608.0,24240.0,8048.0,1600.0,24560.0,3888.0,464.0,784.0,24560.0,1280.0,3168.0,2832.0,6256.0
1.96484,10.2113,-1.12049,-0.430956,3840.0,6144.0,3792.0,4800.0,3200.0,3616.0,6336.0,2176.0,4592.0,464.0,4256.0,2272.0,2464.0,7568.0,6848.0,8176.0,46640.0,4688.0,2112.0,12336.0,24336.0,7840.0,1664.0,24784.0,3872.0,464.0,816.0,24720.0,1200.0,3632.0,3536.0,5824.0
2.08496,10.2089,-0.955286,-0.457292,4016.0,6304.0,4624.0,4752.0,1408.0,3584.0,6352.0,1184.0,4608.0,448.0,4256.0,1200.0,2000.0,7552.0,6592.0,7488.0,36240.0,4832.0,2368.0,13024.0,24464.0,7600.0,1680.0,22656.0,3904.0,496.0,784.0,23232.0,1152.0,3152.0,3280.0,6304.0
2.20508,10.3214,-1.19949,-0.474052,4048.0,7104.0,3840.0,4224.0,2144.0,3472.0,6288.0,1200.0,4640.0,464.0,4192.0,1920.0,2144.0,7936.0,6528.0,8176.0,51520.0,4928.0,1856.0,12560.0,24528.0,7504.0,1584.0,24560.0,3872.0,464.0,768.0,24976.0,1200.0,3776.0,4048.0,6064.0
2.32373,10.3836,-1.23301,-0.347159,4048.0,6400.0,4656.0,4512.0,3296.0,3504.0,6304.0,1984.0,4656.0,432.0,4128.0,1280.0,2096.0,7568.0,6528.0,7648.0,43792.0,4992.0,2832.0,12176.0,24480.0,6864.0,1680.0,25024.0,3840.0,480.0,832.0,25024.0,1152.0,3392.0,3120.0,6480.0
2.45313,10.5632,-1.11091,-0.356736,3856.0,7056.0,3872.0,2624.0,2192.0,3600.0,6192.0,1248.0,4752.0,448.0,4256.0,1968.0,2112.0,7568.0,6560.0,7760.0,55504.0,4848.0,2224.0,11520.0,24208.0,6336.0,1536.0,23632.0,3856.0,464.0,800.0,24224.0,1152.0,3088.0,3600.0,5952.0
2.56494,10.3022,-1.31202,-0.474052,3776.0,5888.0,3376.0,3376.0,2432.0,3616.0,6208.0,1216.0,4672.0,480.0,5584.0,2688.0,3248.0,8320.0,6480.0,7744.0,41280.0,3520.0,1280.0,11552.0,24240.0,6336.0,1728.0,25040.0,4992.0,1856.0,2272.0,26432.0,1056.0,3728.0,2272.0,5168.0
2.68408,10.4244,-1.34075,-0.35913,4320.0,7424.0,4912.0,4608.0,3328.0,3648.0,6144.0,1856.0,4864.0,432.0,4256.0,1936.0,2128.0,7888.0,6480.0,7680.0,43408.0,5072.0,2528.0,11088.0,24208.0,6304.0,1664.0,25168.0,3808.0,480.0,832.0,25344.0,1024.0,3856.0,4080.0,6016.0
2.80469,10.4938,-1.9824,-0.308852,4160.0,6208.0,5136.0,4784.0,3584.0,3648.0,6128.0,1248.0,4832.0,464.0,4256.0,1920.0,2080.0,7776.0,6416.0,7264.0,41392.0,4816.0,2512.0,12224.0,23584.0,6208.0,1632.0,25072.0,3808.0,464.0,848.0,25360.0,1040.0,2816.0,3040.0,5968.0
2.9248,10.3382,-1.14922,-0.292093,4256.0,7216.0,5184.0,4240.0,2512.0,3728.0,5968.0,1888.0,4656.0,464.0,4240.0,1872.0,2176.0,7664.0,6432.0,8176.0,47568.0,4800.0,2176.0,10960.0,22464.0,6368.0,1696.0,25184.0,3824.0,480.0,848.0,25088.0,1024.0,3280.0,3488.0,5808.0
3.04395,10.4962,-1.53708,-0.371101,7488.0,6656.0,5520.0,4656.0,2464.0,3728.0,5888.0,1824.0,4640.0,480.0,4288.0,1840.0,2208.0,7776.0,6432.0,7712.0,48432.0,4688.0,1456.0,10240.0,21472.0,6368.0,1664.0,24560.0,3840.0,480.0,816.0,24960.0,752.0,3072.0,3072.0,5920.0
3.16406,10.2831,-1.43652,-0.35913,12576.0,7104.0,5744.0,3344.0,2464.0,3664.0,5968.0,1840.0,4752.0,448.0,4288.0,1776.0,2080.0,7712.0,6464.0,8176.0,50336.0,4304.0,864.0,9168.0,20656.0,6304.0,1616.0,24336.0,3728.0,464.0,832.0,24272.0,672.0,3264.0,3216.0,5728.0
3.28369,10.3334,-1.403,-0.572214,51488.0,6288.0,5920.0,4240.0,2304.0,3664.0,5712.0,1872.0,4816.0,464.0,4128.0,1856.0,2240.0,7728.0,6368.0,7680.0,48560.0,4880.0,896.0,9200.0,20512.0,6080.0,1648.0,24560.0,3744.0,464.0,864.0,24560.0,592.0,3408.0,3072.0,5680.0
3.40381,10.4866,-1.58736,-0.244209,51552.0,6528.0,5728.0,3216.0,2272.0,3776.0,5712.0,1200.0,4896.0,1488.0,5408.0,2240.0,2320.0,7696.0,6336.0,7648.0,42592.0,3488.0,944.0,8720.0,19744.0,6240.0,1664.0,24560.0,5152.0,1616.0,1376.0,23824.0,528.0,3328.0,1792.0,4800.0
3.52393,10.6231,-1.57538,-0.179565,55536.0,6112.0,5440.0,4576.0,2208.0,3808.0,5632.0,1360.0,4912.0,464.0,4048.0,1344.0,2432.0,7616.0,6384.0,7680.0,44128.0,4496.0,1872.0,8640.0,18752.0,6272.0,1472.0,25280.0,3712.0,464.0,816.0,24912.0,512.0,3264.0,3120.0,5808.0
3.66406,10.2759,-1.70707,-0.459687,57920.0,5072.0,5040.0,4944.0,3536.0,4736.0,5648.0,1472.0,4912.0,512.0,4048.0,1488.0,2368.0,7632.0,6416.0,7040.0,44768.0,4144.0,2112.0,9376.0,18496.0,6160.0,1488.0,24560.0,3744.0,480.0,816.0,24560.0,496.0,3376.0,1744.0,4160.0
3.78369,10.5465,-1.84832,-0.397437,54976.0,5440.0,5984.0,4416.0,2224.0,3680.0,5328.0,1488.0,5024.0,448.0,4016.0,1424.0,2704.0,7616.0,6400.0,7600.0,45248.0,4432.0,1760.0,8352.0,18192.0,6240.0,1456.0,24176.0,3760.0,432.0,896.0,25152.0,464.0,3152.0,2048.0,5728.0
3.90479,10.41,-1.94649,-0.447716,54032.0,5696.0,4496.0,3456.0,2304.0,3760.0,5344.0,1520.0,4960.0,480.0,5248.0,2752.0,3632.0,7248.0,6336.0,7392.0,51360.0,2704.0,624.0,7936.0,17680.0,6320.0,1472.0,25296.0,4704.0,2000.0,2000.0,25104.0,480.0,3040.0,1872.0,4912.0
4.02393,10.5967,-1.9393,-0.208295,57376.0,6992.0,5456.0,3120.0,2176.0,3888.0,5456.0,1504.0,4944.0,464.0,3936.0,1504.0,2448.0,7264.0,6352.0,8176.0,47312.0,3616.0,608.0,7904.0,17024.0,6288.0,1440.0,24848.0,3744.0,464.0,832.0,25152.0,480.0,3888.0,3248.0,5472.0
4.14404,10.58,-2.03268,-0.409408,54560.0,6448.0,5184.0,3216.0,2304.0,3936.0,5328.0,1488.0,5008.0,432.0,4032.0,1472.0,2544.0,7200.0,6944.0,8528.0,43776.0,3520.0,608.0,8000.0,16688.0,6432.0,1456.0,25296.0,3840.0,464.0,864.0,25296.0,480.0,4528.0,3024.0,5520.0
4.26514,10.3118,-1.98958,-0.263362,49744.0,6528.0,5824.0,2608.0,2240.0,3856.0,5328.0,1376.0,4912.0,432.0,3968.0,1344.0,2560.0,7472.0,6320.0,8176.0,45408.0,3776.0,576.0,7760.0,16384.0,6624.0,1456.0,25488.0,3808.0,528.0,864.0,25504.0,480.0,3344.0,2016.0,4880.0
4.38379,10.4267,-2.03507,-0.289698,54432.0,6432.0,4448.0,2432.0,2208.0,4112.0,5264.0,1360.0,4896.0,464.0,3888.0,1392.0,2544.0,7232.0,6912.0,8528.0,50080.0,3616.0,560.0,7584.0,16192.0,6592.0,1472.0,25472.0,3840.0,496.0,832.0,25424.0,448.0,4752.0,3232.0,5152.0
4.50391,10.6638,-2.66235,-0.011971,53648.0,6448.0,5696.0,3536.0,2096.0,3632.0,5216.0,1424.0,4864.0,448.0,3920.0,1376.0,2432.0,7808.0,6432.0,8256.0,44768.0,3600.0,560.0,7456.0,15904.0,6560.0,1472.0,25072.0,3856.0,480.0,848.0,24560.0,448.0,4384.0,3584.0,5696.0
4.625,10.5704,-2.24815,-0.00957681,52736.0,6336.0,4000.0,2480.0,2224.0,3792.0,5184.0,1376.0,4960.0,448.0,3968.0,1408.0,2432.0,7568.0,7648.0,8288.0,45600.0,2336.0,544.0,7264.0,15232.0,6560.0,1424.0,25472.0,3792.0,480.0,832.0,24512.0,1440.0,5072.0,3328.0,4816.0
4.74414,10.568,-2.3104,-0.198719,57904.0,6768.0,5760.0,2368.0,2224.0,3776.0,5200.0,1408.0,4880.0,448.0,4000.0,1440.0,2512.0,7744.0,7072.0,8656.0,39712.0,2736.0,576.0,7488.0,14848.0,6560.0,1440.0,25104.0,3776.0,464.0,864.0,25232.0,528.0,4304.0,3472.0,5856.0
4.86377,10.4914,-2.39899,-0.258574,59536.0,7024.0,5664.0,2608.0,2240.0,3856.0,5248.0,1408.0,4816.0,480.0,3984.0,1408.0,2400.0,7760.0,7248.0,8256.0,42144.0,2352.0,528.0,7232.0,14064.0,6592.0,1424.0,24896.0,3792.0,448.0,864.0,25008.0,592.0,4672.0,3376.0,5696.0
4.98389,10.5489,-2.41814,0.0670376,63008.0,7040.0,5392.0,2720.0,2304.0,3872.0,5088.0,1360.0,4784.0,464.0,3984.0,1376.0,2464.0,7760.0,7200.0,8448.0,42880.0,3328.0,320.0,6720.0,13312.0,6624.0,1456.0,25152.0,3744.0,464.0,832.0,25104.0,480.0,4768.0,3296.0,5760.0
5.11182,10.6183,-2.09732,-0.023942,62672.0,6608.0,3936.0,3008.0,2304.0,3904.0,5472.0,1264.0,4784.0,480.0,3920.0,1312.0,2400.0,7760.0,7680.0,8848.0,44800.0,2384.0,512.0,6592.0,13184.0,6560.0,1472.0,25152.0,3776.0,496.0,848.0,25104.0,1360.0,4768.0,2976.0,5264.0
5.22412,10.3286,-1.94409,-0.3304,61072.0,5136.0,4592.0,3168.0,2336.0,3872.0,5376.0,1312.0,5840.0,2688.0,5200.0,2000.0,2480.0,7744.0,6480.0,7648.0,43392.0,2448.0,528.0,6864.0,13472.0,6464.0,1472.0,26016.0,5024.0,480.0,864.0,24336.0,464.0,3296.0,2128.0,4992.0
5.34375,10.1538,-1.50116,-0.368707,61888.0,6352.0,4576.0,3472.0,2400.0,3936.0,5328.0,1360.0,4688.0,432.0,4016.0,1344.0,2464.0,7728.0,7792.0,7792.0,47536.0,2480.0,528.0,6992.0,13408.0,6480.0,1456.0,23328.0,3792.0,448.0,896.0,23056.0,1472.0,4928.0,2112.0,4352.0
5.46387,10.1418,-1.70946,-0.289698,61088.0,5120.0,4784.0,2688.0,2512.0,3936.0,5632.0,2320.0,4688.0,416.0,4048.0,2240.0,2512.0,7680.0,7184.0,8624.0,43296.0,2496.0,464.0,6976.0,13696.0,6480.0,1520.0,23904.0,3808.0,480.0,880.0,24080.0,688.0,5168.0,3280.0,4832.0
