time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.167999,12.5743,10.0892,4.88656,4752.0,6848.0,4928.0,5520.0,3584.0,3856.0,5024.0,1536.0,5520.0,992.0,3968.0,1216.0,2768.0,9376.0,10896.0,9776.0,43008.0,4048.0,848.0,7168.0,14416.0,6608.0,1376.0,17024.0,4304.0,768.0,1632.0,16608.0,1184.0,5312.0,5504.0,7136.0
0.287998,10.6015,-3.32315,-0.215478,7616.0,5968.0,4864.0,5008.0,3248.0,3904.0,4624.0,3456.0,5776.0,720.0,3728.0,3488.0,2704.0,12064.0,11904.0,10944.0,48208.0,4352.0,736.0,5568.0,8128.0,7488.0,704.0,17088.0,4288.0,672.0,1504.0,16160.0,1216.0,6352.0,3248.0,5760.0
0.406998,8.54251,2.3966,-2.49236,5168.0,6944.0,4672.0,5216.0,3120.0,3856.0,5280.0,11152.0,5712.0,512.0,14896.0,11856.0,12736.0,22048.0,14768.0,12352.0,42928.0,4368.0,560.0,4896.0,5776.0,6480.0,512.0,16656.0,4032.0,464.0,1008.0,18048.0,1008.0,3936.0,6528.0,8080.0
0.527,8.59997,3.04064,-0.191536,4544.0,6864.0,4768.0,4960.0,2960.0,3856.0,5216.0,10720.0,5776.0,480.0,12912.0,10992.0,12576.0,22416.0,15952.0,14544.0,43152.0,3920.0,464.0,5072.0,5472.0,6208.0,928.0,18720.0,3936.0,448.0,928.0,18000.0,1072.0,4240.0,6608.0,7872.0
0.646999,8.56166,10.1251,1.41258,4992.0,6608.0,5168.0,7120.0,2816.0,5984.0,8160.0,8608.0,5792.0,480.0,16112.0,8544.0,3872.0,18768.0,11248.0,10688.0,46576.0,4400.0,448.0,4944.0,5456.0,6176.0,832.0,18000.0,3952.0,464.0,896.0,18720.0,1088.0,4576.0,6272.0,8080.0
0.766998,4.7908,12.2559,-0.409408,41472.0,5632.0,5424.0,14768.0,2528.0,2320.0,5200.0,3088.0,5968.0,448.0,4656.0,3424.0,2768.0,9488.0,9168.0,9120.0,45520.0,4320.0,448.0,5168.0,5568.0,6224.0,832.0,18352.0,3904.0,784.0,1488.0,18304.0,704.0,4096.0,7328.0,8448.0
0.887001,6.44519,7.52976,-0.548272,8656.0,5888.0,5472.0,15760.0,3200.0,3120.0,5456.0,3104.0,5936.0,464.0,4352.0,3136.0,2448.0,9040.0,8176.0,8928.0,52240.0,4688.0,848.0,5536.0,5408.0,6304.0,880.0,17424.0,3936.0,448.0,1056.0,18256.0,1184.0,3920.0,7568.0,8176.0
1.007,7.69975,4.1683,2.26252,5584.0,6016.0,5440.0,17744.0,4496.0,2976.0,4480.0,3024.0,5968.0,480.0,3632.0,3072.0,2432.0,8864.0,8176.0,8256.0,43344.0,4672.0,848.0,5552.0,5712.0,6304.0,816.0,18480.0,3984.0,432.0,1184.0,18352.0,1248.0,3904.0,6720.0,8352.0
1.127,8.08761,5.58567,-1.19949,5312.0,6432.0,5360.0,8384.0,3920.0,6144.0,11392.0,3232.0,5824.0,464.0,3520.0,3200.0,2480.0,12400.0,7984.0,8880.0,44768.0,4656.0,480.0,5200.0,5552.0,6112.0,848.0,18704.0,3968.0,448.0,1184.0,18016.0,1264.0,3424.0,7072.0,8448.0
1.247,7.81707,6.73728,-0.512359,5008.0,5904.0,5184.0,14144.0,4576.0,1568.0,5056.0,3072.0,5744.0,464.0,3584.0,3008.0,2384.0,8976.0,8096.0,8752.0,43872.0,4640.0,848.0,5584.0,5568.0,6320.0,800.0,19200.0,3968.0,448.0,1232.0,17840.0,1232.0,3264.0,6464.0,7776.0
1.367,7.99663,6.25365,1.82438,5104.0,6064.0,5280.0,16848.0,4512.0,3664.0,5664.0,3024.0,5984.0,480.0,3456.0,3168.0,2256.0,8720.0,7504.0,8400.0,42784.0,4640.0,832.0,5680.0,5536.0,6240.0,832.0,19536.0,3968.0,464.0,1248.0,18528.0,1216.0,3728.0,7152.0,7392.0
1.487,7.80031,4.88177,-0.11971,4768.0,6304.0,5184.0,15584.0,4560.0,4832.0,9184.0,3072.0,5952.0,480.0,12096.0,3136.0,2240.0,8144.0,7856.0,8624.0,45232.0,4608.0,816.0,5504.0,5632.0,6160.0,848.0,18832.0,3936.0,448.0,1200.0,18000.0,992.0,3792.0,6960.0,7200.0
1.606,8.09479,5.85382,-0.0526724,4736.0,6432.0,5152.0,13360.0,4192.0,4304.0,10560.0,4032.0,5920.0,480.0,15232.0,3344.0,2224.0,8432.0,8096.0,8912.0,45200.0,4608.0,448.0,5264.0,5584.0,6304.0,1696.0,17968.0,4000.0,832.0,1584.0,18272.0,1056.0,3808.0,7216.0,8336.0
