time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.145996,12.73,-16.0076,0.23942,5328.0,6304.0,4304.0,6464.0,2656.0,4320.0,6240.0,2768.0,6192.0,976.0,4912.0,2576.0,3472.0,8560.0,7424.0,8384.0,64784.0,4240.0,1040.0,6752.0,23456.0,17040.0,1584.0,17328.0,6048.0,848.0,5456.0,17296.0,1968.0,5920.0,15424.0,14368.0
0.264893,7.27837,-7.00064,-2.01592,4608.0,5760.0,3968.0,6160.0,2368.0,4000.0,5936.0,2400.0,5920.0,656.0,4544.0,2096.0,2992.0,8240.0,7088.0,8080.0,61520.0,3600.0,928.0,5680.0,9408.0,10880.0,1056.0,16816.0,5552.0,496.0,448.0,17280.0,1488.0,5888.0,8176.0,9056.0
0.385986,6.67982,-6.22492,-2.89938,4832.0,5808.0,4176.0,6304.0,2512.0,3632.0,5712.0,1696.0,5648.0,464.0,4416.0,1680.0,2976.0,8208.0,7136.0,7856.0,52096.0,4144.0,1120.0,5424.0,7344.0,9920.0,992.0,17216.0,5376.0,480.0,5328.0,17184.0,1616.0,6576.0,11248.0,11184.0
0.505981,6.8953,4.03423,-1.87466,56624.0,6032.0,4928.0,4896.0,3200.0,3376.0,5696.0,1536.0,5536.0,480.0,4096.0,1488.0,2368.0,7728.0,6928.0,8016.0,52112.0,3936.0,976.0,4800.0,7360.0,8864.0,464.0,16896.0,5344.0,448.0,2496.0,17344.0,1712.0,5696.0,7312.0,7104.0
0.625,11.5568,-5.86819,3.68946,7712.0,6448.0,4944.0,5664.0,3664.0,3456.0,5728.0,1952.0,5424.0,480.0,4048.0,1968.0,2496.0,8176.0,7088.0,8096.0,51792.0,3296.0,528.0,4992.0,6864.0,8176.0,512.0,17328.0,5520.0,512.0,3856.0,17264.0,1600.0,6544.0,16448.0,13200.0
0.744995,9.72046,-1.14922,-2.98078,65280.0,5632.0,4352.0,5792.0,3280.0,3600.0,5728.0,2080.0,5728.0,464.0,4112.0,1680.0,2864.0,8176.0,7008.0,8128.0,49344.0,3616.0,528.0,4832.0,6800.0,7952.0,688.0,16944.0,5504.0,464.0,1872.0,16768.0,1664.0,6752.0,20528.0,18016.0
0.86499,9.55286,-1.54905,0.699107,9920.0,5328.0,3968.0,6224.0,3232.0,3744.0,5776.0,1776.0,5552.0,448.0,4064.0,1808.0,2528.0,8320.0,7008.0,7760.0,57744.0,3728.0,1024.0,5264.0,6336.0,9024.0,704.0,17216.0,5520.0,512.0,1600.0,17184.0,1632.0,6352.0,22624.0,19664.0
0.984985,11.8728,-2.1476,-0.780509,65248.0,5712.0,4368.0,5392.0,3376.0,4128.0,6080.0,2336.0,5696.0,480.0,4064.0,2304.0,2816.0,8352.0,6976.0,8160.0,57008.0,3680.0,1008.0,4928.0,6688.0,8576.0,800.0,16560.0,5552.0,496.0,6048.0,16768.0,1600.0,9088.0,20832.0,17968.0
1.10498,9.65581,-2.2721,-1.05824,64960.0,5632.0,3904.0,5872.0,3568.0,3696.0,5792.0,1984.0,5776.0,432.0,4112.0,1952.0,2848.0,8288.0,7088.0,8176.0,59712.0,3648.0,496.0,4976.0,6608.0,9744.0,656.0,16464.0,5552.0,496.0,2144.0,16752.0,1600.0,6416.0,23760.0,21408.0
1.22498,10.1442,-2.18591,-0.351948,65248.0,5280.0,3664.0,5488.0,3392.0,3584.0,5792.0,1904.0,5728.0,464.0,4096.0,1936.0,2848.0,8320.0,7024.0,7808.0,57328.0,3712.0,528.0,5008.0,6656.0,9888.0,672.0,16736.0,5568.0,512.0,5376.0,16640.0,1600.0,8576.0,22464.0,16688.0
