time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.167969,10.4004,-2.34153,-1.652,8512.0,7104.0,4576.0,6928.0,14352.0,7344.0,5392.0,2192.0,6240.0,1568.0,4304.0,1984.0,2336.0,8240.0,11376.0,11104.0,47520.0,4624.0,2560.0,6528.0,5040.0,7456.0,1936.0,32560.0,5424.0,800.0,1632.0,32208.0,1328.0,3392.0,3440.0,5408.0
0.287109,19.6127,1.17795,7.86974,9120.0,6096.0,3888.0,2784.0,3104.0,5424.0,4560.0,1088.0,5344.0,816.0,3776.0,1168.0,2016.0,7552.0,8928.0,8592.0,41344.0,3536.0,1456.0,5568.0,4048.0,6816.0,1152.0,32240.0,4800.0,720.0,960.0,32080.0,512.0,3152.0,3200.0,5264.0
0.407227,8.98783,3.56497,2.42772,4960.0,5808.0,2944.0,2192.0,5584.0,14160.0,3872.0,912.0,5168.0,656.0,3280.0,800.0,1312.0,11424.0,21248.0,17696.0,49088.0,3440.0,1232.0,5344.0,3920.0,6704.0,992.0,32176.0,4672.0,480.0,576.0,32160.0,464.0,2080.0,2368.0,4880.0
0.52832,8.60476,3.69186,-1.76453,4976.0,7104.0,4128.0,3408.0,2384.0,6080.0,4512.0,4640.0,5200.0,528.0,11872.0,3152.0,1760.0,19024.0,21568.0,15520.0,42192.0,4272.0,1072.0,5280.0,3840.0,6656.0,864.0,32208.0,4592.0,496.0,640.0,32160.0,448.0,2144.0,3088.0,5904.0
0.647461,6.21535,4.21619,-2.08535,4816.0,6416.0,2880.0,2640.0,4480.0,11312.0,4384.0,800.0,5872.0,512.0,7328.0,816.0,1600.0,14512.0,21568.0,18208.0,46224.0,3328.0,1120.0,5248.0,3744.0,6560.0,800.0,32128.0,4672.0,464.0,752.0,32096.0,512.0,2192.0,2480.0,5072.0
0.767578,5.21457,12.0045,-0.265756,28080.0,5088.0,3136.0,5184.0,12368.0,10432.0,4160.0,1728.0,6544.0,1056.0,3312.0,832.0,1936.0,7472.0,9792.0,9408.0,41120.0,3344.0,1104.0,5200.0,3840.0,6608.0,1872.0,32512.0,4608.0,480.0,736.0,32096.0,448.0,2160.0,2224.0,5072.0
0.887695,6.73968,6.4811,-0.766144,8528.0,6560.0,2720.0,2256.0,4528.0,9888.0,4320.0,2192.0,5808.0,480.0,9424.0,1984.0,1792.0,14784.0,20224.0,17680.0,41392.0,3344.0,1120.0,5200.0,3792.0,6320.0,864.0,32048.0,4656.0,416.0,784.0,32080.0,464.0,2304.0,3248.0,4784.0
1.00781,6.76841,6.41646,-0.260968,11712.0,6352.0,3904.0,4400.0,11504.0,12960.0,4368.0,848.0,5936.0,448.0,3376.0,816.0,1984.0,8352.0,11296.0,11568.0,44624.0,4288.0,1072.0,5168.0,3760.0,6432.0,912.0,31360.0,4688.0,480.0,704.0,31408.0,480.0,2448.0,3552.0,5856.0
1.12695,6.10521,7.1826,-0.6608,55616.0,6288.0,3920.0,4640.0,10080.0,14288.0,4272.0,896.0,5984.0,448.0,3280.0,832.0,2112.0,8016.0,14928.0,13392.0,47232.0,4304.0,1984.0,5200.0,3776.0,6576.0,896.0,31376.0,4672.0,464.0,656.0,32032.0,480.0,2448.0,3536.0,5936.0
1.24707,6.59842,6.6894,-0.131681,60624.0,6160.0,4112.0,4576.0,13008.0,13712.0,4464.0,976.0,5952.0,464.0,3280.0,1040.0,2096.0,8064.0,9376.0,9040.0,40672.0,4416.0,2208.0,6080.0,3792.0,6448.0,896.0,32128.0,4672.0,480.0,736.0,32096.0,480.0,2208.0,3200.0,6144.0
1.36719,6.30393,6.3973,-0.368707,59584.0,6672.0,4048.0,6112.0,13648.0,12608.0,4384.0,1024.0,5936.0,464.0,3360.0,1024.0,1776.0,7520.0,8128.0,8608.0,41568.0,4368.0,2048.0,4832.0,3808.0,6544.0,912.0,31968.0,4656.0,464.0,736.0,32064.0,464.0,2176.0,3504.0,5920.0
1.48828,6.69179,6.47392,-0.0909796,61088.0,6560.0,4128.0,5712.0,14608.0,11936.0,4304.0,992.0,5936.0,464.0,3152.0,1024.0,2048.0,7680.0,7296.0,8384.0,45424.0,4384.0,2192.0,6016.0,3808.0,6480.0,928.0,31376.0,4656.0,480.0,768.0,31376.0,480.0,2240.0,3424.0,6144.0
1.60645,6.8115,6.56729,-0.0670376,59424.0,6416.0,4192.0,5984.0,14816.0,10816.0,3920.0,1072.0,5936.0,464.0,3200.0,976.0,1824.0,7552.0,7120.0,8480.0,45872.0,4368.0,2112.0,5168.0,3792.0,6608.0,816.0,31552.0,5728.0,1680.0,1856.0,31936.0,464.0,3216.0,2448.0,5264.0
1.72656,7.0174,6.2345,0.366313,37728.0,6432.0,4208.0,6064.0,15184.0,11296.0,3904.0,1072.0,5904.0,464.0,3232.0,1040.0,1904.0,7632.0,7072.0,8016.0,45088.0,4384.0,2192.0,6048.0,3664.0,6608.0,896.0,31568.0,4672.0,512.0,752.0,31536.0,480.0,3168.0,3184.0,5904.0
