time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.166992,10.3166,-4.18267,0.385466,9984.0,7904.0,5472.0,5200.0,5760.0,6320.0,6224.0,4400.0,6576.0,2496.0,5328.0,4096.0,3872.0,9008.0,7632.0,8144.0,38656.0,4544.0,2432.0,8704.0,23696.0,5392.0,1872.0,23552.0,4992.0,1184.0,1520.0,23392.0,1312.0,5888.0,3472.0,5920.0
0.287109,10.0509,4.62081,-0.373495,7232.0,5712.0,3888.0,2416.0,3456.0,4368.0,4032.0,2256.0,4640.0,432.0,3456.0,2256.0,2128.0,7312.0,5808.0,7328.0,41392.0,5504.0,1872.0,6240.0,8288.0,8528.0,784.0,23504.0,4832.0,464.0,5200.0,23504.0,784.0,6688.0,15456.0,12576.0
0.407227,10.1466,-4.5394,-3.47638,8736.0,6736.0,6352.0,3456.0,4752.0,3936.0,3712.0,1168.0,4288.0,416.0,2352.0,1248.0,1296.0,7376.0,5936.0,7744.0,57232.0,5296.0,1712.0,6624.0,5344.0,11792.0,560.0,22832.0,4928.0,448.0,1248.0,22976.0,480.0,5632.0,20736.0,15424.0
0.525879,10.9798,-1.2785,-2.20985,64208.0,6304.0,3136.0,2832.0,3424.0,4224.0,3872.0,2096.0,4624.0,464.0,2976.0,2080.0,1792.0,7152.0,5664.0,6800.0,42528.0,4384.0,608.0,5888.0,5632.0,7840.0,560.0,23168.0,5040.0,480.0,4304.0,22816.0,480.0,4944.0,16128.0,13744.0
0.645996,9.26795,-2.5163,1.55623,53152.0,7296.0,5088.0,3984.0,4192.0,4288.0,3856.0,2064.0,4624.0,448.0,3424.0,2096.0,2048.0,7424.0,5808.0,6960.0,44592.0,4368.0,560.0,5952.0,5008.0,9856.0,464.0,22720.0,4912.0,512.0,1360.0,22704.0,512.0,5168.0,19504.0,14464.0
0.766113,10.7571,-0.90022,-0.605733,64688.0,6800.0,4864.0,4880.0,3344.0,4240.0,3840.0,2064.0,4736.0,480.0,3568.0,2064.0,2016.0,7392.0,5952.0,7344.0,44864.0,4352.0,640.0,5984.0,4288.0,14640.0,544.0,24560.0,6496.0,1536.0,2128.0,24720.0,16.0,4736.0,18576.0,16144.0
0.88623,10.252,-1.00556,-0.912191,64576.0,6608.0,4416.0,4256.0,3232.0,4240.0,3808.0,2128.0,4816.0,416.0,3712.0,2128.0,2080.0,7392.0,5952.0,6976.0,56400.0,4384.0,640.0,5984.0,5968.0,15472.0,560.0,24608.0,5040.0,480.0,2000.0,24704.0,464.0,4608.0,17808.0,15664.0
1.00586,10.1706,-1.11809,-0.0646434,64336.0,6416.0,4224.0,4304.0,3136.0,4192.0,3872.0,2128.0,4880.0,464.0,3760.0,2080.0,2112.0,7424.0,5936.0,7264.0,36704.0,4416.0,512.0,6096.0,12800.0,16256.0,512.0,24704.0,4960.0,464.0,3616.0,24672.0,512.0,4512.0,13888.0,12624.0
1.12598,10.1227,-1.34794,-0.0287304,64416.0,7360.0,5152.0,5424.0,3280.0,4272.0,3856.0,2096.0,4816.0,448.0,3664.0,2128.0,2160.0,7376.0,5952.0,7264.0,38368.0,4400.0,656.0,6048.0,16080.0,16720.0,528.0,24928.0,4960.0,480.0,1824.0,24848.0,432.0,5504.0,13440.0,12464.0
1.24609,10.1562,-1.73819,-0.0335188,64144.0,7328.0,4528.0,4736.0,3104.0,4160.0,3808.0,2176.0,4848.0,416.0,3712.0,2128.0,2048.0,7584.0,6208.0,8080.0,24560.0,4320.0,656.0,6128.0,18064.0,16928.0,576.0,24800.0,4960.0,480.0,2048.0,24832.0,480.0,4496.0,12128.0,11232.0
1.36621,10.3525,-1.49877,-0.0335188,63792.0,6864.0,4944.0,2880.0,2896.0,4240.0,3856.0,2144.0,4992.0,448.0,3680.0,2128.0,2128.0,7440.0,5968.0,8096.0,40672.0,4320.0,640.0,6400.0,20160.0,17280.0,496.0,24736.0,4944.0,480.0,1072.0,24832.0,464.0,4656.0,6848.0,8240.0
1.48584,10.1801,-1.37906,-0.0167594,63616.0,7184.0,3856.0,2976.0,2928.0,4160.0,3872.0,2144.0,4928.0,464.0,3680.0,2128.0,2192.0,7440.0,6848.0,8176.0,26880.0,4272.0,528.0,6752.0,21184.0,17424.0,544.0,24560.0,4944.0,480.0,896.0,24560.0,1056.0,5776.0,8608.0,8896.0
1.60498,10.2304,-1.44849,-0.035913,63440.0,6688.0,5072.0,3008.0,2784.0,4112.0,3952.0,2144.0,4944.0,448.0,3680.0,2144.0,2144.0,7424.0,6128.0,7440.0,32768.0,4304.0,512.0,6752.0,21344.0,17504.0,544.0,24560.0,5040.0,464.0,1088.0,24560.0,432.0,5552.0,8336.0,8368.0
1.7251,10.2807,-1.47243,-0.169988,61392.0,6672.0,3936.0,2880.0,2976.0,3968.0,3904.0,2128.0,4960.0,480.0,3712.0,2096.0,2208.0,7408.0,6896.0,7392.0,20080.0,4352.0,576.0,6816.0,21504.0,17472.0,528.0,24624.0,4992.0,496.0,976.0,24704.0,1344.0,5296.0,8480.0,8768.0
1.84521,10.2568,-1.76931,-0.596156,39200.0,5488.0,5296.0,2768.0,3040.0,3984.0,3888.0,2128.0,4992.0,448.0,3664.0,2112.0,2192.0,7488.0,6080.0,7728.0,21424.0,5248.0,464.0,6688.0,22928.0,15184.0,528.0,24912.0,5088.0,448.0,880.0,24880.0,480.0,4448.0,2704.0,5104.0
