time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.145996,11.1713,3.56736,-0.818817,8096.0,8384.0,6880.0,7872.0,5200.0,12928.0,7696.0,6400.0,9648.0,1104.0,6544.0,6176.0,6320.0,12176.0,14224.0,13040.0,59584.0,6880.0,1024.0,9632.0,19248.0,9440.0,3664.0,36240.0,6080.0,832.0,2528.0,36608.0,1712.0,6608.0,3808.0,5984.0
0.266998,10.0317,-0.857124,0.134075,8400.0,7920.0,6736.0,8016.0,4448.0,11408.0,6704.0,9456.0,9808.0,720.0,9728.0,8736.0,10176.0,16064.0,16944.0,13968.0,40832.0,7312.0,1360.0,7472.0,10368.0,10272.0,3472.0,39712.0,5840.0,688.0,2288.0,39504.0,1936.0,6864.0,5728.0,7600.0
0.386002,9.45949,2.99036,-1.1133,6480.0,7312.0,7056.0,7616.0,3968.0,5264.0,6544.0,10192.0,8368.0,480.0,9248.0,9760.0,11312.0,17568.0,16736.0,14688.0,49568.0,7392.0,848.0,6928.0,6592.0,9424.0,3280.0,39200.0,5200.0,464.0,2096.0,38784.0,1536.0,5616.0,3840.0,6288.0
0.505997,9.62469,3.64397,-2.17154,6672.0,7264.0,6544.0,7952.0,3648.0,5056.0,6272.0,6576.0,8272.0,496.0,5152.0,6416.0,11184.0,18336.0,17632.0,15248.0,48608.0,7040.0,784.0,7264.0,6256.0,9088.0,3280.0,38272.0,5024.0,464.0,1552.0,38672.0,1472.0,6768.0,3280.0,5856.0
0.625992,9.8665,2.59053,-1.01514,6704.0,7216.0,6816.0,7824.0,3712.0,5824.0,6480.0,7264.0,8176.0,464.0,6432.0,7392.0,11808.0,18784.0,18352.0,15904.0,51040.0,7072.0,912.0,7360.0,6416.0,9088.0,3312.0,38384.0,5072.0,432.0,1584.0,38832.0,1472.0,6304.0,4576.0,6112.0
0.748001,9.88565,1.86748,-0.395043,6880.0,7216.0,6464.0,8016.0,3744.0,4656.0,6592.0,8176.0,8128.0,464.0,8176.0,8176.0,12096.0,17456.0,16480.0,13440.0,50080.0,7056.0,976.0,7200.0,6288.0,8576.0,3248.0,36608.0,5008.0,512.0,1616.0,38544.0,1408.0,5632.0,3584.0,5904.0
0.865997,9.83538,2.40857,-1.2809,6528.0,7200.0,6464.0,7984.0,3760.0,4640.0,6608.0,8528.0,8112.0,480.0,8320.0,8544.0,12512.0,17760.0,16512.0,14608.0,51984.0,7056.0,992.0,7248.0,6352.0,8576.0,3328.0,37056.0,4960.0,464.0,1616.0,36992.0,1296.0,6048.0,3280.0,5840.0
0.985992,9.93114,2.09493,-0.56982,6752.0,7312.0,6416.0,7968.0,3664.0,4720.0,6592.0,8544.0,8112.0,464.0,7824.0,8512.0,11984.0,17632.0,16656.0,13600.0,49936.0,7488.0,1024.0,7280.0,5808.0,8208.0,3312.0,38800.0,4992.0,464.0,1584.0,38432.0,1312.0,5664.0,3568.0,6112.0
1.10599,9.97185,2.08295,-0.907402,6688.0,7264.0,6400.0,8000.0,3712.0,4816.0,6560.0,8992.0,8096.0,416.0,8624.0,9024.0,12032.0,17248.0,16720.0,13968.0,49792.0,7472.0,1088.0,7248.0,6480.0,8400.0,3344.0,38800.0,4944.0,464.0,1680.0,38816.0,1296.0,5792.0,3472.0,5808.0
1.22499,9.99579,2.14042,-0.670376,6528.0,7248.0,6448.0,8016.0,3664.0,5056.0,6464.0,8880.0,8112.0,480.0,8400.0,8896.0,11792.0,17296.0,16720.0,14464.0,50816.0,7088.0,1088.0,7248.0,6528.0,8208.0,3312.0,39008.0,5008.0,432.0,1744.0,38880.0,1312.0,5712.0,3648.0,6224.0
1.345,9.93833,2.07338,-0.881066,6736.0,7328.0,6720.0,8352.0,3680.0,5200.0,6496.0,8928.0,8080.0,464.0,8384.0,8928.0,11056.0,17040.0,16640.0,14640.0,54816.0,7168.0,1056.0,7168.0,6272.0,8304.0,3392.0,39648.0,5024.0,480.0,1792.0,39632.0,1088.0,5760.0,4384.0,6704.0
1.465,10.0006,2.13084,-0.845153,6592.0,7248.0,6432.0,8016.0,3728.0,5152.0,6416.0,8816.0,8096.0,432.0,8336.0,8784.0,11072.0,16880.0,16560.0,14528.0,52288.0,7168.0,1120.0,7248.0,6528.0,8000.0,3392.0,38144.0,5088.0,464.0,1760.0,38192.0,1056.0,6048.0,4608.0,6800.0
1.58499,9.88326,2.04944,-0.876277,6784.0,7264.0,6592.0,8064.0,3760.0,5264.0,6736.0,9184.0,8128.0,464.0,8656.0,9264.0,11536.0,16544.0,16608.0,13792.0,49552.0,7248.0,1072.0,7152.0,6528.0,7904.0,3424.0,39712.0,5008.0,480.0,1616.0,39632.0,1120.0,6288.0,4704.0,6528.0
1.70599,9.90002,1.88663,-0.68953,6752.0,7264.0,6496.0,8048.0,3648.0,5088.0,6752.0,9488.0,8144.0,480.0,8640.0,9632.0,11696.0,16480.0,16752.0,12496.0,49920.0,7232.0,1072.0,7216.0,6368.0,7984.0,3344.0,39056.0,5024.0,464.0,1744.0,39472.0,608.0,6288.0,5168.0,7312.0
1.82599,9.98382,2.83952,-1.04866,6592.0,7360.0,6448.0,8064.0,3520.0,5072.0,6800.0,9696.0,8160.0,480.0,8736.0,9696.0,12960.0,18768.0,17792.0,15232.0,49552.0,7264.0,1088.0,7168.0,6016.0,7760.0,3408.0,37648.0,5008.0,480.0,1808.0,37824.0,1168.0,5520.0,4768.0,6816.0
1.946,10.1586,3.60567,-1.42216,6640.0,7520.0,6928.0,8080.0,3552.0,4832.0,6368.0,10080.0,8176.0,464.0,8896.0,10064.0,13920.0,19232.0,18592.0,15712.0,53424.0,7328.0,1120.0,7136.0,5984.0,7776.0,3360.0,39760.0,5024.0,480.0,1792.0,38992.0,1200.0,5984.0,4960.0,6320.0
2.06599,10.4866,2.77248,0.270545,6800.0,7248.0,6496.0,8080.0,3744.0,3808.0,6192.0,8848.0,8112.0,448.0,8416.0,8784.0,7504.0,15184.0,15568.0,12928.0,48992.0,7232.0,1040.0,7104.0,5936.0,7648.0,3424.0,39632.0,5008.0,448.0,1616.0,39632.0,1056.0,5056.0,4192.0,6608.0
2.185,9.31583,-1.58496,1.42455,6880.0,7808.0,7312.0,8032.0,3760.0,4992.0,6000.0,5120.0,8160.0,512.0,4224.0,5184.0,3136.0,9024.0,8288.0,8912.0,46976.0,7440.0,912.0,6720.0,6464.0,7856.0,3392.0,39344.0,4768.0,464.0,736.0,39408.0,1296.0,4896.0,2272.0,5344.0
2.30499,10.3717,2.36547,-1.07739,6496.0,7328.0,6944.0,7824.0,3744.0,5040.0,5664.0,4800.0,8128.0,448.0,3712.0,5184.0,3136.0,9328.0,7632.0,8464.0,49488.0,7328.0,848.0,6880.0,6272.0,7648.0,3344.0,39328.0,4816.0,464.0,1360.0,37632.0,448.0,5552.0,5760.0,7824.0
2.433,9.62229,4.14436,-2.23139,62752.0,7904.0,63744.0,7856.0,6144.0,9632.0,4256.0,9376.0,9136.0,464.0,9120.0,9232.0,17760.0,8176.0,6992.0,7456.0,48816.0,6912.0,976.0,6800.0,5808.0,8096.0,3344.0,38864.0,4880.0,480.0,1776.0,39520.0,448.0,5792.0,2640.0,5104.0
