time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.238037,8.46111,5.2026,-1.82678,6880.0,7408.0,5280.0,10736.0,5312.0,12544.0,7472.0,6784.0,7840.0,480.0,5392.0,6816.0,8896.0,11184.0,17744.0,15152.0,49712.0,5824.0,800.0,4928.0,3904.0,6400.0,3456.0,41760.0,4368.0,448.0,1200.0,41696.0,816.0,4624.0,2400.0,4672.0
0.358154,8.70771,5.10444,-2.12126,6480.0,7760.0,5264.0,10688.0,5408.0,12640.0,7552.0,7024.0,7952.0,544.0,5696.0,6960.0,9024.0,11584.0,17840.0,15392.0,36304.0,5824.0,896.0,5040.0,3920.0,6432.0,3536.0,42288.0,4416.0,528.0,928.0,42256.0,880.0,4432.0,3584.0,5440.0
0.477051,8.45153,5.91607,-2.00155,6320.0,7168.0,5344.0,10784.0,5216.0,12240.0,7488.0,6848.0,7856.0,416.0,5552.0,6848.0,8896.0,11424.0,17872.0,15296.0,51616.0,5904.0,992.0,4944.0,3872.0,6368.0,3472.0,42192.0,4208.0,448.0,736.0,42256.0,768.0,4368.0,2720.0,5568.0
0.597168,8.47547,5.02543,-1.84832,6144.0,7296.0,5264.0,10688.0,5392.0,12544.0,7520.0,7008.0,7872.0,480.0,5552.0,7040.0,9072.0,11520.0,17936.0,15632.0,48160.0,5952.0,816.0,4928.0,3808.0,6384.0,3472.0,42272.0,4256.0,480.0,672.0,42288.0,784.0,4544.0,2704.0,5424.0
0.717041,8.44913,5.46596,-1.81241,6144.0,7232.0,5216.0,11136.0,5120.0,12608.0,7552.0,6896.0,7856.0,464.0,5584.0,6928.0,9056.0,11424.0,17920.0,15152.0,50656.0,6112.0,1296.0,4944.0,3856.0,6336.0,3488.0,37808.0,4272.0,448.0,688.0,41680.0,816.0,4640.0,2320.0,5216.0
0.837158,8.49702,5.24091,-1.6927,6128.0,7328.0,5248.0,11040.0,5872.0,12512.0,7568.0,6976.0,7872.0,464.0,5456.0,6992.0,8976.0,11424.0,17920.0,15504.0,47616.0,5952.0,816.0,4992.0,3872.0,6304.0,3520.0,40944.0,4256.0,480.0,720.0,40960.0,768.0,4928.0,2240.0,5344.0
0.965088,8.37252,5.28161,-1.84593,6464.0,7376.0,5280.0,11104.0,5552.0,12464.0,7520.0,6960.0,7936.0,464.0,5456.0,6944.0,8928.0,11472.0,17952.0,15408.0,48080.0,6224.0,1248.0,4976.0,3792.0,6352.0,3504.0,41264.0,4304.0,464.0,720.0,41312.0,736.0,4912.0,2080.0,5104.0
1.07715,8.29112,5.37259,-1.83875,6960.0,7424.0,5312.0,10768.0,5696.0,12512.0,7472.0,6928.0,7920.0,464.0,5568.0,6912.0,9024.0,11456.0,17968.0,15568.0,46864.0,6032.0,816.0,4944.0,3856.0,6400.0,3520.0,41744.0,4288.0,480.0,1088.0,41808.0,800.0,4944.0,1936.0,4928.0
1.19702,8.31506,5.26006,-1.78368,6736.0,7376.0,5312.0,10800.0,5728.0,12496.0,7456.0,6944.0,7904.0,448.0,5520.0,6944.0,9040.0,11472.0,17936.0,13472.0,48528.0,6064.0,976.0,5376.0,3856.0,6352.0,3504.0,42048.0,4320.0,464.0,704.0,42304.0,784.0,4784.0,1936.0,4832.0
1.31714,8.45632,5.17147,-1.7334,6672.0,7584.0,5376.0,11184.0,5728.0,12512.0,7488.0,6944.0,7904.0,464.0,5504.0,6896.0,9056.0,11472.0,17968.0,14512.0,50336.0,5936.0,832.0,4992.0,3856.0,6368.0,3520.0,43456.0,4288.0,480.0,720.0,43456.0,784.0,4992.0,1856.0,5088.0
1.43701,8.36534,5.47075,-1.84353,6112.0,7520.0,5328.0,11056.0,6176.0,12496.0,7488.0,6912.0,7904.0,464.0,5440.0,6976.0,9104.0,11456.0,18000.0,15424.0,48608.0,6000.0,1280.0,4816.0,3904.0,6416.0,3520.0,43568.0,4304.0,464.0,672.0,43584.0,800.0,4640.0,1872.0,4944.0
1.55713,8.36534,5.38216,-1.80523,6464.0,7440.0,5440.0,11152.0,5712.0,12384.0,7504.0,6912.0,7856.0,464.0,5392.0,6880.0,9120.0,11488.0,17952.0,15280.0,53664.0,6240.0,1248.0,4960.0,3888.0,6400.0,3456.0,42288.0,4304.0,416.0,704.0,42448.0,784.0,4656.0,1968.0,4720.0
1.677,8.40364,5.22415,-1.68552,6400.0,7472.0,5312.0,11024.0,6160.0,12448.0,7504.0,6912.0,7952.0,432.0,5456.0,6944.0,9104.0,11472.0,17984.0,13744.0,49664.0,6048.0,800.0,4960.0,3904.0,6384.0,3520.0,43328.0,4320.0,480.0,720.0,43344.0,816.0,4800.0,1952.0,4624.0
1.80615,8.5066,5.38216,-1.86269,6432.0,7584.0,5296.0,11104.0,5808.0,12400.0,7584.0,6816.0,7936.0,448.0,5392.0,6832.0,9104.0,11472.0,18016.0,14288.0,49472.0,6400.0,1280.0,4992.0,3920.0,6416.0,3488.0,43488.0,4336.0,464.0,736.0,43424.0,800.0,4816.0,2000.0,5280.0
1.91699,8.31985,5.26245,-1.84832,6992.0,7632.0,5264.0,10752.0,5792.0,12320.0,7520.0,6912.0,7856.0,464.0,5376.0,7120.0,9808.0,11264.0,18016.0,15680.0,49856.0,6080.0,816.0,4944.0,3888.0,6416.0,3504.0,43136.0,4320.0,464.0,1104.0,43088.0,800.0,4816.0,1968.0,5136.0
2.03711,8.52096,5.30316,-1.80283,11072.0,7648.0,5280.0,11152.0,5904.0,12384.0,7680.0,6944.0,7872.0,512.0,5440.0,6880.0,9024.0,11472.0,18032.0,15408.0,48576.0,6352.0,1216.0,4928.0,3920.0,6400.0,3504.0,43056.0,4336.0,448.0,752.0,43088.0,768.0,4352.0,2144.0,5184.0
2.15698,8.69574,5.09725,-1.652,12032.0,7728.0,5296.0,11088.0,6432.0,12544.0,7648.0,6992.0,7872.0,464.0,5440.0,6976.0,8976.0,11472.0,17984.0,15264.0,52352.0,6064.0,816.0,4992.0,3888.0,6416.0,3520.0,42048.0,4320.0,448.0,720.0,42016.0,800.0,4432.0,2048.0,4992.0
2.2771,8.44435,5.23133,-1.92494,9344.0,7696.0,5280.0,10720.0,5696.0,12720.0,7728.0,6880.0,7872.0,480.0,5520.0,6848.0,8976.0,11440.0,18016.0,15296.0,52016.0,6080.0,816.0,4960.0,3936.0,6416.0,3520.0,43344.0,4368.0,464.0,768.0,43040.0,768.0,4448.0,2128.0,5120.0
2.39697,8.28154,5.67665,-1.87945,9376.0,7728.0,5264.0,10912.0,6160.0,12512.0,7696.0,6960.0,7888.0,512.0,5456.0,6912.0,8928.0,11360.0,18000.0,14144.0,47616.0,6096.0,1152.0,4736.0,3888.0,6400.0,3536.0,42288.0,4368.0,464.0,720.0,42288.0,800.0,4688.0,2080.0,4960.0
2.51611,8.50181,4.9129,-1.6927,9280.0,7600.0,5296.0,11168.0,5952.0,12384.0,7696.0,6816.0,7904.0,416.0,5376.0,6816.0,8960.0,11536.0,17984.0,14832.0,48896.0,6416.0,1280.0,5008.0,3888.0,6416.0,3552.0,41824.0,4352.0,432.0,768.0,41792.0,800.0,4592.0,2128.0,4832.0
2.63599,8.25281,5.89931,-1.89381,7088.0,7440.0,5264.0,10896.0,5936.0,12720.0,7600.0,6400.0,7856.0,448.0,5248.0,6592.0,8176.0,11056.0,17936.0,15520.0,49984.0,6032.0,1312.0,4768.0,3904.0,6464.0,3520.0,41152.0,4336.0,464.0,816.0,41104.0,800.0,4608.0,2544.0,5152.0
2.7561,8.42519,5.29118,-1.8986,7168.0,6752.0,5248.0,11152.0,4768.0,12224.0,7552.0,7216.0,7488.0,464.0,5168.0,7264.0,9504.0,11664.0,18000.0,15776.0,54928.0,6032.0,832.0,4944.0,3856.0,6448.0,3536.0,41248.0,4304.0,464.0,1200.0,41600.0,816.0,4800.0,2592.0,5520.0
2.87598,8.48026,5.04219,-1.79805,6304.0,6704.0,5152.0,10992.0,5344.0,12320.0,7184.0,7040.0,7392.0,448.0,5200.0,7072.0,9232.0,11840.0,18432.0,14592.0,47968.0,6032.0,1248.0,4944.0,3936.0,6448.0,3488.0,41488.0,4304.0,480.0,736.0,41504.0,800.0,4960.0,2560.0,5120.0
2.99609,8.34858,5.0781,-1.64003,6272.0,6704.0,5264.0,10720.0,5120.0,12464.0,7312.0,6960.0,7712.0,432.0,5280.0,6976.0,9088.0,11536.0,18432.0,15152.0,51792.0,6176.0,1248.0,4960.0,3936.0,6432.0,3504.0,41456.0,4352.0,480.0,752.0,41424.0,800.0,4864.0,2608.0,5072.0
3.11621,8.28154,5.88016,-1.92494,6032.0,6752.0,5296.0,11056.0,6096.0,12512.0,7312.0,6976.0,7824.0,480.0,5312.0,6928.0,9008.0,11584.0,18416.0,15680.0,48720.0,5952.0,1536.0,5376.0,3920.0,6368.0,3456.0,41488.0,4384.0,448.0,736.0,41488.0,784.0,4976.0,2272.0,5184.0
3.23608,8.33421,5.46596,-1.89621,6976.0,7632.0,5280.0,10720.0,5792.0,12816.0,7312.0,6864.0,7728.0,464.0,5328.0,6816.0,8832.0,11392.0,18000.0,14352.0,49120.0,6192.0,1296.0,4992.0,3920.0,6416.0,3456.0,41440.0,4400.0,464.0,768.0,41264.0,768.0,5120.0,2656.0,5344.0
3.3562,7.95593,6.20816,-1.96564,6464.0,7680.0,5248.0,10800.0,6224.0,12880.0,7376.0,6848.0,7696.0,480.0,5344.0,6880.0,8752.0,11392.0,17984.0,15424.0,48576.0,5904.0,1168.0,5424.0,3920.0,6368.0,3504.0,41216.0,4432.0,464.0,768.0,41264.0,816.0,5072.0,2160.0,4864.0
3.47607,8.02297,5.60482,-1.8172,6912.0,7760.0,5520.0,11088.0,5888.0,12896.0,7360.0,6976.0,7616.0,464.0,5392.0,6976.0,8384.0,11104.0,17872.0,15024.0,53008.0,6240.0,1296.0,5024.0,3920.0,6448.0,3536.0,42480.0,4384.0,464.0,816.0,42384.0,800.0,5120.0,2144.0,4576.0
3.59619,7.75003,6.49547,-1.81959,43968.0,8208.0,5728.0,11584.0,8464.0,12976.0,7344.0,5328.0,7760.0,464.0,4912.0,5296.0,5584.0,9504.0,15648.0,12096.0,48432.0,5936.0,1408.0,5216.0,3904.0,6400.0,3504.0,42496.0,4384.0,432.0,976.0,42832.0,672.0,4640.0,2208.0,5184.0
3.71509,8.14986,5.48751,-1.81959,56416.0,8176.0,5824.0,12112.0,8096.0,13376.0,7696.0,5984.0,7936.0,464.0,5056.0,6016.0,7008.0,9728.0,16176.0,13392.0,47856.0,6096.0,1504.0,4752.0,3904.0,6272.0,3456.0,42512.0,4336.0,432.0,768.0,42512.0,784.0,4608.0,2096.0,4704.0
3.83618,7.9679,6.5649,-1.88663,57152.0,8528.0,6256.0,11920.0,8992.0,13312.0,7760.0,5280.0,7952.0,432.0,4784.0,5264.0,5328.0,9424.0,15648.0,13696.0,41648.0,6016.0,1424.0,5264.0,3856.0,6352.0,3408.0,42368.0,4304.0,448.0,832.0,42496.0,816.0,4640.0,2112.0,4992.0
3.95703,7.82186,6.03818,-1.77889,56480.0,8608.0,6112.0,11824.0,8736.0,13376.0,7632.0,5152.0,7952.0,464.0,4832.0,5136.0,5456.0,10160.0,15760.0,14080.0,41792.0,5968.0,768.0,4928.0,3888.0,6464.0,3456.0,42432.0,4336.0,480.0,816.0,42624.0,528.0,4624.0,2080.0,5152.0
4.07617,7.80749,5.97114,-1.92973,57216.0,8656.0,6208.0,12560.0,9152.0,13376.0,7760.0,5248.0,8032.0,464.0,4880.0,5248.0,5376.0,9600.0,15920.0,13776.0,47376.0,6272.0,1600.0,4928.0,3904.0,6496.0,3520.0,42448.0,4320.0,480.0,976.0,41280.0,784.0,4576.0,2176.0,4832.0
4.19604,7.8051,6.21295,-2.07098,55184.0,8416.0,6784.0,12640.0,8800.0,13520.0,7712.0,5024.0,7856.0,464.0,4784.0,5056.0,5216.0,9152.0,15776.0,13568.0,49232.0,6448.0,1200.0,4896.0,3872.0,6528.0,3488.0,42896.0,4320.0,464.0,784.0,42832.0,832.0,4560.0,2064.0,5280.0
4.31616,7.97987,5.76763,-1.79326,51664.0,8624.0,6192.0,12688.0,9152.0,13584.0,7712.0,5248.0,8016.0,448.0,5024.0,5200.0,5600.0,9552.0,16080.0,11872.0,42512.0,6064.0,1600.0,4912.0,3888.0,6576.0,3520.0,42816.0,4320.0,496.0,816.0,41248.0,784.0,4752.0,2192.0,4992.0
4.44507,8.02057,5.81551,-1.75016,58112.0,8480.0,6496.0,12720.0,8992.0,13648.0,7696.0,5248.0,8096.0,448.0,5008.0,5248.0,5616.0,9600.0,16144.0,13632.0,47648.0,6320.0,1216.0,4880.0,3888.0,6528.0,3456.0,42800.0,4368.0,464.0,848.0,42832.0,768.0,4896.0,2112.0,5072.0
4.55615,7.67102,5.91368,-1.86508,58000.0,8448.0,6208.0,12096.0,8992.0,13632.0,7728.0,5216.0,8160.0,464.0,5136.0,5424.0,6048.0,9600.0,16192.0,13392.0,42384.0,5584.0,768.0,4896.0,3888.0,6528.0,3504.0,42800.0,4352.0,496.0,1696.0,42944.0,848.0,4832.0,2112.0,4912.0
4.67603,8.14268,6.1914,-2.87065,38096.0,8352.0,6864.0,12784.0,9008.0,13824.0,7824.0,4320.0,7712.0,448.0,3632.0,4288.0,4784.0,8800.0,15728.0,13600.0,43200.0,6368.0,1216.0,4928.0,3920.0,6480.0,3456.0,42672.0,4272.0,464.0,1120.0,42768.0,800.0,4752.0,2112.0,5296.0
4.79614,7.72848,5.16669,-0.979228,10784.0,8176.0,6832.0,14256.0,9776.0,13792.0,7504.0,5056.0,6992.0,512.0,4048.0,5088.0,5280.0,9296.0,16144.0,14048.0,43344.0,6096.0,1616.0,4848.0,3888.0,6464.0,3488.0,41856.0,4368.0,448.0,960.0,41776.0,768.0,4880.0,2096.0,4832.0
4.91602,8.74362,7.94156,-3.85706,10672.0,7008.0,6208.0,12512.0,7888.0,14000.0,7968.0,3792.0,7504.0,448.0,2768.0,3904.0,3136.0,11952.0,18704.0,16160.0,42336.0,6416.0,720.0,4896.0,3920.0,6464.0,3504.0,41584.0,4256.0,416.0,976.0,41664.0,784.0,4832.0,2144.0,5296.0
5.03613,8.53772,3.1388,-1.98719,7296.0,6944.0,5120.0,11216.0,2400.0,5280.0,6976.0,3808.0,7456.0,448.0,2656.0,3760.0,2784.0,8384.0,15024.0,12320.0,38864.0,5904.0,1248.0,4928.0,3888.0,6432.0,3552.0,41632.0,4256.0,432.0,992.0,41536.0,768.0,4848.0,2080.0,4672.0
5.15601,6.32069,3.7589,-1.44849,6736.0,6528.0,6624.0,11392.0,4256.0,7472.0,8080.0,3952.0,7472.0,448.0,2768.0,3840.0,2480.0,9664.0,17680.0,13472.0,38224.0,6016.0,640.0,4928.0,3920.0,6400.0,3488.0,41296.0,3664.0,464.0,1024.0,41296.0,736.0,4784.0,2112.0,4944.0
5.28516,7.37893,5.96156,-8.23126,6432.0,6544.0,6384.0,10992.0,5648.0,10320.0,8944.0,4320.0,7376.0,400.0,2784.0,4224.0,2944.0,7552.0,8896.0,9120.0,47680.0,5600.0,768.0,4912.0,4000.0,6400.0,3520.0,40576.0,4032.0,464.0,1072.0,40608.0,784.0,4784.0,2048.0,4768.0
5.396,8.85615,2.98317,-6.05015,6064.0,6624.0,5680.0,10640.0,848.0,4400.0,8336.0,3568.0,7360.0,448.0,2784.0,3520.0,3152.0,6960.0,6848.0,8016.0,54064.0,5568.0,736.0,4912.0,4016.0,6464.0,3504.0,40720.0,4064.0,720.0,1472.0,40656.0,800.0,4816.0,2016.0,5024.0
5.51514,7.90805,3.4668,1.58496,5840.0,6480.0,5312.0,11312.0,1456.0,3216.0,8128.0,3600.0,7312.0,448.0,2768.0,3600.0,2976.0,6960.0,7616.0,8208.0,44640.0,5680.0,1184.0,4896.0,4016.0,6464.0,3504.0,37392.0,4016.0,432.0,1024.0,37136.0,784.0,4704.0,2448.0,4784.0
5.63501,9.79707,2.59771,-1.75016,5872.0,6560.0,5712.0,11456.0,784.0,3120.0,7952.0,3504.0,7296.0,448.0,2800.0,3536.0,2992.0,6960.0,7168.0,8144.0,45776.0,6224.0,1088.0,4928.0,4000.0,6464.0,3488.0,42304.0,4032.0,464.0,1040.0,42256.0,784.0,4816.0,2496.0,5136.0
5.75513,8.72686,-0.0023942,-0.129287,5984.0,6528.0,5376.0,11360.0,1280.0,3072.0,7968.0,3488.0,7296.0,432.0,2768.0,3376.0,3040.0,6816.0,7072.0,8016.0,43440.0,5568.0,1600.0,5312.0,4016.0,6496.0,3456.0,42288.0,4000.0,464.0,1152.0,42304.0,784.0,4768.0,2432.0,4624.0
5.87598,9.95988,-3.45723,-1.65439,6176.0,6528.0,5584.0,11152.0,960.0,3120.0,7984.0,3456.0,7344.0,448.0,2752.0,3488.0,3088.0,6864.0,7120.0,7520.0,10544.0,6016.0,800.0,4912.0,4016.0,6464.0,3504.0,41504.0,3984.0,480.0,1120.0,41488.0,800.0,4864.0,2640.0,5280.0
5.99609,9.16979,-2.03507,-1.30245,5600.0,6480.0,5264.0,10688.0,1040.0,2928.0,7824.0,3488.0,7312.0,432.0,2784.0,3488.0,3056.0,6832.0,7136.0,8176.0,35280.0,5664.0,512.0,4608.0,3840.0,6416.0,3392.0,41568.0,3840.0,416.0,1184.0,40464.0,480.0,4400.0,2240.0,4816.0
6.11499,8.31746,-5.35583,1.54905,5632.0,6464.0,5296.0,10624.0,992.0,3120.0,8064.0,3504.0,7360.0,448.0,2704.0,3456.0,3072.0,6848.0,7168.0,8032.0,28800.0,5136.0,512.0,5216.0,6576.0,5600.0,2912.0,41536.0,4224.0,416.0,720.0,41584.0,480.0,4448.0,1856.0,4768.0
6.23511,7.50821,-10.9607,-1.50116,6048.0,6560.0,5376.0,10640.0,1056.0,3552.0,8016.0,3520.0,7392.0,464.0,2736.0,3504.0,3120.0,6912.0,7104.0,7040.0,24880.0,6032.0,528.0,5552.0,9616.0,8272.0,2704.0,40560.0,4112.0,464.0,1440.0,40704.0,800.0,3968.0,3520.0,5936.0
6.35498,7.91283,-4.57053,-3.67749,5920.0,6544.0,5616.0,11024.0,1056.0,3536.0,7888.0,3520.0,7264.0,448.0,2784.0,3504.0,2992.0,7024.0,7088.0,8032.0,14016.0,6592.0,544.0,5184.0,8000.0,5936.0,2784.0,42832.0,3920.0,480.0,784.0,42832.0,784.0,4256.0,3984.0,6352.0
6.4751,9.88565,-3.68707,-2.23858,6112.0,6560.0,5424.0,10528.0,1056.0,3600.0,7840.0,3488.0,7264.0,448.0,2736.0,3472.0,3072.0,7056.0,7040.0,8016.0,18928.0,6960.0,1040.0,4448.0,14496.0,5760.0,2848.0,43568.0,3424.0,464.0,848.0,42528.0,864.0,4752.0,3744.0,6176.0
6.59497,7.17542,-2.72939,-0.0885854,6208.0,6560.0,5440.0,10544.0,1152.0,3616.0,7440.0,3456.0,7264.0,416.0,2816.0,3456.0,3040.0,7056.0,7040.0,7504.0,55104.0,6560.0,384.0,4720.0,4768.0,5904.0,2832.0,43600.0,3888.0,464.0,784.0,43520.0,768.0,3920.0,2592.0,5280.0
6.71411,15.5144,-7.41963,-10.0269,5856.0,6528.0,5440.0,10544.0,1120.0,3632.0,7696.0,3456.0,7232.0,432.0,2816.0,3456.0,3008.0,7056.0,7056.0,8080.0,35984.0,6112.0,512.0,5600.0,4784.0,8064.0,2832.0,43552.0,3616.0,464.0,688.0,43584.0,752.0,5616.0,4016.0,6064.0
6.83618,8.43716,-5.12119,1.77171,5984.0,6448.0,5760.0,10960.0,1008.0,3408.0,7712.0,3472.0,7296.0,432.0,2816.0,3488.0,2992.0,7104.0,7136.0,8128.0,47744.0,7392.0,528.0,5712.0,7008.0,7312.0,2896.0,43920.0,4752.0,416.0,5696.0,43888.0,896.0,6832.0,1968.0,4896.0
6.95508,8.52814,-4.41251,0.0742202,5904.0,6528.0,5744.0,11040.0,1088.0,3888.0,7616.0,3536.0,7248.0,448.0,2800.0,3520.0,3024.0,7184.0,7072.0,8096.0,64912.0,7264.0,784.0,5312.0,5648.0,5920.0,2768.0,43232.0,6016.0,480.0,7984.0,43248.0,736.0,3216.0,1872.0,4960.0
7.0752,9.55286,-3.0143,-3.74932,6192.0,6704.0,5760.0,10944.0,2144.0,3840.0,7296.0,3504.0,7248.0,432.0,2832.0,3520.0,2992.0,7136.0,6960.0,6928.0,54768.0,7424.0,512.0,7264.0,12224.0,8160.0,2512.0,42016.0,5456.0,464.0,1504.0,42016.0,736.0,5632.0,3552.0,5984.0
7.19409,8.27197,-4.70221,1.50116,5936.0,6672.0,5584.0,10848.0,2208.0,3888.0,7296.0,3520.0,7232.0,448.0,2800.0,3536.0,3008.0,7072.0,6944.0,8064.0,49312.0,7984.0,336.0,6448.0,10880.0,7760.0,2752.0,42624.0,6976.0,496.0,4560.0,42576.0,848.0,6624.0,1488.0,4624.0
7.31519,8.94234,-4.50828,-1.09654,5952.0,6672.0,5344.0,10432.0,2288.0,3888.0,7296.0,3744.0,7664.0,448.0,2848.0,3536.0,3040.0,7120.0,6992.0,7648.0,57552.0,7312.0,624.0,6976.0,10288.0,7744.0,3520.0,42416.0,6320.0,480.0,3232.0,42528.0,992.0,8128.0,3440.0,6032.0
7.43408,8.98304,-3.80917,-1.24259,5968.0,6608.0,5680.0,11008.0,2016.0,3776.0,7296.0,3584.0,7168.0,448.0,3024.0,3552.0,3040.0,7072.0,7040.0,7632.0,59024.0,8128.0,320.0,9776.0,13824.0,9824.0,2512.0,42544.0,5440.0,480.0,928.0,42464.0,720.0,6032.0,3984.0,6208.0
7.5542,9.05247,-3.90015,-0.679953,5984.0,6608.0,5440.0,10512.0,2208.0,3776.0,7248.0,3552.0,7216.0,448.0,3536.0,3520.0,3024.0,7104.0,7008.0,8176.0,64464.0,9792.0,992.0,9808.0,14144.0,8240.0,2432.0,42368.0,6912.0,448.0,1760.0,42384.0,720.0,6400.0,2592.0,5328.0
7.67407,9.7037,-3.29203,-0.445321,6208.0,6624.0,5440.0,10816.0,1968.0,3904.0,7376.0,3568.0,7168.0,448.0,3760.0,3552.0,2976.0,7120.0,7008.0,7296.0,64880.0,10016.0,1728.0,10320.0,14944.0,8352.0,2496.0,43168.0,7488.0,464.0,2736.0,43136.0,1120.0,5456.0,2400.0,5248.0
7.79419,10.2999,-1.83875,-0.172382,5760.0,6576.0,5456.0,10496.0,2112.0,3808.0,7344.0,3552.0,7232.0,464.0,3840.0,3584.0,2992.0,7104.0,6960.0,7968.0,64864.0,10432.0,1600.0,11056.0,16288.0,7808.0,2560.0,43104.0,6704.0,480.0,1504.0,43232.0,512.0,5328.0,2304.0,5056.0
7.92212,10.0365,-1.95127,-0.538695,5984.0,6640.0,5760.0,10928.0,2144.0,3920.0,7248.0,3600.0,7216.0,400.0,3840.0,3552.0,3008.0,7120.0,7104.0,8176.0,63920.0,10896.0,2176.0,11552.0,17712.0,7888.0,2592.0,43168.0,6208.0,480.0,1344.0,43104.0,784.0,5344.0,2352.0,5024.0
8.03418,10.2615,-1.12049,-1.82678,5936.0,6560.0,5424.0,10400.0,2128.0,3792.0,7312.0,3584.0,7216.0,432.0,3008.0,3584.0,3072.0,7088.0,7008.0,7472.0,48784.0,10016.0,1808.0,13264.0,18736.0,9424.0,3536.0,43344.0,5600.0,512.0,1184.0,43344.0,832.0,5312.0,2592.0,5344.0
8.15405,10.082,-2.2697,0.500388,5984.0,6544.0,5424.0,10400.0,2128.0,3888.0,7376.0,3520.0,7200.0,448.0,3040.0,3616.0,2992.0,7088.0,7040.0,7936.0,64672.0,9696.0,528.0,10208.0,13136.0,10256.0,3616.0,43408.0,7840.0,512.0,3072.0,43408.0,896.0,5152.0,2288.0,5280.0
8.27417,9.50737,-4.42209,-1.3623,5760.0,6496.0,5376.0,10304.0,1984.0,3968.0,7424.0,3552.0,7136.0,416.0,3072.0,3568.0,2992.0,7104.0,7072.0,8144.0,62784.0,7904.0,640.0,5632.0,7312.0,9952.0,3760.0,42416.0,6752.0,448.0,4752.0,42432.0,1360.0,9312.0,3792.0,6080.0
8.39404,9.73003,-3.92888,-0.275333,5984.0,6544.0,5536.0,10704.0,2208.0,4000.0,7248.0,3488.0,7200.0,448.0,3744.0,3568.0,2960.0,7120.0,7120.0,8176.0,56416.0,7296.0,1088.0,5328.0,6032.0,9200.0,3808.0,42240.0,6400.0,464.0,5440.0,42256.0,2112.0,7264.0,12448.0,11936.0
8.51416,10.4004,0.873883,1.02472,6032.0,6448.0,5520.0,10272.0,2096.0,3840.0,7312.0,3504.0,7184.0,464.0,3008.0,3600.0,2992.0,7168.0,7120.0,7952.0,60000.0,7456.0,640.0,5440.0,6304.0,8992.0,3792.0,42288.0,4768.0,480.0,4128.0,42256.0,1632.0,7856.0,9136.0,9744.0
8.63306,10.7571,-1.97761,0.964863,5792.0,6496.0,5456.0,10224.0,2128.0,3888.0,7216.0,3536.0,7184.0,464.0,2992.0,3536.0,3040.0,7168.0,7120.0,8080.0,64720.0,9040.0,560.0,5632.0,11936.0,9680.0,3920.0,42352.0,4624.0,464.0,4256.0,42720.0,1760.0,7248.0,8784.0,8752.0
8.76221,9.52413,-2.28407,-0.701501,5776.0,6464.0,5424.0,10176.0,2128.0,4000.0,7248.0,3552.0,7136.0,448.0,2992.0,3536.0,3040.0,7152.0,7088.0,7904.0,65024.0,10352.0,544.0,7328.0,13056.0,11136.0,4256.0,42304.0,4688.0,448.0,3088.0,42304.0,1072.0,7520.0,7056.0,8848.0
8.87402,11.2001,0.117316,0.246603,5808.0,6560.0,5408.0,10208.0,2144.0,4032.0,7168.0,3552.0,7136.0,480.0,3008.0,4048.0,2784.0,7120.0,7104.0,7008.0,64688.0,10160.0,816.0,9872.0,18256.0,10416.0,4432.0,42288.0,4448.0,816.0,1360.0,42192.0,896.0,7616.0,6032.0,6448.0
8.99414,10.2783,1.81241,-1.01993,6016.0,6624.0,5904.0,10016.0,2064.0,3936.0,7232.0,4368.0,7200.0,416.0,4704.0,4480.0,4560.0,9360.0,7184.0,7040.0,63360.0,8272.0,512.0,9616.0,17328.0,8112.0,4448.0,42112.0,4448.0,464.0,1616.0,42144.0,704.0,7344.0,4272.0,6672.0
9.11401,9.93114,-2.14999,-0.0071826,5888.0,6560.0,5440.0,10288.0,2112.0,4016.0,7104.0,3680.0,7216.0,432.0,4000.0,3776.0,3392.0,8448.0,6928.0,8176.0,64912.0,10176.0,864.0,10368.0,17920.0,10144.0,4304.0,41776.0,4512.0,480.0,1648.0,41744.0,1280.0,6752.0,4944.0,7136.0
9.23413,10.4387,-0.035913,0.0,5792.0,6560.0,5456.0,10240.0,2112.0,4000.0,7120.0,4320.0,7184.0,464.0,5952.0,4256.0,4096.0,9344.0,7040.0,8176.0,64032.0,10048.0,912.0,9536.0,17872.0,10368.0,4288.0,42112.0,4432.0,480.0,1792.0,42080.0,1104.0,6880.0,5024.0,7504.0
