time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.147461,8.2552,5.91368,-0.275333,61248.0,6272.0,7328.0,11264.0,8032.0,17376.0,8576.0,8416.0,9440.0,512.0,7648.0,8448.0,9696.0,15408.0,19024.0,16352.0,63760.0,5600.0,1184.0,4992.0,4704.0,7440.0,3648.0,39424.0,4672.0,480.0,2016.0,39440.0,1376.0,5168.0,2368.0,4848.0
0.266602,7.96311,6.66067,-0.380678,61648.0,6304.0,7536.0,11424.0,8176.0,17472.0,8672.0,8640.0,9568.0,608.0,7760.0,8512.0,9744.0,15696.0,19104.0,15456.0,63296.0,6352.0,1408.0,5120.0,4800.0,7568.0,3744.0,39568.0,4752.0,432.0,2512.0,39440.0,1360.0,5168.0,2128.0,4912.0
0.386719,8.11874,6.37097,0.248997,61696.0,6176.0,7632.0,11440.0,8176.0,17408.0,8592.0,8576.0,9472.0,496.0,7808.0,8544.0,9792.0,15584.0,19072.0,16416.0,63984.0,5584.0,1280.0,5040.0,4704.0,7488.0,3696.0,40960.0,4608.0,464.0,2448.0,40960.0,1344.0,4832.0,2048.0,4992.0
0.506836,8.3414,5.92804,-0.517147,60560.0,6192.0,7424.0,11312.0,8384.0,17408.0,8608.0,8544.0,9440.0,464.0,7776.0,8544.0,9792.0,15696.0,19104.0,14000.0,63696.0,6224.0,1328.0,5040.0,4688.0,7520.0,3632.0,41424.0,4672.0,480.0,2448.0,41472.0,1216.0,4688.0,2000.0,5376.0
0.626953,8.17859,5.81551,-0.071826,60672.0,6208.0,7376.0,11776.0,7968.0,17456.0,8608.0,8544.0,9472.0,480.0,7760.0,8656.0,9776.0,15760.0,19152.0,15824.0,63744.0,6384.0,1792.0,5024.0,4736.0,7456.0,3680.0,41504.0,4640.0,512.0,2432.0,41456.0,1328.0,4352.0,1760.0,4992.0
0.746094,8.19296,5.87297,-0.335188,61344.0,5872.0,7520.0,11344.0,8160.0,17440.0,8640.0,8576.0,9440.0,480.0,7872.0,8592.0,9792.0,15696.0,19200.0,16912.0,63904.0,6144.0,1280.0,4992.0,4704.0,7392.0,3616.0,41680.0,4720.0,448.0,2464.0,41616.0,1296.0,5056.0,1456.0,4832.0
0.867188,8.17141,5.9017,-0.21069,61776.0,6304.0,7536.0,11440.0,8512.0,17440.0,8640.0,8576.0,9488.0,464.0,7936.0,8576.0,9728.0,15776.0,19152.0,16544.0,64016.0,6176.0,1568.0,5504.0,4688.0,7424.0,3744.0,41696.0,4704.0,464.0,2480.0,41712.0,1344.0,4416.0,1808.0,4912.0
0.987305,8.13549,5.95917,-0.282516,61648.0,6256.0,7488.0,11712.0,8576.0,17472.0,8672.0,8544.0,9504.0,480.0,8016.0,8592.0,9760.0,15776.0,19168.0,16560.0,63920.0,6208.0,1808.0,5040.0,4752.0,7424.0,3680.0,41696.0,4688.0,464.0,2432.0,41728.0,1328.0,4384.0,2304.0,5520.0
1.10645,8.27675,5.83706,-0.100556,60816.0,6304.0,7504.0,11408.0,8192.0,17488.0,8688.0,8640.0,9504.0,512.0,8064.0,8592.0,9808.0,15824.0,19136.0,15376.0,63760.0,6096.0,1744.0,5056.0,4704.0,7440.0,3712.0,41696.0,4688.0,464.0,2496.0,41728.0,1328.0,4496.0,2128.0,5184.0
1.22656,7.95354,6.09803,-0.474052,61792.0,6304.0,7600.0,11792.0,8720.0,17472.0,8608.0,8624.0,9440.0,480.0,7872.0,8640.0,9808.0,15808.0,19168.0,15008.0,63808.0,6160.0,1936.0,5040.0,4688.0,7408.0,3728.0,41744.0,4688.0,480.0,2528.0,41648.0,1328.0,4512.0,2688.0,5280.0
