time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.144989,5.88255,6.56969,-1.93691,64528.0,8240.0,11824.0,11104.0,10576.0,9280.0,9984.0,4704.0,8176.0,1200.0,6560.0,4320.0,3888.0,10704.0,9888.0,9280.0,62848.0,5392.0,1824.0,5808.0,8512.0,7872.0,3920.0,4656.0,5792.0,672.0,2224.0,4624.0,1872.0,7168.0,3712.0,6224.0
0.246002,4.82192,5.9472,-2.83952,61440.0,6912.0,7952.0,10400.0,11280.0,5968.0,9456.0,3824.0,7376.0,464.0,5648.0,3840.0,3264.0,9952.0,8480.0,9104.0,63504.0,4528.0,1088.0,5184.0,8416.0,7360.0,3296.0,4240.0,5472.0,448.0,1888.0,4240.0,1456.0,6560.0,3056.0,5312.0
0.345001,6.56969,5.60243,-1.16837,65184.0,8992.0,12560.0,9904.0,11696.0,10848.0,9920.0,3872.0,7328.0,512.0,5568.0,3856.0,3264.0,10048.0,8336.0,8272.0,62544.0,4560.0,1088.0,5376.0,8352.0,7312.0,3328.0,4224.0,5488.0,416.0,1920.0,4240.0,1504.0,6576.0,3072.0,5792.0
0.445007,6.69419,7.12754,-1.17795,65056.0,7808.0,12688.0,10496.0,11936.0,12224.0,10016.0,4496.0,7344.0,464.0,5728.0,3888.0,3344.0,10128.0,8352.0,7904.0,62608.0,4576.0,1072.0,5136.0,8288.0,7856.0,3840.0,4288.0,5504.0,448.0,1920.0,4272.0,1536.0,6560.0,3056.0,5888.0
0.544983,6.54096,7.28555,-1.52271,64272.0,8160.0,11792.0,12096.0,12624.0,8176.0,9824.0,4480.0,7408.0,464.0,5792.0,3920.0,3408.0,9984.0,8176.0,8928.0,63152.0,4608.0,1088.0,5504.0,8464.0,7872.0,3888.0,4224.0,5488.0,432.0,1920.0,4352.0,1488.0,6576.0,3040.0,5920.0
0.653992,6.79474,6.75165,-0.92895,63712.0,7728.0,11808.0,12320.0,12736.0,8080.0,9856.0,4480.0,7904.0,480.0,5744.0,3936.0,3440.0,9984.0,8176.0,8176.0,62592.0,4544.0,1152.0,5184.0,8384.0,7888.0,3936.0,4960.0,5488.0,416.0,1888.0,4368.0,1504.0,6496.0,3008.0,5824.0
0.764984,6.50744,6.08127,-1.29766,64256.0,7824.0,12416.0,12448.0,12800.0,8176.0,9216.0,3904.0,7424.0,448.0,5664.0,3936.0,3440.0,10432.0,8640.0,9040.0,62624.0,4544.0,1072.0,5072.0,8016.0,7232.0,3280.0,4400.0,5472.0,464.0,1936.0,4560.0,2144.0,7168.0,3616.0,5792.0
0.86499,6.25365,5.60961,-0.97444,64448.0,7952.0,12176.0,12576.0,13024.0,9696.0,9888.0,4448.0,7888.0,480.0,5664.0,3920.0,3424.0,9904.0,8176.0,8544.0,63328.0,4560.0,1344.0,5680.0,8496.0,7808.0,3872.0,4432.0,5472.0,416.0,1920.0,4384.0,1488.0,6528.0,3040.0,5760.0
0.963989,6.47392,6.22492,-1.01035,64336.0,7824.0,12096.0,12496.0,12864.0,8400.0,9616.0,4544.0,7952.0,992.0,5664.0,3968.0,3456.0,9888.0,8176.0,8928.0,63296.0,4576.0,1056.0,5056.0,8448.0,7840.0,3904.0,8400.0,5952.0,448.0,1952.0,8272.0,1504.0,6544.0,3072.0,5792.0
1.065,6.69658,6.39491,-1.29047,64288.0,7520.0,11920.0,12480.0,12960.0,8272.0,9520.0,4544.0,7888.0,832.0,5648.0,3968.0,3472.0,9856.0,8160.0,8752.0,62880.0,4640.0,1072.0,5520.0,8496.0,7904.0,3904.0,8144.0,5952.0,480.0,1920.0,7664.0,1568.0,6528.0,3120.0,5440.0
1.16501,6.9767,6.52899,-1.19949,64320.0,7584.0,12128.0,12624.0,12816.0,8384.0,9488.0,4608.0,7920.0,1040.0,5568.0,3904.0,3488.0,9824.0,8144.0,8576.0,63392.0,4624.0,1056.0,5152.0,8384.0,7872.0,3968.0,8736.0,5936.0,432.0,1904.0,7968.0,1536.0,6576.0,3088.0,5584.0
1.26401,7.36456,6.58884,-1.47962,64400.0,7680.0,12240.0,12576.0,13056.0,8384.0,9392.0,4528.0,7872.0,944.0,5664.0,3888.0,3424.0,9824.0,8176.0,8512.0,62784.0,4608.0,1024.0,5584.0,8496.0,7904.0,3920.0,9824.0,5952.0,416.0,1840.0,9328.0,1552.0,6528.0,3088.0,5392.0
1.36499,6.96234,5.50666,-1.27372,64448.0,7744.0,12608.0,12464.0,12832.0,9104.0,9424.0,4560.0,7872.0,960.0,5680.0,3888.0,3360.0,9776.0,8160.0,8288.0,62720.0,4576.0,1056.0,5184.0,8352.0,7824.0,3920.0,10368.0,5504.0,448.0,1872.0,9808.0,1536.0,6592.0,3136.0,5872.0
