time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.148438,4.63517,7.45075,-1.79326,62320.0,4656.0,3200.0,10528.0,10624.0,17136.0,5968.0,5152.0,5888.0,928.0,6160.0,3392.0,3488.0,23968.0,17808.0,14128.0,16160.0,5824.0,1488.0,7440.0,3728.0,7344.0,1760.0,38912.0,4800.0,720.0,1056.0,38960.0,976.0,4480.0,7088.0,7840.0
0.267578,9.71088,3.48835,-1.65679,52800.0,4112.0,3136.0,8512.0,8000.0,16224.0,5248.0,5552.0,6176.0,480.0,8592.0,7632.0,14656.0,25232.0,20176.0,17040.0,20240.0,5456.0,848.0,6864.0,3168.0,6816.0,1808.0,38048.0,3984.0,464.0,544.0,37408.0,720.0,3552.0,6432.0,7296.0
0.386719,9.29668,1.56341,-1.14682,11472.0,3760.0,2224.0,8176.0,3872.0,6160.0,4560.0,10784.0,6192.0,512.0,12080.0,10928.0,15072.0,24064.0,18208.0,14112.0,19808.0,5120.0,848.0,6736.0,3296.0,6800.0,1824.0,38048.0,4096.0,512.0,592.0,38048.0,704.0,3536.0,6496.0,7360.0
0.507813,9.25598,2.36547,0.138864,10544.0,4096.0,2000.0,8160.0,3376.0,5680.0,4496.0,10368.0,6272.0,464.0,9312.0,10576.0,16608.0,24960.0,19648.0,16480.0,21584.0,5152.0,848.0,6848.0,3248.0,6832.0,1792.0,38592.0,4144.0,448.0,768.0,38112.0,656.0,3600.0,6576.0,7184.0
0.626953,8.20493,4.95839,-0.574608,31104.0,4512.0,2272.0,7936.0,6176.0,15888.0,4368.0,9504.0,6272.0,480.0,11728.0,9392.0,17664.0,27072.0,20672.0,16960.0,19200.0,5088.0,864.0,6752.0,3168.0,6800.0,1824.0,39392.0,4144.0,448.0,704.0,39488.0,672.0,3616.0,6688.0,7424.0
0.748047,7.97508,3.94804,1.1971,63568.0,4320.0,3040.0,11056.0,10816.0,18064.0,6032.0,1072.0,6240.0,464.0,5680.0,1056.0,6032.0,25984.0,20224.0,16096.0,17760.0,5152.0,864.0,6800.0,3216.0,6848.0,1760.0,38688.0,4512.0,1072.0,608.0,39856.0,688.0,3536.0,6464.0,7408.0
0.867188,8.916,4.31674,-1.96803,60384.0,4272.0,2608.0,8848.0,8112.0,16672.0,4032.0,8976.0,6288.0,464.0,10704.0,8336.0,16400.0,27040.0,20576.0,17232.0,18608.0,5184.0,816.0,6736.0,3216.0,6832.0,1760.0,39984.0,4240.0,480.0,656.0,39984.0,736.0,3600.0,6400.0,7056.0
0.986328,8.67419,7.00543,-2.15239,61696.0,4528.0,3104.0,9776.0,9360.0,18304.0,5584.0,8240.0,6336.0,496.0,9392.0,8176.0,13952.0,26304.0,19296.0,15296.0,18832.0,5088.0,832.0,6736.0,3264.0,6752.0,1792.0,39824.0,4224.0,464.0,656.0,39824.0,688.0,3520.0,6480.0,8016.0
1.10742,8.48744,5.85143,-1.22583,62896.0,4112.0,3200.0,8752.0,9280.0,18480.0,5328.0,8176.0,6368.0,464.0,8064.0,8176.0,14800.0,26944.0,20176.0,16976.0,18960.0,5760.0,848.0,6736.0,3248.0,6784.0,1792.0,39776.0,4160.0,448.0,672.0,39808.0,736.0,3520.0,6528.0,7440.0
1.22656,8.49702,5.58328,-1.07021,63488.0,4624.0,3248.0,10064.0,10624.0,18976.0,5328.0,7264.0,6352.0,544.0,7680.0,7232.0,14080.0,26864.0,20048.0,16576.0,18160.0,5040.0,832.0,6720.0,3216.0,6784.0,1776.0,39152.0,4224.0,464.0,640.0,39040.0,656.0,3552.0,6816.0,7904.0
1.3457,8.3821,5.35583,-0.912191,63408.0,4224.0,3216.0,10544.0,10896.0,19024.0,6144.0,5648.0,6304.0,464.0,7040.0,5776.0,12608.0,26800.0,20000.0,15504.0,17696.0,5760.0,864.0,6736.0,3296.0,6816.0,1824.0,38288.0,4224.0,512.0,640.0,38208.0,736.0,3504.0,6384.0,7904.0
1.4668,8.41322,5.45878,-0.857124,62640.0,4496.0,3328.0,10432.0,10912.0,18976.0,6416.0,5152.0,6272.0,480.0,6992.0,5120.0,12432.0,26688.0,19936.0,14000.0,18496.0,5776.0,688.0,6688.0,3280.0,6816.0,1760.0,38272.0,4224.0,464.0,608.0,38608.0,752.0,3552.0,6608.0,7600.0
