time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.152344,9.63427,-1.20668,0.328006,9104.0,6656.0,3104.0,8656.0,4192.0,3744.0,4736.0,560.0,5248.0,464.0,5184.0,544.0,1856.0,10256.0,8256.0,8480.0,31904.0,8000.0,736.0,8176.0,9376.0,9696.0,1152.0,38064.0,3472.0,464.0,528.0,37968.0,1504.0,6464.0,5296.0,6592.0
0.273438,8.73404,-8.53054,-0.23942,5152.0,5808.0,3616.0,9008.0,4368.0,3984.0,5040.0,928.0,5760.0,768.0,5696.0,912.0,2192.0,10256.0,7728.0,7808.0,17808.0,6128.0,992.0,7168.0,6640.0,10384.0,1168.0,38320.0,4224.0,704.0,464.0,37888.0,1744.0,4144.0,5648.0,7408.0
0.391602,7.0198,-5.99029,2.17633,4816.0,6144.0,3840.0,9200.0,4624.0,4048.0,4768.0,576.0,5344.0,448.0,5376.0,560.0,1872.0,10080.0,7808.0,8064.0,12816.0,6704.0,1424.0,6672.0,5088.0,8832.0,1200.0,38176.0,4512.0,480.0,688.0,38336.0,432.0,6208.0,4816.0,6688.0
0.511719,7.45554,-5.55694,1.64721,4800.0,6368.0,3808.0,9168.0,4880.0,4224.0,4688.0,544.0,5424.0,448.0,5408.0,560.0,1856.0,10048.0,7744.0,7328.0,9920.0,7232.0,1312.0,7168.0,5376.0,9136.0,1232.0,38208.0,4480.0,464.0,656.0,38336.0,480.0,7056.0,5376.0,6720.0
0.640625,4.50589,-3.00951,0.320823,4576.0,6544.0,3696.0,9024.0,4224.0,3792.0,4752.0,560.0,5424.0,400.0,5408.0,512.0,1856.0,10080.0,7776.0,8176.0,9008.0,7088.0,1376.0,6608.0,4448.0,8560.0,1312.0,38176.0,4352.0,464.0,720.0,38176.0,464.0,6064.0,5408.0,7040.0
0.751953,-1.12767,-0.430956,-0.859518,4784.0,6096.0,3152.0,8640.0,4272.0,3712.0,4704.0,560.0,5440.0,528.0,6048.0,784.0,2400.0,10064.0,7760.0,7632.0,9056.0,5984.0,832.0,6560.0,4176.0,8592.0,1184.0,38192.0,4752.0,336.0,1488.0,38480.0,480.0,5600.0,4656.0,6448.0
0.87207,7.98227,-12.0955,11.9806,4560.0,6656.0,3184.0,8704.0,4912.0,3760.0,4960.0,1664.0,6336.0,1232.0,6064.0,1040.0,2272.0,10512.0,8032.0,7040.0,9824.0,6528.0,1584.0,7216.0,3984.0,8272.0,1376.0,38432.0,4592.0,480.0,1552.0,38288.0,528.0,6880.0,4000.0,6384.0
0.991211,-3.33752,-9.65821,1.38864,4704.0,6352.0,3328.0,8768.0,4336.0,3616.0,4640.0,560.0,5552.0,448.0,5424.0,544.0,1872.0,10144.0,7904.0,8320.0,35360.0,6496.0,704.0,6864.0,4992.0,8192.0,1456.0,38432.0,5264.0,464.0,1024.0,38544.0,528.0,6816.0,4688.0,6528.0
1.11133,-2.26252,-8.96868,3.6344,4768.0,6752.0,3968.0,8592.0,4384.0,3632.0,4560.0,560.0,5552.0,480.0,5504.0,576.0,1856.0,10192.0,7904.0,8176.0,34864.0,6880.0,816.0,7104.0,4912.0,8176.0,1472.0,38496.0,5280.0,432.0,1072.0,38416.0,672.0,6608.0,5328.0,6192.0
1.23242,-0.122104,-9.4954,2.25055,4640.0,6256.0,3888.0,9056.0,4640.0,3632.0,4672.0,480.0,5552.0,448.0,5440.0,528.0,1888.0,10192.0,7888.0,8176.0,41424.0,7264.0,672.0,7104.0,4928.0,8160.0,1504.0,38528.0,5296.0,480.0,1152.0,38448.0,704.0,6544.0,4864.0,6928.0
