time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.207031,7.21133,-5.90649,1.70228,8256.0,5984.0,3936.0,9776.0,5504.0,3888.0,5696.0,1408.0,4688.0,1184.0,5312.0,1232.0,2912.0,10704.0,8128.0,7872.0,29136.0,3360.0,1344.0,7376.0,5984.0,8256.0,1568.0,39440.0,3760.0,768.0,928.0,39216.0,1440.0,3536.0,6448.0,7616.0
0.327148,10.8601,-4.61362,-2.93529,3904.0,4592.0,3232.0,9184.0,4896.0,3296.0,5216.0,912.0,4240.0,736.0,4960.0,768.0,2512.0,10496.0,7760.0,8176.0,10016.0,5568.0,720.0,6592.0,8176.0,9664.0,1376.0,39600.0,4688.0,720.0,928.0,39568.0,2224.0,3024.0,9664.0,9376.0
0.446289,10.4148,-3.45723,-0.260968,3792.0,5680.0,3232.0,9280.0,4304.0,3040.0,5168.0,896.0,4272.0,656.0,4912.0,944.0,2592.0,10528.0,7584.0,7392.0,9440.0,5504.0,944.0,6416.0,3328.0,7888.0,1360.0,39392.0,4928.0,688.0,848.0,38848.0,560.0,3424.0,5728.0,6912.0
0.567383,8.8753,1.24738,1.64003,64384.0,6480.0,4144.0,9616.0,4496.0,3264.0,5168.0,960.0,4128.0,528.0,4864.0,720.0,2448.0,10400.0,7616.0,8016.0,9616.0,5472.0,816.0,6400.0,3680.0,7392.0,1232.0,39168.0,4816.0,576.0,1696.0,39088.0,560.0,3824.0,5120.0,6352.0
0.686523,11.0468,-1.15161,3.56497,64976.0,7632.0,4912.0,9520.0,4496.0,3152.0,4912.0,592.0,3904.0,528.0,4672.0,688.0,2432.0,10288.0,7536.0,8096.0,21568.0,5536.0,512.0,6224.0,3584.0,7296.0,1328.0,39008.0,4880.0,432.0,1424.0,39296.0,1584.0,4608.0,5680.0,7248.0
0.806641,9.51455,4.46997,1.31681,7936.0,4752.0,4352.0,10832.0,4544.0,2576.0,6672.0,12944.0,4304.0,480.0,14416.0,13552.0,13376.0,17984.0,16224.0,14000.0,21840.0,5344.0,480.0,6528.0,3648.0,7072.0,1216.0,38208.0,4928.0,528.0,944.0,38288.0,480.0,4048.0,5024.0,5600.0
0.926758,9.60075,3.56018,-0.737414,4144.0,4576.0,4304.0,10032.0,4448.0,3072.0,6624.0,13376.0,4352.0,528.0,16096.0,13344.0,12800.0,11552.0,10336.0,9664.0,22944.0,6000.0,480.0,6736.0,3344.0,7200.0,1424.0,38144.0,4928.0,464.0,592.0,38416.0,464.0,4224.0,3392.0,5760.0
1.04688,9.29429,3.14837,-1.20428,4016.0,4992.0,3680.0,9888.0,4496.0,2896.0,6416.0,10128.0,4576.0,432.0,16768.0,10112.0,2784.0,8672.0,7632.0,8176.0,16304.0,5280.0,480.0,6784.0,3088.0,7168.0,1440.0,38352.0,5008.0,480.0,576.0,38336.0,448.0,4752.0,3040.0,5312.0
1.16602,9.24162,3.21781,0.919373,4224.0,4944.0,3728.0,9744.0,4560.0,2880.0,6384.0,10336.0,4608.0,464.0,14688.0,10336.0,10320.0,19616.0,12000.0,10720.0,13360.0,5312.0,768.0,6944.0,2832.0,7232.0,1440.0,38480.0,4880.0,512.0,480.0,38528.0,464.0,4960.0,3936.0,5888.0
1.28613,9.21289,6.09803,-0.502782,8640.0,2640.0,3824.0,8384.0,7824.0,13952.0,5520.0,416.0,4672.0,512.0,2992.0,400.0,2816.0,22560.0,18832.0,15792.0,20400.0,5248.0,784.0,6896.0,3024.0,7136.0,1408.0,38016.0,4864.0,464.0,560.0,37408.0,544.0,5072.0,3072.0,5296.0
1.40625,9.73243,2.75812,-0.821211,63712.0,1536.0,3840.0,9808.0,8608.0,14624.0,5024.0,5888.0,4528.0,464.0,8176.0,5824.0,8176.0,23648.0,17312.0,14864.0,10736.0,5296.0,736.0,6880.0,2608.0,7296.0,1280.0,38800.0,4864.0,448.0,752.0,38704.0,448.0,4832.0,3472.0,4880.0
1.52734,9.18894,4.81474,0.311246,64096.0,1280.0,3904.0,10160.0,8528.0,14336.0,5344.0,8096.0,4816.0,480.0,8304.0,7824.0,8768.0,23680.0,16944.0,12304.0,17120.0,5344.0,800.0,6960.0,2912.0,7120.0,1360.0,39136.0,4864.0,464.0,976.0,37952.0,480.0,4624.0,3008.0,5248.0
1.64551,9.6175,2.07817,0.328006,62944.0,1600.0,3888.0,10048.0,8592.0,14384.0,5376.0,6512.0,4832.0,544.0,8048.0,6656.0,10800.0,24288.0,18272.0,12960.0,10240.0,5264.0,800.0,6928.0,2784.0,7056.0,1184.0,38592.0,4912.0,480.0,672.0,38688.0,544.0,4784.0,3120.0,4912.0
