time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.166992,7.19936,5.29118,-2.17154,64592.0,4144.0,7440.0,13360.0,12576.0,10400.0,8240.0,3856.0,4896.0,896.0,5392.0,3776.0,2688.0,11776.0,10192.0,9056.0,14160.0,5664.0,1120.0,4624.0,5760.0,6368.0,1424.0,33920.0,3424.0,912.0,1360.0,34368.0,864.0,4768.0,5408.0,6592.0
0.287109,8.15225,0.387861,-0.395043,8944.0,4160.0,5936.0,12976.0,10624.0,8000.0,9024.0,3648.0,4992.0,672.0,5056.0,3504.0,2848.0,11728.0,7952.0,8368.0,11328.0,5920.0,928.0,4304.0,5568.0,6192.0,1216.0,34240.0,3280.0,656.0,1776.0,34192.0,768.0,4576.0,4880.0,7008.0
0.408203,9.73721,-5.12119,-3.27527,8032.0,3456.0,4368.0,9664.0,8704.0,7856.0,8208.0,3200.0,4928.0,640.0,4464.0,3328.0,2240.0,11520.0,7808.0,8176.0,7760.0,6016.0,688.0,4224.0,4784.0,6288.0,1024.0,34832.0,2368.0,704.0,912.0,34768.0,720.0,4048.0,4912.0,6720.0
0.527344,7.95354,-4.55138,2.7677,5264.0,4736.0,4896.0,7680.0,4112.0,8016.0,8640.0,3392.0,5008.0,736.0,4672.0,3328.0,2352.0,11568.0,7904.0,8432.0,8448.0,5696.0,816.0,4688.0,5920.0,4800.0,912.0,34144.0,3472.0,656.0,944.0,34208.0,736.0,4512.0,3888.0,6576.0
0.655273,10.3382,-1.40779,-0.265756,4384.0,5248.0,5328.0,8720.0,4320.0,8176.0,8656.0,3520.0,5008.0,704.0,4448.0,3424.0,2336.0,11568.0,7728.0,8176.0,15008.0,5296.0,768.0,4480.0,3488.0,4576.0,1072.0,34864.0,3472.0,704.0,992.0,34768.0,480.0,4272.0,4688.0,6720.0
0.767578,9.54329,-1.01275,-0.141258,6304.0,4880.0,4544.0,8784.0,3856.0,7744.0,8176.0,3088.0,4688.0,480.0,4864.0,3808.0,2608.0,11552.0,7968.0,7760.0,11040.0,5680.0,928.0,4400.0,3120.0,3760.0,784.0,34432.0,3504.0,1200.0,1072.0,34576.0,464.0,5184.0,5136.0,6704.0
0.886719,9.81144,-2.72939,-1.03429,8528.0,4688.0,5008.0,9168.0,3888.0,7296.0,8208.0,3200.0,4656.0,432.0,4240.0,3200.0,2400.0,11184.0,7456.0,8080.0,16640.0,6256.0,1632.0,5152.0,3760.0,5328.0,1200.0,33472.0,2992.0,496.0,752.0,34096.0,480.0,5136.0,5200.0,6048.0
1.00684,9.89523,-5.37737,-1.23541,9600.0,4608.0,4368.0,9552.0,4544.0,6944.0,8384.0,3104.0,4656.0,448.0,4272.0,3040.0,2432.0,11152.0,7408.0,8032.0,12880.0,5648.0,544.0,4608.0,3408.0,4928.0,736.0,34208.0,3264.0,416.0,928.0,34128.0,432.0,5376.0,5216.0,6784.0
1.12695,8.67179,-2.478,2.29604,8992.0,4896.0,4880.0,10016.0,4880.0,7616.0,8176.0,2752.0,4448.0,464.0,4304.0,2752.0,2368.0,11104.0,7344.0,7872.0,6912.0,5920.0,1200.0,4320.0,3904.0,5968.0,784.0,34240.0,2560.0,512.0,1232.0,34176.0,448.0,4560.0,4768.0,6752.0
1.24609,9.76116,-1.81959,0.143652,51376.0,3200.0,3776.0,9824.0,4432.0,6752.0,8480.0,2832.0,4480.0,448.0,4240.0,2800.0,2320.0,10960.0,7008.0,7696.0,4608.0,5952.0,1072.0,5328.0,3648.0,6848.0,896.0,34192.0,2560.0,464.0,1088.0,34192.0,480.0,4880.0,14208.0,12816.0
