time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.135254,3.39019,-0.0143652,-9.19134,4544.0,5248.0,4768.0,5376.0,4000.0,7376.0,2704.0,2544.0,5328.0,496.0,4128.0,2592.0,2448.0,6800.0,8176.0,8832.0,62656.0,4768.0,560.0,5584.0,5600.0,7744.0,1664.0,29408.0,4864.0,448.0,1536.0,29344.0,1312.0,5712.0,6784.0,8176.0
0.22998,3.33512,-0.0047884,-9.04529,4560.0,5168.0,4800.0,5392.0,4048.0,7280.0,2480.0,2608.0,5264.0,464.0,4160.0,2576.0,2512.0,6784.0,8272.0,9088.0,62112.0,4848.0,528.0,5680.0,5616.0,7760.0,1632.0,29536.0,4928.0,512.0,1536.0,29584.0,1296.0,5712.0,6736.0,8160.0
0.331055,3.34709,0.0047884,-9.0405,4528.0,5120.0,4752.0,5328.0,3952.0,7424.0,2832.0,2624.0,5280.0,448.0,4144.0,2544.0,2448.0,6752.0,8208.0,8992.0,61680.0,4832.0,512.0,5680.0,5680.0,7760.0,1648.0,29616.0,4944.0,464.0,1536.0,29536.0,1328.0,5760.0,6736.0,7648.0
0.429199,3.28484,0.0143652,-9.10036,4416.0,5072.0,4736.0,5344.0,3936.0,7328.0,2704.0,2608.0,5280.0,432.0,4160.0,2624.0,2416.0,6720.0,8384.0,9056.0,62688.0,5024.0,544.0,5680.0,5648.0,7760.0,1664.0,29888.0,4880.0,464.0,1472.0,29744.0,1344.0,5776.0,6752.0,8176.0
0.52832,3.28963,0.0023942,-9.07402,4304.0,5120.0,4768.0,5344.0,4016.0,7456.0,2720.0,2544.0,5280.0,448.0,4016.0,2608.0,2400.0,6624.0,8176.0,8960.0,63040.0,5008.0,528.0,5696.0,5648.0,7728.0,1600.0,29952.0,4912.0,448.0,1504.0,29856.0,1328.0,5680.0,6752.0,8144.0
0.634277,3.33752,-0.0383072,-9.13866,4384.0,5072.0,4784.0,5328.0,4016.0,8032.0,2976.0,2704.0,5264.0,448.0,4112.0,2672.0,2368.0,6464.0,8272.0,8960.0,62960.0,5024.0,560.0,5664.0,5616.0,7728.0,1664.0,30032.0,4880.0,432.0,1472.0,30048.0,1312.0,5712.0,6800.0,8176.0
0.733887,3.27527,-0.0335188,-9.11472,4512.0,5184.0,4784.0,5296.0,4000.0,8128.0,3120.0,2560.0,5264.0,464.0,4128.0,2688.0,2384.0,6352.0,8624.0,9232.0,61760.0,5392.0,544.0,5600.0,5632.0,7760.0,1632.0,30000.0,4928.0,416.0,1456.0,30000.0,1296.0,5776.0,6816.0,7616.0
0.833984,3.32555,-0.0574608,-9.14824,4368.0,5088.0,4784.0,5312.0,3968.0,8176.0,2704.0,2656.0,5264.0,464.0,4096.0,2640.0,2368.0,6208.0,8704.0,8544.0,61552.0,5056.0,576.0,5696.0,5600.0,7760.0,1680.0,29904.0,4896.0,448.0,1536.0,29904.0,1344.0,5760.0,6784.0,8048.0
0.933105,3.29442,0.0047884,-9.12191,4096.0,5248.0,4800.0,5296.0,3984.0,8176.0,2736.0,2576.0,5312.0,432.0,4112.0,2608.0,2384.0,6688.0,8704.0,9264.0,61632.0,5376.0,560.0,5696.0,5632.0,7728.0,1600.0,29920.0,4880.0,432.0,1504.0,29888.0,1328.0,5696.0,6784.0,7904.0
1.0332,3.3016,-0.0814028,-9.1243,4400.0,5136.0,4768.0,5296.0,3936.0,8176.0,3040.0,2592.0,5280.0,448.0,4176.0,2544.0,2432.0,6528.0,8672.0,8624.0,61600.0,4864.0,544.0,5760.0,5616.0,7728.0,1664.0,29168.0,4880.0,448.0,1488.0,29856.0,1360.0,5712.0,6752.0,8176.0
1.13232,3.32315,-0.0622492,-9.09557,4576.0,5120.0,4800.0,5264.0,4016.0,7856.0,3088.0,2560.0,5296.0,464.0,4064.0,2560.0,2384.0,6480.0,8720.0,9152.0,61712.0,4896.0,528.0,5728.0,5664.0,7744.0,1680.0,29728.0,4880.0,464.0,1536.0,29712.0,1280.0,5696.0,6752.0,7568.0
1.22998,3.29681,-0.0191536,-9.07881,4096.0,5024.0,4752.0,5248.0,4112.0,7744.0,2912.0,2560.0,5296.0,400.0,4096.0,2592.0,2368.0,6448.0,8704.0,9184.0,61664.0,4880.0,576.0,5664.0,5680.0,7728.0,1664.0,29616.0,4832.0,496.0,1536.0,28736.0,1376.0,5760.0,6784.0,6752.0
1.33691,3.33512,0.0143652,-9.09078,4432.0,5168.0,4784.0,5264.0,4112.0,7456.0,3072.0,2576.0,5312.0,448.0,4128.0,2592.0,2384.0,6640.0,8704.0,9136.0,61840.0,4976.0,560.0,5664.0,5568.0,7680.0,1648.0,28672.0,4880.0,464.0,1536.0,29744.0,1328.0,5776.0,6768.0,8176.0
1.43604,3.2609,-0.0191536,-9.05008,4576.0,5152.0,4784.0,5264.0,4048.0,7728.0,3504.0,2528.0,5312.0,480.0,4112.0,2496.0,2480.0,6528.0,8512.0,8784.0,61824.0,5440.0,544.0,5648.0,5552.0,7648.0,1664.0,29728.0,4880.0,512.0,1536.0,29744.0,1296.0,5712.0,6736.0,7440.0
1.53516,3.34949,-0.0287304,-9.08839,4384.0,5264.0,4832.0,5152.0,4016.0,7984.0,3568.0,2496.0,5376.0,464.0,4096.0,2480.0,2464.0,6528.0,8480.0,9136.0,62272.0,5440.0,560.0,5648.0,5600.0,7680.0,1680.0,27920.0,4864.0,480.0,1536.0,28816.0,1312.0,5760.0,6752.0,8128.0
1.63428,3.33991,-0.0287304,-9.1674,4544.0,5200.0,4816.0,5136.0,4096.0,8032.0,3648.0,2496.0,5360.0,448.0,4096.0,2512.0,2464.0,6528.0,8432.0,8416.0,61904.0,5456.0,512.0,5696.0,5680.0,7776.0,1680.0,29456.0,4864.0,464.0,1552.0,29472.0,1328.0,5760.0,6736.0,8176.0
1.73291,3.23217,0.0167594,-9.09078,4496.0,5232.0,4816.0,5200.0,4128.0,7408.0,3424.0,2464.0,5392.0,448.0,4048.0,2496.0,2496.0,6464.0,8432.0,8864.0,62720.0,5392.0,592.0,5664.0,5616.0,7728.0,1664.0,29504.0,4944.0,464.0,1584.0,28624.0,1312.0,5776.0,6736.0,8176.0
1.83301,3.33273,-0.0430956,-9.07881,4448.0,5200.0,4800.0,5216.0,4096.0,7376.0,3232.0,2496.0,5424.0,448.0,4096.0,2560.0,2480.0,6544.0,8416.0,9296.0,62912.0,5376.0,576.0,5680.0,5648.0,7712.0,1680.0,29520.0,4896.0,464.0,1584.0,29600.0,1360.0,5728.0,6768.0,8176.0
1.93115,3.28963,-0.035913,-9.05487,4624.0,5248.0,4784.0,5120.0,4160.0,7680.0,2912.0,2464.0,5312.0,448.0,4144.0,2512.0,2480.0,6496.0,8608.0,9088.0,61504.0,5424.0,512.0,5680.0,5632.0,7696.0,1664.0,29696.0,4928.0,448.0,1520.0,29664.0,1344.0,5776.0,6704.0,7024.0
2.03906,3.31836,-0.0622492,-9.18894,4144.0,5280.0,4752.0,5056.0,4160.0,7680.0,3088.0,2528.0,5360.0,512.0,4096.0,2544.0,2496.0,6384.0,8624.0,9376.0,62080.0,5392.0,560.0,5680.0,5648.0,7712.0,1680.0,29888.0,4896.0,448.0,1568.0,29824.0,1392.0,5760.0,6784.0,7872.0
2.13721,3.35906,0.0215478,-9.11233,4320.0,5296.0,4784.0,5008.0,4096.0,7616.0,3152.0,2528.0,5296.0,432.0,4128.0,2528.0,2512.0,6656.0,8608.0,8848.0,61584.0,5408.0,544.0,5648.0,5664.0,7680.0,1648.0,29840.0,4912.0,480.0,1568.0,30064.0,1296.0,5760.0,6720.0,7648.0
2.2373,3.3447,0.00957681,-9.06923,4384.0,5280.0,4784.0,5056.0,4064.0,7760.0,3072.0,2624.0,5312.0,448.0,4160.0,2560.0,2592.0,6608.0,8528.0,9152.0,62400.0,5360.0,528.0,5664.0,5648.0,7616.0,1680.0,30048.0,4896.0,448.0,1600.0,30016.0,1312.0,5744.0,6784.0,7776.0
2.33594,3.31118,-0.0550666,-9.0812,4560.0,5376.0,4784.0,4992.0,4112.0,8032.0,3216.0,2512.0,5312.0,480.0,4096.0,2560.0,2576.0,6416.0,8576.0,8992.0,61824.0,5440.0,560.0,5648.0,5648.0,7600.0,1664.0,29904.0,4944.0,448.0,1536.0,29872.0,1328.0,5712.0,6768.0,7168.0
2.43408,3.33273,-0.023942,-9.05008,4400.0,5408.0,4768.0,5024.0,4128.0,8176.0,3184.0,2592.0,5312.0,432.0,4048.0,2624.0,2496.0,6656.0,8592.0,9088.0,63120.0,5408.0,528.0,5680.0,5568.0,7632.0,2336.0,29200.0,4912.0,448.0,1552.0,29200.0,1312.0,5728.0,6784.0,7808.0
2.5332,3.35906,0.0023942,-9.09557,4528.0,5424.0,4736.0,5072.0,4160.0,7904.0,2448.0,2640.0,5264.0,432.0,4064.0,2624.0,2496.0,6608.0,8528.0,8752.0,62288.0,5456.0,576.0,5696.0,5600.0,7680.0,2272.0,29952.0,4896.0,416.0,1584.0,29968.0,1328.0,5776.0,6704.0,8176.0
2.6333,3.3423,-0.0646434,-9.14585,4560.0,5392.0,4784.0,5040.0,4128.0,7904.0,2368.0,2576.0,5312.0,432.0,4064.0,2656.0,2480.0,6608.0,8640.0,8976.0,61936.0,5472.0,560.0,5696.0,5600.0,7680.0,2320.0,30096.0,4896.0,416.0,1600.0,30096.0,1376.0,5776.0,6800.0,8128.0
2.73096,3.32555,0.0454898,-9.08599,4384.0,5408.0,4784.0,5072.0,4176.0,7728.0,3008.0,2656.0,5296.0,448.0,4064.0,2688.0,2480.0,6400.0,8512.0,9088.0,63040.0,5376.0,512.0,5696.0,5536.0,7584.0,2304.0,30224.0,4944.0,480.0,1632.0,30224.0,1328.0,5776.0,6736.0,8208.0
2.83887,3.33991,-0.0287304,-9.04768,4544.0,5424.0,4768.0,5024.0,4256.0,7472.0,2960.0,2688.0,5216.0,400.0,3984.0,2672.0,2448.0,6688.0,8352.0,8528.0,62288.0,5392.0,544.0,5680.0,5536.0,7680.0,2304.0,30208.0,4896.0,528.0,1664.0,30224.0,1312.0,5760.0,6736.0,8176.0
2.93701,3.28484,-0.0430956,-9.13627,4368.0,5344.0,4784.0,5008.0,4240.0,7632.0,3072.0,2688.0,5296.0,480.0,4096.0,2624.0,2464.0,6608.0,8272.0,9040.0,62640.0,5344.0,512.0,5680.0,5632.0,7712.0,2336.0,30160.0,4896.0,464.0,1632.0,30128.0,1344.0,5696.0,6800.0,7696.0
3.03711,3.3447,0.0407014,-9.06684,4544.0,5376.0,4768.0,5008.0,4176.0,7760.0,3088.0,2640.0,5312.0,448.0,4000.0,2656.0,2448.0,6576.0,8208.0,7616.0,61952.0,5312.0,496.0,5680.0,5696.0,7696.0,2336.0,30096.0,4912.0,448.0,1664.0,30080.0,1344.0,5728.0,6736.0,8192.0
3.13525,3.33033,0.0502782,-9.09796,4384.0,5376.0,4816.0,5072.0,4192.0,7616.0,3392.0,2656.0,5328.0,448.0,4000.0,2704.0,2496.0,6544.0,8272.0,8880.0,63008.0,5344.0,544.0,5696.0,5632.0,7696.0,2368.0,30080.0,4928.0,448.0,1728.0,30064.0,1328.0,5776.0,6688.0,8176.0
3.25,3.34709,-0.0263362,-9.1674,4400.0,5408.0,4816.0,5040.0,4240.0,7376.0,3216.0,2688.0,5312.0,448.0,3968.0,2688.0,2480.0,6496.0,8240.0,9184.0,61872.0,5344.0,528.0,5664.0,5632.0,7664.0,2336.0,30192.0,4912.0,432.0,1680.0,30128.0,1360.0,5728.0,6800.0,7728.0
3.35107,3.35667,-0.0909796,-9.01656,4640.0,5408.0,4896.0,5168.0,4256.0,7552.0,3440.0,2688.0,5328.0,416.0,3936.0,2688.0,2512.0,6288.0,8224.0,7776.0,61744.0,5376.0,528.0,5680.0,5648.0,7696.0,2336.0,30080.0,4912.0,448.0,1728.0,30080.0,1296.0,5760.0,6752.0,8144.0
3.45215,3.33991,0.0,-9.11233,4432.0,5376.0,4832.0,5056.0,4224.0,7584.0,2688.0,2720.0,5360.0,416.0,3904.0,2704.0,2464.0,6320.0,8176.0,8992.0,62944.0,5344.0,576.0,5616.0,5616.0,7696.0,2368.0,30096.0,4896.0,480.0,1712.0,30096.0,1312.0,5696.0,6752.0,8032.0
3.55908,3.28963,-0.023942,-9.12909,4560.0,5344.0,4848.0,5152.0,4176.0,7488.0,2640.0,2720.0,5312.0,448.0,3888.0,2720.0,2464.0,6288.0,8192.0,9056.0,61680.0,5376.0,528.0,5680.0,5632.0,7632.0,2320.0,30112.0,4928.0,448.0,1712.0,30128.0,1360.0,5696.0,6640.0,7776.0
3.66016,3.33273,-0.0047884,-9.0429,4128.0,5264.0,4800.0,4944.0,4176.0,7872.0,2688.0,2752.0,5280.0,400.0,3920.0,2688.0,2496.0,6528.0,8176.0,8800.0,62960.0,5312.0,560.0,5696.0,5568.0,7744.0,2352.0,29712.0,4944.0,544.0,1728.0,29648.0,1264.0,5696.0,6800.0,7568.0
3.75928,3.38779,-0.023942,-9.10994,4656.0,5248.0,4832.0,4992.0,4240.0,7616.0,2912.0,2736.0,5344.0,432.0,3920.0,2720.0,2576.0,6384.0,8208.0,8400.0,61984.0,5392.0,544.0,5648.0,5648.0,7696.0,2320.0,29776.0,4912.0,432.0,1728.0,29808.0,1328.0,5712.0,6816.0,8176.0
3.86133,3.33273,0.0023942,-9.11472,4416.0,5248.0,4832.0,5008.0,4256.0,7424.0,2864.0,2752.0,5392.0,448.0,3936.0,2736.0,2496.0,6816.0,8192.0,8848.0,62800.0,5424.0,544.0,5680.0,5632.0,7632.0,2368.0,29760.0,4912.0,464.0,1664.0,29760.0,1296.0,5776.0,6752.0,8224.0
3.96094,3.34949,-0.0574608,-9.11712,4400.0,5248.0,4880.0,4992.0,4288.0,7488.0,3248.0,2688.0,5376.0,432.0,3872.0,2640.0,2480.0,6992.0,8256.0,8896.0,63056.0,5328.0,560.0,5680.0,5648.0,7616.0,2384.0,29792.0,4944.0,432.0,1712.0,29824.0,1312.0,5600.0,6800.0,7600.0
4.06104,3.33273,-0.047884,-9.04768,4528.0,5168.0,4896.0,4960.0,4288.0,7504.0,3296.0,2656.0,5344.0,432.0,3872.0,2656.0,2528.0,6960.0,8288.0,8400.0,61824.0,5344.0,528.0,5696.0,5648.0,7696.0,2320.0,29136.0,4896.0,448.0,1728.0,28864.0,1296.0,5760.0,6784.0,8096.0
4.16211,3.37822,-0.059855,-9.14345,4544.0,5200.0,4864.0,4992.0,4224.0,7600.0,3280.0,2656.0,5344.0,464.0,3888.0,2688.0,2512.0,6864.0,8320.0,8592.0,62160.0,5296.0,496.0,5712.0,5664.0,7632.0,2352.0,29712.0,4960.0,448.0,1680.0,29872.0,1312.0,5776.0,6784.0,8192.0
4.27002,3.33991,-0.0215478,-8.99262,4432.0,5152.0,4896.0,5024.0,4224.0,7824.0,3296.0,2640.0,5328.0,448.0,3872.0,2656.0,2496.0,7040.0,8320.0,8928.0,62912.0,5408.0,512.0,5696.0,5680.0,7680.0,2304.0,30288.0,4912.0,448.0,1728.0,30224.0,1376.0,5792.0,6736.0,8176.0
4.37109,3.33752,0.00957681,-9.16979,4640.0,5040.0,4864.0,4944.0,4224.0,7808.0,3408.0,2640.0,5344.0,432.0,3872.0,2656.0,2560.0,7088.0,8384.0,7712.0,62000.0,5312.0,512.0,5696.0,5664.0,7552.0,2352.0,30096.0,4960.0,512.0,1744.0,30080.0,1328.0,5760.0,6784.0,7968.0
4.47119,3.33033,-0.0287304,-9.09317,4432.0,5072.0,4832.0,5008.0,4256.0,7696.0,3360.0,2592.0,5408.0,448.0,3888.0,2576.0,2528.0,7056.0,8384.0,8960.0,63040.0,5344.0,480.0,5680.0,5600.0,7616.0,2384.0,30080.0,4944.0,528.0,1728.0,29616.0,1312.0,5776.0,6848.0,8096.0
4.57129,3.27048,0.0191536,-9.14106,4496.0,5072.0,4880.0,4992.0,4208.0,8176.0,3280.0,2592.0,5328.0,464.0,3872.0,2576.0,2464.0,6544.0,8288.0,8864.0,63008.0,5328.0,448.0,5632.0,5648.0,7696.0,2352.0,30464.0,4944.0,528.0,1696.0,30592.0,1312.0,5920.0,6736.0,8176.0
4.67188,3.33033,0.0143652,-9.00219,4608.0,5072.0,4928.0,5008.0,4288.0,8336.0,3296.0,2608.0,5296.0,464.0,3872.0,2560.0,2512.0,6416.0,8496.0,9184.0,61408.0,5328.0,480.0,5712.0,5664.0,7728.0,2368.0,30288.0,4928.0,464.0,1712.0,30336.0,1328.0,5952.0,6752.0,7696.0
4.77197,3.36146,-0.0167594,-9.17697,4544.0,5152.0,4896.0,4992.0,4224.0,8272.0,3280.0,2576.0,5376.0,480.0,3808.0,2576.0,2496.0,6416.0,8464.0,8480.0,61744.0,5312.0,480.0,5680.0,5648.0,7728.0,2352.0,30496.0,4912.0,464.0,1744.0,30432.0,1312.0,5920.0,6736.0,8096.0
4.87305,3.3447,0.0047884,-9.09557,4384.0,5168.0,4880.0,5024.0,4352.0,7680.0,3360.0,2512.0,5328.0,448.0,3808.0,2544.0,2496.0,7104.0,8464.0,8976.0,62464.0,5264.0,496.0,5664.0,5696.0,7728.0,2368.0,30560.0,4880.0,448.0,1696.0,30528.0,1312.0,5888.0,6736.0,7744.0
4.97217,3.35667,0.0383072,-9.05965,4656.0,5184.0,4928.0,4992.0,4272.0,7968.0,3456.0,2560.0,5408.0,400.0,3824.0,2560.0,2480.0,6864.0,8368.0,8592.0,61872.0,5376.0,528.0,5680.0,5648.0,7616.0,2352.0,30304.0,4864.0,432.0,1696.0,30368.0,1296.0,5952.0,6672.0,8176.0
5.08203,3.35667,0.0167594,-9.07402,4512.0,5216.0,4880.0,4992.0,4240.0,7728.0,3360.0,2576.0,5344.0,448.0,3840.0,2592.0,2576.0,6624.0,8400.0,8272.0,61968.0,5440.0,528.0,5696.0,5648.0,7632.0,2352.0,30944.0,4928.0,464.0,1728.0,31008.0,1328.0,6016.0,6720.0,8000.0
5.18115,3.34709,0.0287304,-9.07642,4576.0,5184.0,4880.0,4944.0,4304.0,7840.0,3408.0,2512.0,5328.0,400.0,3888.0,2528.0,2528.0,6480.0,8400.0,8512.0,62160.0,5376.0,576.0,5696.0,5648.0,7632.0,2352.0,30720.0,4944.0,480.0,1712.0,30752.0,1248.0,5984.0,6784.0,8144.0
5.28223,3.40455,-0.0287304,-9.07163,4032.0,5216.0,4912.0,4944.0,4256.0,7888.0,3312.0,2480.0,5344.0,432.0,3888.0,2528.0,2528.0,6272.0,8416.0,9136.0,62848.0,5392.0,512.0,5696.0,5664.0,7696.0,2368.0,30336.0,4944.0,448.0,1728.0,30352.0,1312.0,5920.0,6704.0,8016.0
5.3833,3.28006,-0.0335188,-9.10036,4560.0,5056.0,4896.0,5024.0,4272.0,7616.0,3232.0,2496.0,5408.0,448.0,3872.0,2496.0,2560.0,6192.0,8448.0,8384.0,61904.0,5376.0,528.0,5776.0,5648.0,7568.0,2432.0,30160.0,4944.0,432.0,1696.0,30464.0,1312.0,5968.0,6720.0,8096.0
5.48291,3.26808,-0.023942,-9.1243,4192.0,5216.0,4896.0,5008.0,4240.0,7328.0,3088.0,2464.0,5344.0,416.0,3888.0,2512.0,2560.0,6224.0,8352.0,8848.0,61776.0,5408.0,512.0,5728.0,5600.0,7664.0,2304.0,30608.0,4896.0,448.0,1712.0,30624.0,1312.0,5952.0,6624.0,6944.0
5.58301,3.32794,0.0215478,-9.16021,4608.0,5088.0,4864.0,4992.0,4224.0,7504.0,3104.0,2448.0,5296.0,448.0,3968.0,2464.0,2560.0,6272.0,8368.0,8336.0,62080.0,5376.0,512.0,5664.0,5632.0,7648.0,2352.0,30544.0,4944.0,480.0,1744.0,30640.0,1344.0,5904.0,6688.0,8176.0
5.68311,3.35188,0.0023942,-9.09557,4416.0,5120.0,4896.0,5024.0,4256.0,7648.0,3216.0,2560.0,5344.0,448.0,3904.0,2560.0,2576.0,6176.0,8080.0,8720.0,62960.0,5376.0,528.0,5664.0,5648.0,7632.0,2336.0,30624.0,4944.0,464.0,1696.0,30528.0,1312.0,5952.0,6672.0,8176.0
5.79102,3.34709,-0.011971,-8.99741,4464.0,5200.0,4864.0,5024.0,4240.0,7344.0,3168.0,2480.0,5328.0,432.0,3920.0,2512.0,2608.0,6224.0,8112.0,8768.0,61792.0,5440.0,576.0,5648.0,5648.0,7696.0,2336.0,30592.0,4944.0,464.0,1728.0,30544.0,1328.0,5968.0,6688.0,6992.0
5.89209,3.34709,-0.0407014,-9.10754,4400.0,5088.0,4832.0,5040.0,4176.0,7184.0,3216.0,2464.0,5344.0,464.0,3904.0,2512.0,2528.0,6096.0,8000.0,8656.0,61872.0,5440.0,528.0,5680.0,5632.0,7696.0,2368.0,30464.0,4928.0,464.0,1760.0,30432.0,1280.0,5904.0,6688.0,7680.0
5.99219,3.3423,-0.0047884,-9.06923,4608.0,5008.0,4880.0,5040.0,4240.0,7552.0,3280.0,2496.0,5376.0,448.0,3904.0,2480.0,2544.0,6192.0,7984.0,8080.0,61488.0,5408.0,528.0,5680.0,5648.0,7696.0,2320.0,30368.0,4928.0,576.0,1696.0,30352.0,1344.0,5968.0,6704.0,8144.0
6.09229,3.35906,0.0,-9.12909,4448.0,5056.0,4880.0,5088.0,4192.0,7152.0,3264.0,2480.0,5392.0,480.0,3888.0,2512.0,2528.0,6208.0,8080.0,8592.0,63120.0,5472.0,544.0,5696.0,5632.0,7728.0,2352.0,30384.0,4896.0,448.0,1712.0,30432.0,1328.0,5984.0,6784.0,7376.0
6.19189,3.35188,-0.0047884,-9.10754,4608.0,5040.0,4832.0,5040.0,4208.0,7120.0,3216.0,2496.0,5344.0,448.0,4000.0,2512.0,2560.0,6224.0,8000.0,8624.0,61520.0,5456.0,512.0,5664.0,5600.0,7728.0,2336.0,30608.0,4960.0,512.0,1728.0,30560.0,1296.0,5904.0,6704.0,8176.0
6.29395,3.28006,-0.011971,-9.05965,4416.0,5008.0,4848.0,5088.0,4272.0,7232.0,3280.0,2448.0,5392.0,432.0,3920.0,2464.0,2512.0,6192.0,8032.0,8672.0,62672.0,5440.0,528.0,5664.0,5616.0,7712.0,2400.0,30256.0,4960.0,448.0,1744.0,30256.0,1328.0,5904.0,6704.0,8144.0
6.39307,3.27048,-0.0047884,-9.10754,4480.0,4880.0,4896.0,5072.0,4176.0,7888.0,3264.0,2432.0,5328.0,464.0,3936.0,2464.0,2576.0,6240.0,8016.0,8448.0,63072.0,5440.0,528.0,5664.0,5568.0,7680.0,2352.0,30608.0,4944.0,448.0,1728.0,30624.0,1344.0,5904.0,6736.0,7648.0
6.51318,3.29442,-0.0311246,-9.05008,4496.0,4928.0,4944.0,4976.0,4176.0,7792.0,3392.0,2496.0,5392.0,432.0,3920.0,2464.0,2512.0,6224.0,8016.0,8656.0,63040.0,5456.0,528.0,5680.0,5664.0,7680.0,2336.0,30208.0,4928.0,464.0,1728.0,30176.0,1328.0,5920.0,6720.0,7840.0
6.61328,3.32794,-0.047884,-9.23683,4592.0,5248.0,4816.0,5056.0,4224.0,7760.0,3328.0,2384.0,5312.0,448.0,3872.0,2352.0,2560.0,6224.0,8064.0,8208.0,61664.0,5520.0,544.0,5696.0,5632.0,7648.0,2368.0,30096.0,4992.0,448.0,1744.0,30160.0,1328.0,5968.0,6752.0,8064.0
6.71387,3.27527,-0.00957681,-9.19852,4480.0,5184.0,4864.0,5008.0,4240.0,7648.0,3296.0,2368.0,5360.0,448.0,3920.0,2368.0,2528.0,6272.0,8032.0,8736.0,62944.0,5552.0,544.0,5696.0,5696.0,7760.0,2336.0,30064.0,4928.0,432.0,1744.0,30112.0,1328.0,6000.0,6784.0,8064.0
6.81396,3.36385,-0.0167594,-9.14106,4416.0,5152.0,4864.0,5040.0,4272.0,7520.0,3360.0,2432.0,5344.0,448.0,3856.0,2384.0,2592.0,6288.0,8016.0,8672.0,61808.0,5536.0,544.0,5680.0,5648.0,7744.0,2384.0,29824.0,4944.0,464.0,1744.0,29776.0,1312.0,5920.0,6720.0,7888.0
6.91504,3.40934,0.00957681,-9.165,4560.0,5072.0,4896.0,5040.0,4176.0,7648.0,3264.0,2384.0,5360.0,464.0,3968.0,2384.0,2528.0,6336.0,8048.0,8624.0,61968.0,5472.0,544.0,5680.0,5648.0,7744.0,2352.0,29824.0,4912.0,448.0,1728.0,29776.0,1296.0,5888.0,6720.0,7504.0
7.01514,3.37822,0.0191536,-9.05965,4560.0,5184.0,4992.0,5072.0,4224.0,7584.0,3168.0,2352.0,5296.0,432.0,3920.0,2432.0,2512.0,6288.0,8032.0,8496.0,61488.0,5504.0,512.0,5680.0,5648.0,7728.0,2400.0,29792.0,4992.0,448.0,1728.0,29776.0,1296.0,5936.0,6784.0,8176.0
