time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.164001,10.3621,13.3525,-0.706289,10944.0,6448.0,5840.0,8672.0,6352.0,6960.0,6240.0,3808.0,7056.0,1200.0,3360.0,3728.0,3392.0,8928.0,11296.0,10912.0,49472.0,8960.0,1312.0,7600.0,15408.0,8752.0,4016.0,33664.0,4784.0,864.0,1728.0,33664.0,944.0,5296.0,5392.0,6944.0
0.266003,9.97663,0.893037,-0.912191,6320.0,5664.0,5920.0,5312.0,2912.0,6368.0,5856.0,3024.0,6576.0,736.0,3104.0,3264.0,2864.0,9248.0,9360.0,9136.0,28608.0,9104.0,848.0,6704.0,7360.0,9760.0,3536.0,33216.0,4752.0,736.0,784.0,32672.0,1072.0,5344.0,9648.0,10112.0
0.384003,9.89045,-1.54665,1.12288,54880.0,5152.0,6160.0,8112.0,6800.0,11472.0,4688.0,4176.0,6336.0,688.0,12880.0,3632.0,2816.0,18720.0,20416.0,15792.0,28928.0,8544.0,944.0,6272.0,6944.0,8848.0,3280.0,32992.0,4528.0,544.0,656.0,33088.0,544.0,5632.0,3040.0,5312.0
0.484001,8.29351,2.81797,-0.823605,9488.0,5904.0,6288.0,7344.0,3200.0,6560.0,5216.0,9392.0,5920.0,480.0,12800.0,9328.0,10400.0,22480.0,20240.0,14720.0,30544.0,8688.0,912.0,6240.0,7184.0,8560.0,3024.0,34656.0,4400.0,464.0,1072.0,34656.0,560.0,5120.0,3232.0,5776.0
0.584,9.27753,5.83467,3.08613,5664.0,5072.0,6304.0,7552.0,2944.0,5280.0,4256.0,7120.0,6016.0,464.0,10480.0,7568.0,4368.0,24464.0,23968.0,20896.0,38784.0,8832.0,1072.0,6064.0,6176.0,8400.0,3248.0,34000.0,4400.0,464.0,1136.0,33952.0,480.0,4960.0,3328.0,5328.0
0.704002,5.0374,7.97029,0.447716,64416.0,5120.0,6176.0,11200.0,11024.0,16032.0,4832.0,3728.0,6304.0,448.0,6480.0,3632.0,2816.0,10288.0,14928.0,11680.0,32560.0,8640.0,1024.0,6000.0,5648.0,8368.0,3408.0,33552.0,4480.0,448.0,1088.0,33248.0,752.0,5072.0,3744.0,5632.0
0.804001,5.861,8.6694,0.80924,9312.0,5616.0,6480.0,11136.0,9552.0,5680.0,5264.0,3856.0,6128.0,448.0,5424.0,3280.0,2736.0,9248.0,9648.0,9632.0,39392.0,8704.0,1088.0,6208.0,6272.0,8752.0,3904.0,33168.0,4448.0,480.0,1104.0,32704.0,480.0,4416.0,3136.0,4928.0
0.903,5.86579,8.23605,0.770933,6048.0,5632.0,5888.0,9120.0,5216.0,5280.0,5264.0,3776.0,6784.0,992.0,4944.0,2400.0,2800.0,9264.0,8560.0,8176.0,37344.0,8752.0,1024.0,6336.0,6016.0,8768.0,4192.0,33824.0,4480.0,480.0,1184.0,33376.0,624.0,4560.0,3136.0,5408.0
1.004,5.64792,8.5473,0.610521,5408.0,5168.0,5520.0,8864.0,3920.0,5504.0,5344.0,3808.0,6752.0,1008.0,5152.0,3152.0,2816.0,9232.0,8368.0,8896.0,35040.0,8704.0,928.0,6112.0,6032.0,8720.0,4096.0,33936.0,4400.0,480.0,1104.0,33536.0,464.0,4592.0,3104.0,5648.0
1.104,5.12598,7.22809,1.075,5328.0,5088.0,5520.0,8448.0,2944.0,5024.0,5296.0,3600.0,6784.0,1104.0,4608.0,3040.0,2784.0,9152.0,8208.0,8592.0,34688.0,8992.0,1024.0,6080.0,6080.0,8784.0,4128.0,33760.0,5040.0,448.0,1056.0,33488.0,688.0,4784.0,3344.0,5008.0
