time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.14502,9.76116,-2.54025,1.57538,5472.0,6080.0,5808.0,4960.0,4688.0,5360.0,6064.0,4320.0,6272.0,1184.0,4784.0,4224.0,3168.0,9120.0,8128.0,8784.0,53584.0,5184.0,1232.0,4880.0,6576.0,7360.0,3504.0,37136.0,4768.0,848.0,1696.0,37008.0,1408.0,4160.0,4528.0,6736.0
0.245117,10.0125,-1.96564,0.37589,5216.0,5376.0,5344.0,4192.0,4144.0,4880.0,5680.0,3808.0,5856.0,656.0,4272.0,3664.0,2704.0,8752.0,7824.0,8272.0,47840.0,4880.0,736.0,4544.0,6416.0,7232.0,3280.0,37376.0,4608.0,704.0,1712.0,36288.0,1664.0,4048.0,4576.0,6736.0
0.344238,14.7483,-12.4546,8.02297,4832.0,5632.0,5216.0,4112.0,4064.0,4768.0,5520.0,3728.0,5712.0,592.0,4224.0,3504.0,2592.0,8608.0,7680.0,8352.0,45856.0,4736.0,704.0,4528.0,6192.0,6992.0,3280.0,36928.0,4496.0,592.0,592.0,37536.0,1456.0,3872.0,4304.0,6240.0
0.444824,13.556,7.03656,0.912191,4736.0,5216.0,5184.0,4128.0,4160.0,4864.0,5616.0,6304.0,5776.0,704.0,4672.0,6576.0,6272.0,9216.0,6432.0,7200.0,49760.0,6480.0,560.0,5648.0,6848.0,7248.0,3392.0,36816.0,4384.0,528.0,592.0,36832.0,1504.0,3792.0,4368.0,6688.0
0.544922,10.2041,-0.833182,-0.0502782,4752.0,5648.0,5184.0,4144.0,4000.0,4704.0,5472.0,2560.0,5664.0,544.0,4672.0,2496.0,2272.0,8096.0,7920.0,8560.0,58608.0,6688.0,1328.0,5104.0,7056.0,7152.0,3200.0,36752.0,4768.0,544.0,800.0,36896.0,1472.0,3888.0,4384.0,6576.0
0.652832,9.92875,0.811634,-0.512359,4544.0,5424.0,5152.0,4160.0,3904.0,4544.0,5472.0,2496.0,5568.0,544.0,4576.0,2320.0,2384.0,8096.0,8096.0,8496.0,60608.0,6320.0,608.0,4944.0,7136.0,7168.0,3216.0,36816.0,4656.0,448.0,768.0,36896.0,1296.0,3472.0,4016.0,5792.0
0.765137,9.55765,2.60489,-1.34794,4640.0,5152.0,5200.0,4192.0,3920.0,4544.0,5376.0,2464.0,5520.0,416.0,6176.0,4480.0,2496.0,8544.0,8128.0,8608.0,58128.0,6608.0,592.0,5184.0,7008.0,7168.0,3200.0,36656.0,4704.0,480.0,864.0,36832.0,1808.0,3616.0,2880.0,5312.0
0.865234,9.61032,0.988805,0.775721,4224.0,4560.0,5200.0,4256.0,4224.0,5264.0,5344.0,9696.0,4880.0,464.0,11536.0,9680.0,10704.0,15872.0,10928.0,10656.0,56016.0,6384.0,624.0,5136.0,6992.0,7088.0,3216.0,36048.0,4720.0,480.0,832.0,36144.0,832.0,4208.0,3200.0,5808.0
0.964844,8.67179,0.696712,0.21069,4256.0,4576.0,5248.0,4176.0,3904.0,4704.0,5344.0,12048.0,5040.0,432.0,16256.0,12352.0,11088.0,16800.0,12480.0,11072.0,52064.0,6368.0,640.0,5280.0,6944.0,7040.0,3200.0,36032.0,4752.0,480.0,768.0,36288.0,1376.0,4160.0,3456.0,5984.0
1.06494,7.77876,5.17387,-0.179565,64928.0,6864.0,5520.0,7584.0,6368.0,8176.0,5472.0,8768.0,4992.0,512.0,15296.0,9216.0,2720.0,14592.0,14768.0,13456.0,43744.0,6304.0,640.0,5200.0,6976.0,7072.0,3216.0,36480.0,4624.0,464.0,832.0,36496.0,1376.0,4192.0,3520.0,5440.0
1.18408,6.63672,8.04212,0.023942,65184.0,8656.0,7968.0,13824.0,12240.0,7456.0,5568.0,3408.0,4592.0,496.0,4320.0,3312.0,2960.0,9152.0,9776.0,9872.0,48208.0,6368.0,1216.0,5600.0,6928.0,7088.0,3200.0,36656.0,4512.0,480.0,912.0,36656.0,1344.0,4416.0,3552.0,6032.0
1.28516,6.98388,7.91044,-1.28808,65312.0,8992.0,10976.0,12480.0,6912.0,5952.0,6240.0,2608.0,4784.0,448.0,4112.0,2688.0,2848.0,8720.0,8176.0,8400.0,40912.0,6400.0,656.0,5664.0,7552.0,7584.0,3264.0,36384.0,4480.0,480.0,912.0,36144.0,1312.0,4496.0,3440.0,6016.0
1.38525,8.95192,4.55616,-0.715866,65168.0,8064.0,10976.0,14672.0,11792.0,6752.0,6048.0,3264.0,5344.0,512.0,4352.0,2704.0,3232.0,8928.0,7744.0,8448.0,46112.0,6368.0,576.0,5504.0,7600.0,7696.0,3760.0,36096.0,4448.0,496.0,928.0,36256.0,1344.0,4512.0,3424.0,5680.0
1.49316,8.05888,5.4899,-0.258574,65120.0,7200.0,5872.0,11488.0,11616.0,13520.0,6096.0,2832.0,4960.0,496.0,6112.0,2816.0,3024.0,13504.0,14176.0,12976.0,43040.0,6384.0,560.0,5584.0,7488.0,7584.0,3200.0,36800.0,4480.0,480.0,960.0,36736.0,1360.0,4416.0,3488.0,5920.0
1.604,7.97269,5.30316,-0.778115,65200.0,8176.0,5344.0,11904.0,11712.0,13264.0,6304.0,2688.0,4944.0,512.0,5328.0,2736.0,3024.0,14144.0,15280.0,12720.0,37280.0,6416.0,560.0,5056.0,6960.0,7072.0,3200.0,36512.0,4448.0,464.0,896.0,36544.0,1968.0,5072.0,3904.0,6064.0
1.70508,8.14986,5.31513,-0.979228,65152.0,7456.0,5264.0,11872.0,12208.0,14272.0,6992.0,3360.0,5104.0,464.0,6432.0,3376.0,3120.0,15104.0,15792.0,13312.0,40256.0,6416.0,816.0,5632.0,7488.0,7552.0,3152.0,36288.0,4448.0,448.0,928.0,36320.0,1344.0,4512.0,3488.0,5632.0
1.8042,8.32703,4.89853,-0.859518,64944.0,6752.0,5360.0,12000.0,11856.0,14352.0,7056.0,3392.0,5168.0,480.0,6736.0,3776.0,3072.0,16016.0,15920.0,13248.0,49936.0,6432.0,608.0,5424.0,7504.0,7488.0,3168.0,36560.0,4448.0,480.0,944.0,36688.0,1312.0,4528.0,3488.0,6064.0
1.9043,8.37492,4.52504,-0.713472,64976.0,7168.0,5296.0,11600.0,11952.0,14720.0,6496.0,4496.0,5232.0,480.0,8176.0,4928.0,3136.0,17504.0,16432.0,14432.0,53552.0,6448.0,608.0,5584.0,7488.0,7056.0,3232.0,36880.0,4448.0,496.0,928.0,37120.0,1344.0,4560.0,3504.0,5680.0
2.00488,8.59997,4.73094,-0.902614,64928.0,7104.0,5296.0,11536.0,11776.0,15056.0,6656.0,5264.0,5392.0,480.0,8736.0,5344.0,3152.0,17968.0,16608.0,14480.0,50832.0,6480.0,608.0,5456.0,7552.0,7104.0,3168.0,36928.0,4448.0,480.0,912.0,36096.0,1376.0,4560.0,3472.0,5936.0
2.12402,8.55927,4.458,-0.852335,64912.0,7088.0,5088.0,11360.0,12000.0,15136.0,6544.0,5808.0,5392.0,512.0,8864.0,5920.0,3104.0,18288.0,16800.0,14768.0,43536.0,6592.0,1120.0,5680.0,6992.0,7120.0,3248.0,36608.0,4496.0,448.0,784.0,37248.0,1344.0,4560.0,3488.0,5216.0
2.22314,8.80587,4.09887,-0.639252,64576.0,6592.0,5152.0,11184.0,11728.0,15088.0,6368.0,6176.0,5280.0,448.0,9728.0,6208.0,3072.0,18768.0,16960.0,12944.0,46784.0,6448.0,592.0,5520.0,7616.0,7088.0,3200.0,36736.0,4496.0,448.0,928.0,36704.0,1328.0,4544.0,3424.0,6160.0
2.32422,8.80827,4.14915,-0.754173,64608.0,6384.0,5120.0,11008.0,11984.0,15072.0,6352.0,6112.0,5376.0,320.0,9888.0,6048.0,3120.0,19152.0,17088.0,14752.0,55120.0,6416.0,672.0,5664.0,7456.0,7136.0,3232.0,36928.0,4480.0,448.0,912.0,37008.0,1344.0,4544.0,3520.0,5696.0
2.44385,8.90643,4.64475,-1.01993,64528.0,6432.0,5200.0,10688.0,11552.0,14240.0,6448.0,6848.0,5344.0,480.0,11216.0,7472.0,3664.0,19664.0,17456.0,14896.0,56336.0,6400.0,640.0,5088.0,6992.0,7072.0,3248.0,36784.0,4448.0,848.0,1600.0,36864.0,1360.0,4496.0,3552.0,5984.0
2.54395,8.89445,4.4604,-0.905008,64720.0,6464.0,5152.0,10896.0,11664.0,14720.0,6464.0,6720.0,5408.0,512.0,11296.0,6800.0,3120.0,19792.0,17536.0,14992.0,57792.0,6416.0,704.0,5552.0,6912.0,7056.0,3232.0,37040.0,4432.0,448.0,1024.0,36624.0,1328.0,4528.0,3488.0,5904.0
2.64307,9.0812,4.37181,-0.864306,64640.0,6400.0,5328.0,10512.0,11280.0,14672.0,6448.0,6912.0,5344.0,480.0,11808.0,6960.0,3088.0,19904.0,17648.0,14464.0,54848.0,6464.0,608.0,5312.0,7584.0,7072.0,3232.0,36400.0,4448.0,464.0,928.0,36400.0,1360.0,4512.0,3504.0,5856.0
2.74414,9.54329,4.20661,-0.816422,64640.0,6272.0,5216.0,10800.0,11680.0,15280.0,6416.0,6560.0,5296.0,544.0,11200.0,6608.0,3120.0,19920.0,17696.0,15232.0,57776.0,6448.0,672.0,5040.0,7008.0,7168.0,3200.0,37040.0,4416.0,464.0,864.0,36704.0,1360.0,4480.0,3584.0,6096.0
2.84326,9.41639,3.9648,-0.895431,64640.0,5920.0,5280.0,10048.0,10896.0,14656.0,6416.0,7040.0,5536.0,512.0,11664.0,6944.0,3104.0,20144.0,17712.0,14224.0,51584.0,6480.0,592.0,5088.0,7008.0,7136.0,3216.0,36176.0,4448.0,512.0,880.0,36736.0,1376.0,4496.0,3600.0,6016.0
2.94385,9.73003,3.86903,-0.979228,64528.0,6032.0,5312.0,9888.0,10896.0,14208.0,6608.0,7072.0,5520.0,512.0,11824.0,7056.0,3088.0,20256.0,17760.0,15520.0,48256.0,6496.0,592.0,5040.0,6976.0,7072.0,3216.0,36496.0,4448.0,464.0,880.0,36512.0,1360.0,4576.0,3616.0,5888.0
3.04395,9.84735,-2.28646,0.162806,63968.0,5760.0,5312.0,9984.0,9792.0,14224.0,6624.0,7008.0,5264.0,512.0,11680.0,6896.0,3024.0,20672.0,17968.0,15280.0,42832.0,6528.0,672.0,5088.0,7120.0,7072.0,3184.0,37040.0,4480.0,512.0,832.0,36384.0,1360.0,3760.0,2192.0,5504.0
3.16406,10.2065,2.94247,-3.46441,64432.0,5888.0,5456.0,7216.0,7856.0,8704.0,5984.0,8448.0,4960.0,480.0,14496.0,8608.0,3120.0,17488.0,16688.0,14624.0,42752.0,6448.0,1072.0,5600.0,7088.0,7232.0,3248.0,37072.0,4496.0,480.0,912.0,37056.0,800.0,3504.0,3168.0,5664.0
3.2832,10.094,0.739808,-0.361524,64176.0,6288.0,5056.0,9280.0,8880.0,14832.0,6528.0,7696.0,4928.0,512.0,11984.0,8400.0,3280.0,21312.0,18576.0,14784.0,43168.0,6528.0,608.0,4960.0,7072.0,7168.0,3216.0,36368.0,4512.0,480.0,960.0,36224.0,1312.0,4656.0,2656.0,4928.0
3.4043,10.1562,2.87543,-2.18112,64320.0,6016.0,5120.0,8704.0,8400.0,12464.0,6432.0,8224.0,5168.0,480.0,11952.0,7824.0,3344.0,21168.0,18432.0,16160.0,45456.0,6560.0,624.0,4944.0,7104.0,7200.0,3200.0,37072.0,4496.0,432.0,960.0,37152.0,1312.0,4752.0,3136.0,5712.0
3.50391,9.98382,1.57778,-0.617704,64592.0,5904.0,5216.0,9088.0,8672.0,13920.0,6368.0,7712.0,5536.0,512.0,12320.0,7744.0,3344.0,20992.0,18432.0,14880.0,44000.0,6592.0,688.0,4960.0,7104.0,7200.0,3232.0,36944.0,4496.0,480.0,992.0,37152.0,1344.0,4496.0,3120.0,5552.0
3.62402,9.91439,2.36786,-1.06781,64560.0,5904.0,5104.0,8976.0,9520.0,14240.0,6400.0,6896.0,5312.0,512.0,11216.0,6912.0,3376.0,21088.0,18528.0,16272.0,47104.0,6576.0,640.0,4912.0,7088.0,7200.0,3264.0,37168.0,4512.0,480.0,992.0,37248.0,1296.0,4560.0,3232.0,5792.0
3.74414,9.88565,2.62883,-0.864306,64608.0,5808.0,5088.0,8816.0,8880.0,14128.0,6240.0,7072.0,5264.0,464.0,11472.0,7040.0,3376.0,21104.0,18592.0,14624.0,42832.0,6624.0,640.0,5024.0,7088.0,7200.0,3264.0,37120.0,4512.0,480.0,1056.0,37312.0,1344.0,4512.0,3376.0,5936.0
3.86426,9.81622,2.53067,-0.708683,64576.0,5872.0,5088.0,9312.0,8976.0,14336.0,6416.0,6928.0,5264.0,528.0,11568.0,6944.0,3360.0,21168.0,18576.0,15008.0,40896.0,6784.0,1200.0,4944.0,7136.0,7232.0,3264.0,37504.0,4496.0,480.0,1040.0,37456.0,1344.0,4784.0,3984.0,6352.0
3.98389,9.90242,2.40138,-0.454898,64576.0,5648.0,5088.0,8832.0,8992.0,14432.0,6176.0,6400.0,5280.0,480.0,11008.0,6368.0,3360.0,20272.0,18352.0,15776.0,46144.0,6624.0,1200.0,4672.0,7104.0,7248.0,3264.0,37424.0,4480.0,480.0,1024.0,37456.0,1296.0,4464.0,3632.0,6064.0
4.104,9.86411,2.25294,-0.572214,64480.0,5520.0,5168.0,9584.0,9072.0,14528.0,6144.0,6048.0,5216.0,512.0,10800.0,6080.0,3392.0,20016.0,18160.0,15584.0,46224.0,6800.0,1248.0,4992.0,7120.0,7216.0,3264.0,37296.0,4432.0,464.0,976.0,37248.0,1344.0,4352.0,2944.0,5568.0
