time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.14502,9.31823,-2.10211,0.248997,7104.0,7104.0,5408.0,4816.0,3760.0,4736.0,5456.0,3568.0,4752.0,464.0,4320.0,3536.0,2240.0,8720.0,8496.0,8608.0,62032.0,5680.0,464.0,9056.0,15568.0,7744.0,3264.0,33712.0,4416.0,480.0,1536.0,33296.0,1872.0,5728.0,3072.0,5744.0
0.265137,19.0052,-4.71418,1.54905,4528.0,6784.0,5552.0,5088.0,4048.0,5008.0,5680.0,3760.0,5024.0,656.0,4544.0,3808.0,2496.0,8736.0,8368.0,8864.0,47392.0,5568.0,656.0,7472.0,11328.0,8256.0,2880.0,34208.0,4560.0,640.0,592.0,34448.0,1856.0,5440.0,3984.0,6448.0
0.385254,6.87136,-5.28879,0.421379,4560.0,7024.0,5904.0,5168.0,4048.0,4880.0,5712.0,3584.0,4768.0,528.0,4384.0,3584.0,2272.0,8528.0,8176.0,8784.0,50992.0,5776.0,800.0,6304.0,7120.0,7904.0,2864.0,33584.0,4288.0,464.0,864.0,33504.0,1504.0,5952.0,3728.0,6256.0
0.504883,5.87058,-2.77248,-0.289698,3648.0,7104.0,5776.0,5200.0,3744.0,4768.0,5456.0,3552.0,4768.0,480.0,4320.0,3600.0,2320.0,8624.0,8176.0,8272.0,51248.0,5952.0,800.0,6656.0,6832.0,8048.0,2832.0,33584.0,4368.0,480.0,1104.0,33616.0,1408.0,5472.0,4256.0,6560.0
0.634277,-0.876277,2.18351,3.93367,4336.0,6880.0,5936.0,5168.0,3888.0,4816.0,5456.0,3584.0,4848.0,448.0,4368.0,3584.0,2304.0,8608.0,8176.0,8720.0,50752.0,5936.0,848.0,6704.0,6560.0,7232.0,2704.0,33568.0,4416.0,480.0,1056.0,33632.0,1344.0,6128.0,4656.0,6800.0
0.745117,-6.91924,0.146046,-0.0766144,4768.0,7456.0,6064.0,5536.0,4528.0,5184.0,6144.0,3264.0,5328.0,544.0,4192.0,3456.0,3168.0,8960.0,8976.0,8528.0,58384.0,6736.0,1088.0,7184.0,7328.0,7744.0,2640.0,33552.0,6224.0,1536.0,2048.0,33952.0,1504.0,6672.0,4240.0,6464.0
0.865234,-1.33836,-9.27753,1.8986,4304.0,7856.0,5920.0,5536.0,3488.0,4512.0,5568.0,3648.0,4816.0,416.0,4176.0,3680.0,2240.0,8496.0,8176.0,8144.0,58896.0,6592.0,1200.0,7248.0,6816.0,7808.0,2736.0,33664.0,4528.0,464.0,1152.0,33632.0,1440.0,6784.0,4048.0,6288.0
0.984863,-0.294487,-9.62229,0.229843,4144.0,6608.0,5984.0,5392.0,4320.0,4496.0,5536.0,3920.0,4800.0,464.0,4192.0,3920.0,2256.0,8480.0,8176.0,8864.0,56224.0,6976.0,1120.0,7328.0,7120.0,7728.0,2800.0,33600.0,4608.0,448.0,1200.0,33520.0,1424.0,6688.0,3600.0,6448.0
1.104,-1.12767,-9.82341,1.62087,4064.0,7296.0,5936.0,4816.0,3776.0,4528.0,5568.0,3888.0,4784.0,448.0,4160.0,3904.0,2288.0,8208.0,8192.0,8864.0,55792.0,6880.0,496.0,6800.0,6736.0,7648.0,2800.0,33360.0,4512.0,464.0,1184.0,33392.0,1472.0,6608.0,4320.0,6000.0
1.22412,-1.32639,-10.5465,-0.179565,4032.0,6800.0,6032.0,5408.0,4368.0,4512.0,5536.0,3920.0,4800.0,448.0,4128.0,3936.0,2304.0,8720.0,8192.0,7440.0,50240.0,7136.0,1104.0,6784.0,6720.0,7632.0,3088.0,33264.0,4512.0,464.0,1184.0,33344.0,1424.0,6240.0,3728.0,6304.0
