time_step,x,y,z,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_1_12,s_1_13,s_1_14,s_1_15,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_2_12,s_2_13,s_2_14,s_2_15
0.148926,9.94072,-1.82199,-0.871489,58816.0,4432.0,5712.0,5376.0,3744.0,5536.0,7168.0,4256.0,5728.0,688.0,3536.0,4096.0,2896.0,8304.0,8112.0,8704.0,54816.0,4496.0,640.0,7376.0,22000.0,6672.0,1936.0,31904.0,3424.0,656.0,768.0,32336.0,1456.0,6832.0,4448.0,6656.0
0.269043,14.6357,2.80361,-3.07655,32256.0,4832.0,5712.0,5792.0,3584.0,5296.0,7072.0,3616.0,5920.0,576.0,3856.0,3632.0,2944.0,8288.0,8064.0,8176.0,40288.0,5728.0,528.0,5200.0,9136.0,6624.0,2592.0,32896.0,3872.0,528.0,816.0,32512.0,1408.0,7088.0,4112.0,6432.0
0.390137,8.82742,-3.60806,1.2785,52944.0,4320.0,5520.0,5392.0,3632.0,5344.0,6992.0,5504.0,5696.0,528.0,6544.0,5792.0,2592.0,12224.0,9680.0,9392.0,47184.0,7040.0,672.0,7344.0,21600.0,8736.0,2592.0,32784.0,3584.0,544.0,896.0,32272.0,1376.0,6944.0,3296.0,5968.0
0.508057,10.8625,1.43413,-1.02711,61888.0,4416.0,5984.0,5264.0,3648.0,5504.0,6992.0,3856.0,5696.0,512.0,5040.0,3856.0,2896.0,8384.0,8240.0,8672.0,52096.0,7888.0,1808.0,10864.0,19456.0,10688.0,2688.0,32400.0,3744.0,512.0,832.0,29984.0,1440.0,6912.0,3360.0,6144.0
0.636963,9.63905,-1.08936,1.2378,8864.0,4992.0,5120.0,7552.0,3840.0,5328.0,7168.0,3952.0,5632.0,592.0,4048.0,3744.0,2704.0,8656.0,8496.0,8656.0,55232.0,5600.0,848.0,5952.0,22432.0,14496.0,2272.0,32976.0,3360.0,576.0,1120.0,32960.0,1472.0,6736.0,3888.0,6480.0
0.749023,11.0612,-1.33836,-0.629675,4128.0,1200.0,3584.0,5024.0,3120.0,5936.0,7104.0,4144.0,4960.0,640.0,3600.0,4176.0,2800.0,8432.0,8480.0,8896.0,56736.0,5920.0,672.0,6912.0,8928.0,8160.0,2464.0,33152.0,3616.0,928.0,720.0,33200.0,1792.0,5872.0,8608.0,8496.0
0.869141,10.2017,-3.44526,0.995988,3584.0,848.0,3808.0,5120.0,3264.0,5968.0,7168.0,3680.0,5328.0,688.0,3760.0,4032.0,2400.0,8288.0,8384.0,8784.0,58240.0,6080.0,704.0,6640.0,6560.0,7408.0,2624.0,33360.0,3520.0,432.0,1072.0,33056.0,1488.0,5984.0,11856.0,10688.0
0.989014,9.88087,-2.18591,0.47884,4272.0,2832.0,3408.0,5712.0,3232.0,5920.0,7312.0,4544.0,5216.0,496.0,3808.0,4256.0,2608.0,8336.0,8352.0,8672.0,57728.0,5184.0,1024.0,6864.0,6432.0,7856.0,2480.0,32368.0,3552.0,512.0,768.0,32672.0,1568.0,7088.0,13200.0,12512.0
1.10815,9.56962,-2.41814,1.12767,4384.0,2848.0,5072.0,5776.0,3552.0,6208.0,7472.0,4640.0,5360.0,480.0,3344.0,4272.0,2576.0,8368.0,8320.0,8640.0,56800.0,5568.0,896.0,6784.0,6320.0,7680.0,2752.0,32992.0,3552.0,480.0,912.0,33008.0,1616.0,7136.0,13136.0,11296.0
1.22803,9.93114,-2.62165,0.301669,3952.0,2960.0,4944.0,5040.0,3280.0,6000.0,7104.0,4240.0,4848.0,464.0,3776.0,4224.0,2592.0,8320.0,8384.0,8800.0,54288.0,5120.0,608.0,6144.0,5936.0,7232.0,2512.0,30496.0,3600.0,480.0,848.0,30480.0,1408.0,5936.0,13696.0,12720.0
1.34814,9.79707,-1.31442,0.768538,4576.0,3136.0,5216.0,5984.0,3600.0,6080.0,7584.0,4448.0,4912.0,464.0,4160.0,4016.0,2624.0,8208.0,8384.0,8496.0,54368.0,5600.0,864.0,5952.0,6144.0,7648.0,2368.0,30400.0,3552.0,448.0,848.0,30416.0,1616.0,7328.0,12864.0,12224.0
1.46802,9.84735,-2.04465,0.670376,3680.0,3392.0,5296.0,5824.0,3680.0,6064.0,7120.0,4000.0,4992.0,464.0,4096.0,3984.0,2592.0,8384.0,8416.0,8576.0,53840.0,5200.0,1056.0,5328.0,5648.0,7440.0,2576.0,29904.0,3600.0,448.0,848.0,30528.0,1552.0,6160.0,11792.0,11504.0
1.58813,9.80425,-3.19386,0.270545,4448.0,3472.0,4960.0,5584.0,3760.0,5840.0,7040.0,3856.0,4848.0,480.0,4240.0,3808.0,2592.0,8832.0,8448.0,8848.0,57680.0,5152.0,608.0,5280.0,5152.0,7456.0,2656.0,30368.0,3584.0,464.0,864.0,30656.0,1552.0,7600.0,12016.0,10688.0
1.70898,9.50019,-3.22978,0.519542,3936.0,4016.0,4880.0,5792.0,3888.0,6240.0,7376.0,4304.0,4800.0,512.0,4208.0,3920.0,2624.0,8288.0,8416.0,9232.0,55232.0,6512.0,848.0,5728.0,4736.0,12752.0,2496.0,30176.0,3600.0,464.0,1024.0,30080.0,1536.0,6576.0,7888.0,7808.0
1.82813,9.67496,-3.41892,0.526724,3968.0,3776.0,4992.0,5856.0,3472.0,6112.0,7424.0,4432.0,4768.0,528.0,4128.0,4048.0,2640.0,8272.0,8416.0,9136.0,51504.0,6928.0,784.0,6096.0,8112.0,15120.0,2320.0,30288.0,3616.0,480.0,896.0,30288.0,1568.0,6480.0,8176.0,8848.0
1.948,9.88565,-2.64799,0.52433,4368.0,3808.0,4864.0,5632.0,3904.0,5776.0,6960.0,4144.0,4928.0,512.0,4016.0,4144.0,2704.0,8320.0,8448.0,8656.0,51888.0,7008.0,1168.0,6320.0,8848.0,15536.0,2576.0,33120.0,3552.0,480.0,928.0,33168.0,1568.0,6672.0,7472.0,8592.0
2.06812,9.96945,-3.3447,1.01514,4320.0,4128.0,4896.0,5344.0,3760.0,6176.0,7008.0,4160.0,5056.0,464.0,4032.0,4128.0,2912.0,8240.0,8416.0,9008.0,51888.0,7232.0,896.0,6480.0,13728.0,15488.0,2336.0,33088.0,3632.0,480.0,1104.0,32960.0,1440.0,5376.0,8096.0,7824.0
2.18799,10.082,-3.2202,0.52433,3760.0,4304.0,5392.0,5696.0,4256.0,6208.0,7344.0,4192.0,5008.0,480.0,3792.0,4224.0,2992.0,8256.0,8448.0,8752.0,58656.0,7056.0,736.0,6960.0,14304.0,15552.0,2528.0,32608.0,3536.0,464.0,928.0,32672.0,1440.0,5584.0,7312.0,8512.0
2.30811,9.28232,-2.98557,0.0861912,4176.0,3552.0,5216.0,5664.0,4624.0,6272.0,7296.0,4272.0,4976.0,480.0,4096.0,4288.0,2960.0,8256.0,8448.0,8896.0,56432.0,6912.0,896.0,8096.0,15680.0,15584.0,2448.0,32944.0,3552.0,432.0,896.0,32832.0,1424.0,5456.0,7248.0,8480.0
2.42798,9.95269,-3.21781,0.825999,4400.0,4176.0,5584.0,5792.0,4768.0,6160.0,7008.0,4224.0,4976.0,448.0,4064.0,4256.0,2944.0,8368.0,8432.0,8464.0,43568.0,7392.0,1104.0,7952.0,15904.0,15744.0,2544.0,32640.0,3584.0,496.0,1152.0,31296.0,1408.0,5440.0,7216.0,8576.0
2.54712,9.92396,-3.33991,0.687136,4496.0,3936.0,5568.0,5776.0,4768.0,6064.0,7056.0,4176.0,4960.0,464.0,3984.0,4192.0,2896.0,8272.0,8448.0,8496.0,55712.0,7408.0,896.0,8336.0,16592.0,15744.0,2464.0,32656.0,3568.0,480.0,1216.0,32768.0,1408.0,5360.0,7216.0,8224.0
2.66797,9.68215,-3.68707,0.208295,4192.0,3760.0,5680.0,5808.0,4736.0,5408.0,7008.0,4144.0,5040.0,448.0,4032.0,4192.0,2912.0,8384.0,8448.0,9008.0,51200.0,7488.0,1600.0,9648.0,16896.0,15536.0,2336.0,30064.0,3600.0,464.0,1248.0,30032.0,1424.0,5392.0,6592.0,8176.0
2.78809,9.83777,-3.68228,0.610521,3920.0,4048.0,5440.0,5664.0,4656.0,5456.0,7040.0,4096.0,5008.0,448.0,4048.0,4096.0,2736.0,8416.0,8480.0,8880.0,62288.0,7920.0,2768.0,9888.0,17024.0,15840.0,2816.0,32816.0,3568.0,480.0,1184.0,32864.0,1376.0,5568.0,6512.0,8176.0
2.90698,9.77792,-3.83312,0.797269,4272.0,4240.0,5776.0,5760.0,4752.0,5344.0,7008.0,4016.0,4960.0,448.0,3984.0,3984.0,2480.0,8400.0,8464.0,8176.0,62160.0,8096.0,2960.0,10128.0,17232.0,15904.0,2768.0,32704.0,3552.0,448.0,1248.0,32720.0,1424.0,5680.0,6576.0,8176.0
