x,y,z,s1,s2,s3,s4,s5,s6
-0.0390367,-0.0690138,-0.0255804,25.92,43.2,28.8,182.88,468.0,40.32
-0.00932619,-0.000399694,-0.0723445,-1.9584,5.45759,3.85919,68.9615,63.6048,4.49279
-0.152017,-0.0263798,-0.360124,2.04105,-1.01491,4.68345,40.3711,-234.61,-1.74989
-0.172934,-0.226893,0.20491,1.27018,1.44587,0.573413,-27.0164,-282.505,1.89732
-0.51747,-0.439663,0.620058,0.646686,-0.254246,-1.01156,45.9101,-194.431,1.17762
-0.33934,0.279119,0.0768744,1.75907,0.091187,-4.93199,-23.3151,-151.95,-2.81345
0.433801,0.153882,-0.540386,-1.58587,1.5041,2.03685,-57.3938,-57.8846,3.24106
-0.0680811,-0.106718,-0.314825,0.140223,1.47316,-0.876328,85.9349,90.2863,0.866302
-0.0635513,-0.167738,0.101256,-2.72873,0.788102,0.539513,-7.4298,32.1668,1.49711
-0.101789,0.0877993,0.158545,1.82395,0.392135,3.23156,12.565,-3.44012,-1.44507
0.00226493,0.114712,-0.131766,3.22303,-2.68732,1.85051,-30.0694,-98.8138,1.67344
0.0619525,-0.142024,-0.205043,-0.486284,-0.740741,0.930781,3.26,56.5997,1.10632
0.0422343,-0.0591547,-0.0961929,-2.46897,1.12888,-1.81695,29.1224,115.665,-2.61454
-0.0586217,0.0690138,0.0586217,5.78943,1.29222,0.949914,-0.849541,27.5387,1.54519
-0.00506279,0.0289112,-0.0650168,-1.08364,-1.2731,-4.82651,-26.5594,-75.9027,0.176302
0.0363721,-0.102854,-0.0692802,2.29857,1.47981,0.571527,1.25058,-48.6653,-2.84589
0.0249142,-0.040369,-0.102055,0.776161,-1.96557,0.544339,-2.20739,-28.8817,-1.96079
0.00866003,0.0275789,-0.0810046,4.136,-2.64528,-0.31429,6.84378,56.7611,-1.61655
0.0125237,-0.00586217,-0.0766079,-1.35055,-1.21719,0.398507,-9.12366,18.5855,-0.015922
0.0291776,-0.0722113,-0.0652833,-2.40571,0.245897,-0.0574111,6.99207,-5.14436,-2.28515
0.021317,-0.0326416,-0.0686141,-1.03335,1.3339,-0.353274,-6.15505,205.745,-3.67188
0.0422343,0.0137228,-0.118576,-1.93325,0.762815,1.23764,-2.36628,156.15,-0.056114
0.0289112,-0.00399694,-0.142424,0.897083,0.383614,1.03581,13.0686,38.6966,4.14698
0.0163874,-0.0194518,-0.115778,1.21037,-1.55356,3.49819,14.1929,155.9,0.967722
0.00839357,-0.0171868,-0.0992572,-0.475151,2.26443,-0.291926,18.5564,200.416,-1.8968
0.0435666,0.0222496,-0.0682144,0.506239,-0.360528,2.25401,51.9544,149.917,-1.74762
0.044366,0.00599541,-0.0836692,0.616971,-0.611363,-2.395,48.8272,101.945,-1.83717
0.026513,-0.0433002,-0.0646171,-1.10449,-0.0362917,-2.39571,31.9326,13.6225,1.2867
0.0042634,-0.0667488,-0.0520934,-1.27261,0.610713,0.156115,6.04284,-15.8619,3.70731
-0.00452986,-0.0149219,-0.0763414,-2.1294,-2.82659,2.77379,0.714241,9.23624,-0.71451
0.00119908,0.0250475,-0.0371715,2.53626,-0.226352,1.60192,10.8469,-7.58034,0.559695
0.0101256,0.0142557,-0.0602205,3.60974,1.43337,-3.21082,-17.9179,-66.7814,-3.66147
0.0127902,-0.026513,-0.0550245,-4.6134,-2.03866,1.78228,-9.0563,-50.0054,2.40206
-0.0042634,-0.0383706,-0.0245145,0.577847,1.02956,1.17532,-0.833696,-38.2404,0.719461
0.0042634,-0.0223828,-0.040902,-2.6438,0.154249,-2.57931,-11.6042,48.1665,0.0809591
0.0129234,-0.0174533,-0.0202511,-1.02609,-3.13833,1.02976,-10.3224,19.7446,0.0152276
0.0125237,-0.0118576,-0.0315758,-0.780941,1.58576,-4.74659,10.0479,1.46528,0.00526392
0.00612864,0.000666156,-0.0353063,-0.105294,2.19574,0.311968,13.699,-13.5855,1.67278
0.0111914,-0.0271792,-0.0275789,-2.60423,0.368402,1.29747,-6.68167,-24.6052,-1.00283
0.0139893,-0.00226493,-0.0423675,0.769388,-3.59836,-0.398821,12.2677,-14.4206,-4.9754
0.0115911,-0.0149219,-0.0386371,4.27629,-0.663303,-7.56054,7.25151,-48.1317,2.84649
-0.0021317,-0.0173201,-0.0267795,-1.26888,-3.10602,2.76047,15.7753,-87.4724,-6.46722
0.00106585,0.00519602,-0.0303767,-0.622133,4.82296,2.84169,-15.0597,-62.1474,2.11388
0.00506279,-0.00732772,-0.0291776,2.57512,3.84149,-1.88635,8.39687,-124.881,-2.50635
-0.00559571,-0.00492955,-0.0206508,3.2634,0.877774,-1.21941,-0.83048,-22.3141,0.728294
0.0115911,-0.00466309,-0.00466309,-0.193591,-1.9355,-0.624066,-4.19279,-68.4621,1.13774
