x,y,z,s1,s2,s3,s4,s5,s6
7.77397,-1.97043,0.0502782,53.28,46.08,48.96,83.52,43.2,44.64
9.72524,-2.23618,-4.18267,-7.24319,5.61599,-4.608,91.224,6.0336,7.3008
9.77552,-2.0231,1.18752,-4.04511,-1.35245,-14.0766,0.597893,22.0568,2.87064
9.36851,1.22344,1.90339,-13.6187,-10.2769,-10.3804,8.9238,2.44684,1.8758
10.6446,1.67355,0.964863,-12.7893,-10.4513,-7.97746,-6.86017,-7.96313,1.26377
10.6135,0.804451,-0.277727,-4.23959,-4.47097,1.28845,22.2964,-6.77132,-1.39453
10.4076,0.969651,0.502782,-2.80215,-0.0874593,-2.31369,-83.0872,-1.60339,-4.34938
10.3741,2.17633,1.07021,0.0017122,0.751242,-0.261163,4.58137,11.4934,2.39168
10.2975,1.37427,0.512359,-0.710631,-1.00042,-0.35184,34.4301,-5.38789,0.138973
10.6135,0.737414,0.751779,-1.24744,-2.88857,-2.77015,23.0362,5.84337,0.882333
10.5393,0.687136,1.2402,0.747826,0.643943,1.59123,-15.2293,6.57874,1.64321
10.6877,0.52433,1.05824,-0.648857,0.500874,-0.0925242,-6.27773,7.87799,-0.223441
10.6446,0.730231,1.04627,-0.409306,-2.31549,1.61857,3.09293,2.83912,-1.33967
10.7691,1.00556,1.36469,-0.511189,0.305333,-4.21235,2.53155,12.5889,1.81046
10.9822,1.31202,1.38864,0.85916,2.324,0.59585,7.53828,2.09315,1.71393
10.7978,1.18513,1.21865,4.84086,0.499255,2.27376,8.88296,1.26363,-2.26816
10.9104,0.981623,1.24259,-2.08299,0.187078,0.1549,-11.3227,-2.84419,-1.69352
10.7715,0.943315,1.03669,-2.02642,4.70889,1.73198,33.5915,-12.9949,0.255389
10.3621,1.18513,1.13964,2.09894,-0.992296,-0.744687,40.8192,-3.39404,0.222808
10.5225,0.665588,0.955286,0.399552,-0.783195,-1.3435,-8.89583,-3.67068,3.30036
10.4698,0.624887,1.04627,-2.43842,1.63431,-1.95599,9.85947,0.900686,0.233988
10.501,0.385466,1.18034,-2.03671,4.46723,2.94237,-7.07962,-2.19572,-1.14742
10.5512,0.814028,0.921767,-0.23855,-0.893867,-12.348,-11.0498,0.429153,0.461772
10.5441,0.835576,0.665588,1.99626,-0.41305,-6.68677,12.5513,13.0033,0.318422
10.4603,1.55384,0.878672,1.16835,4.11985,-2.72898,6.09666,5.08941,-5.29328
10.4674,0.770933,0.742202,-0.547997,-0.0978741,-1.28792,-47.9646,-7.70159,0.0262551
10.252,0.885855,0.462081,0.235437,-0.540849,-2.59945,15.6444,4.10704,-8.08893
10.2544,1.41258,0.960075,1.29832,-2.88697,-0.918084,69.6098,2.72173,1.52805
10.1897,1.74058,1.13485,-1.53256,2.367,-2.99545,-41.0426,2.30468,3.82061
10.3836,1.22823,1.09894,-4.12853,0.362574,6.64072,75.7975,5.83909,-2.17144
10.3549,1.07739,0.198719,-0.0517716,-1.33409,-1.17147,-23.1459,30.4146,2.28728
10.1754,0.984017,0.936133,0.152048,-0.789757,-0.669909,-33.4137,1.37017,2.63199
9.97424,1.18752,0.217872,-0.211931,-0.168829,1.40551,41.66,-13.665,-2.89433
10.0628,0.969651,0.047884,1.84317,-0.89829,2.28474,-20.9188,4.52748,-0.959582
10.0341,1.54187,0.682347,0.243186,-0.815961,0.427966,-15.7845,-8.37782,3.58868
9.98621,1.24738,0.509965,-2.21544,-3.31364,-2.19974,37.5451,0.0963893,4.47095
10.0748,1.2785,0.586579,-0.158075,0.389268,-2.12992,-6.25574,1.03017,-0.0707035
9.95988,1.16119,0.440533,2.88602,4.69191,-1.74315,1.22473,123.67,0.0642111
10.003,0.936133,0.361524,-0.896741,-2.14866,1.3581,27.0502,56.3039,1.78277
10.0868,0.816422,0.627281,-1.25218,-2.36033,1.16697,-10.5297,72.6345,-3.59122
10.082,0.825999,0.517147,-2.42912,1.00096,-1.12544,33.5527,15.525,-1.02393
9.91439,0.550666,0.418985,2.66393,0.684653,-1.00663,26.1169,-103.581,-3.92031
9.86171,0.335188,0.457292,0.212207,1.79296,2.34579,-24.2903,-62.5041,-3.13582
9.93354,0.351948,0.220267,0.308006,-0.430278,2.00975,-6.42731,-33.4268,0.629303
9.85214,0.545878,0.117316,1.00448,0.506564,-0.910591,-41.5222,-20.7207,2.7785
