x,y,z,s1,s2,s3,s4,s5,s6
8.5066,-0.411803,6.73249,59.04,48.96,53.28,-1444.32,48.96,44.64
9.52413,-11.5784,-3.03106,22.2624,2.93759,-0.892801,-1159.23,7.6896,3.6144
8.10677,-6.83066,-1.01035,31.7357,0.682272,-4.60988,-730.007,-4.89917,-1.31229
3.6751,3.12204,-1.2809,-39.5126,-0.569028,-10.6696,-286.069,4.24977,0.217083
9.03332,7.27358,7.35977,-28.4065,1.61267,-6.58985,-293.236,238.006,1.62378
11.0205,1.01754,-1.075,-13.5956,3.00524,-6.23158,-53.4643,154.517,-1.64537
10.24,4.47476,-2.04704,-8.37516,0.534326,-3.9285,5.00566,73.7236,2.68927
8.19774,3.53623,3.05739,-5.69802,0.177377,0.271481,53.7602,-138.438,2.23713
9.33738,4.54898,0.572214,-0.660299,0.684117,0.935503,-87.6237,-118.307,1.48135
9.63666,4.41491,-0.622492,1.61071,-3.32624,-3.48698,43.417,167.196,1.06291
9.01656,3.82354,2.229,0.732927,-0.59138,-1.2285,-10.6836,-84.0155,-0.586432
9.3709,4.06775,0.703895,3.23406,-2.77391,-2.30116,3.63932,100.123,0.750587
9.13148,3.43089,-0.117316,0.705837,-1.88519,1.29711,-51.9796,133.791,-3.8588
12.8856,-2.76291,2.89219,1.70676,-1.27348,2.2938,39.3009,-59.2246,1.444
9.83777,-2.88262,-7.64708,3.8388,2.45492,-2.7444,90.6931,20.3159,0.17249
10.963,5.58088,0.4956,-7.23757,0.947215,0.279892,-77.4783,16.3534,0.338756
9.19613,1.79805,4.02226,-5.20227,2.18352,-0.854228,50.0342,-182.931,-5.87353
10.1347,3.36385,1.00556,-3.00055,-1.65533,4.9498,-117.05,-25.706,1.73362
10.2999,1.55144,-0.203507,-0.0708978,-1.05639,-0.504246,-31.993,119.316,3.00691
10.2807,1.25217,0.73502,4.1088,2.34029,-0.20835,-0.189231,42.2426,0.832362
9.68215,3.26808,1.08457,-6.77216,1.40395,-0.703404,62.7171,29.2469,2.09258
9.97903,1.87945,1.65679,-7.29145,1.54629,-2.97639,-25.2909,56.1835,-1.40062
10.1227,1.85072,-0.189142,-1.35279,-3.18266,2.32231,1.02627,25.4934,3.11295
10.0532,1.3192,0.323217,-1.90307,-1.91413,0.340608,4.89292,77.1229,3.91209
10.0317,2.77727,0.787692,1.53348,-2.71224,1.53513,-51.4089,-0.960909,0.461325
9.92636,1.93212,0.79248,2.41334,2.83131,4.36016,17.9766,-6.46407,-1.34495
10.07,1.58736,0.213084,-4.12548,2.36657,-1.78681,-27.8136,-62.1995,-0.80042
10.0078,1.90339,0.6608,-3.10401,-0.422648,-1.22863,-14.7791,-73.2162,0.127866
9.89284,1.50835,0.565031,0.124005,3.36569,0.806195,24.0467,-104.71,-1.33055
10.0652,1.18513,0.280121,-0.395988,2.57554,-2.05582,-33.9004,-58.9139,0.662657
9.86171,2.01831,0.732625,0.902461,0.207788,1.34967,36.0709,-204.253,-2.13459
9.97903,1.64242,0.445321,4.55849,2.88694,-1.47373,-52.3054,-126.453,-8.46728
9.90242,1.52511,0.526724,-1.94628,-1.14274,-2.65668,-57.9055,-62.2902,-3.44889
9.81622,1.83875,0.727837,2.68773,0.649889,-1.77829,30.7279,-31.9918,1.78586
10.0221,1.45089,0.869095,0.507112,1.03213,2.80095,24.4654,-9.44342,3.46309
9.92396,1.45089,0.426168,-2.70441,1.47718,0.867779,3.66201,-5.73676,-5.50056
9.8689,1.23062,0.847547,0.684281,-4.94875,3.86458,1.73617,-6.09328,-5.15745
9.97185,1.38145,0.368707,-0.92385,0.174984,-0.907208,-35.2264,-6.1611,-3.65594
9.91678,1.22104,0.754173,26.794,1.45733,0.138597,2.92087,-3.90953,2.9598
10.2472,1.62806,0.385466,14.6597,-5.22486,-3.89721,-3.56361,1.41698,0.135504
9.97424,1.16358,0.696712,14.665,-1.1219,-0.898493,-37.9653,1.29666,1.99287
10.0868,1.4437,0.768538,7.024,-1.86028,-0.651659,-5.54751,-2.19043,-0.29012
9.86411,1.04627,0.785298,-1.19521,2.38331,2.23926,-13.0921,-3.07003,0.88144
9.991,1.09415,0.703895,2.71223,-0.50844,-1.25009,21.768,-2.28881,0.221634
10.0868,0.739808,0.916979,1.62581,1.03999,-2.8686,19.2652,1.08307,-0.140734
10.0365,1.04866,0.610521,0.823362,-1.11678,5.28893,27.9546,-2.15088,3.9262
10.1059,0.955286,0.617704,1.54344,-2.73839,-0.52111,-5.11268,1.58473,-1.4318
10.003,0.85473,0.620098,-4.06591,-1.30862,1.20692,-45.9581,-0.958806,-2.97639
10.0676,1.00317,0.577003,2.64252,2.24176,-0.947411,0.281697,1.9516,1.21684
9.85214,0.497994,0.639252,6.17594,-2.96206,1.97488,23.315,-0.870588,0.837031
10.1418,0.766144,0.423774,-1.45927,-1.51445,0.352004,-46.149,3.1962,6.4942
10.0485,0.847547,0.656011,4.33885,0.922629,1.85948,-6.62659,-1.21822,0.316937
9.88805,0.591368,0.507571,-23.0367,3.78433,-4.39463,-28.4339,-3.19472,-2.98257
10.1155,0.61531,0.780509,-14.3878,1.31901,-2.40049,38.391,-0.661613,3.71372
10.0868,0.651223,0.83797,-8.46663,-2.28186,3.65431,32.2327,3.47236,3.4951
9.94791,0.694318,0.921767,0.0438652,0.591153,0.857372,13.5171,-1.36966,-5.03422
9.92157,0.732625,0.586579,1.30602,1.8835,-0.196683,7.32567,5.11487,0.338824
