x,y,z,s1,s2,s3,s4,s5,s6
12.0141,1.46046,0.991199,61.92,27.36,31.68,-30.24,105.12,77.7599
9.27992,-2.56898,-0.677559,3.48481,-13.68,-11.0592,-134.784,-80.2512,2.95198
9.87847,2.07817,-1.10373,-27.6087,-8.53617,-7.50903,-93.9339,97.9737,-0.579454
9.41879,3.33512,1.66158,-13.5891,-7.53009,-4.47232,-60.0433,-41.3433,-1.90625
11.2599,2.78446,-0.622492,-4.61934,-2.01821,2.0572,12.4309,41.065,1.49752
9.65342,3.43328,1.16119,-5.19034,-1.14089,-3.7648,-73.8061,122.855,0.419817
8.93037,3.65834,2.21703,-3.41148,1.47209,-1.1367,107.283,175.17,-1.56494
9.18176,4.12521,0.55306,2.57024,-0.233473,0.111538,25.1155,33.9726,2.25622
9.57441,3.90734,0.251391,-4.04682,0.102061,-0.187573,-12.3689,55.784,1.98242
9.40203,3.01909,1.8986,-1.0205,1.50949,-0.113709,9.40168,99.6166,-1.22492
9.73003,2.9712,0.282516,2.76898,-3.1466,1.38231,6.83361,-46.2457,3.21974
10.1323,2.95205,0.047884,3.9262,2.126,-0.633244,31.0385,89.0819,0.783857
10.8505,-0.531512,1.09654,1.31989,-0.0681466,-1.86823,163.962,-297.898,-1.96255
10.5919,-0.52433,-0.471658,5.81959,-1.57328,5.84194,-55.0373,-89.258,1.40475
10.1035,3.03345,-1.05345,-7.06524,-0.074295,-0.777282,-92.5476,26.5564,-1.6763
9.95509,2.66714,2.40138,-3.28888,-1.41371,2.47394,-15.0489,92.491,0.708193
9.92875,1.93691,1.27372,-2.73358,2.36572,0.633965,33.9882,31.6368,-2.39534
10.0628,1.21147,-1.14203,-0.00042814,-1.44554,0.258597,108.073,-217.296,0.854695
10.2304,0.701501,0.47884,0.422698,0.49727,1.02923,-126.737,-33.8988,2.04134
9.49061,2.29364,0.871489,-3.23961,2.39696,-1.15685,-13.1133,76.9982,-0.826518
10.1394,1.18992,0.794875,4.39518,-1.51169,1.32844,95.3418,7.63392,-0.266991
10.1442,1.56341,-0.52433,3.59927,0.457509,2.26151,-65.7747,42.0,1.01918
9.94312,1.80762,0.440533,1.89375,-1.41038,-0.561306,-27.3779,16.1897,1.8125
9.95269,1.72622,1.1133,1.24205,0.299404,-0.65569,31.5895,88.4082,1.30871
10.0892,1.78607,0.0933738,2.68167,-0.599344,-0.888349,47.4796,-5.23717,1.58632
9.991,1.44131,0.555454,-2.8194,0.77678,2.09127,-54.1205,3.38852,3.74234
9.95509,1.94888,0.663194,-2.35832,1.08176,-2.76549,-53.0101,22.0538,3.6126
10.161,1.52511,0.366313,1.63651,2.03316,-0.861011,58.1704,-54.131,-0.344922
10.0461,1.7334,0.258574,2.49318,-0.308471,-0.0750282,-9.24023,-8.99736,1.15263
9.97424,1.78129,0.782904,0.236275,-2.84617,-1.44555,-10.5742,-14.0633,1.28854
9.98861,1.52032,0.423774,-2.24812,0.940426,9.69768e-05,18.452,-228.08,2.13651
9.98382,1.5275,0.474052,-3.35912,-1.90663,-0.540995,5.94128,-151.567,-6.32004
9.97424,1.70228,0.512359,-1.61875,1.43028,-0.385783,-0.708608,-74.4377,-7.84944
