time_step,x,y,z,s1,s2,s3,s4,s5,s6
0,11.7867,4.50589,0.694318,44.64,46.08,24.48,345.6,48.96,43.2
0,8.89925,-0.0646434,1.09415,-0.316803,3.1392,-11.0448,195.149,3.6432,6.2064
0,8.7101,1.32399,-3.23696,-44.0564,-4.53139,-2.63275,-159.93,-1.18367,-1.18541
0,8.14268,2.08056,1.51313,-26.3739,0.646157,-4.75513,-89.8453,3.4728,1.31396
0,8.73165,0.761356,0.550666,-10.474,-0.865404,-1.50427,118.642,3.20402,-4.34082
0,9.72046,2.76291,-1.68312,-6.04942,0.304777,3.35483,21.2224,2.00758,2.57957
0,9.53371,3.08134,0.512359,-5.32196,0.214931,2.08414,21.6209,-2.9945,-0.587617
0,9.05487,3.50032,1.94649,-0.242352,-0.191181,-0.0767539,217.38,-3.26534,-1.05938
0,9.1243,4.42927,1.28808,2.13893,-2.09316,-1.87882,-110.154,0.815763,0.246681
0,9.25119,3.86424,-0.76375,-0.188734,-1.2056,-1.38874,-46.0873,-0.218066,1.93219
0,9.37569,4.06296,0.639252,1.2362,1.97066,0.717398,8.26638,-1.30005,2.85219
1,9.5361,2.96163,2.07577,-0.41227,-1.07905,-1.26507,-119.49,2.36599,1.03626
1,9.95509,2.4756,0.0287304,-1.43124,1.26005,-0.232576,37.2801,2.6392,-0.964748
1,10.0796,-0.292093,-1.22583,22.2281,1.08081,-3.26151,-13.1688,-4.33361,3.41234
1,10.3046,0.316035,-0.981623,20.6738,1.4785,2.13618,66.4908,-3.23467,1.18651
1,9.65581,2.98557,-0.390255,-12.6343,-1.76773,-2.02998,-73.7218,-0.245,0.307285
1,9.38048,2.16436,2.75333,-9.37718,-0.255281,-0.134002,25.9635,5.53015,-3.05649
1,10.0317,1.01514,0.265756,-8.06399,-1.81251,3.19421,-3.65003,3.82309,2.53369
1,10.0796,1.2809,-1.5275,23.0964,1.84001,1.02335,39.0164,-2.04409,2.51152
1,10.1347,1.64482,0.902614,-3.84525,2.58713,-3.86732,50.4961,0.388234,-0.0950478
1,9.43315,2.06141,1.18992,-8.9944,-0.553411,-1.75537,-9.12408,0.315317,0.741312
1,10.2113,1.34554,-0.512359,17.46,-0.132673,2.56523,-48.9044,0.165764,-2.14344
1,10.2448,1.3623,0.122104,15.3619,1.08506,-2.14996,14.345,0.989439,3.04411
1,9.91917,2.77488,1.14443,-14.9001,1.54238,-0.222504,-11.656,-1.78063,-1.01988
2,10.058,1.13964,-0.0622492,14.8581,-2.03327,2.84576,-12.6923,-0.543609,-2.46819
2,9.94072,1.78607,0.222661,-10.0644,-2.15452,-2.35724,-7.59629,-0.769565,0.888635
