time_step,x,y,z,s1,s2,s3,s4,s5,s6
0,10.7547,-4.55138,-3.39019,54.72,48.96,44.64,184.32,50.4,43.2
0,18.5455,1.19471,-8.30309,-10.512,6.9552,-1.6992,247.666,8.36641,4.72319
0,19.6127,-2.91853,-2.86825,-7.0701,-4.18752,-0.909358,-135.13,-0.480528,3.10953
0,8.10677,-4.44843,5.6958,-12.2771,0.0725154,-9.62528,56.1423,-0.64767,-1.81756
0,10.5584,0.531512,1.19949,-10.0633,1.36432,-6.37777,-34.6158,0.178348,-0.0537174
1,11.54,0.902614,-1.23062,-4.15771,2.83291,-4.71463,39.4965,-0.703196,0.0489993
1,10.6494,0.581791,-0.11971,3.48991,-0.692272,-4.80042,-4.22146,0.491479,-3.15161
1,9.68694,1.34794,2.21464,-5.52529,2.35355,1.97406,-20.8942,-1.72873,0.747503
1,10.4986,1.95127,1.12049,-1.08337,0.257988,2.26386,-9.80128,0.113264,-0.565057
1,10.0413,3.3447,-0.818817,-2.42948,0.0458381,2.13318,96.2239,0.141933,0.776899
1,9.9096,2.02071,1.28808,0.913869,2.36242,-1.44019,35.8804,0.149327,3.35551
1,10.1107,1.92254,1.34794,-0.198007,-2.04463,-0.698981,-73.7064,1.21795,0.471943
1,10.2113,3.02627,0.723049,0.147251,-1.89486,2.0053,16.7672,2.67262,-5.93665
1,9.77552,1.66397,1.08697,0.396533,2.70634,2.1011,7.04259,-1.61398,0.783932
1,10.3789,2.83234,0.392649,1.6635,-0.621955,0.295012,-10.8387,3.56843,4.80608
1,10.003,1.95606,0.605733,5.87214,-1.61768,-3.93915,6.89576,0.470456,-0.962246
1,10.3813,2.85628,0.416591,-3.26271,0.759575,-1.76493,-22.1481,-2.4621,-0.770046
2,10.0365,2.25534,0.878672,-3.66334,0.511894,0.287658,-23.446,0.826433,1.03581
2,9.89045,1.97282,0.421379,0.294349,-2.6166,1.07988,6.93326,1.49511,-1.94287
2,9.94312,1.7741,0.52433,-0.805325,0.735001,-1.12875,10.2824,-0.00447494,3.14745
2,10.0149,1.89142,0.3304,1.26233,0.541699,-0.702305,-10.1099,2.50907,1.076
2,9.91917,1.83396,0.452504,-0.672331,-1.46064,0.477646,9.66679,2.59306,-0.652321
2,10.0245,1.5682,0.373495,-0.748019,0.26654,2.35281,18.4078,-4.36668,2.4542
2,9.93114,2.0638,0.474052,0.733397,-3.19379,1.64597,-14.4602,-1.81182,1.45221
2,9.87368,2.04944,0.380678,-0.376848,2.15345,-4.3043,-7.22587,-0.32549,-1.00835
2,9.93114,1.9393,0.617704,2.93149,1.99465,-2.33868,-18.8749,-1.54888,0.488713
2,9.8689,2.04465,0.658405,2.92648,1.66673,-2.07381,21.7424,-0.883998,-1.94728
