x,y,z,s1,s2,s3,s4,s5,s6
9.99339,-2.96881,0.533907,41.76,38.88,33.12,47.52,46.08,50.4
9.47385,-1.73101,0.47884,4.24799,-8.04959,3.888,29.4624,-0.302397,2.0592
9.47864,-2.38462,0.351948,2.89743,-8.73057,-2.69035,-8.68103,-2.20752,2.68689
8.3821,-3.01669,-0.746991,-3.96443,-12.8879,-2.94147,-1.49589,1.84337,-2.85241
8.86094,-1.42216,-2.33674,1.82086,12.1628,-3.9346,-134.938,3.74412,0.502311
10.9702,2.93529,4.54898,1.83573,-1.78041,-4.49955,149.092,-0.487299,0.719528
11.5185,0.603339,-0.864306,34.9396,-6.11942,-1.37062,-41.136,-0.447758,-1.64963
8.92797,-1.1157,-0.035913,-18.624,-5.58755,-4.68613,-135.655,2.64178,-1.29091
10.4651,2.07817,-0.790086,-14.6179,-5.54851,-2.65751,42.6544,-5.04321,2.20402
10.8984,2.23618,0.629675,-7.65708,-1.83412,-1.3347,45.1651,2.41603,1.03285
10.1514,1.13725,1.13246,-2.05406,2.06089,0.783071,57.8811,1.32131,0.804254
10.647,1.36709,0.481234,1.49352,-4.1814,-2.06456,-21.3983,0.357403,-0.414284
10.3214,1.49638,0.656011,2.16643,4.0791,-0.094375,6.04601,2.49624,-0.578148
10.58,1.55384,1.50595,-0.249339,-0.862513,4.0539,9.53354,3.17444,1.42534
10.4387,1.86987,0.780509,1.19984,-0.680149,0.685025,-16.6395,-2.89132,-2.3302
10.7883,1.82438,0.986411,-3.3107,-0.356447,1.96094,15.3302,-2.72414,-0.579177
10.1394,1.16119,0.849941,-0.533112,-1.61674,0.574341,11.9725,1.12511,-1.14037
10.4244,1.64482,1.26174,-1.3008,-1.52679,-2.10056,-4.5032,0.470294,-2.07586
10.5273,1.77889,0.998382,2.98424,0.323361,0.196339,3.77214,2.19596,-2.06091
10.4148,1.07021,0.756567,-0.789365,1.99728,0.206516,-17.5431,-1.3247,1.77621
10.4244,1.19949,0.952892,0.548157,-1.73584,1.85352,3.38183,-0.86515,2.02829
10.4986,1.32399,0.979228,0.352739,0.345133,-1.81407,12.8871,-2.48818,-1.17712
10.4267,1.2785,0.969651,0.482814,-4.02887,-7.1819,-11.9274,2.61261,0.970205
10.4339,1.91057,0.76375,0.566885,-4.92956,-5.5255,7.66258,2.53225,2.05465
10.0532,1.54665,0.73502,0.0050967,2.77612,0.827132,8.3255,-1.22412,4.3313
10.1969,1.71185,0.682347,-1.76444,-1.28285,-0.414188,-15.9859,0.618328,-3.03604
10.3836,1.71904,1.075,0.114003,1.17832,0.0256986,24.6906,1.85262,0.323284
10.2783,1.38145,0.790086,0.446335,1.3448,-3.98443,4.09595,-1.83274,1.76138
10.1418,0.608127,0.529118,-1.18616,-0.409579,0.7983,40.3252,3.40569,-0.432659
10.252,1.82917,0.842759,3.91475,1.44553,-0.801274,-18.336,2.35855,-3.74141
10.2089,1.80762,0.723049,-4.57474,0.0212703,-2.47274,-17.8564,1.21776,1.26186
9.95509,1.38864,0.608127,1.19161,-1.189,-0.866058,5.60065,-1.97532,0.0616701
10.3453,1.15161,0.751779,0.0576746,-0.690559,3.62433,2.13507,1.68063,-1.76228
10.1179,1.27611,0.976834,-0.321493,0.487113,-0.739693,0.53052,5.38188,-0.722425
10.307,1.29526,1.20428,2.69098,-2.56702,0.851149,-13.0489,-3.24543,-0.946096
10.2831,1.12527,0.852335,1.04215,1.67204,4.84628,7.11065,5.9155,1.75831
10.5034,1.15879,0.957681,-2.39422,2.52299,-1.17229,58.9012,0.694123,2.50155
10.2951,0.957681,1.05345,-0.297003,-0.885598,-0.893645,-1.93484,3.25211,1.67576
10.0676,1.18752,0.962469,1.37332,2.55749,-0.466621,-29.7118,3.29562,-0.275973
10.2687,0.725443,0.754173,0.809626,2.12719,1.20877,-14.2675,5.25284,1.81083
10.1993,0.577003,0.847547,-3.07579,-0.549413,2.76646,-23.3233,-16.4235,-4.39515
10.1538,0.632069,1.1564,1.89554,-1.01727,1.55124,-61.3975,-17.1013,-2.09624
10.1945,0.45011,0.687136,5.02226,-0.565782,-4.37748,13.4852,-7.52407,1.02279
10.1035,0.138864,0.663194,-4.60108,-0.283295,2.85025,-5.41174,-6.48978,0.685679
10.0724,0.320823,0.866701,0.825085,2.43824,0.406198,-34.5063,-1.76187,3.23258
10.0413,0.112527,0.823605,-1.89614,1.72907,0.4123,58.0714,0.704324,-0.732942
10.331,0.260968,1.0319,-3.48334,-0.544668,-2.96118,13.848,-1.2562,-5.19007
10.2137,0.332794,0.969651,3.21848,-1.83215,1.14433,4.01647,-1.06206,0.434895
10.1658,0.457292,0.936133,0.0475312,-3.22743,-6.6937,26.0404,-4.88059,0.481111
10.2424,0.385466,0.694318,0.720832,0.556086,-4.23521,-2.51207,-1.64631,2.00227
10.2951,0.430956,1.1133,-1.32641,-1.50794,-2.16123,-22.319,2.14037,-0.602308
10.1682,0.0454898,0.758962,0.336498,1.98088,-0.461938,17.3338,0.709224,0.699976
10.1921,0.160411,0.703895,-1.48873,-1.967,0.964986,14.2922,-1.12304,0.734945
10.1251,0.296881,0.804451,2.00169,4.22938,1.48726,6.07069,-5.60744,1.0002
10.1227,0.134075,0.493205,1.83143,-2.01061,2.56246,24.1163,2.25481,-2.0299
10.2184,0.208295,0.818817,-0.998845,-1.65507,2.93263,14.0941,-2.46252,-0.0838618
10.3717,0.14844,0.593762,-0.660089,-0.64087,0.147928,14.6423,1.2803,-4.27911
10.0916,0.545878,0.579397,1.10119,-2.87632,0.863661,14.9125,0.246372,2.07221
10.0868,0.45011,0.179565,3.01501,-0.502403,0.494398,-15.2236,3.87364,-1.187
